"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Aesculus","Alchemilla t.","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Angelica palustris-type","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Calluna","Campanulaceae","Cannabis","Cardueae undif.","Carum verticillatum","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Conopodium majus","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Dipsacaceae","Drosera","Echium t.","Ephedra","Erica t.","Eucalyptus","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fern-Equisetophyta","Frangula","Fraxinus","Galium t.","Genisteae","Gentiana t.","Halimium/Tuberaria","Hedera","Hepaticae","HippophaÃ« rhamnoides","Humulus","Hypericum undif.","Juglans","Lamiaceae undif.","Lotus t.","Lycopodium spike","Lycopodium tablets","Mercurialis","Musci","Myrtus","Olea t.","Papaver t.","Paronychieae","Pedicularis","Petaloid monocot","Phillyrea","Physospermum cornubiense","Picea","Pinus nigra/sylvestris t.","Pinus pinaster","Pistacia","Plantago","Platanus Ã acerifolia","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Portulacaceae t.","Potentilla t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Reseda/Sesamoides","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Scrophulariaceae undif.","Secale","Solanum","Sparganium","Spergularia t.","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Trifolium t.","Ulmus t.","Urtica t.","Vaccinium","Valerianella","Viburnum","Viola","Vitis","Zea"
" 13.33",NA,NA," 7.0","2","0","0","7","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","2","0","0","0","0","0","0","71","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","300","0","0","0","0","32","0","0","0","0","0","0","0","0","0","0","6","0","0","149","0","0","0","3","13","8","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 16.79",NA,NA," 7.5","2","0","0","4","1","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","5","0","4","0","0","0","0","77","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","176","0","0","0","0","32","0","0","0","0","0","0","0","0","0","0","2","0","0","166","2","0","0","6","12","9","1","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 20.24",NA,NA," 8.0","2","0","0","1","1","0","0","0","2","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","11","0","4","0","0","0","0","114","2","0","0","0","6","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","344","0","0","0","0","55","0","0","0","0","0","0","0","0","0","0","0","0","0","168","0","0","0","5","15","17","2","0","0","0","2","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
" 23.69",NA,NA," 8.5","2","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","4","0","2","0","1","0","0","60","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","150","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","1","0","0","95","0","0","0","1","8","3","3","0","0","0","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 27.14",NA,NA," 9.0","2","0","0","1","0","0","0","0","1","0","0","0","0","0","0","2","0","1","4","0","0","0","0","2","0","0","1","0","0","0","0","2","0","5","0","3","0","0","150","6","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","260","0","0","0","0","45","0","0","0","0","1","0","0","0","0","0","2","0","0","150","0","0","0","3","29","29","5","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
" 30.60",NA,NA," 9.5","2","0","0","1","1","0","1","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","2","0","2","0","0","0","0","87","3","0","1","0","2","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","259","0","0","0","0","47","0","0","0","0","0","0","0","0","0","0","2","2","0","143","0","0","0","3","16","15","0","0","0","0","8","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 34.05",NA,NA,"10.0","2","0","0","7","0","0","0","0","1","0","0","0","0","1","0","0","0","1","2","0","1","0","1","2","0","0","0","0","0","1","0","4","0","2","0","0","0","0","97","1","0","0","0","1","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","385","0","0","0","0","43","0","0","0","0","1","0","0","0","0","0","6","0","0","198","0","0","0","10","17","24","6","0","0","0","11","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 37.50",NA,NA,"10.5","2","0","0","2","1","0","0","0","2","0","0","0","0","1","0","0","0","5","2","0","0","0","1","0","0","0","2","0","0","0","2","6","0","5","0","0","0","0","117","1","0","1","0","4","0","0","0","1","1","0","1","0","0","0","0","1","0","0","0","172","0","0","0","0","29","0","0","0","0","0","0","0","0","0","0","2","0","0","153","1","0","0","12","23","16","0","0","0","0","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 40.95",NA,NA,"11.0","2","0","0","1","2","0","0","0","3","0","0","0","0","1","0","2","0","4","2","0","1","0","0","3","0","0","1","0","0","1","0","6","0","10","0","0","0","0","136","1","0","0","0","7","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","279","0","0","0","0","67","0","0","0","0","0","0","0","0","0","0","1","0","0","200","0","0","0","9","29","15","0","0","0","0","3","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
" 44.40",NA,NA,"11.5","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","2","0","0","0","1","3","0","0","1","0","0","0","0","4","0","8","0","2","0","0","98","0","0","0","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","184","0","0","0","0","32","0","1","0","0","0","0","0","0","0","0","4","0","0","146","0","0","0","2","19","12","1","0","1","0","3","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 47.86",NA,NA,"12.0","2","0","0","4","3","0","0","0","0","1","0","0","0","1","0","1","0","1","2","0","0","0","1","2","0","0","0","0","0","1","2","5","0","7","0","0","0","0","180","4","0","0","0","6","0","0","0","2","3","0","2","0","0","0","0","0","0","0","0","429","0","0","1","0","43","2","0","0","0","0","0","0","0","0","0","4","0","0","291","1","0","0","2","15","6","2","0","1","0","3","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
" 51.31",NA,NA,"12.5","2","0","0","1","1","0","0","0","0","1","1","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","2","0","0","0","2","3","0","5","0","0","0","0","159","0","0","3","0","0","0","0","0","15","1","0","7","0","0","0","0","0","0","0","0","413","0","0","0","0","41","0","1","0","0","1","0","0","0","0","0","3","0","0","550","1","0","0","3","18","4","0","0","0","0","13","0","0","0","0","1","0","5","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0"
" 54.76",NA,NA,"13.0","2","1","0","2","2","0","0","0","0","3","1","0","0","1","1","2","0","0","0","0","0","0","7","2","0","0","14","0","0","0","20","4","0","11","0","0","0","0","143","1","2","26","0","3","0","0","0","78","2","0","22","0","0","0","0","0","0","0","4","256","0","0","0","0","53","0","10","1","0","0","0","0","0","0","0","6","0","0","2230","0","0","0","13","12","7","2","0","0","0","19","0","0","0","4","1","0","2","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0"
" 58.21",NA,NA,"13.5","2","0","0","1","0","0","0","0","1","2","0","0","1","0","0","0","0","0","2","0","0","0","11","0","0","0","13","0","0","0","15","0","0","4","0","0","0","0","58","0","0","15","0","0","0","0","0","56","0","0","20","0","0","0","0","2","0","0","2","138","0","0","0","0","32","0","13","1","0","0","0","0","0","0","1","2","0","0","2130","0","0","0","16","14","4","0","0","0","0","12","0","1","0","8","0","0","0","0","0","1","0","0","0","0","23","0","0","0","0","0","0","0","0"
" 61.67",NA,NA,"14.0","2","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","7","2","0","0","2","0","0","1","7","3","0","10","0","0","0","0","125","1","1","8","0","1","0","0","0","15","1","0","7","0","0","0","1","0","0","0","0","227","0","0","0","0","45","0","4","0","0","0","0","0","0","0","0","5","0","0","996","0","0","0","8","12","8","0","0","0","0","12","0","0","0","1","0","0","2","0","0","1","0","0","0","0","5","0","0","0","0","1","0","0","0"
" 65.12",NA,NA,"14.5","2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","0","0","2","0","0","1","2","2","0","4","0","0","0","0","202","0","0","4","0","1","0","0","0","3","1","0","2","0","0","0","0","0","0","0","0","435","0","0","0","0","23","0","1","0","0","0","0","0","0","0","0","1","0","0","276","1","1","0","10","11","2","0","0","0","0","6","1","0","0","0","0","0","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
" 68.57",NA,NA,"15.0","2","0","0","3","2","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2","2","0","5","0","0","0","0","114","7","0","0","0","3","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","291","0","0","0","0","51","0","0","0","0","0","0","0","0","0","0","3","0","0","205","1","0","0","13","11","7","1","0","1","0","7","1","0","0","0","0","0","3","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0"
" 72.02",NA,NA,"15.5","2","0","0","3","1","0","0","0","1","0","1","0","0","2","0","0","0","1","0","0","0","0","1","3","0","0","0","0","0","0","0","1","0","9","0","0","1","0","104","1","0","0","0","6","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","344","0","0","0","0","40","0","0","0","0","0","0","0","0","0","0","1","1","0","158","1","0","0","14","16","3","6","0","0","0","4","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
" 75.48",NA,NA,"16.0","2","0","0","2","0","0","0","0","3","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","11","0","2","0","0","74","3","0","0","0","1","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","303","0","0","0","0","42","0","0","0","0","0","0","0","0","0","0","1","0","0","85","0","0","1","5","27","7","7","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 78.93",NA,NA,"16.5","2","0","0","3","0","0","0","0","0","0","0","0","1","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","10","0","0","0","0","102","1","0","0","1","2","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","329","0","0","0","0","32","0","1","0","0","0","0","0","0","0","0","1","0","0","91","1","0","0","2","22","6","3","0","0","0","5","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
" 82.38",NA,NA,"17.0","2","0","0","1","1","0","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","6","0","0","0","0","81","1","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","137","0","0","0","0","35","0","0","0","0","0","0","0","0","0","0","3","0","0","86","1","0","0","1","15","7","1","0","0","0","7","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 85.83",NA,NA,"17.5","2","0","0","1","0","0","1","0","1","1","0","0","0","2","0","0","0","2","0","0","0","0","1","2","0","0","2","0","0","1","0","8","0","14","0","2","1","0","140","0","0","0","0","2","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","244","0","0","0","0","74","0","1","0","0","3","0","0","0","0","0","3","0","0","200","1","0","0","4","20","10","4","0","0","0","10","0","0","0","1","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
" 89.29",NA,NA,"18.0","2","0","0","2","1","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","10","0","16","0","0","0","0","130","0","0","0","0","3","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","205","0","0","0","0","65","0","1","0","0","0","0","0","0","0","0","4","0","1","246","1","0","0","9","24","12","7","0","1","0","11","0","0","0","2","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 92.74",NA,NA,"18.5","2","0","0","1","0","0","0","0","2","1","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","2","5","0","7","0","0","0","0","85","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","118","0","0","1","0","54","0","0","0","0","0","0","0","0","0","0","4","0","0","129","1","0","0","5","15","7","4","0","0","0","12","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 96.19",NA,NA,"19.0","2","0","0","5","1","0","0","0","2","0","0","0","0","5","0","1","0","3","0","0","0","0","0","1","0","0","3","0","0","1","0","19","0","12","0","0","0","0","131","0","0","0","0","1","0","0","1","1","0","0","2","0","0","0","0","0","1","0","0","191","0","0","0","0","119","0","1","0","0","0","0","0","0","0","0","2","0","0","280","2","0","0","9","21","14","10","0","0","0","14","0","0","0","2","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 99.64",NA,NA,"19.5","2","0","0","0","1","0","0","0","2","1","1","0","0","2","0","1","0","0","0","0","0","0","0","4","0","0","1","0","0","0","0","6","0","10","0","0","0","0","65","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","138","0","0","1","0","51","0","0","0","0","0","0","0","0","0","0","3","0","0","180","1","0","0","6","15","10","6","0","0","0","7","0","0","0","1","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"103.10",NA,NA,"20.0","2","0","0","0","1","0","0","0","2","0","0","0","0","4","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","11","0","10","0","0","0","0","92","0","0","0","0","8","0","0","0","2","2","0","0","0","0","0","0","0","1","0","0","195","0","0","0","0","81","0","1","0","0","1","0","0","0","0","0","4","0","0","176","3","0","0","19","13","4","19","0","0","0","10","0","0","0","0","1","0","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"106.55",NA,NA,"20.5","2","0","0","1","2","0","0","0","0","1","0","0","0","1","0","1","0","1","1","0","0","0","0","3","0","0","3","0","0","0","0","10","0","17","0","0","1","0","67","1","0","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","183","0","0","0","0","57","0","0","0","0","0","0","0","0","0","0","5","0","0","162","0","0","0","20","16","7","6","0","0","0","9","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"110.00",NA,NA,"21.0","2","0","0","1","2","0","0","1","1","1","1","0","0","0","0","0","0","3","2","0","0","0","2","2","0","0","2","0","0","0","0","9","0","11","0","1","0","0","129","1","0","0","0","4","0","0","0","2","1","0","2","0","0","0","0","0","0","0","0","209","0","0","0","0","95","0","0","0","0","0","0","0","0","0","0","10","0","0","250","5","0","0","26","17","10","17","0","0","0","12","0","0","0","2","0","0","13","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","1"
"113.45",NA,NA,"21.5","2","0","0","4","1","0","0","0","1","2","0","0","0","4","0","0","0","2","1","0","0","0","0","1","0","0","3","0","0","0","1","25","0","12","0","1","0","0","134","0","0","0","0","8","0","0","0","1","3","0","1","0","0","0","0","0","1","0","0","164","0","0","0","0","68","0","0","0","0","1","0","0","0","0","1","12","0","0","243","1","1","7","38","9","11","8","0","0","0","12","0","0","0","2","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0"
"116.90",NA,NA,"22.0","2","0","0","4","0","0","0","0","4","4","1","0","0","9","0","1","0","3","4","0","0","0","0","1","0","0","7","0","0","1","2","17","0","9","0","0","0","0","107","0","0","0","0","6","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","300","0","0","0","0","73","0","0","0","0","0","0","0","0","0","0","13","0","0","315","3","0","0","67","17","10","8","0","0","0","14","0","0","0","4","0","0","17","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"120.36",NA,NA,"22.5","2","0","0","1","0","0","0","1","0","1","0","0","1","2","0","0","0","0","3","0","0","0","0","0","0","0","3","0","0","1","1","25","0","10","0","0","0","0","91","0","0","0","0","4","0","0","1","1","1","0","5","0","0","0","0","0","0","0","0","155","0","0","0","0","57","0","1","0","0","0","0","0","0","0","0","2","0","0","190","3","0","0","35","11","10","6","0","0","0","15","0","0","0","1","0","0","9","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0"
"123.81",NA,NA,"23.0","2","0","0","1","3","0","0","0","1","2","1","0","1","4","0","1","0","0","0","0","0","0","0","2","0","0","7","0","0","0","2","14","0","6","0","0","0","0","100","0","0","0","0","6","0","0","0","1","0","0","3","0","0","0","0","0","1","0","0","154","0","0","0","0","68","0","0","0","0","0","0","0","0","0","0","9","1","1","148","1","0","2","30","16","12","6","0","0","0","13","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"127.26",NA,NA,"23.5","2","0","0","2","2","0","0","0","1","3","0","1","0","10","0","1","0","0","1","0","0","0","0","0","0","0","6","0","0","0","1","35","0","5","0","0","0","0","98","0","0","0","0","5","0","0","0","3","1","0","1","0","0","1","0","0","0","0","0","75","0","0","0","0","51","0","0","1","0","1","0","0","0","0","1","5","1","0","189","1","0","0","30","19","18","4","0","1","0","9","0","0","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"130.71",NA,NA,"24.0","2","0","0","1","1","0","0","0","5","1","1","0","0","3","0","0","0","2","1","0","0","0","1","2","0","0","11","0","0","0","1","12","0","1","0","0","0","0","99","2","0","0","0","12","0","0","0","4","0","0","5","0","0","0","0","0","0","0","0","138","0","0","0","0","59","0","0","0","0","0","0","0","0","0","0","8","0","0","396","3","0","0","27","17","18","7","0","0","0","15","0","0","0","0","1","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"134.17",NA,NA,"24.5","2","0","0","4","4","0","1","0","2","1","1","0","0","6","0","0","0","1","3","0","0","0","0","0","0","0","1","0","0","1","1","29","0","1","0","0","1","0","112","0","0","0","0","19","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","146","0","0","0","0","89","0","0","0","3","0","0","0","0","0","0","4","0","0","201","1","0","0","12","18","13","11","0","0","0","12","0","0","0","2","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"137.62",NA,NA,"25.0","2","0","0","2","2","0","0","0","2","1","2","0","1","3","0","0","0","2","0","0","0","0","1","4","0","0","2","0","0","0","1","31","0","4","1","0","1","0","207","0","0","0","0","16","0","0","0","1","1","0","2","0","0","0","0","1","0","0","0","311","0","0","0","0","128","0","1","1","1","1","0","0","0","0","0","7","0","0","142","2","0","0","17","22","24","24","0","0","0","14","0","0","0","29","2","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"141.07",NA,NA,"25.5","2","0","0","0","1","0","0","0","3","0","0","0","0","10","0","2","0","1","0","0","0","0","0","1","0","0","2","0","0","0","3","66","0","3","0","0","0","0","142","1","0","0","1","22","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","125","0","0","0","0","69","0","0","0","0","1","0","0","0","0","0","4","0","0","154","4","0","0","18","20","16","11","0","0","0","15","0","0","0","2","0","0","18","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"144.52",NA,NA,"26.0","2","0","0","1","1","0","0","0","2","1","2","0","0","6","0","0","1","2","0","0","1","0","0","1","0","0","0","1","0","1","1","29","0","3","0","0","0","0","149","0","0","0","0","12","0","0","0","2","1","0","0","0","0","0","0","0","1","0","1","244","0","0","0","0","113","0","1","0","1","0","0","0","0","0","0","4","0","0","173","2","0","1","14","35","16","12","0","0","0","13","0","0","0","2","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
