"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Arceuthobium","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Cornus","Corylus","Cupressaceae","Cuscuta","Cyperaceae","Dipsacaceae","Echinops","Echium t.","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Gentiana t.","Geranium","Haplophyllum","Hedera","Heliotropium","Hydrocotyle","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Linum t.","Lotus t.","Lysimachia","Malva","Matthiola","Mercurialis","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Nymphaea","Olea t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Primulaceae undif.","Prunus t.","Pseudopediastrum brevicorne","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Solanum","Sparganium","Spergularia t.","Tamarix","Taxus","Thalictrum","Theligonum","Tilia","Tribulus","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valeriana t.","Valerianella","Viburnum","Vitis","Zea","Ziziphus/Paliurus"
"1438","1568","1304"," 260","   0","   0","   0","   0","  20","   6","   0","   0","   7","   0","   0","  18","   0","   0","   2","  34","   0","   3","   0","   0","   1","   1","   3","   3","   0","   0","   5","   6","   0","   0","   0","   0","   3","  18","   0","  38","   1","   0","   0","   0","   2","   0","   0","   2","  24","  17","   1","   2","   3","   3","   0","   0","   0","   0","   0","   0","   1","   0","   3","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   1","   0","   1","   0","  10","   0","   7","   0"," 103","   9","   4","   0","   1","   0","   0","   1","   0","   7"," 253","   0","   0","   0","   7","   7","   0","   3","   0","   0","   0","   4","   0","   0","   0","   5","   1","   0","   0","   0","   3","   2","  20","   0","   0","   0","   0","   1","   0","   0"
"1703","1835","1573"," 280","   2","   0","   0","   0","   5","  22","   0","   0","   2","   0","   0","  22","   0","   6","   2","  10","   0","   4","   1","   0","   4","   1","   0","   6","   3","   0","   5","  11","   0","   0","   1","   0","   6","  47","   0","  30","   1","   0","   0","   0","   3","   0","   1","   0","  11","  44","   0","   0","   2","   3","   0","   0","   0","   0","   0","   0","   1","   0","   9","   0","   0","   0","   2","   0","   1","   1","   0","   0","   0","   5","   1","   0","   0","   0","   1","  33","   4","  28","   1"," 145","  43","  67","   0","   0","   0","   0","   0","   0","   5","  94","   2","   0","   1","  19","   3","   0","   3","   1","   0","   0","   9","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","  44","   1","   0","   2","   0","   9","   0","   0"
"1990","2122","1855"," 300","   0","   0","   0","   0","   3","  22","   1","   0","   5","   4","   0","  31","   0","   3","   1","  23","   0","   1","   0","   0","   1","   1","   0","  10","   0","   0","   9","   9","   0","   0","   0","   0","   5","  19","   0","  21","   0","   0","   1","   0","   1","   0","   0","   0","   7"," 127","   0","   0","   2","   3","   0","   0","   0","   0","   0","   0","   0","   3","   4","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   8","   0","   0","   0","   0","   0","  10","   0","   9","   0","  88","   5","  36","   0","   0","   0","   0","   0","   0","   4"," 141","   0","   0","   4","  16","   0","   0","   2","   0","   0","   0","   7","   0","   0","   0","   3","   0","   0","   0","   0","   1","   1","  14","   1","   0","   0","   1","   2","   0","   0"
"2297","2431","2156"," 320","   2","   1","   0","   0","   2","  12","   0","   0","   5","   3","   0","  21","   0","   1","   1","  27","   1","   4","   0","   0","   2","   0","   3","   3","   0","   0","   0","  11","   0","   0","   1","   1","   5","  15","   0","  17","   0","   0","   0","   1","   1","   0","   0","   1","  23","  54","   0","   0","   3","   2","   0","   0","   0","   0","   0","   0","   1","   1","   8","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   8","   0","   0","   0","   1","   0","  68","   1","  14","   1","  72","  18","  17","   0","   2","   0","   0","   0","   0","  12"," 190","   5","   0","   0","  11","   1","   1","   1","   0","   0","   0","   4","   0","   0","   0","   3","   0","   0","   0","   0","   0","   1","  40","   0","   0","   0","   0","   2","   0","   0"
"2376","2511","2234"," 325","   4","   0","   0","   0","   3","   8","   0","   0","   4","   1","   0","  13","   0","   3","   1","  21","   0","   0","   0","   0","   1","   1","   3","   0","   0","   0","   2","   6","   0","   0","   1","   0","   2","   9","   0","  17","   0","   0","   0","   1","   0","   0","   0","   3","  15","  28","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   1","   0","   0","   2","   1"," 104","   2","   4","   0","  55","  20","  26","   0","   0","   0","   1","   0","   0","   2"," 162","   2","   0","   0","   5","   1","   0","   1","   0","   0","   0","   1","   0","   0","   0","   1","   0","   1","   0","   0","   0","   2","  36","   0","   0","   0","   0","   1","   0","   0"
"2457","2592","2313"," 330","  68","   1","   5","   0","   8","   6","   0","   6","   2","   2","   0","  15","   0","   4","   3","  39","   0","   2","   0","   0","   1","   3","   7","   7","   0","   0","   5","  15","   0","   0","   2","   0","   6","  17","   0","  30","   0","   0","   0","   0","   1","   0","   0","   2","  37","  23","   0","   1","   1","   2","   0","   0","   0","   0","   0","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   1","   2","   0"," 363","   3","  11","   1","  76","  33","  25","   0","   0","   1","   0","   0","   0","   4"," 316","   0","   1","   2","   4","   0","   1","   2","   1","   0","   0","   3","   0","   0","   0","   2","   0","   2","   0","   0","   1","   1","  60","   0","   0","   0","   1","   3","   0","   0"
"2539","2675","2394"," 335"," 124","   0","   5","   0","   6","   3","   0","   2","   3","   3","   0","  17","   0","   0","   2","  38","   0","   0","   0","   0","   0","   0","   8","   3","   0","   0","   2","  11","   0","   1","   1","   1","   7","  21","   0","  33","   0","   0","   0","   1","   2","   0","   0","   1","  29","  21","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   3","   1","   0","   1","   0","   0","   0","   0","   0","   4","   0","   3","   0","   1","   0","   0","   0"," 361","   1","   3","   0","  83","  17","  19","   0","   4","   0","   0","   0","   0","   1"," 262","   1","   0","   1","   7","   0","   0","   1","   0","   1","   0","   0","   0","   0","   2","   1","   0","   1","   0","   0","   0","   2","  48","   1","   0","   0","   0","   0","   0","   0"
"2622","2759","2476"," 340"," 173","   0","   4","   0","   2","   7","   1","   0","   1","   1","   0","   4","   0","   2","   2","  14","   0","   1","   0","   1","   0","   0","   2","   1","   0","   0","   2","   4","   0","   0","   1","   0","   8","   4","   0","  20","   0","   0","   0","   1","   1","   0","   0","   0","  32","  19","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   1"," 379","   1","   2","   0","  29","  10","   7","   0","   1","   0","   0","   0","   0","   2","  95","   1","   1","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","  14","   0","   0","   0","   0","   0","   0","   0"
"2963","3104","2810"," 360","  19","   0","   9","   0","   2","   4","   0","   0","   0","   1","   0","   9","   0","   1","   0","  19","   0","   2","   0","   0","   0","   0","   3","   2","   0","   0","   1","   3","   0","   0","   0","   0","   3","   4","   0","   9","   1","   0","   0","   1","   1","   1","   0","   1","  13","   7","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0"," 207","   1","   2","   0","  35","   3","   6","   0","   0","   0","   0","   0","   0","   0"," 108","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   2","   8","   0","   0","   0","   0","   0","   0","   0"
"3319","3465","3156"," 380","  46","   1","   0","   0","  10","   6","   0","   0","   1","   1","   0","  16","   0","   1","   2","  66","   1","   2","   1","   0","   0","   1","  11","   8","   0","   0","   5","  12","   0","   0","   0","   0","   3","   7","   0","  12","   1","   1","   0","   0","   5","   0","   1","   2","  50","  29","   0","   0","   8","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   1"," 598","   3","   4","   0","  65","  20","  25","   0","   1","   0","   0","   0","   0","   0"," 381","   1","   0","   0","   3","   1","   0","   1","   1","   0","   0","   6","   0","   0","   0","   1","   0","   4","   0","   0","   0","   1","  26","   0","   0","   0","   0","   2","   0","   0"
"3687","3842","3490"," 400","  19","   1","   2","   1","   3","   4","   0","   0","   2","   0","   0","   1","   0","   1","   2","  27","   0","   1","   0","   0","   0","   0","   2","   2","   0","   0","   1","   4","   0","   0","   0","   0","   4","   2","   0","  32","   0","   0","   0","   0","   2","   0","   0","   1","  12","   9","   0","   0","  10","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0"," 267","   0","   2","   0","  28","   2","   3","   1","   0","   0","   0","   0","   0","   2"," 187","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   3","   0","   0","   0","   1","  16","   0","   0","   0","   0","   0","   0","   0"
"3876","4033","3662"," 410","  55","   0","   4","   0","   1","   4","   0","   0","   1","   0","   1","   1","   0","   2","   1","  31","   0","   0","   0","   0","   1","   0","   5","   2","   0","   0","   1","   1","   1","   0","   0","   0","   3","  11","   0","  16","   0","   0","   0","   0","   0","   0","   0","   0","  16","  21","   1","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 349","   1","   3","   0","  51","   5","   2","   1","   0","   0","   0","   0","   0","   5"," 187","   2","   0","   0","   3","   2","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","  40","   0","   0","   0","   0","   0","   0","   0"
"4455","4619","4200"," 440","  62","   0","   4","   0","   4","   0","   0","   0","   2","   0","   0","   0","   1","   0","   0","  44","   0","   1","   1","   0","   0","   0","   9","   1","   0","   0","   2","   0","   0","   0","   1","   0","   3","   4","   0","  16","   1","   0","   0","   0","   2","   0","   0","   0","   3","  11","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0"," 460","   0","   2","   1","  23","   0","   0","   0","   0","   0","   0","   0","   2","   1"," 231","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   1","   0","   0","   1","   4","   8","   0","   0","   0","   0","   0","   0","   0"
"4851","5019","4555"," 460","  78","   0","  11","   0","   5","   2","   0","   0","   1","   1","   0","   3","   0","   1","   3","  58","   0","   0","   0","   0","   1","   0","  27","   1","   0","   0","   2","  10","   0","   0","   0","   0","   9","  15","   0","  55","   0","   0","   0","   0","   2","   0","   0","   0","   4","  27","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   2","   0","   2","   0","   3","   1","   0","   1"," 744","   2","   3","   0","  64","   2","   1","   0","   0","   0","   0","   0","   0","   1"," 278","   1","   0","   0","   2","   1","   1","   1","   1","   1","   0","   1","   0","   0","   2","   1","   0","  10","   0","   0","   1","  10","  52","   0","   0","   0","   0","   0","   0","   0"
"5454","5629","5207"," 490","  16","   1","   2","   0","   3","   4","   0","   0","   2","   0","   0","   4","   0","   0","   0","  30","   0","   1","   0","   0","   0","   1","   7","   0","   0","   0","   1","   0","   0","   0","   0","   0","  16","   3","   0","  20","   0","   0","   0","   1","   2","   0","   0","   0","   1","  17","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0"," 299","   0","   2","   0","  33","   0","   1","   0","   0","   0","   0","   0","   0","   0"," 173","   0","   0","   0","   2","   2","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   9","   0","   0","   1","   6","  24","   0","   0","   0","   0","   0","   0","   0"
"5860","6045","5591"," 510","  23","   1","   2","   0","   9","   3","   1","   0","   1","   2","   0","   8","   0","   4","   0","  43","   0","   0","   0","   0","   0","   0","   8","   1","   0","   0","   2","   1","   0","   0","   0","   0","  16","  16","   0","  26","   0","   0","   0","   1","   0","   0","   1","   0","   5","  18","   0","   0","   6","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1","   1","   0"," 289","   1","   0","   0","  48","   1","   1","   0","   1","   0","   0","   0","   0","   8"," 280","   1","   1","   0","   4","   1","   0","   1","  16","   0","   0","   4","   0","   0","   0","   0","   0","  12","   0","   0","   0","   9","  10","   0","   0","   0","   0","   1","   0","   0"
