"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Acorus","Alchemilla t.","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Bryophyta undiff.","Buxus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Celastraceae undif.","Centaurea","Cichorieae","Cistaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Eucalyptus spike","Eucalyptus suspension","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Gentiana t.","Geranium","Hedera","HippophaÃ«","Hypericum undif.","Ilex","Indeterminable","Juglans","Lamiaceae undif.","Larix","Lonicera","Malva undif.","Menyanthes","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myrtus","Nuphar","Nymphaea","Olea t.","Onagraceae","Oxyria","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Primulaceae undif.","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Resedaceae undiff.","Rhamnaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valerianaceae undif.","Viburnum","Viscum","Vitis"
" 1586"," 1610"," 1564"," 124.0","1","1","0","0","0","45","1","0","2","0","0","0","1","47","0","0","0","0","0","1","0","32","0","0","0","0","0","0","0","0","8","0","1","0","0","0","0","0","0","0","0","69","6","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","10","0","0","0","0","0","3","0","0","4","3","0","0","23","3","0","0","1","0","0","15","85","0","0","0","3","1","0","0","0","0","0","1","0","0","0","0","0","2","10","0","0","0","0","0"
" 1752"," 1776"," 1729"," 134.0","0","2","0","0","0","33","2","1","0","0","0","1","3","29","0","0","0","0","0","0","0","15","1","3","0","0","1","0","0","0","5","1","2","0","0","0","0","155","0","0","1","87","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","2","0","0","22","1","0","0","0","0","0","0","124","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","3","2","1","0","0","1","0"
" 1910"," 1945"," 1872"," 154.0","0","2","0","0","0","47","0","0","2","1","0","0","1","68","0","0","0","0","0","0","0","67","0","1","0","0","0","0","0","0","12","3","1","0","0","0","1","38","0","0","0","48","0","0","0","4","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","4","0","0","0","0","0","8","0","0","8","4","0","0","7","1","0","1","0","0","0","13","95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0"
" 2106"," 2136"," 2075"," 178.0","0","0","0","0","0","60","0","0","0","2","0","0","3","30","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","0","10","9","6","0","0","0","1","151","0","2","0","21","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","8","0","1","0","2","0","0","31","0","0","0","0","1","0","0","204","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
" 2185"," 2218"," 2153"," 184.0","0","1","0","0","0","54","1","0","1","2","0","0","2","52","0","1","0","0","0","1","0","39","0","0","0","0","1","0","0","0","16","1","6","0","0","0","2","122","0","0","0","37","2","0","0","4","0","0","0","0","0","0","0","5","2","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","3","0","0","1","6","0","0","17","0","0","1","0","0","0","9","172","1","0","0","1","0","0","0","1","0","1","1","1","0","0","0","0","2","7","0","0","0","0","0"
" 2354"," 2391"," 2316"," 194.0","0","2","0","0","0","100","2","0","1","0","0","0","2","37","0","0","0","0","0","0","0","41","0","0","0","0","1","0","0","0","9","1","6","0","0","0","1","132","0","0","0","15","3","0","1","2","0","0","0","0","0","0","0","3","3","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","1","0","2","0","0","19","1","0","0","0","0","0","20","124","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","1","3","2","0","0","0","0","0"
" 2566"," 2603"," 2529"," 218.0","0","0","0","0","0","69","0","1","0","2","0","0","4","17","0","2","0","0","0","0","0","38","0","3","0","0","0","1","0","4","20","0","1","0","0","0","2","0","0","0","0","27","1","0","0","1","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","1","2","6","0","3","0","0","0","0","0","0","0","4","0","0","33","0","0","0","0","0","0","6","117","1","0","0","0","8","3","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1"
" 2648"," 2699"," 2595"," 223.0","4","1","0","0","0","69","0","0","0","1","0","0","0","41","0","0","0","1","0","0","0","28","0","0","0","0","2","0","0","0","23","2","5","0","0","0","2","76","0","0","0","33","2","0","0","2","0","0","0","1","0","0","1","3","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","3","1","3","0","0","28","4","0","0","0","0","0","13","105","0","0","0","0","2","1","0","0","0","0","4","0","0","0","0","0","3","3","0","0","0","0","1"
" 2981"," 3018"," 2942"," 243.0","6","0","0","0","0","72","0","0","0","1","0","0","1","48","0","0","0","0","0","1","0","68","0","0","0","0","0","1","0","0","61","1","1","0","0","0","2","32","0","0","1","24","2","0","0","1","0","0","0","2","0","0","2","1","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","1","2","3","2","0","10","1","0","0","0","0","0","11","58","0","0","0","1","2","2","0","0","0","1","2","0","0","0","0","1","2","3","0","0","0","0","1"
" 3314"," 3363"," 3266"," 263.0","36","1","0","0","0","52","0","0","0","1","0","1","0","66","0","0","0","0","0","1","0","58","3","0","0","0","1","0","0","0","27","1","0","0","0","0","1","0","0","0","1","29","0","0","0","7","2","0","0","4","0","0","1","0","0","1","0","0","0","0","0","0","0","0","5","1","0","0","0","0","0","10","0","1","1","4","0","0","25","2","0","0","0","0","0","30","26","0","0","0","1","0","0","0","0","0","0","19","0","0","0","0","0","11","0","0","0","0","0","0"
" 3456"," 3515"," 3395"," 273.0","25","0","0","0","0","86","2","0","0","1","0","0","1","47","0","0","0","0","0","0","0","27","0","0","0","0","0","0","0","0","11","0","1","0","0","0","1","17","0","0","2","20","1","0","0","7","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","5","0","1","1","2","0","0","13","0","0","0","0","0","0","10","65","0","0","0","1","0","0","0","0","0","0","24","0","0","0","0","2","27","5","0","0","0","0","1"
" 4018"," 4076"," 3959"," 313.0","24","0","0","0","0","47","3","0","2","0","0","0","0","67","0","0","0","0","0","0","0","29","1","1","0","0","0","0","0","0","10","1","0","0","0","0","1","37","0","0","0","10","2","0","1","1","1","0","0","4","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","16","0","1","1","4","0","0","16","0","0","0","2","0","0","14","106","1","0","0","3","0","0","0","0","0","0","13","0","0","1","0","0","13","0","0","0","0","0","1"
" 4050"," 4108"," 3991"," 318.0","9","2","0","0","0","25","2","0","4","1","0","1","2","36","0","0","0","0","0","0","0","21","0","1","0","0","1","1","0","0","27","4","1","0","0","0","1","0","0","0","1","6","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","1","0","0","3","1","5","0","0","9","0","0","0","0","0","0","27","125","0","0","0","0","0","0","0","0","0","0","7","1","0","0","0","0","9","0","1","0","0","0","0"
" 5335"," 5432"," 5239"," 418.0","6","2","0","0","0","82","1","0","1","0","0","0","6","37","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","6","39","0","1","0","0","0","0","18","0","0","1","5","0","0","0","3","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","6","0","2","0","0","0","0","0","6","0","5","0","0","15","0","0","0","0","0","0","0","94","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","0","4"
" 6804"," 6928"," 6676"," 513.5","26","0","0","0","0","62","2","0","2","0","0","1","0","27","0","0","0","0","0","0","0","17","0","0","0","0","0","1","0","0","11","0","1","0","0","0","1","101","0","0","1","17","0","0","0","11","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","1","0","1","0","0","16","0","0","0","0","0","0","0","205","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","6","3","0","0","0","0","0"
" 9063"," 9197"," 8933"," 622.0","1","0","0","0","0","35","3","0","5","1","0","0","0","45","0","0","0","0","0","0","1","6","0","0","0","0","0","1","0","0","41","1","1","0","0","0","0","143","0","0","1","14","0","0","0","14","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","13","0","0","0","0","0","0","0","0","0","1","0","0","17","0","0","0","2","0","0","0","269","0","0","1","0","1","0","5","0","0","0","0","0","0","5","0","0","5","0","0","0","0","0","4"
"10984","11147","10813"," 724.5","0","2","0","0","0","2","9","0","7","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","1","2","0","0","0","1","113","0","0","2","14","0","0","0","15","0","1","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","1","0","0","39","0","0","0","0","0","0","0","273","1","0","0","2","5","6","0","0","0","0","0","0","0","2","0","1","18","4","0","0","0","0","3"
"11344","11520","11170"," 741.0","0","0","0","0","0","0","2","0","2","5","0","1","4","0","0","9","3","0","0","0","0","0","0","1","0","0","0","1","0","2","1","3","8","0","0","0","0","38","61666","0","1","6","0","0","2","9","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","5","0","2","0","0","62","0","0","1","0","0","1","0","207","0","0","0","0","7","2","7","1","3","0","0","1","0","5","0","0","4","1","0","0","0","0","0"
"11504","11754","11288"," 746.5","0","0","0","0","0","0","3","0","4","3","0","0","8","6","1","5","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","1","0","1","2","0","89","0","0","0","3","1","0","0","5","1","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","6","0","0","0","0","75","0","0","5","0","0","0","0","174","0","0","0","0","9","9","2","0","0","0","0","2","0","13","0","0","2","0","0","0","0","0","0"
"11653","11887","11423"," 752.5","0","1","0","0","0","1","4","0","2","6","0","1","11","0","1","2","0","1","0","0","0","0","2","0","0","0","0","1","0","0","0","4","4","0","1","0","0","149","0","1","0","2","0","0","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","6","0","0","0","0","62","0","0","3","0","0","0","0","186","0","0","0","0","5","0","10","1","0","0","0","1","0","3","0","6","11","1","0","0","0","0","0"
"11668","11878","11460"," 757.0","0","0","0","0","0","2","5","0","5","4","0","0","8","1","1","6","0","0","0","0","0","2","2","1","0","0","0","3","0","1","1","0","9","0","0","1","0","74","70200","2","1","4","0","0","0","5","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","77","0","0","2","1","1","0","0","170","2","0","0","0","11","3","1","0","1","0","0","2","0","6","0","0","8","1","0","0","2","0","0"
"11755","11933","11581"," 762.0","0","0","0","0","0","3","5","0","2","7","0","0","21","2","0","1","0","0","0","0","0","0","0","0","0","0","3","2","1","0","1","0","5","0","0","0","0","127","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","0","2","0","0","82","0","0","1","0","0","0","0","192","0","0","0","0","9","6","2","0","0","0","1","0","0","1","0","0","0","2","1","0","0","0","0"
"11812","11985","11633"," 766.0","0","1","0","0","0","3","5","3","2","26","0","2","28","1","0","1","0","0","0","0","0","0","0","0","0","0","2","2","0","0","1","1","2","0","0","1","1","154","0","0","0","2","0","0","0","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","1","0","0","94","0","0","2","0","0","0","0","197","0","0","0","0","5","2","5","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0"
"11908","12080","11728"," 770.0","0","0","0","0","0","2","4","1","6","29","0","2","37","0","0","1","0","0","0","1","0","0","2","0","0","0","2","1","0","0","0","3","0","0","0","1","0","207","0","0","0","1","0","0","0","1","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","100","0","0","0","0","0","0","0","154","0","0","0","0","1","0","4","0","0","0","0","3","0","5","0","0","3","2","0","0","0","0","0"
"11997","12210","11788"," 774.0","0","0","0","0","0","1","6","0","7","32","0","2","41","2","0","3","0","0","0","0","1","0","1","0","0","0","0","2","1","0","0","4","0","0","0","1","0","190","0","0","0","3","0","0","0","6","3","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","13","0","1","0","0","131","0","0","0","0","1","0","0","182","1","0","0","0","1","0","3","0","0","1","0","2","0","6","0","1","1","0","1","0","0","0","0"
"12111","12290","11943"," 778.0","0","0","0","0","0","1","5","0","5","40","0","0","31","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","3","0","0","1","0","138","0","0","0","4","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","103","0","0","0","0","0","0","0","217","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"12140","12381","11896"," 781.0","0","0","0","0","0","1","15","1","6","24","0","2","28","2","0","1","190","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","5","0","0","5","0","195","0","0","0","4","0","0","0","4","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","83","0","0","0","0","0","0","0","154","1","0","0","0","3","2","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"12167","12413","11934"," 782.0","0","0","0","0","0","3","6","1","9","29","0","1","29","0","0","1","20","0","0","0","0","1","2","0","0","0","1","2","0","0","0","3","3","0","0","0","0","29","61666","0","0","5","0","0","0","9","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","72","0","0","0","0","0","0","0","147","0","0","0","0","6","3","0","0","0","0","0","0","0","0","0","0","4","0","2","0","0","0","0"
"12181","12360","12003"," 786.0","1","0","0","0","0","0","12","3","1","33","0","0","49","3","0","1","0","0","0","0","0","0","4","0","0","0","0","1","1","0","0","4","1","0","0","2","1","215","0","0","0","3","0","0","2","4","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","10","0","0","0","0","70","0","0","0","1","0","0","0","146","0","0","0","0","2","1","3","0","0","0","0","1","0","2","0","0","1","1","0","0","0","0","0"
"12194","12362","12022"," 790.0","0","2","0","0","2","2","9","1","6","22","0","2","50","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","2","0","5","5","0","0","2","0","149","0","0","0","2","0","0","0","3","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","1","0","1","59","0","0","0","0","0","0","0","145","0","0","0","0","2","0","1","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0"
"12220","12429","12006"," 794.0","0","0","0","0","0","2","2","1","2","20","0","0","44","3","0","0","0","0","0","0","0","0","3","0","0","0","1","1","0","0","1","3","3","0","0","0","0","182","0","0","0","2","0","0","0","5","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","92","0","0","0","0","0","0","0","181","0","0","0","0","2","0","3","0","0","0","0","0","0","0","1","1","3","0","0","0","0","0","0"
"12267","12443","12079"," 798.0","0","0","0","0","0","3","9","1","4","23","0","3","38","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","4","0","0","0","0","0","383","0","0","0","2","0","0","0","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","11","0","0","0","0","90","0","0","0","0","0","0","0","137","0","0","0","0","2","2","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0"
"12321","12538","12116"," 802.0","0","0","0","0","0","0","9","1","2","26","0","1","70","0","1","0","34","0","0","0","1","0","1","0","0","0","0","1","0","0","3","3","3","0","0","1","0","36","0","0","0","2","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","89","0","1","0","0","0","0","0","115","0","0","0","0","1","2","1","0","1","1","0","0","0","5","0","2","7","1","0","0","0","0","0"
"12432","12631","12226"," 806.0","0","0","0","0","0","0","10","4","3","27","0","0","36","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","4","3","0","0","1","0","150","0","0","0","3","0","0","0","3","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","102","0","0","0","0","0","0","0","179","0","0","0","0","2","4","3","0","0","0","0","2","0","1","0","1","5","0","0","0","0","0","0"
"12554","12769","12342"," 810.0","0","0","0","0","0","0","11","2","4","42","0","0","43","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","2","1","1","0","1","2","0","232","0","0","0","4","0","0","0","2","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","1","0","0","77","0","0","0","0","0","0","0","183","0","0","0","0","1","2","4","0","0","0","0","1","0","4","0","0","4","0","0","0","0","0","0"
"12659","12897","12424"," 814.0","0","0","0","0","0","1","5","0","5","23","0","0","26","0","0","1","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","6","1","0","0","5","0","141","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","71","0","0","0","0","1","0","0","128","0","0","0","0","4","4","5","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0"
"12771","13030","12517"," 818.0","0","1","0","0","0","1","6","0","4","27","0","2","14","0","0","2","0","0","0","0","0","0","2","0","0","0","1","1","0","0","2","6","2","0","0","2","0","173","0","0","0","2","0","0","0","6","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","13","0","0","0","0","77","0","0","0","0","1","0","0","239","1","0","0","0","2","2","4","0","0","1","0","4","0","3","0","2","15","0","0","0","0","0","0"
"12884","13104","12658"," 822.0","0","5","0","0","0","3","8","0","5","8","0","1","14","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","8","2","2","0","0","0","0","100","0","2","0","28","0","0","0","20","2","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","9","0","0","0","0","54","2","0","0","0","0","0","0","232","0","0","0","0","3","3","0","0","0","0","0","1","0","29","0","0","19","1","0","0","0","0","0"
"13188","13367","13004"," 832.0","0","5","0","0","0","1","5","1","8","10","0","1","17","3","0","0","0","0","0","0","0","0","4","0","0","0","0","1","0","0","1","2","1","0","0","0","0","122","0","0","0","12","0","0","0","19","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","10","0","2","0","0","54","0","0","2","1","0","0","0","230","0","0","0","1","1","4","0","0","0","0","0","7","0","28","0","0","6","2","0","0","0","0","1"
"13529","13794","13256"," 842.0","0","4","0","0","0","1","7","0","7","16","0","1","53","0","0","1","0","0","0","0","2","0","3","0","0","0","0","2","0","1","4","5","10","0","0","0","0","87","0","0","0","15","0","0","0","21","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","82","0","0","3","0","0","0","0","139","0","0","0","0","7","6","0","0","0","0","0","1","0","4","0","0","4","0","0","0","0","0","0"
"13865","14090","13641"," 852.0","0","0","0","0","0","5","4","0","7","20","0","2","24","6","0","0","0","0","0","0","1","0","1","0","0","0","1","5","0","0","10","2","0","0","0","0","0","0","0","0","1","10","0","0","0","6","7","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","15","0","0","0","0","142","0","0","5","0","0","0","0","79","0","0","0","0","3","4","0","0","0","0","0","1","0","1","0","1","2","1","0","0","0","0","0"
