"depth","Abelia","Acacia t.","Acalypha","Acanthaceae undif.","Aeschynomene","Alchornea","Alnus","Amaranthaceae undif.","Aneilema","Antrocaryon-type","Arecaceae undif.","Artemisia","Asteroideae undif.","Balanites","Betula","Bombax/Ceiba","Borreria t.","Boscia","Bosqueia","Boswellia","Brassicaceae","Bridelia","Cadaba","Calligonum","Canthium","Capparis","Caryophyllaceae undif.","Cassia","Caylusea","Celtis","Cichorieae","Cissus t.","Cistaceae","Clematis-type","Cleome","Combretaceae","Commiphora","Connaraceae","Corylus","Crossopteryx","Crudia","Cuviera","Cyperaceae","Diospyros/Euclea t.","Dodonaea","Elaeis","Entada","Ephedra","Eugenia/Syzygium","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fungi","Gaertnera","Grewioideae","Heliotropium","Hibiscus","Hygrophila","Hymenocardia","Hyphaene t.","Ilex","Indeterminable","Indigofera","Iodes","Ixora","Justicia t.","Lannea","Limoniastrum/Limonium","Lophira","Macaranga","Maerua","Manilkara","Meliaceae undif.","Nauclea","Olea t.","Phyllanthus undif.","Picconia","Pinus undif.","Plantago","Poaceae","Podocarpus","Polygonum t.","Quercus undif.","Rhizophora","Rubiaceae undif.","Salvadora/Dobera","Sapium","Sapotaceae/Meliaceae","Searsia","Sesbania","Sideroxylon t.","Spergularia t.","Sterculia","Sterculia undif.","Tephrosia","Tetrorchidium","Tilia","Trichodesma","Typha","Uapaca","Vigna","Xylia/Mimosa","Ziziphus/Paliurus","Zygophyllum/Peganum"
" 76.75","  0.00","  0.00","  0.00","  0.00","  0.00","  6.00","  0.00","  5.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  1.00","  0.00","  2.00","  2.00","  0.00","  0.00","  0.00","  0.00","  2.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 14.00","  0.00","  0.00","  1.00","  8.00","  0.00","  0.00"," 53.00","  0.00","  0.00","  4.00","  0.00","  2.00","  0.00","  0.00","  2.00","  0.00","124.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  6.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  5.00","  2.00","100.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00"
" 83.75","  0.00","  0.00","  0.00","  0.00","  1.00","  6.00","  0.00"," 10.00","  0.00","  0.00","  0.00","  5.00","  9.00","  0.00","  1.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  5.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00"," 24.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 67.00","  0.00","  0.00","  4.00","  0.00","  7.00","  0.00","  0.00","  0.00","  1.00","149.00","  3.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00"," 15.00","  0.00","  0.00","  0.00","  0.00","  4.00","  0.00","  0.00","  0.00","  6.00","  1.00","  0.00","  1.00","  0.00","  2.00","  0.00","  1.00","  0.00","234.00","  0.00","  0.00","  0.00","  6.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  6.00","  1.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  1.00","  0.00","  0.00"
"88.75"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 1.00"," 0.00"," 0.00"," 0.00"," 7.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 6.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 4.00"," 0.00"," 0.00"," 4.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00","50.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 4.00"," 0.00"," 0.00"," 2.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 2.00"," 1.00","23.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 6.00"," 0.00"," 0.00"," 2.00"," 0.00"," 2.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
" 97","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  3","  0","  0","  1","  0","  1","  0","  0","  0","  0","126","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  3"," 34","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
" 99","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  2","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","115","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 35","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0"
"100.75","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  5.00","  0.00","  0.00","  0.00","  0.00","  6.00","  0.00","  0.00","  0.00","  0.00"," 99.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00"," 37.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"103.75","  0.00","  3.00","  0.00","  0.00","  1.00","  3.00","  0.00","  3.00","  0.00","  0.00","  0.00"," 10.00","  5.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 18.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 23.00","  0.00","  0.00","  0.00","  0.00","  6.00","  0.00","  1.00","  0.00","  0.00","101.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 10.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  2.00","  0.00","  0.00","  1.00","  0.00","  3.00","  0.00","110.00","  0.00","  0.00","  1.00","  5.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  8.00","  1.00","  0.00","  0.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"107.75","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00"," 10.00","  0.00","  0.00","  0.00","  8.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  3.00","  1.00","  0.00","  0.00","  0.00","  0.00"," 21.00","  1.00","  0.00","  1.00","  0.00","  0.00","  0.00"," 39.00","  0.00","  0.00","  3.00","  0.00","  9.00","  0.00","  0.00","  2.00","  0.00","125.00","  1.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00"," 10.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  4.00","  0.00","  1.00","  1.00","  0.00","  0.00","  0.00","  3.00","  2.00","201.00","  0.00","  0.00","  0.00","  6.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  8.00","  0.00","  0.00","  1.00","  0.00","  5.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"109.25","  0.00","  1.00","  0.00","  0.00","  0.00","  4.00","  0.00"," 12.00","  0.00","  0.00","  0.00","  4.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  2.00"," 31.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00"," 50.00","  0.00","  0.00","  7.00","  0.00","  9.00","  0.00","  2.00","  0.00","  2.00"," 60.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  5.00","  0.00","  0.00","  0.00","  0.00"," 13.00","  0.00","  0.00","  0.00","  1.00","  1.00","  1.00","  0.00","  0.00","  2.00","  0.00","  3.00","  1.00","129.00","  0.00","  0.00","  1.00","  7.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  2.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"116.5","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  2.0"," 15.0","  0.0","  0.0","  0.0","  2.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 13.0","  0.0","  0.0","  4.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 20.0","  0.0","  0.0","  3.0","  0.0","  7.0","  0.0","  0.0","  0.0","  0.0"," 90.0","  1.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0"," 11.0","  0.0","  0.0","  0.0","  0.0"," 16.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  1.0","  0.0","246.0","  0.0","  0.0","  0.0"," 15.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 28.0","  0.0","  0.0","  4.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"118.5","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  7.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  6.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0"," 77.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 58.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"127.25","  0.00","  2.00","  0.00","  0.00","  0.00","  2.00","  0.00"," 16.00","  0.00","  0.00","  0.00","  6.00","  6.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  2.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 48.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00"," 23.00","  0.00","  0.00","  5.00","  0.00","  0.00","  0.00","  0.00","  1.00","  1.00"," 89.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  9.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  1.00","  2.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00"," 84.00","  0.00","  0.00","  0.00"," 10.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 16.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"128.75","  0.00","  1.00","  0.00","  0.00","  0.00","  2.00","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00"," 12.00","  0.00","  0.00","  9.00","  0.00","  0.00","  0.00","  9.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00"," 61.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  1.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00"," 14.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  1.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"136","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 28","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0"," 13","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0"
