"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Buxus","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Coriaria","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fraxinus","Hedera","HippophaÃ«","Juglans","Lamiaceae undif.","Ligustrum","Myriophyllum undif.","Olea t.","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Sparganium","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Vitis"
"4173","4329","4027"," 455","   0","   0","   2","  25","   2","   7","   2","   3","   0","   0","   0","   0","   0","   0","   1","   0","   0","  10","   2","   3","   0","   3","   2","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","  47","   0"," 136","   6","  22","   9","   0","   0","   0","  11","  25","   2","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0"
"4459","4613","4315"," 465","   0","   0","   6","  90","   4","  16","   3","   6","   0","   1","   0","   0","   0","   0","   1","   3","   0","  10","   2","   8","   0","   2","  11","   0","   0","   8","   0","   0","   0","   0","   0","   0","   1","   0","  89","   0"," 172","   3","  33","  36","   0","   0","   8","  93","  65","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0"
"4746","4897","4600"," 475","   0","   0","   4","  65","   2","  13","   4","   0","   2","   0","   0","   0","   0","   0","   1","   1","   0","  13","   1","  10","   0","   1","  14","   0","   1","   4","   0","   0","   0","   0","   0","   0","   0","   0","  84","   0"," 117","  13","  20","  24","   0","   0","   2","  18","  47","   3","   0","   0","   0","   1","   0","   0","   5","   0","   0","   0","   0","   5","   0","   1"
"5032","5182","4884"," 485","   0","   0","   4","  14","   1","   6","   0","   3","   0","   0","   0","   0","   0","   0","   2","   2","   0","   5","   0","   4","   0","   2","   3","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  24","   0","  93","   1","   9","   5","   0","   0","   0","  15","  24","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   3"
"5318","5468","5167"," 495","   0","   0","  16","  97","   6","   6","  10","   2","   1","   0","   0","   0","   0","   0","   3","   4","   1","  10","   3","  14","   0","   6","   4","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","  73","   0","  52","  10","  24","  19","   0","   0","   1","  39","  41","   5","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   1","   2","   1","   1"
"5604","5756","5449"," 505","   0","   0","   3","  49","   3","  10","   6","   3","   0","   0","   0","   0","   0","   0","  11","   0","   0","  19","   1","   2","   0","   3","   4","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","  53","   0","  11","   1","  25","   9","   0","   0","   5","  41","  21","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   3","   0","   1"
"5890","6047","5730"," 515","   0","   0","   9","  31","   8","   6","   4","   3","   0","   5","   0","   0","   0","   0","   1","   0","   0","  16","  14","   6","   0","   6","   3","   0","   1","   5","   0","   0","   0","   0","   0","   0","   0","   0","  41","   0","  15","  12","  38","  32","   0","   0","   1","  20","  56","   6","   1","   1","   1","   0","   0","   0","   2","   0","   0","   0","   0","   5","   1","   2"
"6176","6339","6009"," 525","   0","   0","  10","  57","   2","   6","   5","   1","   0","   1","   0","   0","   0","   0","   6","   0","   0","  22","   3","   2","   0","   1","   5","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","  50","   0","  14","   1","  23","  15","   0","   0","   7","  36","  23","   0","   0","   0","   1","   3","   0","   0","   1","   0","   0","   0","   1","   3","   0","   0"
"6462","6632","6285"," 535","   0","   0","   4","  36","  11","   5","  18","   1","   2","   1","   0","   0","   0","   0","   0","   0","   0","  10","  39","  14","   0","  17","   4","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","  30","   0","  45","  10","  32","  34","   0","   0","   0","  26","  50","  10","   0","   0","   0","   2","   0","   0","   6","   0","   0","   0","   0","  16","   0","   0"
"6748","6926","6559"," 545","   0","   0","  11","  48","  12","   4","  14","   2","   0","   3","   0","   1","   0","   0","   2","   0","   0","  13","  14","   6","   0","   2","   3","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","  19","   1","  46","   1","  29","  11","   0","   0","   2","  48","  29","   0","   0","   0","   0","   3","   0","   0","   3","   0","   0","   0","   0","  12","   0","   0"
"7034","7221","6832"," 555","   0","   0","   7","  40","   6","   1","   3","   1","   1","   9","   0","   0","   0","   1","   0","   0","   0","  17"," 120","   5","   0","  55","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","  18","  15","  14","   8","   0","   0","   1","  23","  21","   3","   0","   0","   0","   0","   9","   0","   2","   0","   0","   0","   2","   9","   0","   0"
"7192","7380","6988"," 565","   0","   0","   5","  61","   8","  12","   0","   2","   0","  14","   0","   0","   0","   0","   0","   0","   0","  19","  72","   3","   0","   5","  11","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","  31","   5","  28","   2","   1","   0","   1","  47","  36","   0","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   2","   3","   0","   1"
"7222","7402","7027"," 575","   0","   0","   8","  38","  16","   1","   5","   1","   0","   6","   3","   0","   0","   0","   1","   2","   0","  15"," 126","   5","   0","  15","   2","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","  20","  17","  20","  16","   0","   0","   1","  25","  31","   2","   1","   0","   0","   0","  11","   0","   2","   0","   0","   0","   1","   4","   1","   0"
"7252","7425","7067"," 585","   0","   0","   6","  27","  14","   9","   2","   9","   0","  10","   0","   0","   0","   0","   0","   2","   0","  14","  54","   1","   0","   8","   7","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   8","   2","  24","   6","   0","   0","   0","  45","  25","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   2","   9","   0","   0"
"7282","7449","7106"," 595","   0","   0","   6","  12","   5","   2","   5","   0","   1","   4","   0","   0","   0","   0","   0","   0","   0","   8"," 123","  21","   0","  25","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   4","   0","  15","  16","   8","  17","   0","   0","   1","   6","  11","   2","   3","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   6","   0","   0"
"7311","7471","7143"," 605","   0","   0","   2","  23","   6","   5","   3","   0","   0","   7","   0","   0","   0","   0","   1","   0","   0","   7","  92","   4","   0","   2","   2","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   3","   1","  28","   2","  14","  13","   0","   0","   0","  47","  12","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0"
"7341","7495","7179"," 615","   1","   0","   3","  14","  11","   1","   5","   0","   0","   6","   0","   0","   0","   0","   2","   0","   0","  10"," 114","  13","   0","  77","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   4","   0","  19","   7","  11","  26","   0","   0","   0","  22","  19","   2","   1","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   3","   0","   0"
"7371","7520","7214"," 625","   0","   0","   4","  33","   3","  11","   4","   5","   0","   4","   0","   0","   0","   0","   0","   0","   0","  11","  61","   2","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   1","  28","   1","  10","  33","   0","   0","   0","  32","  15","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0"
"7401","7545","7247"," 635","   1","   0","   4","  16","  13","   2","  11","   0","   0","  14","   0","   0","   0","   0","   6","   0","   0","   9"," 105","  31","   0","  53","   3","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","  15","   6","  15","  15","   0","   0","   2","  23","  25","   3","   0","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   2","   0","   1"
"7431","7572","7280"," 645","   0","   0","   6","  37","   6","   4","   2","   5","   0","   5","   0","   0","   0","   0","   1","   0","   0","  18","  88","   3","   1","   2","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   2","  31","   3","  27","  13","   0","   0","   4","  58","  23","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   2","   2","   0","   0"
"7460","7601","7312"," 655","   0","   0","   7","  17","   9","   0","   2","   3","   0","   1","   0","   0","   0","   0","   0","   1","   0","   4"," 151","  17","   0","  55","   4","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   3","   0","  15","   5","   9","  11","   0","   0","   5","  16","  17","   1","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   1","   7","   0","   0"
"7490","7631","7343"," 665","   0","   0","   5","  60","   2","  10","   3","   2","   0","  10","   0","   0","   0","   0","   5","   0","   0","   9","  73","   6","   0","   4","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   6","   0","  21","   3","  22","   5","   0","   1","   4","  23","  24","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   7","   0","   0"
"7520","7662","7373"," 675","   0","   0","   7","  26","   3","   2","   3","   3","   0","   2","   0","   0","   0","   0","   0","   0","   0","   7"," 150","  25","   0","  23","   3","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","  47","   9","  11","   8","   0","   0","   1","  13","  25","   6","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   9","   0","   0"
"7550","7695","7403"," 685","   0","   0","   5","  32","  20","   3","   2","   6","   0","   6","   0","   0","   0","   0","   3","   0","   0","  11","  87","   8","   0","   9","   2","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   6","   1","  31","   7","  22","  13","   0","   0","   2","  43","  21","   0","   0","   0","   0","   0","   0","   0","   4","   0","   1","   0","   0","   1","   0","   1"
"7580","7729","7432"," 695","   0","   0","   8","  48","  27","   2","   7","   3","   0","  17","   0","   0","   0","   0","   2","   0","   0","  28"," 216","  41","   0"," 136","   2","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","  18","   0","  49","  14","  23","  68","   0","   0","   0","  29","  35","   4","   0","   2","   1","   0","   0","   0","   7","   0","   0","   0","   0","  14","   0","   0"
"7609","7764","7460"," 705","   0","   0","  10","  44","  18","   8","   5","   9","   0","  13","   0","   1","   1","   0","   1","   0","   0","  11"," 119","   7","   0","  13","   2","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   6","   2","  24","   3","  40","  20","   0","   0","   2","  67","  24","   0","   0","   0","   0","   2","   0","   0","   2","   0","   1","   0","   0","   3","   0","   1"
"7639","7798","7486"," 715","   0","   0","   1","  23","  19","   4","   6","   3","   0","   6","   0","   0","   0","   0","   0","   1","   0","  15"," 127","  27","   0","  12","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","  26","   6","  22","   9","   0","   0","   2","  20","  18","   0","   0","   0","   1","   0","   0","   0","   3","   0","   0","   0","   2","   5","   0","   0"
"7669","7834","7511"," 725","   0","   1","   2","  37","  13","   6","   5","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","  19","  33","   3","   0","   9","  12","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   4","   2","  21","   1","  33","  10","   0","   0","   1","  51","  29","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   4","   0","   0"
"7699","7871","7535"," 735","   0","   0","   5","  25","  48","   1","   8","   0","   0","   2","   0","   0","   0","   0","   3","   0","   0","  14"," 175","  46","   0","  60","   3","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   3","   0","  31","  17","  22","  42","   0","   0","   0","  16","  37","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","  13","   0","   0"
"7729","7907","7557"," 745","   1","   0","   6","  31","  20","   7","   3","   5","   0","   1","   0","   0","   0","   0","   0","   0","   0","  27","  68","   7","   0","   4","   2","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   3","   0","  37","   0","  56","  42","   0","   0","   1","  35","  37","   0","   0","   0","   0","   1","   1","   0","   7","   0","   0","   0","   3","   5","   0","   1"
"7758","7944","7579"," 755","   0","   0","   1","  24","  32","   2","  15","   1","   0","   3","   0","   0","   0","   0","   1","   0","   0","  17"," 132","  34","   0","  34","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   4","   0","  13","   0","  30","  33","   0","   0","   1","  14","   9","   1","   0","   0","   1","   0","   1","   0","   7","   0","   0","   0","   3","   6","   0","   0"
"7788","7983","7601"," 765","   0","   0","   1","  27","  31","   3","  15","   2","   0","   1","   0","   0","   0","   0","   4","   0","   0","   8","  15","   6","   1","  25","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   3","   0","  20","   1","   9","  19","   0","   0","   2","  21","  15","   0","   0","   0","   0","   1","   0","   0","   2","   0","   2","   0","   1","   3","   0","   0"
"7818","8023","7624"," 775","   0","   0","   2","   7","  19","   3","  18","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0","   5"," 121","  46","   0","  28","   2","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","  40","   0","   4","  46","   0","   0","   1","  14","   3","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0","   0","   0","   5","   0","   0"
"7848","8064","7646"," 785","   0","   0","   0","   1","  15","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","  22","  38","   0","   3","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","  21","   0","  83","  32","   0","   0","   0","  10","   3","   0","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0"
"7877","8107","7670"," 795","   0","   0","   0","   2","   1","   4","   3","   1","   0","   0","   0","   0","   0","   0","   2","   0","   0","   2","  73","  56","   0","  13","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  43","   0","   1","  28","   0","   0","   0","   6","   1","   0","   0","   0","   2","   0","   0","   0","   7","   0","   0","   0","   0","   7","   0","   0"
