"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Arbutus","Artemisia","Asteroideae undif.","Berberis t.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Campanulaceae","Cannabis","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Celtis","Centaurea","Ceratonia","Cichorieae","Cistaceae","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fern","Fern-Lycopodiaceae","Ficus","Fraxinus","Fungi","Genisteae","Gentiana t.","Heliotropium","Hypericum undif.","Juglans","Lamiaceae undif.","Ligustrum","Lonicera","Lotus t.","Lycopodium spike","Lycopodium tablets","Lythrum","Malva undif.","Matthiola","Mercurialis","Microthyrium","Morus","Myrtus","Olea t.","Ononis t.","Paronychieae","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Prunus t.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Riccia","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Scrophulariaceae undif.","Searsia","Thalictrum","Theligonum","Thymelaeaceae undif.","Trifolium t.","Ulmus t.","Urtica t.","Viola","Vitis"
" 150.9",NA,NA," 172","1","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","2","18","0","1","0","0","3","2","0","1","0","0","0","0","0","0","0","0","0","0","913","0","0","0","0","0","0","0","0","4","0","0","0","0","0","15","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
" 179.9",NA,NA," 196","1","0","0","0","0","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","9","13","0","1","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","1150","0","0","0","0","0","0","0","0","4","0","0","0","0","0","26","4","0","0","0","7","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
" 189.6",NA,NA," 204","1","0","0","8","0","1","7","2","2","2","0","18","3","0","0","1","0","7","0","0","1","0","0","0","0","0","0","0","9","4","0","0","10","0","5","0","1","2","31","0","1","0","0","5","1","0","0","10","0","0","0","0","0","1","0","0","0","1272","0","0","0","0","1","0","0","0","4","0","6","0","3","0","31","17","9","0","0","19","1","0","0","0","0","3","14","0","0","0","0","0","0","0","1","59","2","0","0","0","0","0","2","0","0","5","0","1"
" 208.9",NA,NA," 220","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","4","0","0","0","0","0","0","0","0","27","0","0","0","0","4","5","0","0","1","0","0","0","0","0","0","0","0","0","537","0","0","0","0","0","1","0","0","0","0","0","0","0","0","96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 218.6",NA,NA," 228","1","0","0","0","0","0","0","1","0","0","3","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","4","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1605","0","0","0","0","0","0","0","0","5","0","0","0","0","0","36","3","1","0","0","0","0","0","0","0","0","1","8","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0"
" 238.0",NA,NA," 244","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","37","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","602","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 247.6",NA,NA," 252","1","0","0","0","0","0","3","2","0","0","15","14","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","6","0","0","1","0","5","0","0","0","37","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1698","0","0","0","0","0","0","0","0","12","0","0","0","0","0","66","20","2","0","0","5","1","0","0","0","0","6","27","0","0","0","0","0","0","0","0","3","0","0","0","0","2","2","0","0","0","0","0","0"
" 257.3",NA,NA," 260","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","19","0","0","0","0","2","5","0","0","1","0","0","0","0","0","0","0","0","0","431","0","0","0","0","0","0","0","0","1","0","0","0","0","0","182","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 267.0",NA,NA," 268","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","500","0","0","0","0","0","0","0","0","3","0","0","0","0","0","58","6","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 276.6",NA,NA," 276","1","0","0","0","0","0","1","0","0","1","3","23","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","9","0","0","1","47","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1757","0","0","0","0","0","0","0","0","4","0","0","0","0","0","80","16","1","0","0","3","0","0","0","0","0","0","27","0","0","0","0","0","0","0","0","8","0","0","0","0","4","1","0","0","0","0","0","0"
" 286.3",NA,NA," 284","1","0","0","0","0","0","2","0","0","0","1","8","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","3","0","0","0","0","3","0","0","2","19","0","1","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","1984","0","0","0","0","0","0","0","0","6","0","0","0","0","0","84","3","3","0","0","1","0","0","0","0","0","1","11","0","0","0","0","0","0","0","0","5","0","0","0","0","1","1","0","0","0","1","0","0"
" 296.0",NA,NA," 292","1","0","0","0","0","0","1","0","0","0","6","2","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","4","0","0","0","0","1","0","0","1","11","0","1","0","0","2","2","0","1","0","0","0","0","0","0","0","0","0","0","1120","0","0","0","0","0","0","0","0","5","0","0","0","0","0","133","2","3","0","0","1","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
" 305.6",NA,NA," 300","1","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","679","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70","2","0","0","0","1","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 315.3",NA,NA," 308","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","40","0","0","0","0","6","4","0","0","0","0","0","0","0","0","0","0","0","0","456","0","0","0","0","0","1","0","0","2","0","0","0","0","0","118","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 325.0",NA,NA," 316","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1781","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 344.3",NA,NA," 332","1","0","0","8","0","0","2","3","0","6","0","3","1","0","0","0","1","4","0","1","0","0","1","0","0","0","0","0","8","29","0","0","0","0","0","0","0","0","98","0","0","1","0","5","0","0","0","15","1","0","0","0","0","0","0","2","0","600","0","0","0","0","0","1","0","0","1","0","1","0","2","0","0","4","1","0","0","1","1","0","0","2","0","1","15","1","0","0","0","0","1","0","1","14","0","0","0","0","0","0","1","0","0","0","0","0"
" 363.7",NA,NA," 348","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","48","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","630","0","0","0","0","0","0","0","0","6","0","0","0","0","0","45","0","0","0","0","6","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 383.0",NA,NA," 364","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","12","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","374","0","0","0","0","0","0","0","0","0","0","0","0","0","0","200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 402.4",NA,NA," 380","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","64","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","182","0","0","0","0","0","0","0","0","2","0","0","0","0","0","138","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 412.0",NA,NA," 388","1","0","0","0","0","0","4","6","5","2","1","3","5","0","0","0","0","6","0","0","3","0","4","0","0","0","0","0","9","13","0","4","2","0","4","0","1","0","63","0","0","1","0","8","0","1","0","44","0","0","0","0","0","0","0","0","0","869","0","0","0","0","1","1","0","1","4","0","1","1","2","0","81","1","0","0","0","1","1","0","1","1","0","2","19","0","1","0","0","0","1","0","1","35","0","0","0","0","0","0","1","0","0","3","0","0"
" 421.7",NA,NA," 396","1","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","2","0","0","0","27","0","0","0","0","1","4","0","0","1","0","0","0","0","0","0","0","0","0","215","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","20","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0"
" 431.4",NA,NA," 404","1","0","0","0","0","3","20","7","2","2","1","27","4","0","0","3","0","7","0","0","0","0","0","1","0","0","0","0","2","5","0","0","18","0","4","0","5","2","43","0","1","1","0","4","0","0","2","1","0","0","0","0","0","2","1","0","0","1976","0","0","0","0","1","0","0","0","1","1","11","1","7","0","79","23","15","0","0","16","1","0","2","0","0","1","1","0","0","0","0","0","0","0","0","20","1","0","0","0","0","0","2","0","0","5","0","0"
" 460.4",NA,NA," 428","1","0","0","0","0","0","2","5","2","1","0","11","2","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","4","9","0","0","7","0","3","0","1","1","77","0","0","0","0","4","0","0","8","11","0","0","0","0","0","0","0","0","0","973","0","0","0","0","1","0","0","4","3","0","5","0","10","0","0","12","6","0","0","6","0","0","0","0","0","3","11","0","0","1","0","0","0","0","0","7","0","0","0","0","0","0","4","0","0","3","1","0"
" 470.0",NA,NA," 436","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","5","0","0","0","0","2","0","0","3","0","0","0","0","0","0","0","0","0","0","747","0","0","0","0","0","0","0","0","0","0","0","0","0","0","110","2","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 508.7",NA,NA," 468","1","0","0","3","0","1","0","3","0","1","0","11","2","0","0","3","0","4","0","0","0","0","0","1","0","0","0","0","9","4","2","0","9","0","3","0","3","1","90","0","1","0","0","10","3","0","2","6","0","0","0","3","1","0","0","0","0","438","0","0","0","0","1","0","0","1","12","0","5","0","21","0","0","23","11","0","0","10","0","1","1","2","1","2","29","0","0","1","0","0","0","0","0","7","1","0","4","0","0","0","2","0","0","0","0","0"
" 518.4",NA,NA," 476","1","0","0","0","0","1","1","0","0","1","0","19","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","1","0","0","0","2","0","0","0","44","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","638","0","0","0","0","0","0","0","0","8","0","0","0","0","0","56","6","5","0","0","0","0","0","0","0","0","2","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 537.7",NA,NA," 492","1","0","0","0","0","0","3","0","0","1","0","4","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","1","0","0","0","0","2","0","0","2","13","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","356","0","0","0","0","0","0","0","0","9","0","0","0","0","0","43","10","3","0","0","1","0","0","1","0","0","1","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
" 566.8",NA,NA," 516","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","924","0","0","0","0","0","0","0","0","3","0","0","0","0","0","57","30","3","0","0","9","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 576.4",NA,NA," 524","1","0","1","4","0","0","4","3","5","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","13","0","0","2","0","6","0","5","0","112","0","0","0","0","17","0","1","0","21","0","0","1","0","0","0","0","0","0","281","0","0","0","0","0","0","0","1","2","0","4","2","0","0","0","3","1","0","0","2","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","2","0","0","0","0","0"
" 586.1",NA,NA," 532","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","1","0","0","0","15","0","0","0","0","1","1","0","2","6","0","0","0","0","0","0","0","0","0","553","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 595.8",NA,NA," 540","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","192","0","0","0","0","0","0","0","2","0","0","0","0","0","0","90","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 605.4",NA,NA," 548","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","15","0","0","0","0","1","1","0","0","3","0","0","0","0","0","0","0","0","0","265","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 615.1",NA,NA," 556","1","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","20","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","113","2","1","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
" 624.8",NA,NA," 564","1","0","0","0","0","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","23","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","520","0","0","0","0","0","0","0","0","2","0","0","0","0","0","176","7","2","0","0","1","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
" 634.4",NA,NA," 572","1","0","0","0","0","0","3","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","14","0","0","0","0","6","6","0","0","2","0","0","0","0","0","0","0","0","0","468","0","0","0","0","0","0","0","0","1","0","0","0","0","0","45","2","0","0","0","0","2","0","0","0","0","0","11","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0"
" 653.8",NA,NA," 588","1","0","0","1","0","1","0","5","0","1","0","5","1","1","0","0","0","2","0","0","1","0","3","0","0","0","0","0","9","9","0","0","1","0","0","0","0","0","61","0","0","0","0","2","1","0","1","31","0","0","0","0","1","0","0","1","0","192","0","0","0","0","0","0","0","0","2","0","0","0","8","1","0","11","2","0","0","5","4","0","0","6","0","0","3","0","0","0","0","0","0","0","0","27","0","0","1","0","0","1","1","0","0","0","0","0"
" 663.0",NA,NA," 596","1","0","0","0","0","0","0","1","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","27","0","0","0","0","0","6","1","0","4","0","0","0","0","0","0","0","0","0","909","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99","0","0","0","0","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 672.1",NA,NA," 604","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","573","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 681.2",NA,NA," 612","1","0","0","0","0","0","0","1","0","0","0","6","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","33","0","0","0","0","0","3","0","1","1","0","0","0","0","0","0","0","0","0","387","0","0","0","0","0","0","0","0","1","0","0","0","0","0","189","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0"
" 690.3",NA,NA," 620","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","5","0","3","0","0","1","0","0","0","29","0","1","0","0","2","3","0","0","2","0","0","0","0","0","0","0","0","0","656","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 699.4",NA,NA," 628","1","0","0","0","0","0","4","4","3","1","1","5","1","0","0","0","0","3","0","0","0","0","2","0","0","0","0","0","6","17","0","0","1","0","1","0","2","1","130","0","0","0","0","14","4","0","0","42","0","0","0","0","0","0","0","0","0","403","0","0","0","0","1","0","0","0","1","0","2","2","2","0","0","1","1","0","0","1","2","0","0","0","0","0","5","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","1","0","0"
" 722.2",NA,NA," 648","1","0","0","0","0","0","2","1","2","2","0","4","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","6","2","0","0","0","0","0","0","0","0","61","0","0","0","0","4","2","1","0","36","1","0","0","0","0","1","0","0","0","504","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","1","1","14","0","0","0","0","0","0","0","0","0","0","0","0"
" 754.1",NA,NA," 676","1","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","5","0","0","0","0","2","0","0","1","22","0","0","0","0","0","4","0","0","27","0","0","0","0","0","0","0","0","0","1680","0","0","0","0","0","0","0","0","6","0","0","0","0","0","31","1","0","0","0","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
" 781.5",NA,NA," 700","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0"
