"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Aesculus","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Buxus","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Ceratonia","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Datisca cannabina","Dipsacaceae","Echinops","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagopyrum","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Genisteae","Gentiana t.","Geranium","Hedera","Heliotropium","HippophaÃ«","Hydrocharitaceae","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Lauraceae","Lemnaceae","Leontice","Linum t.","Loranthus","Lysimachia","Lythrum","Malva","Malva undif.","Matthiola","Menyanthes","Mercurialis","Morella","Musci","Myriophyllum spicatum/verticillatum t.","Nuphar","Nymphaea","Olea t.","Onagraceae","Ononis t.","Papaver t.","Pediastrum undulatum","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Pseudopediastrum kawraiskyi","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Solanum","Sparganium","Spergularia t.","Taxus","Thalictrum","Theligonum","Thelypteris palustris-type","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valeriana t.","Valerianella","Viburnum","Vitis"
"11265","11534","11009","  150","    9","    0","    0","  136","    0","    5","    0","    0","    3","    2","    5","    0","    3","    1","    8","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","   10","    0","    3","   11","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    7","    0","    0","    0","   10","    2","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    4","    0","    0","    0","    0","    0","    0","    0","    1","    0","   26","   13","    4","    0","    0","  134","    2","    0","    0","    0","    0","    1","  370","   19","    2","    0","    9","    0","    0","   49","    0","    0","    2","    2","    0","    0","    0","    1","    0","    0","    4","    0","    2","   10","    6","    0","    0","    0","    0","    2"
"12695","12964","12440","  170","    7","    0","    0","  952","    0","   10","    8","    0","    5","    5","    5","    0","    2","    2","    4","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    3","    0","    4","    0","    0","    0","    0","   14","    0","    6","   12","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    9","    0","    0","    0","    3","    2","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","   30","   16","   12","    0","    0","  196","    6","    0","    0","    0","    1","   40","  401","    9","    3","    0","   11","    0","    0","   94","    0","    0","    0","    7","    0","    0","    1","    0","    0","    0","    8","    0","    1","    9","    0","    0","    0","    0","    0","    3"
"13768","14043","13511","  185","   25","    0","    0","  177","    0","   17","    4","    0","    7","   10","   14","    0","    7","    6","    6","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    6","    0","    0","    0","    0","   13","    0","   17","   20","    0","    0","    0","    2","    0","    0","    1","    0","    0","    0","    0","   17","    0","    0","    1","    5","    7","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    7","    0","    0","    0","    0","    0","    0","    4","    0","    0","   59","   54","   15","    0","    0","  356","   12","    0","    0","    0","    0","    3","  594","   18","    3","    0","   14","    1","    0","  220","    0","    0","    0","   15","    0","    0","    2","    1","    0","    0","    6","    1","    6","   25","    6","    0","    0","    0","    0","    2"
"14840","15120","14576","  200","    5","    0","    0"," 5934","    0","    8","   26","    0","    4","    7","   23","    0","    5","   15","    3","    0","    4","    0","    0","    0","    1","    0","    1","    0","    1","    0","    0","   15","    0","    6","    0","    0","    0","    0","    5","    0","   27","    9","    0","    2","    0","    2","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","   13","   16","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    1","    0","    0","    0","    1","    0","   11","   25","    7","    1","    0","  296","    8","    0","    0","    0","    0","   43","  396","   11","    3","    0","   14","    1","    0","   37","    0","    1","    0","   13","    0","    0","    1","    0","    0","    0","    3","    0","    1","   12","    2","    0","    0","    0","    0","    0"
"15555","15839","15285","  210","    4","    1","    0"," 3432","    0","    7","   43","    0","   19","   20","   33","    0","    6","   11","    0","    0","    6","    0","    0","    0","    1","    0","    2","    0","    3","    0","    0","   18","    0","    5","    0","    0","    0","    0","    9","    0","   14","    9","    0","    1","    0","    5","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    3","   29","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   16","    7","    3","    1","    0","  446","    7","    1","    0","    0","    0","    0","  254","    8","    3","    0","   19","    3","    0","   16","    0","    0","    0","    9","    0","    0","    0","    1","    0","    0","    0","    0","    0","   11","   14","    0","    0","    0","    0","    0"
"16271","16560","15992","  220","    4","    1","    0","  721","    0","    4","  293","    0","    0","    0","   17","    0","    2","    3","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   14","    0","    1","    0","    0","    0","    0","    3","    0","    0","  213","    0","    1","    0","    5","    0","    0","    0","    0","    0","    0","    0","    1","    3","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   77","    0","    0","    0","    0","   93","    3","    3","    0","    0","    0","    0","   60","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","   10","    0","    0","    0","    0","    0"
"16628","16923","16347","  225","    7","    0","    0","  250","    0","    3","  140","    0","    3","    1","   29","    0","    4","    2","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","   10","    0","    1","    0","    0","    0","    0","    3","    0","    1","  126","    0","    0","    0","    8","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   73","    0","    1","    0","    0","   44","    1","    0","    0","    0","    0","    1","   43","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    7","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","   30","    0","    0","    0","    0","    0"
"16986","17285","16701","  230","    3","    0","    0"," 1200","    0","    5","  296","    0","    4","    2","   40","    0","   15","    4","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    2","    0","    4","    0","    0","    0","    0","    3","    0","    0","  112","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    6","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   49","    0","    2","    0","    0","   71","    1","   23","    0","    0","    0","   12","   28","    1","    0","    0","    1","    0","    0","    0","    0","    2","    0","   10","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   46","    0","    0","    0","    0","    0"
"17343","17646","17053","  235","    2","    0","    0","  525","    0","    0","  178","    0","    2","    0","   48","    1","    9","    3","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    1","   10","    0","    7","    1","    0","    0","    0","    2","    0","    1","   51","    0","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0","   10","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","   99","    0","    3","    0","    0","   36","    4","   18","    0","    0","    0","    5","    5","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","   14","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","   70","    1","    0","    0","    0","    0"
"17701","18007","17405","  240","    3","    0","    0","  942","    0","    6","  614","    0","    0","    1","   78","    0","    4","    5","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    6","    0","    1","    0","    0","    0","    0","    2","    0","    3","  335","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   57","    0","    1","    0","    0","   95","    0","   14","    0","    0","    0","    8","   33","    1","    2","    0","    0","    0","    0","    0","    0","    0","    0","    9","    0","    0","    4","    0","    0","    0","    0","    0","    0","    2","   54","    0","    0","    1","    0","    0"
"18058","18367","17756","  245","    1","    0","    0","  334","    0","    3","   76","    0","    0","    0","   29","    0","    4","    2","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    1","    0","    0","    0","    0","    2","    0","    0","   14","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    2","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   55","    0","    4","    0","    0","   35","   11","    7","    0","    1","    0","   19","    6","    0","    1","    0","    2","    0","    0","    0","    0","    0","    0","    8","    0","    1","    0","    0","    0","    0","    0","    0","    2","    1","   24","    4","    0","    0","    0","    0"
"18416","18729","18107","  250","    1","    0","    0"," 1200","    0","    3","  298","    0","    1","    0","   42","    0","   12","    3","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    1","    0","    3","    0","    0","    0","    0","    1","    0","    0","   34","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   23","    0","    0","    0","    0","   47","    2","    3","    0","    0","    0","  246","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    9","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","   52","    0","    0","    0","    0","    0"
"18773","19091","18458","  255","    1","    0","    0","   76","    0","    0","  358","    0","    0","    1","   16","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    1","    0","    0","    0","    0","    0","    0","    2","   25","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   20","    0","    0","    0","    0","    7","    0","    3","    0","    0","    0","   11","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","   12","    1","    0","    0","    0","    0"
"19131","19453","18809","  260","    1","    0","    0","  326","    0","    2","  639","    0","    0","    3","  150","    0","   11","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   22","    0","   13","    0","    0","    0","    0","    0","    0","    1","   23","    0","    1","    0","    6","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   43","    0","    0","    0","    0","   81","    4","   10","    0","    0","    0","   65","    9","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    9","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","   44","    0","    0","    0","    0","    0"
"19488","19815","19159","  265","    0","    0","    0","   55","    0","    0","  441","    0","    0","    0","   10","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    1","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   15","    0","    0","    0","    0","    9","    0","    0","    0","    0","    0","    9","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"19846","20178","19510","  270","    2","    2","    0","  120","    0","    2","  414","    0","    3","    4","   96","    0","   11","    2","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    7","    0","    9","    1","    0","    0","    0","    0","    0","    6","   12","    0","    1","    1","    2","    0","    0","    0","    0","    0","    0","    0","    2","    0","    1","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","   64","    0","    1","    0","    0","   78","    6","    7","    0","    0","    0","   61","   11","    1","    0","    0","    0","    0","    1","    1","    0","    0","    0","   36","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","   42","    0","    0","    0","    0","    1"
"20203","20543","19862","  275","    1","    0","    0","   12","    0","    0","  149","    0","    2","    6","  101","    0","    9","    2","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    4","    0","    3","    0","    0","    0","    0","    1","    0","    1","    2","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   69","    0","    2","    0","    0","   32","    0","    5","    0","    0","    0","   39","    7","    2","    1","    0","    1","    0","    0","    0","    0","    0","    0","   37","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","   50","    0","    0","    0","    0","    0"
"20561","20906","20211","  280","    3","    0","    0","   17","    0","    0","  170","    0","   12","   10","  185","    0","   16","    9","    0","    0","    5","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","   13","    0","   13","    0","    0","    0","    0","    0","    0","    9","   19","    0","    0","    0","    8","    0","    0","    0","    0","    0","    1","    0","    4","    0","    1","    0","    0","    8","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   59","    0","    1","    0","    0","   75","    2","    4","    0","    0","    1","   49","    9","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   60","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   16","    0","    0","    0","    0","    0"
"21276","21634","20912","  290","    5","    1","    1","  107","    0","    4","  114","    0","    2","    7","  108","    0","   14","    5","    1","    0","    5","    0","    0","    0","    0","    0","    1","    0","    3","    0","    0","   12","    0","    4","    1","    0","    0","    0","    0","    0","    3","   12","    0","    1","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","   64","    0","    0","    0","    0","   43","    4","    4","    0","    0","    0","  460","   11","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","   74","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","   32","    0","    0","    0","    0","    0"
