"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Coriaria","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fraxinus","Galium t.","Lamiaceae undif.","Lemnaceae","Malva undif.","Mercurialis","Myriophyllum undif.","Myrtaceae undif.","Olea t.","Pedicularis","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Populus","Potamogeton","Prunus t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Ruppia","Salix","Scrophulariaceae undif.","Secale","Solanaceae undif.","Sparganium","Tamarix","Thymelaeaceae undif.","Tilia","Trapa natans","Typha","Ulmus t.","Urtica t.","Vitis"
"1216",NA,NA," 100","   0","   0","   0","   1","  35","   2","   0","   8","   1","  14","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  56","   2","   0","   0","   0","   0","  10","  15","   0","   0","   9","  15","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","   0","  15","  10","  19","   0","  99","   0","   0","   1","   0","   1","  19","   0","   0","   0","   0","   0","  12","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0"
"1333",NA,NA," 110","   0","   0","   0","   0","  33","   5","   0","   8","   0","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","  28","   3","   0","   0","   2","   0","   9","   9","   0","   0","   5","  16","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  45","   0","   0","  19","  10","  15","   0","  70","   0","   0","   0","   0","   2","  12","   0","   0","   0","   0","   0","  23","   0","   0","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0","   0"
"1449",NA,NA," 120","   1","   0","   0","   3","  19","   6","   0","  14","   0","  13","   1","   0","   5","   0","   0","   0","   0","   1","   2","   0","  24","   3","   0","   0","   0","   0","   6","  17","   0","   0","   4","  28","   1","   2","   0","   7","   1","   0","   1","   0","   0","  11","   0"," 124","   0","   0","  31","  47","  31","   1","  68","   6","   0","   0","   0","   9","  30","   3","   0","   0","   0","   0","   3","   1","   1","   0","   2","  11","   0","   0","   0","   0","   0","   1","   1","   0"
"1564",NA,NA," 130","   0","   0","   0","   1","  14","  14","   0","  12","   5","  17","   1","   0","   1","   0","   0","   0","   0","   1","   3","   0","  74","   8","   0","   0","   0","   0","   2","  29","   0","   0","   3","  58","   0","   5","   0","   1","   0","   0","   0","   0","   0","   9","   2","  47","   0","   0","  19","  17","  19","   0","  78","   3","   0","   0","   0","   4","  24","   0","   0","   0","   0","   0","   0","   7","   1","   0","   0","  14","   5","   1","   0","   0","   0","   1","   2","   0"
"1678",NA,NA," 140","   0","   0","   0","   2","  23","   9","   0","  12","   2","  13","   2","   0","   4","   0","   0","   0","   0","   0","   3","   0","  33","   8","   0","   0","   0","   0","   3","  26","   0","   2","   2","  41","   0","   5","   0","   3","   0","   0","   0","   1","   0","  14","   3","  83","   0","   0","  36","  43","  32","   1","  48","   5","   0","   0","   0","  12","  28","   5","   0","   0","   0","   0","   2","   3","   1","   0","   3","  20","   1","   1","   0","   0","   1","   3","   1","   0"
"1792",NA,NA," 150","   1","   0","   0","   2","  15","  17","   0","   8","   8","  17","   1","   1","   0","   0","   0","   0","   0","   0","   3","   0","  47","   9","   0","   0","   2","   0","   4","  27","   0","   0","   0","  44","   0","   6","   0","   0","   0","   0","   0","   0","   0","   6","   0","  63","   0","   0","  21","  25","  26","   0","  72","   5","   0","   0","   0","   3","  19","   1","   1","   0","   0","   0","   0","   3","   0","   0","   0","  13","   1","   0","   0","   0","   0","   0","   2","   0"
"1905",NA,NA," 160","   0","   0","   0","   1","  35","  18","   0","   9","   8","  15","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","  37","  11","   0","   0","   2","   0","   4","  13","   0","   0","   3","  35","   0","   4","   0","   0","   0","   1","   0","   0","   0","  10","   0","  21","   0","   0","  21","  15","  31","   0","  67","   6","   0","   0","   0","   2","  15","   1","   0","   0","   0","   0","   0","   0","   1","   0","   1","   5","   0","   1","   0","   0","   0","   0","   2","   0"
"2128",NA,NA," 180","   1","   0","   0","   0","  26","  18","   0","  14","   9","  23","   3","   0","   0","   2","   0","   0","   3","   1","   1","   0","  30","   9","   0","   0","   0","   0","   8","  24","   0","   0","   3","  22","   1","   4","   0","   0","   1","   0","   0","   0","   0","  11","   2","  18","   0","   0","  18","  15","  36","   1","  72","   5","   0","   0","   0","   6","  20","   2","   0","   0","   0","   0","   0","   2","   1","   0","   3","   6","   0","   0","   0","   0","   0","   0","   4","   0"
"2238",NA,NA," 190","   1","   0","   0","   3","  22","  10","   0","  10","   3","  17","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  20","   7","   0","   0","   0","   0","   4","  23","   0","   0","   1","  23","   0","   2","   0","   0","   0","   0","   0","   0","   0","   6","   1","  22","   0","   0","   8","  11","  21","   0","  61","   1","   0","   0","   0","   3","  10","   2","   0","   0","   0","   0","   0","   2","   0","   0","   1","   1","   2","   0","   0","   0","   0","   0","   4","   0"
"2347",NA,NA," 200","   1","   1","   0","   1","  38","   8","   0","  14","  11","  11","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","  16","  16","   0","   1","   7","   0","   6","  36","   0","   0","   6","  33","   0","   4","   2","   4","   0","   1","   0","   0","   0","   4","   0","  80","   0","   0","  40","  23","  14","   0","  93","   7","   0","   0","   2","   5","  25","   2","   0","   0","   0","   0","   0","   6","   0","   0","   0","  10","   3","   0","   0","   0","   0","   0","   0","   0"
"2456",NA,NA," 210","   0","   1","   0","   4","  18","   5","   0","   7","   4","  15","   1","   0","   0","   0","   0","   2","   0","   0","   1","   0","  21","  10","   0","   0","   1","   0","   4","  39","   0","   0","   1","  36","   0","   2","   0","   0","   0","   0","   0","   0","   0","   4","   0","  32","   0","   0","  42","  13","   8","   0","  73","   7","   0","   0","   0","   8","  12","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   3","   3","   0","   0","   0","   0","   0","   1","   0"
"2563",NA,NA," 220","   0","   0","   0","   1","  10","   4","   0","   6","   5","  13","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","  34","   8","   0","   0","   1","   0","   2","  24","   0","   0","   1","  33","   0","   0","   1","   1","   0","   0","   0","   0","   0","   3","   0","  25","   0","   0","  24","   7","  12","   1","  67","   4","   0","   0","   0","   6","  13","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   3","   4","   0","   0","   0","   0","   0","   1","   0"
"2670",NA,NA," 230","   0","   0","   0","   1","   7","   5","   0","   3","   6","  13","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  26","   9","   0","   0","   0","   0","   1","  22","   0","   0","   1","  24","   0","   0","   0","   0","   0","   1","   0","   0","   0","   4","   0","  18","   0","   0","  19","  11","   7","   0","  65","   1","   0","   0","   0","   2","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   2","   0"
"2776",NA,NA," 240","   1","   0","   0","   2","  10","  17","   0","   6","   5","  25","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","  31","  10","   0","   0","   3","   0","   3","  32","   0","   0","   1","  35","   0","   3","   2","   2","   0","   0","   0","   0","   0","   2","   0","  25","   0","   0","  13","   9","   9","   0","  43","   0","   0","   0","   0","   5","  14","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   2","   7","   0","   0","   0","   0","   0","   3","   0"
"2881",NA,NA," 250","   3","   0","   0","   3","  15","  15","   0","  10","  10","  15","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","  26","  15","   0","   0","   6","   0","   3","  48","   0","   0","   4","  48","   0","   3","   1","   4","   0","   0","   0","   0","   0","   2","   0","  87","   0","   0","  26","   9","  13","   0","  65","   0","   0","   0","   0","   7","  21","   0","   0","   0","   0","   0","   0","   5","   0","   0","   2","   5","   2","   0","   0","   0","   0","   0","   0","   0"
"2986",NA,NA," 260","   4","   1","   0","   1","  26","  17","   0","  11","  13","  14","   2","   0","   1","   0","   0","   0","   1","   0","   0","   0","  46","  14","   0","   0","   2","   0","   1","  42","   0","   0","   2","  53","   0","   1","   2","   1","   0","   0","   0","   0","   0","   4","   0"," 112","   0","   0","  46","  10","  22","   0","  85","   2","   0","   0","   0","   6","  35","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   5","   2","   0","   0","   0","   0","   1","   3","   0"
"3089",NA,NA," 270","   4","   0","   0","   3","  21","  20","   0","   9","   8","  19","   1","   0","   0","   0","   0","   0","   1","   0","   1","   0","  34","  15","   0","   0","   4","   0","   3","  36","   0","   0","   2","  56","   0","   2","   1","   3","   0","   0","   0","   0","   0","   2","   0","  67","   0","   0","  42","  13","  27","   0","  87","   4","   0","   0","   1","   7","  22","   1","   0","   0","   0","   1","   1","   2","   0","   0","   0","   1","   7","   0","   0","   0","   0","   0","   1","   0"
"3171",NA,NA," 278","   4","   2","   0","   1","  18","   4","   0","   9","   7","  15","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  17","  17","   0","   0","   0","   0","   2","  30","   0","   0","   2","  35","   0","   1","   0","   1","   0","   0","   0","   0","   0","   2","   0","  33","   0","   0","  41","   5","  13","   0","  70","   1","   1","   0","   0","   7","  17","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   2","   5","   1","   0","   0","   0","   0","   1","   0"
"3192",NA,NA," 280","   1","   0","   0","   2","  17","   7","   0","   4","   7","  18","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","  40","  20","   0","   0","   1","   0","   1","  31","   0","   0","   4","  67","   0","   2","   0","   1","   0","   0","   0","   0","   0","   1","   0","  27","   0","   1","  35","   2","   8","   0","  61","   0","   0","   1","   1","   5","  30","   0","   1","   0","   0","   1","   1","   0","   0","   0","   0","   4","   3","   0","   0","   0","   0","   0","   3","   0"
"3294",NA,NA," 290","   1","   0","   0","   1","  18","   9","   0","   6","  12","  26","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  37","  12","   0","   0","   8","   0","   1","  29","   0","   0","   2","  67","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","  14","   0","   0","  23","   2","  14","   0","  63","   1","   0","   0","   0","   4","  27","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   1","   0","   0","   0","   0","   0","   2","   0"
"3395",NA,NA," 300","   5","   0","   0","   0","  11","   6","   2","   2","  13","  17","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","  18","   6","   0","   0","   5","   0","   4","  34","   0","   0","   5","  53","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","  43","   3","  12","   0","  43","   2","   0","   1","   0","   4","  26","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   2","   0"
"3495",NA,NA," 310","   1","   0","   0","   5","  20","   4","   0","   3","  14","  21","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  33","   5","   0","   0","   3","   0","  25","  32","   0","   0","   0","  69","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","  75","  12","  13","   0","  81","   0","   0","   0","   0","   6","  21","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0"
"3594",NA,NA," 320","   3","   0","   0","   1","  12","   2","   0","   4","   8","  16","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  26","   5","   0","   0","   0","   0","  20","  21","   0","   0","   1","  32","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  10","   0","   0","  73","   6","   7","   0","  37","   0","   0","   0","   0","   6","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0"
"3692",NA,NA," 330","   0","   0","   0","   1","   8","   1","   0","   1","   4","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  18","   1","   0","   0","   0","   0","  19","  25","   0","   0","   1","  83","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  23","   0","   0","  30","   6","   8","   0","  59","   0","   0","   1","   0","   1","   6","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0"
"3790",NA,NA," 340","   0","   0","   0","   1","  18","  11","   0","  13","   1","  12","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","  27","   4","   0","   0","   1","   0","  23","  11","   0","   0","   1","  27","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","  24","   0","   0","  22","  11","  30","   0","  62","   2","   0","   0","   0","   6","  20","   0","   0","   0","   0","   3","   2","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"
"3887",NA,NA," 350","   2","   0","   0","   1","  11","   2","   0","   4","   6","  19","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","   3","   0","   0","   7","   0","  24","  18","   0","   0","   1"," 107","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  37","   0","   0","  70","   4","  15","   0","  78","   1","   0","   0","   0","   7","  28","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0"
"3983",NA,NA," 360","   1","   0","   0","   1","   6","   3","   0","   5","  12","  19","   1","   0","   0","   0","   0","   0","   0","   2","   0","   0","  12","   1","   0","   0","   3","   0","   8","  22","   0","   0","   3"," 102","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   7","   0","   0","  38","   2","  10","   0","  40","   0","   0","   0","   0","   1","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"
"4078",NA,NA," 370","   0","   0","   0","   1","   9","   1","   0","   2","  10","  28","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   8","   2","   0","   0","   3","   0","   6","  26","   0","   0","   1"," 148","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","  20","   0","   0","  28","   2","  13","   0","  37","   0","   0","   2","   0","   8","  12","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1"
"4172",NA,NA," 380","   1","   0","   0","   0","   5","   2","   0","   4","  10","  17","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   7","   1","   0","   0","   2","   0","   4","  11","   0","   0","   1","  78","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0","  11","   3","   7","   0","  38","   0","   0","   0","   0","   3","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"4266",NA,NA," 390","   1","   0","   0","   1","  16","   4","   0","   2","  15","  16","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","   2","   0","   0","   4","   0","   6","  21","   0","   0","   1"," 114","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","  42","   0","   0","  10","   2","  19","   0","  83","   2","   0","   2","   0","   2","  20","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   5","   1","   0","   0","   0","   0","   0","   1"
"4358",NA,NA," 400","   1","   0","   0","   3","  10","   4","   0","   2","  19","  45","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","  13","   2","   0","   0","   5","   0","   4","  20","   0","   0","   5","  83","   0","   1","   0","   0","   0","   3","   0","   0","   0","   0","   0","  32","   0","   0","   9","   1","  10","   0","  43","   0","   0","   0","   0","   5","  12","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0"
"4450",NA,NA," 410","   0","   0","   0","   4","   7","   6","   0","   4","  17","  37","   1","   0","   0","   1","   0","   0","   0","   1","   0","   1","   7","   0","   0","   0","   0","   0","   5","  17","   0","   0","   4","  81","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  95","   0","   0","  11","   3","   7","   1","  48","   0","   0","   0","   0","   6","  17","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0"
"4541",NA,NA," 420","   1","   0","   0","   1","  11","   5","   0","   3","   9","  29","   1","   0","   0","   0","   0","   0","   0","   2","   0","   0","   8","   1","   0","   0","   5","   0","   3","  14","   0","   0","   3","  83","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0"," 115","   0","   0","  18","   3","  13","   0","  35","   0","   0","   0","   0","  13","  31","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   1","   0","   0","   0","   0","   0","   0","   1"
"4631",NA,NA," 430","   0","   0","   0","   4","  11","   6","   0","   9","  16","  38","   1","   0","   0","   3","   0","   0","   0","   2","   0","   0","  10","   1","   0","   0","   5","   0","   8","  20","   0","   0","  10","  78","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","  70","   0","   0","  12","   8","  14","   1","  58","   0","   0","   1","   0","   5","  19","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   2","   0","   0","   0","   0","   0","   0"
"4720",NA,NA," 440","   5","   1","   0","   0","   7","  10","   2","   1","  13","  32","   1","   0","   0","   4","   0","   0","   0","   0","   2","   2","   6","   1","   0","   0","   2","   0","   6","  39","   0","   0","   4","  81","   0","   5","   1","   0","   0","   0","   0","   0","   0","   0","   0","  51","   0","   0","  16","   7","  34","   0","  70","   4","   0","   0","   0","   7","  24","   1","   0","   0","   0","   0","   0","   3","   0","   0","   0","   5","   1","   0","   0","   0","   0","   2","   0","   0"
"4808",NA,NA," 450","   1","   0","   0","   1","  10","   5","   0","   1","   6","  20","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   4","   1","   0","   0","   0","   0","   5","  18","   0","   0","   3","  31","   0","   3","   1","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   6","   3","  14","   0","  46","   2","   0","   0","   0","   2","  10","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0","   4","   2","   0","   0","   0","   0","   0","   1","   0"
"4896",NA,NA," 460","   0","   0","   0","   2","   4","   7","   0","   2","   1","  28","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  13","   0","   0","   0","   3","   0","   7","  13","   0","   0","   1","  34","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  17","   0","   0","  12","   0","  19","   0","  49","   8","   0","   1","   1","   4","  11","   2","   1","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0"
"4983",NA,NA," 470","   1","   1","   0","   1","   2","  12","   0","   3","   2","  30","   0","   0","   2","   0","   0","   0","   0","   1","   0","   0","  15","   3","   0","   0","   2","   0","   7","  15","   0","   0","   3","  38","   0","   1","   0","   0","   1","   0","   1","   0","   0","   0","   0","  11","   0","   0","   6","   4","  35","   0","  86","   5","   0","   0","   0","   6","  10","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   7","   3","   0","   0","   0","   0","   0","   2","   0"
"5068",NA,NA," 480","   1","   0","   0","   2","   3","  11","   0","   1","   0","  39","   0","   0","   3","   0","   1","   0","   0","   0","   0","   1","  13","   1","   0","   0","   2","   0","  11","  10","   0","   0","   2","  26","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","   4","   0","  36","   0","  83","   1","   0","   0","   0","   4","  10","   1","   1","   0","   0","   0","   0","   0","   0","   1","   0","   6","   2","   0","   0","   0","   0","   1","   2","   0"
"5153",NA,NA," 490","   1","   0","   0","   1","   4","  17","   0","   1","   2","  43","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   1","   0","   0","   2","   0","   8","  17","   0","   0","   3","  25","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   8","   0","  31","   0","  69","   6","   0","   1","   0","   3","  21","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   1","   0","   0","   0","   0","   1","   2","   0"
"5238",NA,NA," 500","   1","   0","   2","   2","   5","  24","   0","   1","   0","  57","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   7","   2","   0","   0","   1","   2","  20","  20","   0","   1","  14","  45","   0","   2","   0","   0","   0","   0","   0","   0","   0","   4","   0","   8","   0","   0","  22","   1","  42","   0"," 125","   7","   0","   0","   0","  10","  20","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   3","   0","   0","   0","   0","   0","   1","   0"
"5321",NA,NA," 510","   1","   0","  14","   0","   5","  18","   0","   1","   1","  26","   0","   0","   1","   2","   0","   0","   0","   2","   0","   2","   6","   1","   0","   0","   1","   0","   8","  15","   0","   0","   9","  37","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","  11","   0","   0","   9","   4","  21","   0","  88","   2","   0","   3","   0","   7","  11","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   4","   0","   0","   0","   1","   0","   0","   0"
