"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Betula","Betulaceae undif.","Buxus","Carpinus","Corylus","Cupressaceae","Ephedra","Fagus","Fraxinus","Hedera","HippophaÃ«","Picea","Pinus undif.","Poaceae","Quercus undif.","Rubiaceae undif.","Salix","Taxus","Tilia","Ulmus t."
NA,NA,NA,"1928","  14","   0","   7","  21","   1","  30","   2","   0","   0","   2","   1","   3","   5","   8","   0","   0","   0","   1","  37"," 122","  25","   8","   0","   0","   1","   1"
NA,NA,NA,"2305","   0","   1","   3","   5","   3","  27","   7","   2","   0","   0","   1","   5","   1","   2","   0","   0","   0","   1","  27"," 116","  33","   5","   2","   0","   1","   1"
NA,NA,NA,"2505","  34","   2","  33","  30","   1","  33","   3","   0","   0","   3","   1","  26","   1","  15","   0","   0","   2","   0","  20","  77","  34","   3","   0","   0","   1","   5"
NA,NA,NA,"1945","  29","   4","   4","   3","   4","  19","   5","   0","   0","   5","   1","   3","   1","  25","   1","   0","   0","   0","  55","  72","  66","   5","   0","   0","   1","   3"
NA,NA,NA,"2665","   7","   4","  25","   4","   1","   6","   2","   0","   0","   3","   2","   4","   0","  15","   3","   0","   0","   1","  34","  76"," 110","   1","   1","   0","   0","  14"
NA,NA,NA,"2485","  24","   1","  16","  16","   4","   6","   5","   0","   0","   3","   0","  36","   0","  12","   2","   1","   0","   1","  17","  82","  22","   2","   0","   1","   0","   2"
NA,NA,NA,"2620","  44","   6","   7","   2","   7","   9","  10","   1","   0","   9","   2","   0","   1","  29","   2","   0","   0","   1","  32","  95","  50","   4","   0","   0","   0","  16"
NA,NA,NA,"2065","  33","   3","   2","  22","   2","  26","  13","   1","   0","   1","   0","   0","   2","  14","   1","   0","   0","   0","  30"," 117","  46","   3","   1","   0","   0","   6"
NA,NA,NA,"1965","   6","   1","   0","   7","   4","  13","  34","   0","   0","   0","   0","  10","   2","   7","   1","   0","   0","   3","  50","  71","  79","   3","   2","   0","   1","   1"
NA,NA,NA,"2265","   1","   0","   1","  10","   4","  25","   7","   0","   1","   1","   2","   3","   1","  13","   3","   0","   0","   0","  44"," 133","  71","   6","   1","   0","   1","   4"
NA,NA,NA,"2725","  30","   2","  92","  11","   6","   9","   1","   1","   2","   4","   0","   0","   0","  40","   5","   0","   0","   0","  19","  57"," 123","   4","   2","   5","   1","   7"
NA,NA,NA,"1939","  13","   0","   7","  25","   4","  29","   5","   1","   0","   2","   1","   9","   0","   4","   1","   1","   1","   2","  25"," 107","  38","   6","   0","   0","   0","   3"
NA,NA,NA,"2075","  28","   1","   3","  13","   2","  15","   2","   0","   0","   3","   2","   2","   2","   7","   0","   0","   0","   2","  38","  91","  36","   8","   1","   0","   0","   5"
NA,NA,NA,"2045","  12","   1","   4","  28","  12","  31","   2","   1","   0","   3","   0","   1","   2","   6","   0","   0","   1","   0"," 109"," 185","  54","   8","   0","   0","   2","   1"
NA,NA,NA,"2085","  35","   1","   1","   9","   5","  24","  13","   1","   0","   3","   3","   3","   1","   9","   0","   0","   1","   2","  50","  92","  55","   4","   0","   0","   0","   4"
NA,NA,NA,"2155","   1","   4","   0","   7","   3","  12","  18","   0","   1","   1","   1","   9","   3","  11","   0","   1","   1","   1","  57","  90","  52","   8","   0","   0","   0","   6"
NA,NA,NA,"2645","  31","   8","  48","   1","   0","   6","   2","   1","   2","  11","   1","   1","   2","  27","   8","   2","   0","   0","  18","  61"," 114","   3","   0","   3","   0","  25"
NA,NA,NA,"2625","  16","   3","   6","   7","   2","   9","  31","   0","   1","   3","   0","   1","   1","  11","   3","   1","   0","   0","  28","  67","  51","   6","   1","   0","   1","  10"
NA,NA,NA,"2135","  20","   4","   2","   6","   1","   7","  17","   1","   0","   7","   2","   3","   1","  19","   2","   1","   0","   0","  41","  55","  77","   1","   1","   0","   5","  13"
