"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Apium t.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Calligonum","Callitriche","Cannabis","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Ceratonia","Ceratophyllum","Cichorieae","Cistaceae","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyclamen","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Eucalyptus","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Filipendula t.","Fraxinus","Fungi","Genisteae","Gentiana t.","Geranium","Hedera","Heliotropium","Humulus","Hypericum undif.","Ilex","IsoÃ«tes","Juglans","Juncaceae","Lamiaceae undif.","Lemnaceae","Linum t.","Loranthus","Lotus t.","Lycopodium spike","Lycopodium tablets","Lysimachia","Lythrum","Matthiola","Mercurialis","Morus","Musci","Myriophyllum alterniflorum t.","Nymphaea","Olea t.","Onagraceae","Papaver t.","Paronychieae","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Prunus t.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Solanum","Sparganium","Spergularia t.","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Utricularia","Valerianaceae undif.","Viburnum","Viola","Vitis"
" 6681.23",NA,NA,"315","1","0","0","1","0","0","0","1","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","7","0","0","0","0","0","0","0","0","6","174","0","0","0","0","0","0","3","0","0","0","4","0","0","0","0","0","0","0","0","248","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","1","0","295","0","0","0","0","0","0","51","8","23","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 6691.87",NA,NA,"316","1","2","1","0","1","0","0","3","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","113","0","2","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","127","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","253","1","0","0","0","0","0","63","8","69","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0"
" 6702.52",NA,NA,"317","1","0","1","0","1","0","0","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","11","156","0","1","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","164","0","0","0","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","263","0","0","0","0","2","0","41","7","36","2","1","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
" 6713.16",NA,NA,"318","1","0","0","0","0","0","0","0","0","0","0","18","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","9","0","0","0","1","0","0","0","0","5","99","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","117","0","0","0","0","0","0","44","0","0","0","0","0","0","0","0","0","0","0","0","0","300","0","0","0","0","0","0","37","10","36","4","1","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","3","0","2","0","0","0","0","0","0"
" 6723.81",NA,NA,"319","1","0","0","0","1","0","0","0","0","0","0","10","0","1","0","0","0","0","0","0","1","0","0","0","0","8","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","3","148","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","76","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","329","0","0","0","0","0","0","19","10","23","6","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 6734.45",NA,NA,"320","1","0","0","0","0","0","0","2","0","0","0","20","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","2","0","0","0","0","4","117","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","328","0","0","0","0","0","0","17","6","20","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
" 6745.10",NA,NA,"321","1","0","0","0","0","0","0","0","0","0","0","16","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","7","81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","351","0","0","0","2","0","0","14","5","9","3","1","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0"
" 6755.74",NA,NA,"322","1","0","2","0","0","0","0","0","0","1","0","27","0","1","0","0","0","0","0","0","0","0","0","0","0","8","0","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","10","233","0","5","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","89","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","293","0","0","0","3","0","0","16","5","18","10","0","0","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
" 6766.39",NA,NA,"323","1","0","0","0","0","0","0","3","0","0","0","58","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","6","200","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","124","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","1","0","0","0","263","0","0","0","0","0","0","25","5","24","10","0","1","0","0","1","0","0","0","0","33","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0"
" 6777.03",NA,NA,"324","1","0","1","0","1","2","0","0","0","0","0","106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","194","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","233","0","0","0","0","0","0","19","25","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
" 6787.68",NA,NA,"325","1","0","0","0","0","1","0","0","0","0","0","81","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","6","259","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","111","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","267","0","0","0","0","0","0","19","7","24","0","0","0","0","0","0","0","0","0","0","185","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
" 6798.32",NA,NA,"326","1","0","0","0","1","0","0","4","0","0","0","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","1","0","0","0","0","9","526","0","3","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","58","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","1","0","201","0","0","0","0","1","0","21","4","22","9","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0"
" 6808.97",NA,NA,"327","1","0","0","0","0","1","0","8","0","1","0","77","0","2","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","10","186","0","4","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","84","0","0","0","0","0","0","32","0","0","0","0","0","0","0","0","0","0","0","1","0","203","0","0","0","4","0","0","29","11","47","26","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
" 6819.61",NA,NA,"328","1","0","2","0","0","0","0","6","0","0","0","101","0","1","0","0","0","0","0","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","227","0","8","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","51","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","106","0","0","0","0","0","0","44","23","50","44","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0"
" 6830.26",NA,NA,"329","1","0","1","0","3","2","0","3","0","0","0","103","0","2","0","0","0","0","0","0","0","0","0","0","0","7","0","0","2","0","0","0","0","2","0","0","0","1","0","0","0","0","13","241","0","8","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","44","0","0","0","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","1","0","97","0","0","0","2","0","0","50","16","72","35","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
" 6840.90",NA,NA,"330","1","0","1","0","2","0","1","5","0","0","0","25","0","2","0","0","0","0","0","0","0","0","0","0","0","10","2","0","2","0","0","0","0","5","0","0","0","1","0","0","0","0","28","192","0","6","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","90","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","48","0","0","0","2","0","0","63","74","137","3","1","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","2","0","0","8","0","0","0","0","0","0"
" 6851.55",NA,NA,"331","1","1","1","0","0","0","0","3","0","0","0","6","0","7","0","0","0","0","0","0","0","0","0","0","0","25","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","35","136","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","109","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","35","0","0","0","24","0","0","69","90","147","2","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","2","0","1","10","0","0","0","0","0","0"
" 6862.19",NA,NA,"332","1","4","0","0","1","1","3","2","0","0","0","5","0","3","0","0","0","0","0","1","0","0","0","0","0","20","0","0","3","0","0","0","0","2","0","0","0","1","0","0","0","0","37","121","0","6","1","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","249","0","0","0","0","0","0","4","0","0","1","0","0","0","0","0","0","1","4","2","0","32","0","0","0","69","0","0","100","73","111","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","10","1","0","0","0","0","0"
" 6872.84",NA,NA,"333","1","0","1","0","1","1","0","2","0","0","0","6","0","3","0","0","0","0","0","0","0","0","0","0","0","43","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","28","97","0","12","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","200","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","30","0","0","0","25","0","0","76","113","116","2","1","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","2","0","1","6","0","1","0","0","0","0"
" 6883.48",NA,NA,"334","1","0","1","0","2","4","2","9","0","1","0","15","0","6","0","0","0","0","0","0","1","0","0","0","0","49","1","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","14","138","0","14","0","0","0","0","3","0","0","0","1","0","0","0","0","2","0","0","0","157","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","1","0","0","28","0","0","0","24","0","0","48","83","170","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","11","0","0","0","0","0","0"
" 6894.13",NA,NA,"335","1","0","0","0","2","4","1","1","0","0","0","5","0","10","0","0","0","0","0","0","1","0","0","0","0","58","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","28","114","0","5","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","183","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","1","0","1","0","36","0","0","0","22","0","0","88","85","115","2","2","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","4","0","0","5","1","0","0","0","0","0"
" 6904.77",NA,NA,"336","1","0","1","1","0","3","2","8","0","0","0","9","0","4","0","0","0","0","0","0","0","0","1","0","0","36","0","0","0","0","0","0","0","5","0","0","0","1","0","0","0","0","21","105","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","236","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","35","0","0","0","27","0","0","50","88","156","16","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","12","0","0","0","0","0","0"
" 6915.42",NA,NA,"337","1","0","0","0","0","1","0","4","0","0","0","7","0","5","0","0","0","0","0","0","0","0","0","0","0","49","0","0","1","0","0","0","0","4","0","0","0","1","0","0","0","0","34","92","0","11","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","193","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","35","0","0","0","32","1","0","42","90","149","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","13","0","0","0","0","0","0"
" 6926.06",NA,NA,"338","1","0","0","0","0","1","0","5","0","0","0","9","0","3","0","0","0","0","0","0","0","0","0","0","0","48","0","0","3","0","0","0","0","3","0","0","0","0","0","0","0","0","29","94","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","175","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","35","1","0","57","102","141","3","2","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","3","0","0","8","0","0","0","0","0","0"
" 6936.71",NA,NA,"339","1","0","1","0","1","2","1","2","0","0","0","8","0","2","0","0","0","0","0","0","1","0","0","0","0","37","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","27","99","0","14","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","165","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","23","0","0","0","29","0","0","72","115","127","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","13","0","0","0","0","0","0"
" 6947.35",NA,NA,"340","1","0","0","0","0","2","0","2","0","0","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","57","0","0","1","0","0","0","0","3","0","0","0","1","0","0","0","0","35","104","0","8","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0","0","0","205","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","30","0","0","0","30","0","0","60","72","178","1","0","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","1","5","0","1","0","0","0","0"
" 6958.00",NA,NA,"341","1","0","2","0","2","1","0","3","0","0","0","6","0","4","0","0","0","0","0","0","0","0","0","0","0","44","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","34","103","0","11","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","130","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","29","0","0","0","24","0","0","97","83","130","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","4","0","0","0","0","0","0"
" 6964.87",NA,NA,"342","1","0","4","0","1","1","1","5","0","1","0","8","0","1","0","0","0","0","0","0","0","0","0","0","0","41","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","26","113","0","12","0","0","0","0","4","0","0","0","0","0","0","0","0","1","0","0","0","108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","0","0","0","25","0","0","73","91","140","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","5","0","0","8","0","1","0","0","0","0"
" 6971.74",NA,NA,"343","1","1","0","0","3","0","0","5","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","37","117","0","6","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","216","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","48","0","0","0","43","0","0","93","93","117","2","0","0","0","0","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","0","1","0","0","0","0"
" 7006.09",NA,NA,"348","1","0","1","0","1","1","1","5","0","0","0","9","0","0","0","0","0","0","0","0","1","0","0","0","0","12","0","0","1","0","0","0","0","3","0","0","0","1","0","0","0","0","23","31","0","11","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","45","0","0","0","19","0","0","115","52","125","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","11","0","1","0","0","0","0"
" 7061.04",NA,NA,"356","1","0","5","0","0","2","1","5","0","1","0","3","0","4","0","0","0","0","0","0","0","0","0","0","0","75","1","0","1","0","0","0","0","5","0","0","0","1","0","0","0","0","41","97","0","10","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","158","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","2","0","0","0","35","0","0","0","49","0","0","52","95","160","4","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0","0","0","0","0","6","0","1","0","0","0","4"
" 7116.00",NA,NA,"364","1","0","0","0","0","3","0","4","0","0","0","4","0","3","0","0","0","0","0","0","0","0","0","0","0","73","0","0","0","0","0","0","0","4","0","0","0","2","0","0","0","0","27","109","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","322","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","40","1","0","0","39","0","0","106","114","66","0","0","0","0","0","2","0","1","0","0","2","0","0","0","0","0","0","2","0","0","11","0","0","0","0","0","0"
" 7225.98",NA,NA,"380","1","2","0","0","1","0","0","3","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","77","0","0","1","0","0","0","0","9","0","0","0","1","0","0","0","0","33","129","0","9","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","249","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","35","1","0","0","35","0","0","98","114","105","0","1","0","1","0","1","0","0","0","0","0","0","0","0","2","0","0","2","0","0","7","1","0","0","0","0","0"
" 7280.96",NA,NA,"388","1","0","1","0","1","0","1","5","0","1","0","6","0","4","0","0","0","0","0","0","1","0","0","0","0","47","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","46","101","0","15","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","196","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","30","2","0","0","49","0","0","73","44","157","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0"
" 7390.94",NA,NA,"404","1","0","0","0","2","0","1","1","0","0","0","17","0","2","0","0","0","0","0","1","1","1","0","0","0","61","0","0","4","0","0","0","0","1","2","0","0","1","0","0","0","0","23","91","0","4","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","271","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","89","0","0","0","9","0","0","84","95","92","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","1","0","0","0","0"
" 7500.92",NA,NA,"420","1","0","0","0","0","0","1","6","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","65","0","0","1","0","0","0","0","1","0","0","0","2","0","0","0","0","17","91","0","22","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","183","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","1","0","0","0","91","0","0","0","5","0","0","74","32","142","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","8","1","0","0","0","0","0"
" 7610.89",NA,NA,"436","1","0","1","0","1","0","2","3","0","0","0","5","0","3","0","0","0","0","0","1","0","0","0","0","0","63","0","0","2","0","0","0","0","5","0","0","0","1","0","0","0","0","41","72","0","11","0","0","0","0","5","0","0","0","0","0","0","0","0","1","0","0","0","264","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","32","0","0","0","34","0","0","79","108","136","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","14","1","0","0","0","0","0"
" 7720.87",NA,NA,"452","1","1","0","0","1","1","0","5","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","38","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","28","70","0","6","0","0","0","0","2","0","0","0","0","0","0","0","0","9","0","0","0","158","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","35","0","0","0","3","0","0","98","51","161","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","2","10","0","0","0","0","0","0"
" 7830.84",NA,NA,"468","1","0","0","0","0","3","2","1","0","1","0","1","0","2","1","0","0","0","0","0","0","0","0","0","0","18","1","0","1","0","0","0","0","3","0","0","0","3","0","0","0","0","11","63","0","25","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","135","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","39","0","0","0","0","0","0","83","65","182","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","1","0","0","0","0","0"
" 7913.33",NA,NA,"480","1","0","0","0","0","1","0","2","0","0","0","3","0","2","0","0","0","0","0","0","0","0","0","0","0","32","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","14","39","0","10","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","172","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","30","0","0","0","1","0","0","69","63","223","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","10","0","0","0","0","0","0"
" 7940.82",NA,NA,"484","1","0","0","0","1","1","1","2","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","44","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","32","33","0","12","0","0","0","0","3","0","0","0","0","0","0","0","0","4","0","0","0","156","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","2","0","40","0","0","0","3","0","0","78","75","147","0","0","1","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","6","0","0","0","0","0","0"
" 8050.80",NA,NA,"500","1","0","0","0","0","0","0","2","0","0","0","3","0","3","0","0","0","0","0","1","2","0","0","0","0","29","1","0","5","0","0","0","0","12","0","0","0","2","0","0","0","0","16","37","0","10","0","0","0","0","3","0","0","1","1","0","0","0","0","24","0","0","0","206","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","41","0","0","0","3","0","0","102","66","138","1","0","0","0","0","1","0","0","0","0","0","0","0","0","4","0","0","0","0","3","15","0","0","0","0","0","0"
" 8160.77",NA,NA,"516","1","0","0","0","1","1","0","4","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","29","0","0","2","0","0","0","0","1","0","0","0","2","0","0","0","0","40","25","0","6","0","0","0","0","1","0","0","0","0","0","0","0","0","4","0","1","0","150","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","50","0","0","0","0","0","0","91","86","113","2","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","5","9","0","0","0","0","0","0"
" 8271.68",NA,NA,"532","1","0","0","0","3","1","0","1","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","44","0","0","2","0","0","0","0","5","0","0","0","0","0","0","0","0","18","36","0","8","0","0","0","0","1","0","0","0","1","0","0","0","1","8","0","0","0","167","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","3","0","0","36","2","0","0","2","0","0","89","64","153","0","1","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","1","17","2","0","0","0","0","0"
" 8389.13",NA,NA,"548","1","0","0","0","1","2","1","1","0","0","0","1","0","3","2","0","0","0","0","0","0","0","0","0","0","62","0","0","2","0","0","0","0","10","0","0","0","3","0","0","0","0","8","42","0","7","0","0","0","0","1","0","0","0","1","0","0","0","0","11","0","0","0","161","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","32","0","0","0","5","0","0","67","122","132","1","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","2","10","0","0","0","0","0","0"
" 8506.57",NA,NA,"564","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","74","0","1","3","0","0","0","0","3","0","0","0","1","0","0","0","0","15","33","0","7","0","0","0","0","2","0","0","0","1","0","0","0","0","2","0","0","0","158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","85","0","0","0","3","0","0","90","104","93","1","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","3","9","0","0","0","0","0","0"
" 8624.02",NA,NA,"580","1","0","1","0","1","2","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","55","1","0","4","0","0","0","0","2","0","0","0","2","0","0","0","0","11","33","0","9","0","0","0","0","1","0","0","0","0","0","0","0","0","5","0","0","0","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","87","5","0","0","1","2","0","52","139","80","4","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","0","0","0","0","0","0"
" 8682.74",NA,NA,"588","1","1","1","0","0","2","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","51","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","8","2","0","10","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","126","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","94","0","1","0","2","0","0","75","130","86","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","6","7","0","0","0","0","0","0"
" 8800.18",NA,NA,"604","1","1","0","0","0","1","1","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","82","1","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","21","8","0","12","0","0","0","0","1","0","0","0","4","0","0","0","0","2","0","0","0","112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55","3","0","0","3","0","0","78","157","51","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","3","6","1","0","0","0","0","0"
" 8917.63",NA,NA,"620","1","0","0","0","0","1","1","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","102","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","36","10","0","10","0","0","0","0","2","0","0","0","7","0","0","0","0","7","0","0","0","250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","41","0","0","0","3","0","0","76","187","54","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","3","0","2","0","0","0","0"
