"Depth (cm)","Acacia t.","Acanthus","Acer","Aizoaceae t.","Alchornea","Alnus","Amaranthaceae undif.","Apiaceae undif.","Argania","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Calligonum","Caryophyllaceae undif.","Caylusea","Celastraceae undif.","Centaurea","Cichorieae","Cistaceae","Combretaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echinops","Echiochilon","Echium t.","Elaeis","Ephedra","Erica t.","Euphorbia t.","Faboideae Undif.","Fagus","Fern","Gymnocarpos","Heliotropium","Lamiaceae undif.","Molluginaceae","Moltkia","Olea t.","Ostrya","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Polygonum t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Resedaceae undiff.","Rhizophora","Rubiaceae undif.","Rumex t.","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Spergularia t.","Tamarix","Tilia","Tribulus","Typha","Ulmus t.","Urtica t."
"242.5","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","212.0","  3.0","  0.0"," 67.0","  0.0","  7.0","  0.0","  0.0"," 13.0","  0.0","  0.0","  0.0","  0.0","  1.0","  3.0","  2.0","  0.0","  1.0","  0.0"," 81.0","  0.0","  0.0","  0.0","  1.0","  0.0"," 90.0","  0.0","  0.0","  0.0","  0.0","  1.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 80.0"," 22.0","  2.0","  0.0"," 22.0","  1.0","  4.0","  2.0","  0.0","  0.0","  2.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0"
"262.5","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","208.0","  3.0","  0.0"," 41.0","  0.0","  7.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  4.0"," 86.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 74.0","  5.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0"," 53.0","  0.0","  1.0","  0.0"," 20.0","  1.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  2.0","  0.0","  0.0"
"282.5","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","127.0","  0.0","  0.0"," 38.0","  1.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 32.0","  1.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  6.0","  0.0","  0.0","  0.0","  3.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"317.5","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","205.0","  2.0","  0.0","110.0","  0.0","  3.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  8.0","  9.0","  0.0","  0.0","  0.0","  1.0","  0.0","113.0","  3.0","  0.0","  1.0","  0.0","  0.0","  1.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 76.0","  0.0","  0.0","  1.0"," 18.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"342.5","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","140.0","  1.0","  0.0"," 84.0","  0.0","  9.0","  0.0","  0.0","  4.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  2.0"," 38.0","  0.0","  0.0","  0.0","  0.0","  0.0","117.0","  7.0","  0.0","  1.0","  0.0","  4.0","  2.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 46.0","  1.0","  1.0","  1.0"," 22.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0"," 33.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"362.5","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","275.0","  2.0","  1.0","116.0","  0.0"," 14.0","  0.0","  0.0","  6.0","  2.0","  0.0","  0.0","  0.0","  0.0","  8.0","  0.0","  3.0","  5.0","  0.0"," 53.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 38.0","  1.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0"," 17.0","  0.0","  3.0","  1.0"," 16.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0"
"382.5","  0.0","  1.0","  0.0","  0.0","  0.0","  2.0","133.0","  5.0","  0.0","100.0","  0.0","  3.0","  1.0","  0.0","  7.0","  1.0","  1.0","  0.0","  1.0","  0.0","  4.0","  0.0","  4.0","  4.0","  2.0"," 52.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 53.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  9.0","  1.0","  0.0","  0.0"," 25.0","  0.0","  6.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0"
"407.5","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","206.0","  1.0","  0.0"," 82.0","  1.0","  6.0","  1.0","  0.0","  7.0","  2.0","  0.0","  2.0","  0.0","  0.0","  5.0","  0.0","  1.0","  1.0","  0.0"," 33.0","  0.0","  1.0","  0.0","  0.0","  0.0","107.0","  6.0","  1.0","  1.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 21.0","  0.0","  1.0","  0.0"," 29.0","  0.0","  2.0","  2.0","  1.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  2.0"
"427.5","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 78.0","  1.0","  0.0"," 24.0","  0.0","  8.0","  3.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  5.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  1.0"," 53.0","  0.0","  2.0","  0.0","  0.0","  2.0","  2.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0"," 11.0","  1.0","  1.0","  0.0"," 12.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"447.5","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","238.0","  2.0","  0.0"," 26.0","  0.0","  8.0","  3.0","  0.0","  2.0","  2.0","  1.0","  0.0","  1.0","  0.0","  2.0","  2.0","  6.0","  1.0","  2.0","123.0","  0.0","  1.0","  0.0","  0.0","  0.0"," 38.0","  4.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 37.0","  0.0","  5.0","  0.0"," 32.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"467.5","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0"," 44.0","  0.0","  0.0"," 19.0","  1.0","  4.0","  3.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  5.0","  0.0"," 39.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 14.0","  2.0","  0.0","  0.0","  2.0","  5.0","  0.0","  2.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0"," 30.0","  0.0","  0.0","  0.0"," 22.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0"
"487.5","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0"," 91.0","  1.0","  0.0"," 22.0","  0.0","  4.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0"," 10.0","  1.0","  6.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 14.0","  2.0","  0.0","  1.0","  1.0","  2.0","  0.0","  0.0","  0.0","  2.0","  0.0","  1.0","  0.0","  0.0"," 20.0","  0.0","  5.0","  0.0","  7.0","  0.0","  2.0","  1.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0"
"507.5","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 11.0","  1.0","  0.0","  5.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  1.0","  0.0","  8.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"527.5","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"551","  0","  0","  0","  0","  0","  0","227","  1","  0"," 36","  0","  4","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  1","  0","  2"," 95","  0","  0","  0","  0","  1"," 37","  1","  0","  0","  0","  2","  0","  1","  0","  0","  0","  0","  0","  3"," 29","  1","  1","  0"," 46","  0","  6","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  8","  0","  0"
