"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Aizoaceae t.","Algae","Alnus","Amaranthaceae undif.","Apium t.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Berberis t.","Betula","Brassicaceae","Buxus","Calicotome","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Chamaerops","Cistaceae","Corylus","Cosentinia","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Euphorbia t.","Fern","Fraxinus","Fungi","Genisteae","Indeterminable","Lamiaceae undif.","Lycopodium spike","Lycopodium tablets","Maytenus","Myrtus","Olea t.","Ononis t.","Osyris","Periploca","Petaloid monocot","Phillyrea","Pinus pinaster","Pinus undif.","Pistacia","Plantago","Poaceae","Polygonum t.","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Rhamnus","Riccia","Rosa t.","Salix","Tamarix","Taxus","Thymelaeaceae undif.","Typha","Ulmus t.","Vitis","Withania","Ziziphus/Paliurus","charcoal"
"2324",NA,NA," 76","0","0","21","1","6","0","0","20","0","19","0","0","0","0","0","1","0","0","0","1","5","0","0","2","3","1","5","0","0","0","0","0","13","2","177","0","2","0","8","0","0","0","1","2","5","70","9","8","40","0","31","7","42","5","0","4","0","0","0","0","1","1","1","0","1","1","0"
"2382",NA,NA," 78","1","1","29","0","8","1","1","23","0","15","0","0","0","2","0","1","1","0","0","0","2","3","0","0","4","0","11","0","0","0","5","2","5","5","176","0","1","0","10","0","0","0","2","0","7","113","10","10","39","2","19","11","20","9","0","5","0","0","0","0","1","1","0","0","1","1","0"
"2440",NA,NA," 80","3","0","30","0","11","1","0","24","1","13","0","4","0","0","1","0","0","0","0","0","2","1","0","3","3","1","6","0","0","2","4","0","14","2","192","0","1","0","4","0","1","1","2","1","3","39","8","3","38","1","26","13","31","5","0","2","0","1","0","0","1","7","1","0","0","1","0"
"2498",NA,NA," 82","3","0","28","0","12","0","0","23","2","11","1","0","0","1","0","0","1","0","0","0","2","0","0","2","5","2","4","0","0","1","0","0","9","4","193","0","0","1","5","0","0","0","0","0","9","120","11","5","40","3","25","8","16","8","0","3","0","0","0","0","2","2","0","0","0","1","0"
"2556",NA,NA," 84","0","0","33","1","9","0","4","16","1","18","0","2","0","9","0","1","0","0","0","0","4","0","0","0","3","3","6","0","0","0","5","4","15","1","178","0","0","1","7","0","0","0","0","0","4","78","7","5","34","0","28","14","28","5","0","3","0","1","0","0","1","3","0","0","0","2","0"
"2613",NA,NA," 86","1","0","39","0","8","0","0","13","0","15","1","2","0","2","1","0","0","0","0","0","5","1","0","1","7","3","5","0","1","0","5","0","7","2","174","0","0","0","4","0","0","0","0","0","6","111","12","2","36","0","21","9","14","8","1","1","0","0","0","0","2","8","1","0","2","1","0"
"2671",NA,NA," 88","0","0","28","0","10","1","1","10","0","9","0","1","1","8","0","1","0","0","0","1","0","0","0","1","3","1","5","0","0","3","0","0","15","1","172","0","1","0","13","0","0","0","3","3","4","66","8","7","41","0","25","8","49","6","0","1","0","0","0","0","1","2","0","0","1","2","0"
"2729",NA,NA," 90","5","0","35","0","10","1","3","13","1","14","1","0","2","5","0","0","0","0","0","0","2","3","1","3","8","3","3","0","0","0","1","2","10","1","182","0","2","1","9","0","0","1","0","0","7","114","7","10","43","3","19","11","21","4","0","0","0","0","0","1","0","4","0","0","0","1","0"
"2787",NA,NA," 92","0","0","31","1","9","0","0","18","0","11","0","3","0","6","1","1","1","0","0","0","3","0","0","1","2","3","2","0","0","0","0","0","9","1","188","0","2","0","12","0","0","0","1","0","7","69","13","5","44","2","15","12","32","6","0","3","0","2","0","0","0","2","0","0","1","0","0"
"2845",NA,NA," 94","1","2","40","0","13","0","5","11","0","15","0","2","0","0","0","0","0","0","0","0","4","0","0","2","0","2","5","1","0","1","7","0","14","2","178","0","0","0","7","0","0","0","0","0","2","68","11","9","41","2","12","7","40","3","1","0","0","0","0","0","0","4","0","0","0","1","0"
"2902",NA,NA," 96","0","0","35","0","8","0","2","13","1","8","2","1","0","4","0","1","0","1","0","0","3","3","0","1","2","1","4","0","0","2","7","0","8","2","174","0","0","0","8","0","0","0","0","2","3","107","7","4","45","0","18","11","17","6","1","3","0","0","0","0","1","3","1","0","0","1","0"
"2960",NA,NA," 98","0","0","33","0","12","0","0","9","0","12","0","0","3","3","0","0","0","0","0","0","1","2","0","2","4","1","2","0","0","1","0","1","14","2","169","0","0","0","11","0","0","0","0","0","6","76","7","8","41","1","23","10","13","8","0","1","0","0","0","0","2","1","0","0","0","2","0"
"3018",NA,NA,"100","1","0","28","2","8","1","0","16","0","13","0","0","0","0","0","0","0","0","0","0","4","1","0","1","2","1","1","0","0","0","0","0","11","3","178","0","0","0","10","0","0","0","0","0","7","49","6","5","39","0","22","13","19","6","0","0","0","1","0","0","1","5","0","0","1","1","0"
"3076",NA,NA,"102","2","0","38","0","8","0","3","8","0","19","0","1","0","5","0","0","0","0","0","1","2","0","0","1","3","3","7","0","0","0","2","5","11","2","176","0","0","0","2","0","0","1","0","2","5","110","9","4","37","3","19","9","44","7","1","2","0","1","0","0","1","1","0","0","0","2","0"
"3134",NA,NA,"104","1","0","39","0","9","0","0","17","0","17","0","4","0","0","1","0","0","0","0","1","0","3","0","5","2","3","2","0","0","0","0","0","13","3","181","0","3","0","10","0","0","1","0","0","7","66","11","2","40","0","23","8","11","6","0","2","0","3","0","0","0","4","1","0","0","0","0"
"3191",NA,NA,"106","0","1","43","0","10","0","1","13","1","11","1","5","0","8","1","1","0","0","0","0","1","0","0","2","2","1","4","0","1","2","1","1","4","2","180","0","2","1","5","0","0","0","1","3","4","67","7","2","31","1","19","14","48","5","0","2","0","1","1","0","0","4","0","0","3","1","0"
"3249",NA,NA,"108","2","0","34","3","10","0","0","6","1","12","0","0","0","0","0","1","0","0","0","0","4","2","1","1","2","2","6","0","0","0","0","0","7","3","185","0","0","0","9","0","1","0","2","0","8","118","5","3","39","1","16","7","20","9","1","0","0","2","0","0","0","4","2","0","1","3","0"
"3307",NA,NA,"110","2","0","34","0","8","0","0","8","0","13","0","2","1","1","0","0","1","0","0","0","3","3","0","2","3","1","6","0","0","2","3","0","15","1","178","0","0","0","8","0","0","1","0","4","3","65","10","3","39","3","15","11","55","6","1","0","0","0","0","0","0","3","0","0","1","2","0"
"3365",NA,NA,"112","1","1","29","0","6","0","2","10","0","21","1","6","0","5","0","0","0","0","0","0","1","7","0","1","4","1","8","1","0","0","3","4","8","0","185","0","0","0","2","0","0","1","1","0","9","109","9","5","31","0","22","20","23","9","0","1","0","0","0","0","0","2","1","0","1","1","0"
"3423",NA,NA,"114","3","0","40","0","8","0","0","11","0","11","0","0","0","1","1","1","0","1","0","0","3","0","0","2","5","2","10","1","0","0","4","0","10","1","183","0","2","0","3","0","0","0","0","6","6","62","11","2","31","1","27","15","50","7","0","0","0","0","0","0","0","2","1","0","2","1","0"
"3480",NA,NA,"116","0","0","29","0","7","0","2","9","0","13","0","4","1","2","0","0","0","1","0","1","3","0","0","1","8","1","2","2","0","0","0","0","10","2","189","0","0","0","8","0","0","0","0","0","4","111","5","6","36","0","21","13","16","2","1","3","0","1","0","1","1","3","1","0","1","1","0"
"3538",NA,NA,"118","5","0","45","3","5","1","0","10","1","12","1","2","0","2","0","0","0","0","0","2","0","0","0","2","5","1","6","0","0","0","2","0","11","2","185","0","0","0","12","0","0","1","0","1","8","80","8","4","36","0","26","12","42","2","2","4","0","2","0","1","1","5","0","0","0","0","0"
"3596",NA,NA,"120","0","0","41","0","4","0","1","6","1","8","0","5","0","2","0","0","0","0","0","0","2","9","0","5","6","1","5","0","0","0","2","3","11","3","190","0","2","0","4","0","0","0","0","3","6","121","11","5","38","3","20","15","21","5","1","4","0","4","1","0","0","3","1","0","0","1","0"
"3654",NA,NA,"122","2","0","48","0","4","0","0","8","1","13","0","0","1","7","0","2","3","0","0","0","3","8","0","5","4","2","5","1","0","3","4","0","10","1","191","0","0","1","6","0","0","2","3","2","8","72","7","1","38","0","17","14","44","3","0","3","0","0","0","0","0","4","2","0","3","2","0"
"3712",NA,NA,"124","3","0","39","2","4","0","0","25","1","11","0","4","0","0","0","0","0","0","0","0","0","0","0","1","9","5","2","2","1","1","5","0","12","8","193","0","4","0","9","0","0","1","1","0","7","124","5","1","33","0","20","11","11","9","0","3","0","0","0","1","5","2","0","0","1","0","0"
"3770",NA,NA,"126","1","1","34","1","8","0","0","16","1","10","1","0","1","1","0","1","0","0","0","2","3","6","0","1","8","5","11","2","1","0","3","0","11","7","189","0","0","0","10","0","0","0","1","4","8","67","11","3","33","4","27","18","42","9","0","2","0","0","1","0","1","1","0","0","1","0","0"
"3827",NA,NA,"128","4","0","27","0","5","0","5","10","1","12","1","7","0","5","1","2","0","1","0","0","5","2","0","3","7","2","8","2","1","0","0","2","9","5","180","0","1","0","3","0","0","0","0","0","5","121","12","4","24","0","31","8","12","7","0","4","0","0","1","0","0","2","0","0","0","2","0"
"3885",NA,NA,"130","0","0","23","0","4","1","0","14","1","18","0","3","0","1","0","0","0","0","0","0","2","0","0","4","9","3","7","0","0","0","6","0","8","3","184","0","2","0","7","0","0","1","2","0","8","50","8","1","29","0","30","10","31","8","0","1","0","3","0","0","0","8","1","0","1","1","0"
"3943",NA,NA,"132","0","0","19","4","3","0","2","6","0","21","0","0","0","3","0","0","0","0","0","0","6","7","0","3","9","1","11","0","0","2","2","1","7","2","193","0","3","0","2","0","1","0","1","1","5","131","14","1","33","1","15","12","17","8","1","3","0","1","0","0","0","3","0","0","0","1","0"
"4009",NA,NA,"134","0","0","28","0","4","0","2","8","1","22","0","4","0","0","0","1","5","0","0","2","4","0","0","2","6","3","2","1","0","1","5","0","12","0","195","0","5","0","7","0","0","0","0","2","7","63","10","2","26","0","12","43","14","4","0","3","0","1","0","0","0","7","0","0","0","0","0"
"4085",NA,NA,"136","1","0","45","0","7","0","0","7","0","17","1","5","0","4","0","0","0","0","0","1","4","3","0","4","8","1","6","2","0","0","0","0","13","1","178","0","4","2","5","0","0","0","0","0","7","59","8","2","17","2","14","60","9","7","0","2","0","0","0","0","0","3","1","0","0","1","0"
"4160",NA,NA,"138","0","0","39","0","4","0","0","10","1","11","0","0","2","4","0","0","0","0","0","0","1","1","0","3","8","2","3","0","0","0","0","2","10","2","187","0","9","1","10","0","0","0","2","8","5","42","5","4","25","0","10","42","19","4","2","1","0","0","0","0","0","4","0","0","0","0","0"
"4235",NA,NA,"140","0","0","47","3","6","0","2","6","0","9","0","4","1","5","0","0","0","0","0","0","2","8","0","1","9","2","2","0","0","0","4","0","16","1","192","0","6","0","8","0","0","0","3","4","12","48","2","2","21","0","18","69","12","5","0","2","0","0","0","0","0","2","1","0","2","1","0"
"4311",NA,NA,"142","2","0","40","1","4","0","0","13","0","7","0","0","0","0","0","3","0","0","0","0","0","1","0","1","12","1","5","0","0","2","0","0","12","1","184","0","4","4","5","0","1","0","5","9","8","40","3","2","19","2","10","58","15","2","0","3","0","0","0","0","0","3","1","0","1","1","0"
"4386",NA,NA,"144","0","0","43","0","2","0","1","8","0","11","1","3","0","6","0","0","0","1","0","0","1","0","1","1","11","1","2","0","2","0","0","0","11","2","188","0","5","3","11","0","0","1","2","7","7","39","2","1","28","2","16","55","10","5","0","2","0","2","0","0","0","7","0","0","0","2","0"
"4461",NA,NA,"146","0","0","42","2","6","0","0","9","1","8","0","0","0","3","0","0","0","0","0","0","0","3","1","2","18","3","3","1","0","0","6","1","8","1","176","0","3","2","7","0","0","0","1","4","9","42","7","2","19","0","14","61","16","5","1","0","0","0","0","0","0","4","1","0","0","2","0"
"4537",NA,NA,"148","1","0","39","0","3","0","2","13","0","9","0","1","1","0","0","1","0","0","0","0","1","3","1","2","11","1","3","2","0","0","0","0","9","2","179","0","8","3","8","0","0","0","4","6","6","35","6","1","25","0","11","65","11","6","0","2","0","0","0","1","0","6","0","0","0","1","0"
"4612",NA,NA,"150","0","0","42","0","2","0","0","12","0","12","0","0","0","5","0","0","1","0","0","0","0","0","0","4","15","1","1","1","0","0","3","0","4","1","178","0","2","0","2","0","0","0","3","8","13","34","1","3","23","0","10","50","21","1","0","3","0","1","0","0","2","5","3","0","0","1","0"
"4687",NA,NA,"152","0","0","47","2","5","0","1","14","1","6","0","0","0","0","0","2","1","1","0","0","0","3","0","3","12","0","0","1","0","1","4","2","9","1","189","0","9","2","11","0","0","0","3","4","7","49","6","2","29","1","11","52","15","3","1","0","0","0","0","0","0","8","0","0","0","0","0"
"4763",NA,NA,"154","2","0","52","0","9","0","2","13","3","8","1","1","0","2","0","0","0","1","0","4","0","0","0","2","19","1","1","0","0","0","3","0","13","1","190","0","4","1","5","0","0","1","4","9","9","30","6","1","26","0","9","61","21","5","0","3","0","0","0","0","0","7","2","0","1","2","0"
"4838",NA,NA,"156","2","0","49","0","3","0","5","8","1","9","0","6","1","5","0","0","1","0","0","2","0","4","0","2","13","0","4","0","0","0","5","0","13","1","190","0","7","0","8","0","0","0","4","6","6","46","7","2","24","1","10","53","14","3","0","3","0","2","0","0","0","8","1","0","1","0","0"
"4913",NA,NA,"158","0","0","31","0","2","0","0","9","0","11","0","5","0","0","0","1","0","0","0","0","1","1","0","1","10","1","0","0","0","2","0","0","5","2","190","0","5","0","4","0","0","0","5","5","9","38","5","2","20","1","10","68","15","4","0","2","0","0","0","0","0","5","0","0","0","1","0"
"4989",NA,NA,"160","2","0","26","0","5","1","0","10","2","15","0","4","0","2","0","1","0","0","0","0","0","5","0","1","9","0","0","0","1","0","0","0","11","2","189","0","6","1","10","0","0","0","2","7","6","33","1","0","20","2","33","66","13","8","3","0","0","1","0","0","2","6","1","0","0","0","0"
"5064",NA,NA,"162","0","0","30","1","1","0","1","12","1","14","1","3","1","5","0","0","0","0","0","0","1","0","0","2","16","1","0","0","0","0","4","0","9","8","190","0","5","4","12","0","0","0","2","7","12","45","1","4","23","0","15","54","21","2","1","1","0","0","1","1","4","6","0","0","0","1","0"
"5139",NA,NA,"164","1","0","24","0","2","0","0","17","1","13","0","4","0","6","0","0","1","2","0","3","1","8","0","3","22","3","0","0","0","0","5","2","8","10","196","0","9","2","5","0","0","0","4","4","9","31","6","2","17","0","21","64","10","6","2","4","0","0","0","0","3","9","1","0","0","1","0"
"5215",NA,NA,"166","0","0","32","0","2","0","0","12","0","15","0","8","1","2","0","0","0","0","0","3","0","6","0","0","25","1","1","0","0","2","0","0","7","4","199","0","3","0","4","0","0","0","3","10","8","38","6","3","24","1","11","69","12","3","0","1","0","1","0","0","0","3","1","0","1","0","0"
"5290",NA,NA,"168","0","0","38","0","3","1","2","9","0","11","0","0","1","0","0","1","0","0","0","0","0","5","0","2","21","0","2","0","0","0","3","0","9","1","189","0","5","1","3","0","0","0","1","8","8","40","0","1","19","0","8","58","21","4","0","1","0","1","0","0","0","4","1","0","0","1","0"
"5365",NA,NA,"170","2","0","61","2","4","1","0","4","0","9","0","5","0","5","0","1","0","0","0","0","2","1","0","0","20","1","0","0","0","1","4","0","3","0","178","0","5","3","8","0","0","0","2","5","8","43","5","3","21","0","0","56","18","5","0","0","0","1","0","0","0","7","0","0","0","1","0"
"5440",NA,NA,"172","1","0","55","0","1","0","1","4","0","6","1","2","0","6","0","0","0","1","0","2","1","0","0","0","11","3","0","0","0","0","6","0","7","0","170","0","8","2","8","0","0","0","2","7","10","33","4","2","22","3","4","65","19","7","2","2","0","0","0","1","0","6","1","0","0","0","0"
"5516",NA,NA,"174","0","0","64","0","2","0","3","3","1","5","0","8","1","3","0","1","0","0","0","0","1","5","0","1","19","0","0","0","1","3","0","0","8","1","170","0","6","0","2","0","0","0","1","10","11","41","3","1","22","0","5","63","20","6","0","1","0","1","0","0","0","8","0","0","1","0","0"
"5591",NA,NA,"176","2","0","56","4","1","0","0","4","0","2","0","5","0","7","0","0","0","0","0","0","1","5","0","0","17","0","1","0","0","0","5","2","9","1","180","0","4","1","11","0","0","0","3","7","5","38","0","3","23","1","4","72","17","9","0","0","0","1","0","0","0","10","1","0","0","0","0"
"5666",NA,NA,"178","3","0","64","0","2","1","2","1","0","1","0","6","0","3","0","0","2","0","0","0","1","8","0","0","18","0","3","0","0","1","5","0","7","0","190","0","9","2","7","0","0","0","2","8","11","40","5","3","19","0","3","80","16","5","0","1","0","0","0","0","0","7","0","0","0","0","0"
"5742",NA,NA,"180","0","0","55","1","1","0","2","3","0","4","1","6","2","2","0","0","0","0","0","0","0","2","0","2","20","0","0","0","0","1","6","0","5","0","190","0","12","1","5","0","0","0","3","6","8","32","2","0","16","0","2","68","21","6","0","1","0","0","0","1","0","9","2","0","0","0","0"
"5817",NA,NA,"182","1","0","70","0","1","1","4","2","0","3","0","2","0","4","0","1","0","1","0","0","0","0","0","0","23","0","0","0","0","2","0","0","10","0","191","0","5","1","5","0","0","0","1","9","12","34","6","1","14","0","5","70","22","5","1","0","0","0","0","0","0","8","0","0","0","0","0"
"5892",NA,NA,"184","5","0","67","2","1","0","3","3","0","5","0","7","0","3","0","0","0","0","0","1","2","5","0","0","15","0","0","0","0","3","3","0","14","0","189","0","8","0","12","0","0","0","2","3","11","45","3","2","22","0","2","66","16","7","0","3","0","1","0","0","0","8","2","0","0","0","0"
"5968",NA,NA,"186","3","0","68","0","2","2","2","2","0","7","0","3","0","2","0","1","0","0","0","0","0","6","0","3","21","0","3","0","2","3","1","2","16","0","178","0","6","1","9","0","0","0","4","11","9","30","3","1","19","1","0","77","15","8","0","0","0","0","0","1","0","9","2","0","0","0","0"
"6043",NA,NA,"188","1","0","69","3","2","0","1","4","0","2","0","8","0","3","0","0","1","0","0","5","0","0","0","0","19","0","0","0","0","3","4","0","12","2","187","0","10","1","8","0","0","0","3","5","9","29","3","1","20","0","2","83","24","9","0","4","0","0","0","0","0","11","2","0","0","0","0"
"6117",NA,NA,"190","4","0","76","7","2","0","1","3","1","2","0","6","0","8","0","2","1","0","0","2","2","3","0","0","16","0","0","0","0","2","0","0","5","2","188","0","13","2","5","0","0","0","3","11","13","58","4","5","16","3","0","50","22","15","2","2","0","1","0","0","0","10","2","0","0","0","0"
"6189",NA,NA,"192","4","0","71","4","0","3","2","2","0","1","0","3","0","7","0","1","0","1","0","2","2","8","0","1","7","0","3","0","0","8","3","0","5","0","190","0","7","4","8","0","0","0","4","12","12","90","4","4","12","0","1","31","12","10","1","0","0","2","0","1","0","5","0","0","0","1","0"
