"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alchemilla t.","Algae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Elaeagnus","Ephedra","Erica t.","Erodium","Euphorbiaceae undif.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Filipendula t.","Fraxinus","Galium t.","Indeterminable","Juglans","Lamiaceae undif.","Linum t.","Myriophyllum undif.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Quercus undif.","Ranunculaceae undif.","Resedaceae undiff.","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sarcopoterium","Secale","Sparganium","Spike","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Vitis"
"1770.0",NA,NA," 210.0","   3.2","   0.0","   0.0","   0.0"," 810.0","   1.0","  34.0","   1.0","   8.0","   1.0","  66.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   1.0","   2.0","   0.0","   1.0","   0.0","   3.0","   0.0","   2.0","  11.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   2.0","   1.0","   0.0","   0.0","   7.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 144.0","   1.0","   8.0","   1.0","   0.0","  70.0","   3.0","   0.0","   0.0","  39.0","   7.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   1.0"," 234.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"1864.0",NA,NA," 226.0","   2.4","   0.0","   0.0","   0.0"," 193.0","   2.0","  17.0","   0.0","   4.0","   0.0"," 125.0","   1.0","   0.0","   2.0","   3.0","   0.0","   7.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   1.0","   4.0","   4.0","   0.0","   3.0","   3.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   3.0","   0.0","   1.0","   0.0","   2.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   6.0","   1.0","  19.0","   0.0","   0.0"," 158.0","   0.0","   0.0","   0.0","  20.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   7.0","   0.0","   0.0","  75.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"1911",NA,NA," 234","   3","   0","   0","   0","  29","   0","   8","   0","   0","   0","  42","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   1","   0","   0","   1","   2","   0","   0","   8","   1","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   1","   0","   0","  35","   0","   1","   0","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   1","  47","   0","   0","   0","   0","   1","   0"
"2005.0",NA,NA," 250.0","   3.8","   0.0","   1.0","   0.0","   1.0","   1.0","   8.0","   0.0","   3.0","   2.0"," 148.0","   0.0","   3.0","   1.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   1.0","   2.0","   0.0","   4.0","  12.0","  21.0","   0.0","   1.0","   4.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   8.0","   2.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","  83.0","   0.0","  30.0","   0.0","   3.0","  67.0","   0.0","   0.0","   0.0","  27.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","  23.0","   0.0","   0.0"," 153.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0"
"2094.0",NA,NA," 266.0","   3.2","   0.0","   0.0","   0.0","   2.0","   1.0","   3.0","   0.0","   0.0","   2.0","  59.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   4.0","   1.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  24.0","   0.0","   5.0","   0.0","   0.0","  10.0","   1.0","   0.0","   0.0","   7.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","  11.0","   0.0","   0.0","  70.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"2182.0",NA,NA," 282.0","   3.6","   0.0","   0.0","   0.0","   4.0","   0.0","  48.0","   0.0","   4.0","  11.0","  73.0","   0.0","   0.0","   0.0","   1.0","   1.0","   2.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   4.0","   6.0","  12.0","   0.0","   5.0","  16.0","  23.0","   1.0","   1.0","   0.0","   2.0","   0.0","   0.0","   2.0","   0.0","   2.0","   1.0","   1.0","   0.0","   2.0","   9.0","   4.0","   0.0","   0.0","   0.0","   1.0","   5.0","   0.0","  73.0","   3.0","  24.0","   3.0","   0.0","  48.0","   1.0","   2.0","   0.0","  23.0","   3.0","   5.0","   0.0","   2.0","   0.0","   0.0","   1.0","   1.0","   1.0","   9.0","   0.0","   0.0"," 111.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"2226.0",NA,NA," 290.0","   3.2","   0.0","   0.0","   1.0","  96.0","   2.0","  21.0","   1.0","   6.0","   5.0","  71.0","   0.0","   0.0","   1.0","   0.0","   0.0","   8.0","   0.0","   0.0","   2.0","   1.0","   4.0","   0.0","   5.0","  12.0","   5.0","   1.0","   3.0","   6.0","   1.0","   0.0","   0.0","   1.0","   0.0","   2.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   6.0","   7.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  49.0","   0.0","  14.0","   0.0","   0.0","  15.0","   0.0","   1.0","   0.0","  27.0","   2.0","   2.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","  11.0","   0.0","   0.0"," 127.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0"
"2270",NA,NA," 298","   4","   0","   0","   0","  66","   0","  13","   0","   4","   5","  49","   0","   0","   1","   2","   0","   8","   0","   0","   0","   0","   0","   0","   2","   4","   2","   0","   2","   6","   3","   3","   0","   0","   0","   0","   0","   0","   0","   5","   1","   0","   1","   3","   1","   1","   0","   0","   0","   0","   1","   0","  22","   0","   9","   0","   0","  13","   0","   1","   0","  25","   0","   0","   0","   0","   0","   0","   0","   1","   0","   2","   0","   0","  21","   0","   0","   1","   0","   0","   0"
"2316.0",NA,NA," 306.0","   4.2","   0.0","   0.0","   0.0","   1.0","   2.0","   5.0","   0.0","   3.0","   6.0","  69.0","   0.0","   0.0","   3.0","   4.0","   0.0","   8.0","   0.0","   0.0","   0.0","   2.0","   3.0","   0.0","   1.0","   2.0","   3.0","   0.0","   3.0","   7.0","   5.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   1.0","   0.0","   0.0","   7.0","   2.0","   1.0","   0.0","   0.0","   0.0","   0.0","   2.0","   1.0","  48.0","   4.0","   6.0","   0.0","   0.0","  13.0","   0.0","   1.0","   0.0","  43.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   7.0","   0.0","   0.0","  23.0","   0.0","   0.0","   0.0","   0.0","   3.0","   2.0"
"2377.0",NA,NA," 316.0","   2.8","   0.0","   0.0","   0.0","5000.0","   0.0","   8.0","   0.0","   2.0","   2.0","  86.0","   0.0","   0.0","   1.0","   2.0","   0.0","  10.0","   0.0","   0.0","   0.0","   2.0","   2.0","   0.0","   1.0","  12.0","   4.0","   0.0","   4.0","  24.0","   9.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","  10.0","   0.0","   1.0","   0.0","   5.0","   7.0","   1.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","  88.0","   1.0","  34.0","   0.0","   0.0","  55.0","   0.0","   0.0","   0.0","  35.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   6.0","   0.0","   1.0"," 116.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"2474",NA,NA," 332","   3","   0","   0","   0"," 325","   1","  13","   1","   1","   2","  84","   0","   0","   1","   0","   0","   7","   0","   0","   0","   0","   4","   0","   0","   7","   5","   0","   3","   3","   1","   1","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   1","   1","   0","   4","   1","   0","   0","   0","   0"," 162","   0","   5","   0","   0","  35","   0","   0","   0","  35","   2","   0","   0","   0","   0","   0","   0","   1","   2","  28","   0","   1","  92","   0","   0","   0","   0","   1","   0"
"2571.0",NA,NA," 348.0","   2.8","   0.0","   0.0","   0.0","   0.0","   1.0","  12.0","   0.0","   2.0","   3.0"," 137.0","   0.0","   0.0","   3.0","   1.0","   0.0","  17.0","   0.0","   0.0","   3.0","   0.0","   1.0","   0.0","   1.0","   6.0","  10.0","   0.0","   0.0","   4.0","   0.0","   1.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   1.0","   1.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0"," 184.0","   0.0","  10.0","   0.0","   0.0","   7.0","   0.0","   0.0","   0.0","  20.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   5.0","   0.0","   4.0"," 160.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0"
"2664",NA,NA," 364","   3","   0","   0","   0","   5","   2","   7","   7","   1","   2","  74","   0","   1","   4","   2","   0","   4","   0","   1","   0","   4","   1","   0","   0","   5","   0","   0","   3","  11","   0","   0","   0","   0","   0","   0","   0","   1","   0","   9","   0","   0","   0","   5","   3","   0","   0","   0","   0","   0","   0","   0"," 226","   1","  14","   1","   0","  17","   8","   0","   1","  23","   0","   1","   0","   1","   0","   0","   0","   0","   0","   5","   1","   0"," 105","   1","   0","   0","   0","   0","   0"
"2708",NA,NA," 372","   3","   0","   0","   0","   0","   0","   7","   0","   0","   0"," 119","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","  15","   3","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  66","   0","   3","   0","   0","   5","   0","   0","   0","   8","   1","   0","   0","   0","   0","   0","   1","   0","   0","   2","   0","   0","  84","   0","   0","   0","   0","   0","   0"
"2795",NA,NA," 388","   3","   1","   0","   0","   0","   1","  34","   3","   4","   1"," 228","   0","   0","   0","   1","   0","   4","   0","   0","   1","   2","   0","   0","   0","   2","   0","   0","   1","   5","   2","   0","   0","   0","   0","   0","   0","   4","   0","   1","   1","   0","   1","   4","   0","   0","   0","   0","   0","   0","   2","   0","  81","   1","   3","   0","   0","  31","   5","   0","   0","  36","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  47","   1","   0","   0","   0","   0","   1"
"2839",NA,NA," 396","   3","   0","   0","   0","   1","   1","   5","   0","   4","   2","  71","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   2","   1","   5","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","  29","   0","   1","   0","   0","   7","   0","   1","   0","  13","   1","   0","   0","   1","   0","   0","   0","   0","   0","   8","   0","   1"," 133","   0","   0","   0","   0","   0","   0"
"2887",NA,NA," 404","   3","   1","   0","   0","   0","   1","   7","   0","   6","   7"," 193","   0","   0","   0","   2","   0","   6","   0","   0","   0","   1","   2","   0","   2","   6","   6","   0","   0","   6","  11","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   1","   1","   5","   0","   0","   0","   0","   0","   0","   1","   0","  41","   0","   8","   0","   0","  66","   0","   1","   0","  33","   3","   0","   0","   0","   0","   0","   1","   6","   0","   3","   1","   0","  88","   0","   0","   0","   0","   2","   0"
"2954.0",NA,NA," 412.0","   2.6","   0.0","   0.0","   0.0","   1.0","   4.0","   4.0","   0.0","   2.0","   6.0"," 182.0","   0.0","   0.0","   4.0","   3.0","   0.0","   1.0","   0.0","   0.0","   0.0","   2.0","   7.0","   0.0","   0.0","   1.0","   2.0","   0.0","   4.0","  10.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   2.0","   0.0","   1.0","   1.0","   2.0","   0.0","   1.0","   5.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","  60.0","   3.0","  11.0","   0.0","   0.0"," 112.0","   6.0","   1.0","   0.0","  58.0","   3.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   6.0","   0.0","   9.0","   0.0","   1.0"," 117.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0"
"3020.0",NA,NA," 420.0","   2.4","   0.0","   0.0","   0.0","   0.0","   2.0","  15.0","   0.0","   8.0","   4.0"," 186.0","   0.0","   0.0","   1.0","   1.0","   0.0","   5.0","   0.0","   0.0","   0.0","   3.0","   1.0","   0.0","   2.0","   0.0","   0.0","   0.0","   4.0","   4.0","  13.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   1.0","   1.0","   0.0","   0.0","   3.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  19.0","   0.0","  12.0","   0.0","   0.0","  60.0","   0.0","   2.0","   0.0","  38.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   6.0","   0.0","   1.0","  45.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0"
"3152.0",NA,NA," 436.0","   2.8","   0.0","   0.0","   0.0","   0.0","   0.0","  40.0","   0.0","   5.0","   8.0"," 169.0","   0.0","   0.0","   1.0","   2.0","   0.0","   2.0","   0.0","   0.0","   1.0","  10.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   8.0","   3.0","   9.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   3.0","   4.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  49.0","   2.0","   8.0","   0.0","   0.0","  72.0","   7.0","   0.0","   0.0","  50.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   9.0","   0.0","   0.0","  95.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0"
"3219.0",NA,NA," 444.0","   3.8","   0.0","   0.0","   0.0","   1.0","   0.0","  25.0","   0.0","   9.0","  12.0"," 182.0","   0.0","   0.0","   1.0","   9.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   2.0","   2.0","   0.0","   3.0","  10.0","  21.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   5.0","   0.0","   2.0","   2.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   2.0","   1.0","   0.0","  43.0","   1.0","   5.0","   0.0","   1.0","  49.0","   0.0","   2.0","   2.0","  66.0","   0.0","   2.0","   0.0","   3.0","   0.0","   0.0","   0.0","   1.0","   0.0","  17.0","   0.0","   0.0","  70.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"3285",NA,NA," 452","   3","   0","   0","   0","   0","   0","  61","   0","   4","   6"," 193","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   2","   0","   2","   7","   0","   0","   9","  14","  12","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   1","   0","   1","   1","   0","   0","   2","   1","   0","   2","   0","  69","   0","  13","   0","   0","  70","   1","   0","   0","  46","   1","   0","   0","   1","   0","   0","   1","   1","   0","   3","   0","   0"," 160","   0","   0","   0","   0","   0","   1"
"3317.0",NA,NA," 460.0","   3.6","   0.0","   0.0","   0.0","   0.0","   0.0","  20.0","   0.0","   5.0","   2.0"," 176.0","   0.0","   0.0","   0.0","   1.0","   0.0","   5.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   4.0","   6.0","   0.0","   1.0","   8.0","  26.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   3.0","   0.0","   2.0","   6.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  28.0","   0.0","  24.0","   0.0","   0.0","  99.0","   3.0","   1.0","   0.0","  15.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   3.0","   0.0","  13.0","   0.0","   0.0","  65.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"3348",NA,NA," 468","   3","   0","   0","   0","   2","   3","  46","   0","   9","   3"," 104","   0","   0","   1","   5","   0","   1","   0","   0","   0","   4","   3","   0","   0","   1","   0","   0","   3","  14","   6","   0","   0","   0","   0","   0","   0","   2","   0","   1","   3","   0","   1","   4","   1","   0","   0","   0","   0","   0","   0","   0","  31","   0","   3","   0","   0"," 123","   2","   1","   2","  49","   0","   2","   0","   0","   0","   0","   0","   1","   0","   6","   0","   1"," 153","   0","   0","   0","   0","   1","   0"
