"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Adiantum capillus-veneris","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Calluna","Cardueae undif.","Caryophyllaceae undif.","Castanea","Chaetomium undiff.","Cichorieae","Cistaceae","Cupressaceae","Cyperaceae","Erica t.","Fabaceae Undif.","Fern","Fraxinus","Indeterminable","Juglans","Lamiaceae undif.","Olea t.","Petaloid monocot","Phillyrea","Pinus nigra/sylvestris t.","Pinus pinaster","Pistacia","Plantago","Poaceae","Polypodiophyta (trilete) undiff.","Quercus deciduous","Quercus evergreen","Rubiaceae undif.","Rumex t.","Scrophulariaceae undif.","Sordaria undiff.","Urtica t.","Viburnum"
"1231",NA,NA,"  44","   1","  17","   0","  11","   9","   0","   0","   0","   2","   2","   0","   0","   2","  11","   8","   3","  57","  12","  19","  15","   2","  66","  12","   9","   4","  16","   0","   0","   9","   6"," 333","   2","   0","  37","   2","  23","  19","   4","   0","   0","   0","   0","   4"
"1293",NA,NA,"  46","   0","  13","   3","   7","   3","   2","   5","  15","   2","   3","   3","   6","   2","  21","  11","  21","  10","   3","  11","  23","   1","  57","   6","   8","   5","   7","  33","   4","   1","  11"," 300","   0","   0"," 103","   2","  32","   7","   0","   1","   2","   0","   2","   3"
"1353",NA,NA,"  48","   1","  11","   3","   8","   3","   2","  12","  23","   3","   3","   5","   8","   2","  19","  34","  33","   9","   6","   7","  31","   1","  49","   7","  12","   5","   7","  49","   1","   0","   9"," 277","   2","   2","  78","   3","  21","   8","   2","   1","   3","   2","   3","   0"
"1413",NA,NA,"  50","   0","   9","   5","   5","   4","   0","   9","  35","   0","   4","   6","  13","   1","  13","  54","  29","  11","   7","   8","  18","   0","  41","   8","   7","   4","   9","  65","   4","   4","   9"," 169","   0","   0","  93","   5","  18","   9","   0","   6","   7","   0","   4","   1"
"1473",NA,NA,"  52","   0","   8","   3","   3","   5","   3","  13","  24","   0","   3","   5","  13","   2","   5","  23","  34","  17","   8","   4","  13","   2","  67","  11","   9","   2","  10","  43","   7","   1","   5"," 256","   0","   2","  77","   0","  16","  13","   2","   5","   2","   0","   1","   3"
"1533",NA,NA,"  54","   0","  11","   0","   5","   4","   2","  11","  35","   2","   3","   5","  21","   3","  23","  34","  25","  13","  11","   4","  13","   4","  61","   9","   9","   3","  11","  51","   8","   0","   4"," 199","   2","   0","  89","   1","  27","   8","   0","   5","   2","   2","   3","   3"
"1594",NA,NA,"  56","   0","   6","   3","   3","   3","   2","   9","  25","   0","   2","   6","  14","   3","  11","  79","  18","   8","   6","  11","  14","   3","  36","   9","   8","   5","  13","  39","   5","   2","  13"," 187","   1","   1","  67","   0","  15","   9","   3","   6","   0","   0","   2","   2"
"1654",NA,NA,"  58","   0","   7","   2","   4","   6","   3","   9","  18","   3","   4","   7","  15","   0","  14","  67","  29","  16","   5","  13","  21","   2","  63","   3","   7","   7","  12","  44","   7","   0","   8"," 254","   0","   1","  56","   0","  18","  13","   2","   4","   3","   1","   2","   4"
"1714",NA,NA,"  60","   0","   5","   2","   3","   7","   2","  21","  23","   3","   2","   6","   7","   3","  18","  87","  19","  69","   5","  15","  18","   1","  42","   4","  11","   0","  15","  27","   8","   2","  21"," 176","   0","   2","  79","   1","  13","  11","   2","   4","   5","   2","   3","   3"
"1774",NA,NA,"  62","   0","   8","   0","   5","   3","   1","  17","  27","   0","   3","   8","  13","   4","   7","  99","  26","  54","   4","   6","   8","   1","  69","  13","  12","   0","  14","  38","   8","   0","  15"," 257","   0","   0","  69","   2","  23","   8","   2","   6","   0","   0","   1","   2"
"1834",NA,NA,"  64","   0","   4","   2","   2","   7","   2","   7","  23","   3","   2","   2","  11","   0","   8","  33","  24","  26","   7","   7","  17","   0","  35","   9","  13","   2","   6","   0","   6","   6","  11"," 402","   6","   1","  47","   1","  27","  19","   1","   5","   1","   0","   2","   3"
"1906",NA,NA,"  66","   0","   5","   2","   3","   5","   0","   3","  18","   2","   1","   0","   9","   2","   7","  29","  13","  23","   6","   9","  13","   2","  48","  11","   9","   2","   8","   0","   0","   8","  13"," 387","   7","   0","  53","   2","  33","  23","   2","   1","   2","   1","   2","   5"
"1982",NA,NA,"  68","   1","   6","   5","   3","   5","   1","   0","   3","   3","   2","   5","   3","   3","   6","   0","   3","   6","   9","  13","  23","   2","   9","   9","   9","   0","   7","   0","   2","   8","   9"," 365","   7","   1","  29","   2","  29","  16","   3","   1","   3","   0","   2","   6"
"2058",NA,NA,"  70","   0","  13","   3","   4","   6","   0","   0","   4","   3","   3","   3","   3","   1","  11","   5","   3","   7","  11","  15","  31","   3","  25","  18","  11","   3","   9","   0","   5","   9","  21"," 399","   8","   1","  33","   3","  42","  27","   0","   3","   2","   2","   1","   7"
"2134",NA,NA,"  72","   3","  18","   0","   5","   7","   2","   0","   6","   0","   2","   0","   4","   0","   9","   0","   4","   8","   6","  21","  24","   1","  16","   5","  13","   3","  11","   0","   3","  11","  13"," 404","   6","   1","  21","   3","  35","  18","   0","   0","   0","   0","   0","   8"
"2209",NA,NA,"  74","   0","   9","   3","   0","   3","   1","   0","   7","   3","   3","   2","   2","   3","   9","   0","   5","   3","   8","  23","  35","   0","  27","   6","   8","   4","   9","   0","   0","  13","   7"," 413","   5","   0","  32","   2","  29","  23","   3","   2","   1","   0","   3","   5"
"2270",NA,NA,"  76","   0","   9","   2","   3","   8","   0","   0","   8","   2","   2","   4","   5","   4","   3","   0","   4","   4","   9","  13","  29","   3","  24","  10","   8","   0","   8","   0","   0","  17","  13"," 378","   7","   0","  18","   1","  31","  33","   0","   0","   1","   0","   0","   7"
"2283",NA,NA,"  78","   0","   8","   0","   3","   4","   1","   1","   3","   1","   7","   2","   2","   2","   4","   1","   3","   4","   7","  21","  33","   2","  18","   7","   9","   3","  10","   0","   4","  21","   7"," 403","   4","   2","  39","   5","  44","  31","   3","   2","   2","   0","   0","   7"
"2297",NA,NA,"  80","   3","   8","   2","   3","   5","   4","   0","   6","   2","   6","   2","   3","   1","   7","   2","   9","   3","   6","  15","  43","   3","  24","   7","   9","   3","  13","   0","   4","  16","   7"," 377","   4","   1","  60","   5","  37","  19","   4","   2","   2","   2","   2","   7"
"2311",NA,NA,"  82","   2","  11","   1","   6","  11","   0","   0","   3","   0","   5","   1","   5","   0","   7","   0","   5","   7","   8","   8","  49","   4","  25","   6","  13","   2","  13","   0","   2","  13","   6"," 399","   3","   3","  37","   6","  25","  21","   0","   1","   0","   1","   0","   6"
"2325",NA,NA,"  84","   0","  13","   2","   6","   7","   2","   0","   3","   0","   3","   3","   8","   3","   8","   2","   6","   7","  11","  23","  36","   2","  14","   5","  11","   0","  10","   0","   5","  18","  11"," 367","   5","   1","  43","   7","  54","  26","   3","   2","   3","   0","   2","   3"
"2338",NA,NA,"  86","   0","   9","   0","   0","   8","   1","   0","   4","   1","   2","   2","   3","   2","  11","   0","   6","   6","   9","  31","  25","   5","   9","   9","   7","   3","   6","   0","   1","  23","  13"," 413","   3","   0","  51","   4","  43","  33","   2","   0","   0","   0","   0","   2"
"2352",NA,NA,"  88","   0","   7","   0","   3","   9","   0","   0","   2","   1","   4","   1","   4","   0","   9","   0","   3","   3","   7","  19","  38","   6","  25","   4","   5","   5","  11","   0","   0","  13","  12"," 366","   8","   0","  36","   4","  39","  20","   0","   0","   4","   0","   0","   7"
"2366",NA,NA,"  90","   2","  13","   1","   0","   3","   1","   0","   1","   0","   2","   1","   2","   2","   5","   0","   4","   5","   5","  11","  56","   5","  38","   5","   8","   3","  10","   0","   3","  16","   5"," 346","   3","   1","  45","   8","  37","  29","   3","   2","   3","   0","   1","   5"
"2380",NA,NA,"  92","   3","  11","   2","   3","   9","   0","   0","   3","   1","   3","   0","   3","   2","   3","   0","   5","   7","   4","  21","  45","   4","  28","   7","   7","   2","   8","   0","   2","  22","   7"," 356","   3","   2","  65","   8","  39","  33","   2","   1","   3","   0","   3","   4"
"2393",NA,NA,"  94","   2","   9","   2","   3","   6","   0","   0","   0","   2","   2","   1","   1","   3","   7","   0","   6","   9","   6","  22","  33","   6","  25","   7","   9","   2","  11","   0","   4","  19","  11"," 369","   5","   0","  47","   7","  41","  18","   2","   7","   2","   0","   3","   6"
"2407",NA,NA,"  96","   4","  21","   3","   5","   5","   0","   0","   2","   0","   4","   3","   1","   2","   8","   0","   4","   8","   5","  18","  67","   7","  32","   6","   8","   0","  10","   0","   5","  15","   9"," 313","   6","   1","  33","   6","  43","  32","   1","   6","   3","   0","   0","   7"
"2421",NA,NA,"  98","   4","  19","   2","   3","   7","   1","   0","   1","   1","   5","   0","   3","   3","   8","   0","   5","   8","   4","  13","  54","   6","  24","   6","   8","   4","   7","   0","   2","  23","   9"," 403","  11","   0","  39","   7","  33","  23","   3","   0","   0","   0","   0","   5"
"2434",NA,NA," 100","   0","  13","   1","   0","   5","   0","   0","   0","   0","   3","   0","   2","   4","   9","   0","   6","   9","   5","  24","  63","   8","  36","   5","   5","   3","   7","   0","   5","  18","  13"," 414","   9","   0","  41","   5","  36","  35","   3","   0","   4","   0","   0","   9"
