"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Alchemilla t.","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Brassicaceae","Cannabaceae undif.","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cyperaceae","Ephedra","Fabaceae Undif.","Fern","Juglans","Juncaceae","Lamiaceae undif.","Lythrum","Monoletes","Myriophyllum undif.","Olea t.","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Primulaceae undif.","Quercus evergreen","Ranunculaceae undif.","Rosaceae undif.","Sanguisorba t.","Sesamum","Tamarix","Triletes","Typha","Unknown"
"4417",NA,NA," 128","   0","   1","   9","  21","   5","  20","   5","   2","   0","   0","   8","   6","  11","  28","   0","   0","   0","   0","  92","   7","   0","   3","   0","   0","   6","   0","   3"," 171","   0","   0","   0","   3"," 120","   1","   0","   2","   0","   0","   0","  35","   0"
"4654",NA,NA," 132","   2","   3","   8","  14","   6","   9","  11","   0","   2","   0","   5","   0","   3","  49","   0","   0","   0","   0","  50","   1","   0","   7","   3","   1","   8","   0","   0"," 132","   2","   0","   6","   0","  88","   2","   0","   0","   0","  11","   0","  67","   6"
"4891",NA,NA," 136","   0","   1","   4","  10","   0","   4","  51","   0","   4","   0","   1","   0","   5","  14","   0","   2","   0","   0","  16","   7","   0","   0","  26","   1","   6","   0","   0","  96","   4","   1","  18","   0","  34","   2","   0","   0","   0","  65","   0"," 117","   0"
"5128",NA,NA," 140","   0","   0","  10","  20","  10","  11","  38","   0","   0","   1","  10","   0","   3","  30","   2","   2","   0","   0","  31","   2","   1","   0","  31","   0","   9","   1","   0","  87","   0","   0","  16","   0","  75","   6","   0","   1","   0","  27","   0"," 100","  16"
"5365",NA,NA," 144","   0","   2","   7","  17","   3","   7","  21","   0","   4","   0","   5","   0","  12","  33","   0","   1","   0","   0","  29","   0","   1","   2","  20","   2","   4","   0","   0"," 124","   4","   2","   8","   0","  67","   0","   0","   0","   0","  18","   0","  73","   2"
"5602",NA,NA," 148","   0","   0","   6","  10","   6","   5","   6","   0","   1","   0","   5","   1","   5","  30","   0","   1","   0","   0","  31","   0","   0","   3","   2","   0","   3","   0","   1","  52","   1","   1","   2","   0","  38","   2","   0","   0","   0","  11","   0","  25","   0"
"5839",NA,NA," 152","   0","   2","   6","   9","   5","   9","  27","   0","   1","   1","   4","   2","  18","  88","   1","   1","   0","   0","  59","   2","   0","   2","   0","   1","   4","   0","   1"," 143","   0","   0","   1","   0","  43","   4","   0","   1","   0","   2","   0","  29","   6"
"6077",NA,NA," 156","   0","   2","   9","  13","   7","  12","  31","   0","   1","   0","   7","   0","  23","  99","   1","   2","   0","   0","  28","   3","   0","   2","   2","   0","   7","   0","   1"," 112","   4","   2","   1","   0","  47","   1","   0","   0","   0","   4","   0","  31","  10"
"6254",NA,NA," 159","   0","   0","  17","   6","   2","   9","   7","   0","   2","   0","   9","   0","  12","  44","   0","   1","   1","   0","  11","   1","   1","   1","   3","   0","   2","   0","   0","  53","   0","   3","   6","   0","  27","   6","   0","   0","   0","   1","   0","  23","   0"
"6551",NA,NA," 164","   0","   2","  16","  11","   1","  12","  12","   0","   2","   0","   1","   2","  11","  45","   0","   2","   0","   0","  69","   0","   0","   4","   0","   2","   7","   0","   0"," 113","   3","   1","   2","   0","  87","   8","   0","   0","   0","   6","   0","  21","   2"
"6788",NA,NA," 168","   0","   1","  18","  18","   5","  11","   0","   0","   1","   0","   7","   0","  17","  47","   0","   0","   1","   0","  59","   0","   2","   1","   0","   0","   6","   0","   4"," 103","   2","   0","   2","   0","  54","   3","   1","   0","   0","   5","   0","  25","   4"
"7025",NA,NA," 172","   0","   4","  11","   9","   2","   3","  31","   0","   1","   0","   1","   1","   6","  29","   0","   1","   0","   0","   9","   1","   1","   2","   2","   0","   2","   0","   1","  54","   0","   0","   1","   0","  16","   1","   1","   0","   0","   3","   0","  21","   6"
"7367",NA,NA," 176","   0","   0","  13","  32","   3","   6","  35","   0","   1","   0","   3","   0","  17","  15","   0","   2","   0","   0","  36","   3","   0","   0","   3","   1","   2","   0","   1","  95","   3","   0","   8","   1","  48","  11","   1","   0","   0","  22","   0","  27","   8"
"7538",NA,NA," 178","   0","   0","  21","  21","   2","   8","  64","   1","   0","   0","   1","   0","  14","  43","   0","   0","   0","   0","  19","   0","   0","   1","   0","   0","   3","   0","   0"," 121","   0","   0","  19","   0","  50","   2","   0","   0","   0","   9","   0","   3","   0"
"7709",NA,NA," 180","   0","   0","  18","  25","   0","   5","  77","   0","   0","   0","   2","   0","  18","  27","   0","   2","   0","   0","  35","   2","   1","   2","   1","   0","   0","   0","   1","  81","   3","   0","   5","   0","  58","   3","   1","   0","   0","  18","   0","  32","   4"
"8051",NA,NA," 184","   0","   0","  15","   8","   1","   4","  11","   0","   3","   0","   0","   0","   2","   9","   0","   1","   0","   0","  13","   0","   2","   0","   1","   0","   0","   0","   0","  73","   1","   0","  11","   0","  22","   5","   0","   0","   0","   3","   0","  19","   4"
"8393",NA,NA," 188","   0","   0","  25","  22","   4","   7","  39","   0","   1","   0","   1","   1","  11","  16","   0","   2","   0","   0","  18","   4","   3","   0","   1","   0","   0","   0","   0","  87","   1","   0","   2","   1","  63","  18","   0","   0","   0","  24","   0","  53","   0"
"8735",NA,NA," 192","   0","   0","  13","   7","   2","   3","  10","   0","   0","   0","   0","   1","   5","  10","   1","   0","   0","   0","  20","   1","   0","   1","   0","   0","   0","   0","   0","  39","   1","   0","   3","   0","  32","  10","   2","   0","   0","   3","   0","  11","   0"
"9419",NA,NA," 200","   0","   0","   7","   6","   4","   3","   4","   0","   0","   0","   1","   0","   4","   8","   1","   0","   0","   0","  21","   1","   0","   0","   0","   0","   0","   0","   0","  61","   0","   0","   2","   0","  23","   5","   2","   0","   0","   0","   0","   7","   6"
"9761",NA,NA," 204","   0","   0","   5","  11","   1","   0","   1","   0","   0","   0","   0","   0","   3","  14","   0","   0","   0","   0","  11","   1","   0","   0","   0","   0","   1","   0","   0","  31","   0","   0","   1","   0","  19","   8","   0","   0","   0","   0","   0","   3","   0"
"10445",NA,NA,"  212","    0","    0","   19","    8","    5","   11","    7","    0","    1","    0","    1","    0","   12","   18","    0","    0","    0","    0","   19","    0","    0","    0","    0","    0","    1","    0","    0","  179","    0","    0","    0","    0","   47","   12","    0","    0","    0","    0","    0","   16","    0"
"10593",NA,NA,"  216","    2","    1","   18","   10","    1","    5","   11","    0","    2","    0","    0","    0","   42","    9","    2","    1","    0","    0","   14","    0","    0","    1","    0","    0","    0","    0","    0","  180","    0","    1","    0","    0","   22","   11","    1","    0","    0","    0","    0","    9","    6"
"10740",NA,NA,"  220","    0","    0","   36","   13","    4","   17","   10","    0","    2","    0","    0","    2","   89","   13","    0","    0","    0","    0","   14","    1","    0","    0","    0","    0","    0","    0","    1","  154","    4","    0","    0","    0","   33","   11","    0","    0","    0","    0","    0","   10","    2"
"10888",NA,NA,"  224","    0","    0","   24","    2","    1","   23","    4","    0","    0","    0","    1","    0","   88","   10","    3","    0","    0","    0","    3","    1","    1","    0","    0","    0","    0","    0","    1","  125","    0","    0","    0","    0","   17","    7","    1","    1","    0","    0","    1","    7","    0"
"11036",NA,NA,"  228","    0","    0","   22","    4","    0","   21","    5","    0","    0","    0","    0","    0","   73","    1","    1","    0","    0","    0","    8","    6","    0","    0","    0","    0","    2","    0","    0","   80","    0","    0","    2","    0","   12","    2","    0","    0","    0","    0","    0","    3","    0"
