"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acacia t.","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Berberis t.","Boraginaceae undif.","Brassicaceae","Cardueae undif.","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Corylus","Cyperaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fern-Lycopodiaceae","Fraxinus","Lamiaceae undif.","Lythrum","Malva undif.","Mercurialis","Morella","Myriophyllum undif.","Olea t.","Pinus undif.","Pistacia","Plantago","Poaceae","Polygonum t.","Potamogeton","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rumex t.","Ruta","Scrophulariaceae undif.","Sparganium","Typha"
"5418",NA,NA," 157","   1","   0","   0","   8","   0","   0"," 112","   0","   0","   0","   3","   0","   0","   0","  34","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   7","   1","   0","   0","   3","   4","   0","   0","   0","   0","   0","   2"
"5593",NA,NA," 160","   0","   0","   0","  11","   3","   0","  76","   0","   0","   0","   3","   0","   0","   7"," 102","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   9","   4","   6","   0","   1","   3","   0","   0","   0","   0","   0","   1"
"5884",NA,NA," 165","   1","   0","   0","   9","   1","   0","  78","   0","   0","   0","   7","   0","   0","   4","  81","   7","   0","   0","   0","   1","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   1","   4","   8","  24","   4","   1","   4","   7","   0","   0","   0","   0","   0","   0"
"6175",NA,NA," 170","   3","   0","   0","  11","   0","   0","  28","   0","   0","   3","   4","   0","   1","   1","  94","   1","   0","   3","   1","   0","   1","   3","   0","   1","   0","   0","   0","   0","   0","   0","   0","   4","   7","   9"," 144","   1","   0","  13","   8","   0","   0","   0","   0","   0","   0"
"6466",NA,NA," 175","   0","   0","   0","   9","   0","   0","  24","   0","   3","   0","   0","   1","   0","   1","  27","   0","   0","   6","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","  10","  55","   1","   2","   0","   1","   0","   0","   0","   0","   0","   1"
"6757",NA,NA," 180","   1","   0","   0","   8","   0","   0","  15","   0","   0","   0","   0","   0","   1","   0","  20","   0","   1","  10","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   8","   3","  94","   0","  10","  10","  17","   4","   0","   0","   0","   0","   0"
"7048",NA,NA," 185","   1","   0","   0","  14","   0","   0","  25","   0","   1","   0","   0","   0","   0","   1","  52","   0","   1","   3","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   3","   4","  10","  69","   0","  16","   1","   3","   1","   0","   0","   0","   0","   2"
"7339",NA,NA," 190","   0","   0","   0","   7","   0","   0","  50","   0","   0","   0","   0","   4","   1","   0","  57","   0","   0","   0","   0","   0","   0","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0","   3","   8","  10","  73","   0","   9","   8","  10","   0","   0","   0","   0","   0","   0"
"7630",NA,NA," 195","   0","   0","   0","   8","   0","   0","  17","   0","   0","   0","   0","   4","   0","   1","  28","   0","   0","   3","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","  81","   0","   4","   1","   1","   1","   0","   1","   0","   0","   1"
"7921",NA,NA," 200","   4","   0","   0","  22","   0","   8","  13","   0","   0","   0","   0","   3","   3","   0","  11","   0","   0","   8","   0","   0","   3","   0","   0","   1","   1","   0","   5","   0","   0","   0","   0","   1","   6","   0","  76","   0","   7","  13","  14","   1","   0","   0","   0","   1","   6"
"8212",NA,NA," 205","   4","   0","   0","  10","   0","  14","  18","   0","   0","   1","   0","   3","   4","   1","  13","   0","   0","   4","   1","   0","   1","   1","   0","   1","   1","   0","   0","   0","   0","   0","   0","   3","   6","   1","  87","   4","   0","  17","  43","   3","   0","   0","   0","   0","   2"
"8328",NA,NA," 207","   0","   1","   0","  34","   0","   0","  15","   0","   3","   0","   0","   0","   0","   1","  35","   0","   0","   0","   0","   0","   3","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   1","   0","   3","  55","   1","   6","   0","   4","   0","   0","   0","   0","   0","   0"
"8445",NA,NA," 209","   3","   1","   0","  20","   0","   0","  36","   0","   0","   0","   1","   0","   0","   0","   6","   0","   0","   0","   0","   0","   4","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","  74","   0","   0","   1","   3","   0","   0","   0","   0","   0","   4"
"8804",NA,NA," 215","   4","   0","   0","  28","   0","  10","  10","   0","   0","   1","   0","   4","   4","   1","  10","   0","   1","   3","   0","   0","   4","   4","   0","   1","   3","   0","   0","   0","   0","   0","   0","   4","  11","   1","  84","   6","   5","  14","  25","   4","   0","   0","   0","   0","   5"
"9105",NA,NA," 220","   0","   0","   0","  25","   0","   0","  29","   0","   0","   0","   4","   0","   0","   0","  21","   0","   0","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","  49","   0","   1","   7","   4","   0","   0","   0","   0","   0","   0"
"9285",NA,NA," 223","   0","   0","   0","  45","   0","   0","  22","   0","   0","   0","   6","   3","   0","   0","  38","   3","   1","   0","   0","   0","   0","   1","   0","   2","   6","   0","   0","   0","   0","   0","   0","   3","   7","   8","  49","   0","   0","   1","   3","   0","   0","   0","   0","   0","   1"
"9406",NA,NA," 225","   0","   0","   0","  92","   0","   0","  29","   0","   0","   0","   3","   0","   0","   0","  31","   1","   0","   3","   0","   0","   3","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","  38","   0","   2","   0","   3","   0","   0","   0","   0","   0","   0"
"9706",NA,NA," 230","   0","   0","   0","  29","   0","   1","  11","   0","   0","   0","   4","   0","   0","   0","  32","   0","   0","   1","   0","   0","   1","   0","   0","   2","   1","   0","   0","   0","   0","   0","   1","   0","   7","   1","  53","   0","   1","   1","   7","   1","   0","   0","   0","   0","   2"
"10007",NA,NA,"  235","    0","    0","    0","   62","    0","    0","   25","    1","    0","    0","    6","    0","    1","    0","   35","    0","    0","    3","    0","    0","    1","    0","    0","    2","   15","    0","    0","    0","    0","    0","    0","    0","    3","    3","   64","    0","   38","    0","    3","    0","    0","    0","    0","    0","    3"
"10188",NA,NA,"  238","    1","    0","    0","   60","    0","    1","   15","    0","    1","    0","    1","    0","    0","    0","   25","    0","    0","    1","    0","    0","    1","    3","    0","    2","    3","    0","    0","    0","    0","    0","    0","    3","   10","    6","   71","    0","    8","    1","   10","    0","    4","    0","    0","    0","    0"
"10308",NA,NA,"  240","    1","    0","    0","   22","    1","   21","    8","    0","    0","    0","    0","    0","    2","    0","   13","    0","    0","    1","    0","    0","    0","    0","    0","    2","    4","    0","    0","    0","    0","    0","    0","    0","    4","    3","  111","    3","    0","    1","   24","    0","    0","    0","    0","    0","    0"
"10609",NA,NA,"  245","    0","    0","    0","   41","    0","    4","   24","    0","    0","    0","    1","    0","    0","    0","   13","    0","    0","    1","    0","    0","    0","    0","    0","    3","    7","    0","    0","    0","    0","    0","    0","    0","   20","   13","   85","    0","    2","    1","    8","    0","    0","    0","    0","    0","    3"
"10910",NA,NA,"  250","    0","    0","    0","   41","    1","   20","   14","    0","    0","    0","    0","    0","    1","    0","    7","    0","    0","    1","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    8","   17","   97","    0","    0","    3","    6","    0","    0","    0","    1","    0","    7"
"11211",NA,NA,"  255","    3","    0","    0","   29","    0","   18","   21","    0","    0","    0","    1","    1","    3","    0","   21","    0","    0","    0","    1","    0","    0","    0","    0","    3","    1","    0","    0","    0","    0","    0","    0","    3","    3","    3","   95","    6","   12","    3","   10","    1","    0","    0","    0","    0","    0"
"11512",NA,NA,"  260","    0","    0","    0","  109","    1","    7","   34","    0","    3","    0","    0","    1","    1","    0","   13","    0","    0","    4","    1","    1","    4","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","   10","    4","   69","    1","   15","    0","   15","    0","    0","    0","    0","    0","   14"
"11813",NA,NA,"  265","    0","    0","    0","  126","    1","   10","   25","    0","    0","    0","    3","    0","    0","    0","   17","    0","    0","    6","    3","    3","    1","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    1","   11","    1","   60","    0","    2","    0","   27","    0","    0","    0","    0","    0","    1"
"12114",NA,NA,"  270","    0","    0","    0","  112","    0","   15","   36","    0","    0","    0","    4","    0","    0","    0","   21","    4","    0","    1","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    7","    6","   43","    6","    4","    0","   18","    0","    0","    0","    0","    0","    2"
"12414",NA,NA,"  275","    0","    0","    0","   95","    3","   14","   34","    0","    0","    0","    4","    7","    0","    0","   21","    0","    0","    6","    0","    1","    1","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    1","   11","    0","   49","    0","    0","    0","    7","    0","    1","    0","    0","    0","    0"
"12715",NA,NA,"  280","    0","    0","    0","   59","    0","    4","   22","    0","    1","    0","    3","    6","    0","    0","   13","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   11","    3","   74","    0","    1","    1","   17","    0","    0","    0","    0","    0","    0"
"13016",NA,NA,"  285","    0","    0","    0","   45","    0","   13","   43","    0","    3","    0","    3","    1","    0","    0","   22","    0","    4","    8","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   76","    0","    2","    1","   13","    0","    0","    0","    0","    0","    1"
"13257",NA,NA,"  289","    0","    0","    0","   57","    0","   14","   27","    0","    1","    0","    3","    7","    0","    0","   13","    0","    1","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   94","    0","    0","    1","   15","    0","    0","    0","    0","    0","    0"
"13658",NA,NA,"  295","    0","    0","    0","   95","    0","    7","   38","    0","    3","    0","    3","    1","    0","    0","   21","    0","    0","    3","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    1","    0","    3","    0","    0","   70","    0","    8","    1","   10","    0","    0","    0","    0","    0","    0"
"14000",NA,NA,"  300","    1","    0","    0","   39","    4","    3","   31","    0","    0","    0","    0","    7","    0","    0","    8","    0","   10","   13","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    3","    1","    8","   70","    0","    0","    0","    8","    0","    0","    0","    0","    0","    1"
