"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alchemilla t.","Alnus","Amaranthaceae undif.","Anagallis t.","Angiospermae undiff. (herbs)","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Bryophyta undiff.","Buxus","Calligonum","Callitriche","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Celastraceae undif.","Celtis","Centaurea","Ceratophyllum","Cichorieae","Cistaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Elatine","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Gentiana t.","Geranium","Hedera","HippophaÃ«","Hypericum undif.","Ilex","Indeterminable","Indeterminable (concealed)","Indeterminable (crumpled)","Juglans","Lamiaceae undif.","Larix","Lemnaceae","Linum t.","Lonicera","Lotus t.","Malva undif.","Menyanthes","Mercurialis","Morella","Musci","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myriophyllum undif.","Nuphar","Nymphaea","Olea t.","Onagraceae","Ononis t.","Ostrya","Oxyria","Papaver t.","Pedicularis","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus subg. Strobus","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Polypodiophyta undiff.","Populus","Potamogeton","Potentilla t.","Primulaceae undif.","Prunus t.","Pterocarya","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Resedaceae undiff.","Rhamnaceae undif.","Rosa t.","Rosaceae undif.","Rumex t.","Rutaceae undif.","Salix","Sambucus","Samolus","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Scrophulariaceae undif.","Spermatophyta undiff. (trees/shrubs)","Tamarix","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Unknown undiff.","Urtica t.","Valeriana t.","Viburnum","Viola","Viscum","Vitis","cf. Frangula/Bruckenthalia","cf. Larix","cf. Trichomanes"
"   914.0",NA,NA,"   60.00","2","0","0","94","2","0","0","1","4","4","0","1","2","0","1","0","0","0","0","0","5","1","15","0","7","0","0","0","0","0","1","0","0","5","0","1","6","0","0","0","1","2","1","0","34","0","0","0","0","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","17","0","0","0","0","0","1","0","0","1","0","3","0","0","48","3","0","0","0","0","0","0","0","0","0","81","0","0","0","0","1","2","0","5","0","0","1","0","1","4","0","0","0","0","0","0","0","2","2","9","2","2","0","0","0","0","3","0","0","0"
"   938.0",NA,NA,"   64.40","1","0","0","78","0","0","6","0","0","4","0","5","0","0","0","0","0","0","0","0","2","0","25","0","1","0","0","0","0","0","0","0","0","24","0","1","1","0","0","0","0","0","0","0","24","1","0","0","4","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","35","0","0","0","0","0","0","0","0","1","2","7","0","0","50","4","0","1","0","6","0","0","0","0","20","195","0","0","0","0","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","1","0","2","3","0","0","0","0","0","0","0","0","0","0","0"
"   941.0",NA,NA,"   65.00","1","0","0","87","2","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","4","0","33","0","0","0","0","0","0","0","0","0","0","4","0","1","1","0","0","0","0","2","0","2","47","8","0","0","4","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","3","0","0","54","0","0","0","0","0","4","0","0","0","0","3","0","0","9","0","0","0","1","1","1","0","0","0","3","165","0","0","0","0","1","0","0","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","4","2","2","0","0","0","0","0","1","0","0","0"
"   969.0",NA,NA,"   67.50","1","1","0","98","0","0","7","0","0","1","0","2","0","0","0","0","0","0","0","0","1","0","29","0","1","0","0","0","0","0","0","0","0","16","0","0","1","0","0","0","0","0","0","0","29","2","0","0","1","0","0","0","1","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","19","0","0","0","0","0","1","0","0","4","0","7","0","0","42","2","0","2","0","1","0","0","0","0","14","145","0","0","0","0","0","1","0","6","0","0","0","0","0","0","4","0","0","0","0","2","0","1","6","0","0","0","0","0","0","0","0","0","0","0"
"  1034.0",NA,NA,"   73.20","0","0","0","80","2","0","7","0","0","5","0","1","0","0","0","0","0","0","0","0","0","0","17","0","2","0","0","0","0","0","0","0","0","15","0","1","2","0","0","0","0","0","0","0","29","5","0","0","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","8","0","0","32","0","0","0","0","0","0","0","0","3","1","11","0","0","55","1","0","4","0","3","0","0","0","0","14","175","0","0","0","0","0","1","0","8","0","0","0","0","0","0","3","0","1","0","0","1","0","4","3","0","0","0","0","0","0","0","1","0","0","0"
"  1110.0",NA,NA,"   80.00","1","0","0","43","4","0","6","0","0","4","0","5","0","0","0","0","0","0","0","0","4","0","15","0","3","0","0","0","0","0","0","0","0","11","0","0","6","0","0","0","0","2","0","0","27","1","0","0","5","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","6","0","0","32","0","0","0","0","0","2","0","0","2","3","5","0","0","87","5","0","9","0","0","0","0","0","0","14","85","0","0","0","0","0","2","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","5","4","0","0","0","0","0","0","0","1","0","0","0"
"  1179.0",NA,NA,"   86.20","0","1","0","56","4","0","6","0","0","5","0","8","0","0","0","0","0","0","0","0","6","0","18","0","1","0","0","0","0","0","0","0","0","8","0","0","9","0","0","0","0","0","0","0","20","5","0","0","3","0","0","0","2","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","4","4","0","0","38","0","0","0","0","0","0","0","0","3","1","12","0","0","57","5","0","4","0","0","0","0","0","0","15","64","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","4","3","0","0","0","0","0","0","0","1","0","0","0"
"  1207.0",NA,NA,"   88.60","1","1","0","65","3","0","8","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","27","0","4","0","0","0","0","0","0","0","0","10","0","1","8","0","0","0","0","1","0","0","29","4","0","0","5","0","0","0","4","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","3","4","0","0","16","0","0","0","0","0","1","0","0","1","2","7","0","0","60","2","0","5","0","4","0","0","0","0","13","78","0","0","0","0","0","1","0","8","0","0","0","0","0","0","1","0","1","0","0","0","0","5","2","0","0","0","0","0","0","0","0","0","0","0"
"  1222.0",NA,NA,"   90.00","0","0","0","69","1","0","0","0","0","1","0","0","4","0","3","0","3","0","0","0","1","0","14","2","8","0","0","0","0","0","1","0","0","4","0","0","2","0","0","0","0","1","1","0","27","0","0","0","4","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","0","0","0","0","0","2","0","0","0","0","5","0","0","13","0","0","0","0","0","0","0","0","0","0","163","0","0","0","0","1","1","0","5","2","0","0","0","1","0","0","0","0","1","0","0","0","0","2","1","0","0","0","0","0","0","1","0","0","0"
"  1233.0",NA,NA,"   91.60","1","0","0","67","0","0","8","0","0","2","0","4","0","0","0","0","0","0","0","0","0","0","17","0","1","0","0","0","0","0","0","0","0","7","0","1","1","0","0","0","0","2","0","0","36","5","0","0","3","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","2","3","0","0","27","0","0","0","0","0","0","0","0","0","5","6","0","0","54","4","0","19","1","0","0","0","0","0","11","81","0","0","0","0","0","1","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","2","6","0","0","0","0","0","0","0","1","0","0","0"
"  1301.0",NA,NA,"  102.10","1","0","0","71","2","0","2","0","0","3","0","3","0","0","0","0","0","0","0","0","0","0","26","0","0","0","0","0","0","0","0","0","0","5","0","0","4","0","0","0","0","1","0","0","71","2","0","0","3","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","5","2","0","0","35","0","0","0","0","0","0","0","0","0","2","1","0","0","32","3","0","27","2","0","0","0","0","0","19","126","0","0","0","0","0","1","0","5","0","0","0","0","0","0","2","0","1","0","0","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0"
"  1313.0",NA,NA,"  104.00","0","1","0","56","2","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","2","0","16","0","3","0","0","0","1","0","0","0","0","11","0","1","0","0","0","0","1","4","0","0","77","4","0","1","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","46","0","0","0","0","0","1","0","0","2","4","4","0","0","34","4","0","0","0","0","0","0","0","0","5","130","1","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0"
"  1378.0",NA,NA,"  108.70","2","1","0","64","4","0","7","0","0","1","0","4","0","0","0","0","0","0","0","0","1","0","25","0","0","0","0","0","0","0","0","0","0","3","0","0","2","0","0","0","0","1","0","0","53","3","0","0","2","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","2","1","0","0","17","0","0","0","0","0","2","0","0","1","3","9","0","0","29","2","0","22","0","0","0","0","0","0","8","92","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","3","0","0","0"
"  1440.0",NA,NA,"  113.30","1","1","0","62","2","0","7","0","0","4","0","2","0","0","0","0","0","0","0","0","0","0","16","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","48","2","0","0","7","0","0","0","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","3","3","0","0","25","0","0","0","0","0","0","0","0","4","0","2","0","0","26","7","0","8","0","0","0","0","0","0","12","101","0","0","0","0","0","0","0","2","0","0","0","0","0","0","3","0","0","0","0","0","0","4","3","0","0","0","0","0","0","0","2","0","0","0"
"  1441.0",NA,NA,"  113.40","1","2","0","36","0","0","6","0","0","2","0","5","0","0","0","0","0","0","0","0","0","0","29","0","3","0","0","0","0","0","0","0","0","5","0","0","2","0","0","0","0","0","0","0","70","5","0","0","4","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","3","3","0","0","22","0","0","0","0","0","0","0","0","3","2","3","0","0","45","5","0","11","1","3","0","0","0","0","9","120","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","1","0","0","0","0","13","4","0","0","0","0","0","0","0","2","0","0","0"
"  1586.0",NA,NA,"  124.00","1","1","0","45","1","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","1","0","32","0","0","0","0","0","0","0","0","0","0","8","0","0","1","0","0","0","0","0","0","0","69","6","0","0","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","10","0","0","47","0","0","0","0","0","3","0","0","0","4","3","0","0","23","3","0","0","0","1","0","0","0","0","15","85","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","2","4","0","0","0","0","0","0","0","0","0"
"  1752.0",NA,NA,"  134.00","0","2","0","33","2","0","0","1","0","0","0","1","3","0","0","0","0","0","0","0","0","0","15","1","3","0","0","0","1","0","0","0","0","5","0","1","2","0","0","0","0","0","0","1","87","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","29","0","0","0","0","0","0","0","0","0","0","2","0","0","22","1","0","0","0","0","0","0","0","0","0","124","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","1","0","0","0","1","0","0","0","0"
"  1836.0",NA,NA,"  144.80","0","1","0","76","0","0","2","0","0","1","0","2","0","0","0","0","0","0","0","0","1","0","73","0","1","0","0","0","0","0","0","0","0","13","0","1","3","0","0","0","0","0","0","0","108","3","0","0","7","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","20","0","0","45","0","0","0","0","0","0","0","0","3","6","7","0","0","16","5","0","2","0","0","0","0","0","0","28","182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","1","3","0","0","0","0","0","0","0","0","0","0","0"
"  1909.0",NA,NA,"  154.00","0","2","0","47","0","0","0","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","67","0","1","0","0","0","0","0","0","0","0","12","0","3","1","0","0","0","0","1","0","0","48","0","0","0","4","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","0","68","0","0","0","0","0","8","0","0","0","8","4","0","0","7","1","0","0","1","0","0","0","0","0","13","95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","1","0","0","0","0","0","0","0","0","0"
"  1946.0",NA,NA,"  159.00","1","1","0","100","0","0","3","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","68","0","0","0","0","0","0","0","0","0","0","14","0","2","0","0","0","0","0","0","0","0","33","1","0","0","8","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","11","0","0","49","0","0","0","0","0","3","0","0","1","6","4","0","0","26","1","0","2","1","0","0","0","0","0","14","164","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","1","0","0","0"
"  2104.0",NA,NA,"  180.40","1","2","0","119","3","0","6","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","53","0","0","0","0","0","0","0","0","0","0","11","0","0","5","0","0","0","0","1","0","0","45","1","0","0","4","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","34","0","0","52","0","0","0","0","0","0","0","0","3","4","8","0","0","28","1","0","3","0","0","0","0","0","0","15","239","0","0","0","0","0","5","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","8","0","0","0","0","0","0","0","0","0","0","0"
"  2106.0",NA,NA,"  180.50","0","0","0","60","0","0","0","0","0","2","0","0","3","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","10","0","9","6","0","0","0","0","1","2","0","21","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","30","0","0","0","0","0","8","0","0","1","0","2","0","0","31","0","0","0","0","0","1","0","0","0","0","204","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"  2186.0",NA,NA,"  184.00","0","1","0","54","1","0","0","0","1","2","0","0","2","0","1","0","0","0","0","0","1","0","39","0","0","0","0","0","1","0","0","0","0","16","0","1","6","0","0","0","0","2","0","0","37","2","0","0","4","0","0","0","0","0","0","0","0","0","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","52","0","0","0","0","0","3","0","0","0","1","6","0","0","17","0","0","0","1","0","0","0","0","0","9","172","1","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","1","1","0","0","0","0","2","1","3","0","0","0","0","0","0","0","0","0"
"  2352.0",NA,NA,"  194.00","0","2","0","100","2","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","41","0","0","0","0","0","1","0","0","0","0","9","0","1","6","0","0","0","0","1","0","0","15","3","0","1","2","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","37","0","0","0","0","0","2","0","0","1","0","2","0","0","19","1","0","0","0","0","0","0","0","0","20","124","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","2","0","0","0","0","0","0","0","0","0","0"
"  2394.0",NA,NA,"  199.10","1","0","0","83","2","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","41","0","0","0","0","0","0","0","0","0","0","9","0","2","2","0","0","0","0","1","0","0","16","5","0","0","5","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","17","0","0","28","0","0","0","0","0","0","0","0","2","3","5","0","0","37","3","0","4","0","0","0","0","0","0","27","146","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","9","2","0","0","0","0","0","0","0","1","0","0","0"
"  2520.0",NA,NA,"  214.90","12","0","0","125","1","0","10","0","0","4","0","2","0","0","0","0","0","0","0","0","0","0","88","0","0","0","0","0","0","0","0","0","0","66","0","0","2","0","0","0","0","1","0","0","51","3","0","0","5","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","6","0","0","57","0","0","0","0","0","0","0","0","1","3","2","0","0","35","8","0","0","0","0","0","0","0","0","13","106","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","6","5","0","0","0","0","0","0","0","3","0","0","0"
"  2565.0",NA,NA,"  220.50","0","0","0","69","0","0","0","1","0","2","0","0","4","0","2","0","0","0","0","0","0","0","38","0","3","0","0","0","0","0","1","0","2","20","0","0","1","0","0","0","0","2","0","0","27","1","0","0","1","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","6","0","0","17","3","0","0","0","0","0","0","0","0","0","4","0","0","33","0","0","0","0","0","0","0","0","0","6","117","1","0","0","0","0","8","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0"
"  2648.0",NA,NA,"  225.50","4","1","0","69","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","28","0","0","0","0","0","2","0","0","0","0","23","0","2","5","0","0","0","0","2","0","0","33","2","0","0","2","0","0","0","1","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","41","0","0","0","0","0","0","0","0","3","1","3","0","0","28","4","0","0","0","0","0","0","0","0","13","105","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","4","0","0","0","0","0","3","1","1","0","0","0","0","0","1","0","0","0"
"  2823.0",NA,NA,"  236.00","11","1","0","23","1","0","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","46","0","0","0","0","0","0","0","0","0","0","82","0","0","2","0","0","0","0","1","0","0","19","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","0","28","0","0","0","0","0","0","0","0","0","0","3","0","0","34","0","0","4","0","0","0","0","0","0","23","32","0","0","0","0","0","1","0","1","0","0","0","0","0","0","3","0","2","0","0","1","0","1","6","0","0","0","0","0","0","0","0","0","0","0"
