"Depth","Age (ky BP)","Abies","Acacia t.","Acanthaceae undif.","Acer","Acritarcha","Aellenia type","Algae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Aristolochiaceae","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Campanulaceae","Caprifoliaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Ceratonia","Cercis","Cichorieae","Cistaceae","Combretaceae","Conncentricystes rubinus","Corylus","Crassulaceae","Cryptomeria","Cupressaceae","Cycas","Cyperaceae","Dacrydium","Dipsacaceae","Echinops","Elatinaceae","Encephalartos","Ephedra","Equisetaceae","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Faidherbia albida","Fern","Fern-Lycopodiaceae","Fraxinus","Fungi","Gentianaceae undif.","Geraniaceae undif.","Hypolepidaceae","Hystrichosphaeridium","Hystrichosphaeridium israelianum","Icacinaceae","Lamiaceae undif.","Lemnaceae","Loranthus","Malva undif.","Musci","Myriophyllum undif.","Myrtus","Nymphaea","Olea t.","Onagraceae","Operculodinium","Ostrya","Papaver t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Podocarpus","Polygonum t.","Polysphaeridium zohary","Populus","Potamogeton","Primulaceae undif.","Protist","Pterospermopsis van campo","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Rutaceae undif.","Salix","Salvadora","Saxifragaceae","Scrophulariaceae t.","Scrophulariaceae undif.","Searsia","Selaginellaceae","Sium (apium) type","Solanaceae undif.","Sparganium","Tamarix","Thymelaeaceae undif.","Tilia","Tsuga","Typha","Ulmus t.","Valerianaceae undif.","Vitis","Ziziphus/Paliurus","Zygophyllaceae undif.","sequoiadendron"
"106.00","  6.41","  7.00","  0.00","  0.00","  0.00","  2.00","  0.00","  1.00","  0.00"," 49.00","  2.00","  0.00","  7.00","  1.00","  5.00","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  2.00","  5.00","  1.00","  1.00","  0.00","  2.00","  0.00","  0.00","  2.00","  0.00","  0.00","  1.00","  0.00","  1.00"," 63.00","  0.00","  0.00","  0.00","  0.00","  0.00","  7.00","  0.00","  0.00","  0.00","  4.00","  0.00"," 44.00","  0.00","  1.00","  2.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  4.00","  4.00","  0.00","  0.00","  6.00","  0.00","  0.00","  0.00","  9.00","  0.00","  0.00","  1.00","  1.00","  6.00","  5.00","  0.00"," 43.00","  0.00","  0.00","  2.00","  1.00","  1.00","  0.00","  0.00","  2.00","  2.00","  0.00","  0.00","  0.00","  2.00"," 27.00","  1.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00"
"116.0","  7.2","  7.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"," 71.0","  3.0","  0.0","  7.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  6.0","  0.0","  2.0","  0.0","  0.0","  0.0"," 77.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 13.0","  0.0","  2.0","  0.0","  4.0","  0.0"," 18.0","  9.0","  5.0"," 35.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  2.0","  2.0","  0.0","  0.0","  6.0","  0.0","  1.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  8.0","  0.0"," 43.0","  0.0","  0.0","  2.0","  1.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  5.0"," 14.0","  1.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"121.00","  7.45","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 91.00","  5.00","  0.00"," 13.00","  0.00","  7.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  1.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  3.00","  0.00","  0.00","  0.00"," 55.00","  0.00","  0.00","  0.00","  0.00","  0.00","  7.00","  0.00","  0.00","  0.00","  4.00","  0.00","  5.00","  0.00","  6.00"," 15.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  3.00","  0.00","  4.00","  0.00","  0.00","  0.00","  4.00","  0.00"," 28.00","  0.00","  0.00"," 15.00","  3.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 14.00"," 17.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00"
"126.00","  7.75","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00"," 85.00","  8.00","  0.00","  6.00","  0.00","  1.00","  4.00","  0.00","  0.00","  0.00","  0.00","  1.00","  6.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","136.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 11.00","  0.00","  0.00","  0.00"," 12.00","  0.00","  7.00","  0.00","  1.00","  6.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  8.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  6.00","  8.00","  0.00","  8.00","  0.00","  3.00","  3.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 18.00"," 31.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"133.00","  8.01","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 90.00","  3.00","  0.00"," 10.00","  1.00","  3.00","  2.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  1.00","  0.00","  5.00","  1.00","  1.00","  0.00"," 90.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 13.00","  0.00","  0.00","  0.00","  3.00","  0.00"," 17.00","  0.00","  3.00"," 61.00","  0.00","  1.00","  0.00","  0.00","  1.00","  0.00","  2.00","  5.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  6.00","  0.00","  0.00","  0.00","  0.00","  1.00"," 10.00","  0.00"," 23.00","  0.00","  0.00","  8.00","  5.00","  0.00","  0.00","  0.00","  1.00","  3.00","  0.00","  0.00","  2.00","  6.00"," 22.00","  4.00","  0.00","  2.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"136.00","  8.16","  1.00","  0.00","  1.00","  0.00","  0.00","  0.00","  1.00","  1.00"," 80.00","  3.00","  0.00"," 32.00","  1.00","  8.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  1.00","  0.00","  1.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 32.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 12.00","  0.00","  0.00","  0.00","  2.00","  0.00","  8.00","  0.00","  2.00"," 21.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  2.00","  0.00","  0.00","  1.00"," 13.00","  0.00","  0.00","  0.00","  2.00","  0.00","  5.00","  0.00","  0.00","  0.00","  1.00","  0.00"," 20.00","  2.00","  1.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  8.00","  0.00","  0.00","  0.00","  5.00","  7.00","  1.00","  0.00","  1.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"138.00","  8.25","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 98.00","  4.00","  0.00","  6.00","  0.00","  8.00","  1.00","  0.00","  1.00","  0.00","  0.00","  1.00","  1.00","  0.00","  0.00","  1.00","  2.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  2.00","  0.00"," 29.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  1.00","  0.00","  2.00","  0.00","  5.00"," 12.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  1.00","  0.00","  0.00","  5.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  9.00","  0.00","  7.00","  0.00","  4.00"," 21.00","  5.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  8.00"," 27.00","  2.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  1.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"142.00","  8.45","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","104.00"," 12.00","  0.00"," 13.00","  0.00"," 13.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  1.00","  0.00","  3.00","  3.00","  3.00","  0.00","  0.00"," 61.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 20.00","  0.00","  0.00","  1.00","  2.00","  0.00","  8.00","  0.00","  3.00"," 21.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  6.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 12.00","  0.00"," 11.00","  0.00","  1.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  6.00","  0.00","  0.00","  1.00","  7.00"," 19.00","  2.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00"
"157.00","  9.15","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  3.00","  1.00"," 91.00","  8.00","  0.00","  6.00","  0.00","  8.00","  1.00","  0.00","  3.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00"," 34.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 12.00","  0.00","  0.00","  0.00","  3.00","  0.00","  7.00","  0.00","  4.00","  6.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  4.00","248.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  7.00","  0.00","  0.00","  0.00","  0.00","  5.00"," 11.00","  0.00","  3.00","  0.00","  1.00","  1.00","  2.00","  0.00","  0.00","  0.00","  0.00"," 24.00","  0.00","  0.00","  0.00"," 21.00"," 20.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"163.00","  9.44","  0.00","  0.00","  0.00","  0.00","  4.00","  0.00","  0.00","  0.00","102.00"," 11.00","  0.00","  6.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 41.00","  0.00","  0.00","  0.00","  5.00","  0.00"," 12.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  5.00"," 27.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  5.00","  6.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  1.00"," 12.00","  0.00","  1.00","  0.00","  0.00"," 10.00","  1.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00"," 10.00"," 43.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"173.0","  9.9","  3.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","141.0","  4.0","  0.0"," 12.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0"," 40.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 17.0","  0.0","  1.0","  0.0","  1.0","  0.0","  8.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0"," 28.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  3.0","  0.0","  0.0","  0.0","  0.0","  1.0","  3.0","  0.0"," 13.0","  0.0","  1.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  2.0"," 12.0","  1.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0"
"186.00"," 10.39","  1.00","  0.00","  0.00","  0.00","  2.00","  0.00","  2.00","  0.00"," 90.00","  2.00","  0.00"," 18.00","  1.00","  3.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  8.00","  1.00","  1.00","  0.00","  1.00","  2.00","  0.00","  1.00","  0.00"," 52.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 10.00","  0.00","  0.00","  0.00","  2.00","  0.00"," 15.00","  0.00","  2.00"," 18.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  5.00","  0.00","  0.00","  1.00","  1.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  7.00","  0.00","  8.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  2.00","  0.00","  0.00","  5.00"," 18.00","  2.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"196.00"," 10.81","  2.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  2.00"," 56.00","  4.00","  0.00"," 19.00","  0.00","  9.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  1.00","  0.00","  5.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  2.00","  3.00","  4.00","  0.00"," 52.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 24.00","  0.00","  0.00","  0.00","  3.00","  0.00","  3.00","  2.00","  2.00"," 38.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  2.00","  0.00","  0.00","  9.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  2.00","  2.00","  0.00"," 18.00","  0.00","  0.00","  2.00","  1.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  2.00"," 19.00","  4.00","  0.00","  1.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  4.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"206.0"," 11.2","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0"," 43.0","  6.0","  0.0"," 61.0","  0.0","  9.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  2.0","  0.0","  4.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  9.0","  0.0","  1.0","  6.0","  0.0","  0.0"," 35.0","  0.0","  2.0","  1.0","  0.0","  0.0"," 12.0","  0.0","  0.0","  0.0","  3.0","  0.0"," 11.0","  1.0","  1.0","  9.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0"," 12.0","  0.0","  2.0","  1.0","  2.0","  0.0","  0.0","  0.0","  0.0","  1.0","  5.0","  0.0"," 13.0","  0.0","  1.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0"," 11.0","  0.0","  0.0","  0.0","  7.0"," 12.0","  0.0","  0.0","  1.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"221.00"," 11.85","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 55.00","  2.00","  0.00"," 64.00","  0.00","  5.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  4.00","  0.00","  4.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00"," 12.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 69.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 13.00","  0.00","  2.00","  0.00","  6.00","  0.00"," 22.00","  3.00","  0.00"," 38.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  7.00","  6.00","  0.00","  0.00"," 34.00","  0.00","  0.00","  0.00","  1.00","  1.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00"," 31.00","  0.00","  1.00","  2.00","  0.00","  0.00","  2.00","  0.00","  0.00"," 15.00","  0.00","  0.00","  0.00","  9.00"," 14.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"231.00"," 12.28","  1.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 71.00","  0.00","  0.00"," 17.00","  1.00","  5.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  1.00","  1.00","  0.00","  1.00","  0.00","  0.00","  0.00"," 38.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 18.00","  0.00","  0.00","  0.00","  1.00","  0.00","  5.00","  1.00","  4.00"," 16.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  1.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  1.00","  0.00","  1.00","  7.00","  0.00"," 23.00","  1.00","  0.00","  9.00","  4.00","  1.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  4.00"," 17.00","  2.00","  1.00","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00"
"243.00"," 12.73","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00"," 62.00","  0.00","  0.00"," 20.00","  0.00","  8.00","  2.00","  0.00","  0.00","  0.00","  4.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  2.00","  0.00","  4.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 30.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 10.00","  0.00","  0.00","  0.00","  2.00","  0.00","  4.00","  0.00","  0.00","  5.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00"," 13.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00"," 46.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  4.00","  2.00","  0.00","  0.00","  4.00"," 12.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"256"," 14","  1","  0","  0","  0","  0","  0","  0","  0"," 43","  2","  0"," 18","  0","  2","  2","  0","  0","  0","  0","  0","  2","  0","  4","  1","  0","  0","  0","  1","  1","  4","  0","  3","  0","  0","  0"," 18","  0","  0","  0","  0","  0","  8","  0","  0","  0","  3","  0","  4","  0","  0"," 15","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  5","  0","  1","  0","  4","  0","  0","  0","  0","  0","  3","  0"," 59","  1","  2","  5","  1","  1","  4","  0","  0","  4","  0","  0","  0","  5"," 15","  3","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"265.0"," 14.6","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 60.0","  0.0","  0.0"," 20.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 20.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 14.0","  0.0","  0.0","  0.0","  4.0","  0.0","  8.0","  0.0"," 10.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0"," 30.0","  0.0","  0.0","  2.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  8.0"," 22.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0"
"283.0"," 15.5"," 12.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 28.0","  2.0","  0.0"," 33.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  7.0","  0.0","  0.0","  1.0","  0.0","  0.0"," 33.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 23.0","  1.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0"," 12.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  5.0","  0.0","  0.0","  8.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  3.0","  0.0"," 77.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  3.0","  7.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  2.0"
"300"," 17","  1","  0","  0","  0","  0","  0","  0","  0"," 74","  0","  0"," 61","  0","  7","  1","  0","  2","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  3","  2","  7","  0","  0","  1","  0","  0"," 29","  0","  0","  1","  0","  0"," 14","  0","  0","  0","  1","  0","  4","  0","  0","120","  0","  0","  0","  0","  0","  0","  3","  3","  0","  0"," 19","  0","  4","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 13","  0","  0","  0","  0","  1","  0","  0","  0","  5","  0","  0","  0","  7","  4","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"323.0"," 18.8","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  1.0","  0.0"," 89.0","  2.0","  0.0"," 45.0","  0.0","  9.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  2.0","  0.0","  1.0","  1.0","  0.0","  0.0","  3.0","  0.0","  1.0"," 12.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 22.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 16.0","  2.0","  0.0","  0.0","  1.0","  0.0"," 16.0","  3.0","  0.0"," 43.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  3.0","  3.0","  0.0","  0.0"," 23.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0"," 21.0","  0.0","  0.0","  1.0","  0.0","  1.0","  2.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"
