"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Acer","Adiantum capillus-veneris","Alchemilla t.","Algae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Berberis t.","Betula","Brassicaceae","Bryophyta (trilete)","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Erodium","Fabaceae Undif.","Faboideae Undif.","Fallopia","Fern","Fraxinus","Fungi","Genisteae","Hypecoum","Indeterminable","Juglans","Juncaceae","Lamiaceae undif.","Lycopodium spike","Olea t.","Ononis t.","Papaver t.","Paronychieae","Pedicularis","Petaloid monocot","Phillyrea","Pinus nigra/sylvestris t.","Pinus pinaster","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygala","Primula","Prunus t.","Pseudoschizaea","Pteridophyta (monolete)","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Riccia cf. R. sorocarpa (type 165, HdV)","Rubiaceae undif.","Salix","Spirogyra (psilate)","Spirogyra (type 132, HdV)","Taxus","Thalictrum","Thymelaeaceae undif.","Typha","Ulmus t.","Unknown (type 128, HdV)","Vitis","charcoal"
"2425.5",NA,NA,"  32.0","  44.0","   0.0","   0.0","   0.0","  56.0","   0.0","   4.0","   0.0","   0.0","  16.0","   0.0","  18.0","   0.0","   0.0","   7.0","  12.0","   1.0","   0.0","   4.0","   0.0","   0.0","   0.0","   3.0","   8.0","   0.0","   6.0","   6.0","   0.0","   0.0","   0.0"," 103.0","   0.0","   6.0","   7.0","   0.0","   0.0","   4.0","   0.0","   1.0","   0.0","  32.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0"," 234.0","  13.0","   0.0","   0.0","   0.0","  19.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   2.0","   3.0","   0.0","   3.0","   8.0","   0.0","   0.0","   8.0","   8.0","   0.0","   0.0","   0.0","   1.0","   0.0","  18.0","   0.0","  91.0"
"2510.5",NA,NA,"  34.0","  28.0","   0.0","   0.0","   0.0","  91.0","   0.0","   0.0","   0.0","   0.0","   5.0","   0.0","  24.0","   0.0","   0.0","  21.0","  11.0","   3.0","   0.0","   4.0","   2.0","   0.0","   0.0","   3.0","  18.0","   1.0","   0.0","   8.0","   0.0","   1.0","   0.0","  50.0","   0.0","   5.0","  14.0","   0.0","   0.0","   9.0","   0.0","   0.0","   0.0","  46.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 221.0","  12.0","   0.0","   0.0","   0.0","  16.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   6.0","   3.0","   0.0","   0.0","   5.0","   1.0","   0.0","   0.0","   7.0","   0.0","   0.0","   0.0","   1.0","   0.0","  14.0","   0.0","  89.0"
"2590",NA,NA,"  36","  31","   0","   0","   0","  87","   0","   6","   0","   0","  21","   0","  42","   0","   0","   6","  14","   2","   0","  10","   2","   0","   0","   2","   6","   0","   0","   0","   0","   0","   0","  46","   0","   0","   3","   0","   0","   4","   0","   0","   0","  28","   0","   0","   0","   0","   0","   0","   0"," 138","   4","   0","   0","   0","  21","   0","   0","   0","   0","   0","   0","   1","   3","   0","   2","   8","   0","   0","  13","   4","   0","   0","   0","   0","   0","  12","   0","  59"
"2666.2",NA,NA,"  38.0","  45.0","   0.0","   0.0","   0.0","   1.0","   0.0","   9.0","   0.0","   0.0","   8.0","   0.0","  20.0","   0.0","   0.0","   6.0","  10.0","   0.0","   0.0","   2.0","   1.0","   0.0","   0.0","   6.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   8.0","   0.0","   0.0","   7.0","   0.0","   0.0","  12.0","   0.0","   0.0","   2.0","  68.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","  43.0","   0.0","   0.0","   0.0","   0.0","  73.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   1.0","   1.0","   0.0","   0.0","  13.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","  95.0","   0.0","  85.0"
"2744.5",NA,NA,"  40.0","  38.0","   0.0","   0.0","   0.0","   0.0","   0.0","  14.0","   0.0","   0.0","  23.0","   0.0","  38.0","   0.0","   0.0","   2.0","  11.0","   1.0","   0.0","   6.0","   1.0","   0.0","   0.0","   5.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   6.0","   0.0","   0.0","   0.0","  44.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  51.0","   0.0","   0.0","   0.0","   0.0","  99.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  10.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 102.0","   0.0","  71.0"
"2876.9",NA,NA,"  44.0","  35.0","   0.0","   0.0","   0.0","   2.0","   0.0","  12.0","   0.0","   0.0","  41.0","   0.0","  27.0","   0.0","   0.0","   2.0","   7.0","   0.0","   0.0","   3.0","   3.0","   0.0","   0.0","  15.0","   0.0","   1.0","   2.0","   0.0","   0.0","   0.0","   0.0","  19.0","   0.0","   0.0","   0.0","   0.0","   0.0","   9.0","   0.0","   0.0","   8.0","  38.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","  25.0","   0.0","   0.0","   0.0","   0.0"," 103.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","  20.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","  76.0","   0.0","  39.0"
"3010.5",NA,NA,"  50.0","  46.0","   0.0","   0.0","   0.0","   0.0","   0.0","   9.0","   0.0","   0.0","  39.0","   0.0","  71.0","   0.0","   0.0","  11.0","   3.0","   1.0","   0.0","   9.0","   3.0","   0.0","   0.0","  12.0","   0.0","   1.0","  11.0","   0.0","   0.0","   0.0","   0.0","  13.0","   0.0","   0.0","   0.0","   0.0","   0.0","   6.0","   0.0","   0.0","  12.0","  68.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","  39.0","   0.0","   0.0","   0.0","   0.0","  69.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  19.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  86.0","   0.0"," 101.0"
"3087.6",NA,NA,"  54.0","  35.0","   0.0","   0.0","   0.0","   2.0","   0.0","   3.0","   0.0","   0.0","  23.0","   0.0"," 100.0","   0.0","   0.0","   1.0","  11.0","   1.0","   0.0","  12.0","  11.0","   0.0","   0.0","   7.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","  21.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","  12.0","  73.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","  39.0","   0.0","   0.0","   0.0","   0.0"," 128.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","  12.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  86.0","   0.0","  97.0"
"3164.9",NA,NA,"  58.0","  48.0","   0.0","   1.0","   0.0","   0.0","   0.0","  15.0","   0.0","   0.0","  29.0","   0.0","  26.0","   0.0","   0.0","   1.0","  12.0","   0.0","   0.0","   2.0","   1.0","   0.0","   0.0","   9.0","   0.0","   0.0","   8.0","   0.0","   0.0","   0.0","   0.0","  17.0","   0.0","   2.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   2.0","  65.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","  32.0","   0.0","   0.0","   0.0","   0.0","  71.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   8.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","  53.0","   0.0","  44.0"
"3282.2",NA,NA,"  64.0","  25.0","   0.0","   0.0","   0.0","   0.0","   0.0","   8.0","   0.0","   0.0","  24.0","   0.0","  40.0","   0.0","   0.0","   5.0","   6.0","   1.0","   0.0","   6.0","   1.0","   0.0","   0.0","  36.0","   0.0","   1.0","   7.0","   0.0","   0.0","   0.0","   0.0","  20.0","   0.0","   0.0","   0.0","   0.0","   0.0","   8.0","   0.0","   0.0","  34.0","  35.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","  51.0","   0.0","   0.0","   0.0","   0.0"," 110.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  12.0","   2.0","   0.0","   0.0","   9.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","  55.0","   0.0","  99.0"
"3404.4",NA,NA,"  70.0","  18.0","   0.0","   0.0","   0.0","  19.0","   0.0","   6.0","   0.0","   0.0","  28.0","   0.0","  75.0","   0.0","   0.0","   4.0","   9.0","   2.0","   0.0","   3.0","   0.0","   0.0","   0.0","  32.0","   3.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0","   8.0","   0.0","   0.0","   0.0","   0.0","   0.0","   6.0","   0.0","   0.0","  40.0","  29.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","  71.0","   0.0","   0.0","   0.0","   0.0"," 105.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   2.0","   0.0","   0.0","   0.0","  28.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","  89.0","   0.0","  53.0"
"3483.1",NA,NA,"  74.0","  42.0","   0.0","   0.0","   0.0","  16.0","   0.0","   4.0","   0.0","   0.0","  17.0","   0.0","  60.0","   0.0","   0.0","   3.0","   8.0","   6.0","   0.0","   6.0","   0.0","   0.0","   0.0","  10.0","   0.0","   2.0","   7.0","   0.0","   0.0","   0.0","   0.0","  17.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   4.0","  28.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","  36.0","   2.0","   0.0","   0.0","   0.0"," 116.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  21.0","   0.0","   0.0","   2.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","  44.0","   0.0","  86.0"
"3559.3",NA,NA,"  78.0","  32.0","   0.0","   0.0","   0.0","   2.0","   0.0","   7.0","   1.0","   0.0","  23.0","   0.0"," 106.0","   0.0","   0.0","   2.0","   4.0","   1.0","   0.0","  14.0","   0.0","   0.0","   0.0","  11.0","   0.0","   0.0","   6.0","   0.0","   0.0","   0.0","   0.0","  14.0","   0.0","   0.0","   0.0","   0.0","   0.0","   7.0","   0.0","   0.0","  18.0","  31.0","   0.0","   0.0","   0.0","   0.0","   0.0","  11.0","   0.0","  17.0","   1.0","   0.0","   0.0","   0.0","  85.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   1.0","   2.0","   0.0","   0.0","   7.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  61.0","   0.0","  27.0"
"3597.1",NA,NA,"  80.0","  23.0","   0.0","   0.0","   0.0","  12.0","   0.0","  12.0","   0.0","   0.0","  36.0","   0.0","  91.0","   0.0","   0.0","   3.0","   1.0","   4.0","   0.0","   7.0","   0.0","   0.0","   0.0","   9.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   3.0","   0.0","   0.0","  13.0","   0.0","   0.0","   8.0","  37.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","  26.0","   3.0","   0.0","   0.0","   0.0"," 110.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  30.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  73.0","   0.0"," 120.0"
"3634.8",NA,NA,"  82.0","  26.0","   0.0","   0.0","   0.0","   5.0","   0.0","  12.0","   0.0","   0.0","  41.0","   0.0","  95.0","   0.0","   0.0","   0.0","   2.0","   1.0","   0.0","   3.0","   1.0","   0.0","   0.0","  36.0","   0.0","   2.0","  12.0","   0.0","   0.0","   0.0","   0.0","  11.0","   0.0","   0.0","   0.0","   0.0","   0.0","  12.0","   0.0","   0.0","  18.0","  77.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","  29.0","   1.0","   0.0","   0.0","   0.0"," 151.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  11.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  56.0","   0.0","  25.0"
"3672.9",NA,NA,"  84.0","  31.0","   0.0","   0.0","   0.0","  15.0","   0.0","  16.0","   0.0","   0.0","  56.0","   0.0"," 117.0","   0.0","   0.0","   0.0","   3.0","   2.0","   0.0","   7.0","   0.0","   0.0","   0.0","   7.0","   0.0","   0.0","  16.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","  17.0","   0.0","   0.0","  18.0","  38.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  28.0","   0.0","   0.0","   0.0","   0.0"," 169.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   0.0","  25.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  57.0","   0.0","  90.0"
"3710.1",NA,NA,"  86.0","  28.0","   0.0","   0.0","   0.0","  42.0","   0.0","   2.0","   0.0","   0.0","   3.0","   0.0","   9.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","  26.0","   0.0","   3.0","   1.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","  51.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 107.0","   3.0","   0.0","   0.0","   0.0","  21.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   3.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   1.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","  31.0","   0.0","  14.0"
"3746.9",NA,NA,"  88.0","  25.0","   0.0","   0.0","   0.0","   2.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   6.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   8.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","  35.0","   8.0","   4.0","   0.0","   0.0","   0.0","   7.0","   0.0","   0.0","   0.0","  46.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 146.0","   0.0","   0.0","   0.0","   0.0","  36.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  36.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  81.0","   0.0","  22.0"
"3783.2",NA,NA,"  90.0","  30.0","   0.0","   0.0","   0.0","  32.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   8.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   8.0","   0.0","   0.0","   0.0","   8.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 125.0","   1.0","  12.0","  21.0","   0.0","   0.0","   7.0","   0.0","   0.0","   4.0","  47.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  70.0","   0.0","   0.0","   0.0","   0.0","  34.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","  18.0","   0.0"," 135.0"
"4337.7",NA,NA,"  96.0","  21.0","   0.0","   0.0","   0.0","  23.0","   0.0","   6.0","   0.0","   0.0","   1.0","   0.0","  21.0","   0.0","   0.0","   0.0","   6.0","   2.0","   0.0","  21.0","   0.0","   0.0","   0.0","   9.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  49.0","   0.0","   2.0","  21.0","   0.0","   0.0","  12.0","   0.0","   0.0","   0.0","  46.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 125.0","   7.0","   0.0","   0.0","   0.0","  42.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","  10.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  15.0","   0.0","   0.0","   0.0","   0.0","   0.0","  25.0","   0.0","  13.0"
"5168.9",NA,NA," 102.0","  20.0","   1.0","   1.0","   0.0"," 116.0","   0.0","   0.0","   0.0","   0.0","  13.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  11.0","   8.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 120.0","   0.0","  38.0","  27.0","   0.0","   0.0","   8.0","   0.0","   0.0","   0.0","  29.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 175.0","  13.0","   0.0","   0.0","   0.0","  26.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","  39.0","   0.0","   0.0","   0.0","   1.0","   0.0","  24.0","   0.0","  25.0"
