"Sample age (cal yr BP) [cal yr BP]","depth (cm) [cm]","Abutilon t.","Acacia t.","Acalypha","Acanthaceae undif.","Adansonia digitata","Aerva type","Aeschynomene","Aizoaceae t.","Alchornea","Algae","Amaranthaceae undif.","Ambrosia t.","Anacardium","Annonaceae","Anthemideae undif.","Anthoceros t.","Artemisia","Asteroideae undif.","Avicennia","Balanites","Brassicaceae","Bridelia","Caesalpiniaceae undif.","Capparaceae undif.","Capparis","Cardueae undif.","Caryophyllaceae undif.","Cassia","Casuarina","Celtis","Centaurea","Chrozophora","Chrysobalanus t.","Cichorieae","Cissus t.","Cleome","Combretaceae","Commelina","Commiphora","Convolvulaceae","Cucumis","Cucurbitaceae undif.","Cyperaceae","Daniellia","Detarium","Dichrostachys","Elaeis","Ephedra","Eriosema","Euphorbia t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagonia","Faidherbia albida","Fern","Fungi","Gomphrena t.","Grewioideae","Hibiscus","Hymenocardia","Hyphaene t.","Hypoestes t.","Indeterminable","Ipomoea","Ixora","Jacquemontia t.","Justicia t.","Kohautia","Lamiaceae undif.","Lannea","Lepistemon","Lobelia","Macaranga","Maerua","Meliaceae undif.","Mitracarpus","Mitragyna/Hallea","Monoletes","Moraceae undif.","Myriophyllum alterniflorum t.","Nyctaginaceae","Nymphaea","Onagraceae","Paronychieae","Pavetta","Petaloid monocot","Phoenix t.","Piliostigma","Pinus undif.","Poaceae","Polygala","Polygonum t.","Portulacaceae t.","Potamogeton","Protist","Pseudoschizaea","Pycnanthus","Resedaceae undiff.","Rhizophora","Rubiaceae undif.","Ruppia","Salix","Salvadora","Sapotaceae undif.","Searsia","Spergularia t.","Spermacoce","Syzygium t.","Tamarindus","Tamarix","Tinospora","Treculia","Tribulus","Trilepisium","Triletes","Typha","Uapaca","Unknown","Urtica t.","Verbena t.","Zanthoxylum","Zygophyllum t."
"2160.364"," 105.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 111.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","  77.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   2.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","  57.000","   2.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000"," 145.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000"," 652.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"2569.727"," 115.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 421.000","   2.000","  16.000","   0.000","   0.000","   1.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   1.000","   0.000","   0.000","   0.000","  50.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   7.000","   1.000","   0.000","   1.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 265.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 164.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"2979.091"," 125.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 296.000","   2.000","   9.000","   0.000","   0.000","   1.000","   0.000","   1.000","   2.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   2.000","   1.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","  66.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","  12.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 466.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 127.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"3388.455"," 135.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 821.000","   4.000","  19.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","  60.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000"," 520.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 196.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"3797.818"," 145.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   3.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   1.000","   0.000","   0.000","   0.000","  43.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","  16.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   1.000","   1.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 243.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  66.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000"
"4207.182"," 155.000","   0.000","   4.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000"," 598.000","   9.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   2.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   4.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","  82.000","   0.000","   2.000","   0.000","   9.000","   0.000","   0.000","   1.000","   0.000","   1.000","   1.000","   0.000","   2.000","   0.000","   3.000","   1.000","   0.000","   0.000","   0.000","   1.000","   9.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   1.000","   1.000","   4.000","   0.000","   1.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","1226.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000"," 135.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"4616.545"," 165.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   2.000"," 613.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   3.000","   0.000","   0.000","   1.000","   0.000","   0.000","  30.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   1.000","   0.000","   0.000","   7.000","   0.000","   6.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000"," 372.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  35.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"5025.909"," 175.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000"," 904.000","   4.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","  65.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000"," 286.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","  16.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   8.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","  44.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"5435.273"," 185.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000"," 398.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  36.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  18.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 186.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  18.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  37.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000"
"5844.636"," 195.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000"," 439.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  11.000","   0.000","   0.000","   0.000","   0.000","   0.000","  74.000","   2.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   3.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","  14.000","   0.000","   0.000","   0.000"," 348.000","   0.000","   0.000","   0.000","   0.000","  11.000","   0.000","   0.000","   0.000","  19.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  65.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"6254"," 205","   0","   0","   0","   0","   1","   0","   0","   0","   2","   2","   1","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   1","   0","   0","   4","   0","   0","   0","   0","   0","  53","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   4","   0","   5","   0","   0","   0","   4","   0","   0","   0","   8","   0","   0","   0"," 238","   0","   0","   0","   0","  30","   1","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   2","  41","   0","   0","   0","   0","   0","   0"
"6510.2"," 215.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   2.0"," 317.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  10.0","   0.0","   0.0","   0.0","   0.0","   0.0","  60.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","  16.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   6.0","   1.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 291.0","   0.0","   0.0","   0.0","   0.0","  22.0","   0.0","   1.0","   0.0","  21.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  50.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0"
"6766.4"," 225.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   3.0"," 256.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   5.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   9.0","   0.0","   0.0","   0.0","   0.0","   0.0","  70.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  27.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","   1.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0"," 284.0","   0.0","   0.0","   0.0","   0.0","   8.0","   0.0","   0.0","   0.0","  33.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","  37.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0"
"7022.6"," 235.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   4.0"," 380.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  10.0","   0.0","   0.0","   1.0","   0.0","   0.0","  88.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","  25.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   6.0","   0.0","   2.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 332.0","   0.0","   0.0","   0.0","   0.0","  22.0","   1.0","   0.0","   0.0","  22.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0"," 138.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"7278.8"," 245.0","   0.0","   2.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   4.0"," 330.0","   8.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  14.0","   1.0","   0.0","   0.0","   0.0","   0.0","  83.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 231.0","   0.0","   1.0","   0.0","   0.0","   5.0","   0.0","   0.0","   1.0","  10.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  66.0","   1.0","   8.0","   0.0","   0.0","   0.0","   0.0"
"7535"," 255","   0","   0","   0","   0","   0","   1","   0","   0","   6"," 387","   4","   2","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0"," 110","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   5","   0","   2","   0","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0"," 386","   0","   0","   0","   0","   5","   3","   0","   0","  24","   0","  10","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"," 160","   0","   0","   0","   0","   0","   0"
"7791.2"," 265.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   2.0"," 209.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   3.0","   0.0","   0.0","   0.0","   1.0","   0.0","  54.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   4.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0"," 202.0","   0.0","   0.0","   0.0","   0.0","  17.0","   0.0","   0.0","   0.0","  14.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   2.0"," 102.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"8047.4"," 275.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   7.0","  26.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   8.0","   0.0","   0.0","   0.0","   0.0","   1.0","  69.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  11.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   7.0","   1.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0"," 121.0","   0.0","   0.0","   0.0","   0.0","  17.0","   2.0","   0.0","   0.0","   6.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","  74.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0"
"8303.6"," 285.0","   0.0","   1.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   1.0","  64.0","  50.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   3.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","  16.0","   0.0","   0.0","   0.0","   0.0","   0.0","  70.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  14.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","  14.0","   0.0","   5.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","  58.0","   0.0","   0.0","   0.0","   0.0","  19.0","   0.0","   0.0","   0.0","  11.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  74.0","   0.0","   2.0","   0.0","   1.0","   0.0","   0.0"
"8559.8"," 295.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   7.0","  42.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","  21.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  12.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   1.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  22.0","   0.0","   0.0","   0.0","   0.0","  34.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  54.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"8816"," 305","   0","   0","   0","   0","   0","   1","   0","   0","   6","   8","  31","   0","   1","   0","   0","   1","   0","   7","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   6","   0","   0","   0","   0","   0","   0","  15","   0","   0","   0","   0","   0","  86","   0","   0","   0","   0","   0","   0","   3","   0","   1","   1","   0","   1","   1","   0","   1","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   1","   0","   9","   0","  18","   0","   2","   0","   3","   0","   0","   0","   2","   1","   0","   0","  65","   0","   0","   0","   0","  22","   0","   0","   0","  40","   0","   0","   1","   0","   0","   0","   2","   9","   0","   0","   0","   0","   0","   0","   0","   0"," 361","   0","   0","   0","   1","   0","   0"
"8843.75"," 315.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   8.00"," 345.00","  20.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","  12.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   7.00","   1.00","   0.00","   0.00","   0.00","   0.00","  64.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   2.00","   0.00","   0.00","   1.00","   0.00","   0.00","   8.00","   1.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   1.00","   0.00","   0.00"," 159.00","   0.00","   0.00","   0.00","   0.00","  20.00","   0.00","   0.00","   0.00","  18.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 247.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00"
