"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Abutilon t.","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Andrachne","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Apium t.","Aristolochia","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Chrozophora","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Datisca cannabina","Dipsacaceae","Echinops","Echium t.","Elaeagnus","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Genisteae","Gentiana t.","Geranium","Hedera","Heliotropium","Hibiscus","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Leontice","Loranthus","Lotus t.","Lysimachia","Lythrum","Malva","Matthiola","Menyanthes","Mercurialis","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myrtus","Nuphar","Nymphaea","Olea t.","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Primula","Prosopis t.","Prunus t.","Psoralea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Solanaceae undif.","Solanum","Sparganium","Spergularia t.","Styrax","Syringa","Tamarix","Thalictrum","Theligonum","Thelypteris palustris-type","Thesium","Thymelaeaceae undif.","Tilia","Tribulus","Trifolium t.","Typha","Ulmus t.","Urtica t.","Valerianella","Verbena t.","Viburnum","Vitis"
NA,NA,NA,"255","  0","  0","  0","  3"," 12","105","  0","  0"," 59","  1"," 58","  1","  0","108","  1"," 14","  0","  6","  1"," 64","  1","  1","  0"," 13","  1"," 21","  0","  1"," 16","  0","168","  0","  0","  0","  0","  4"," 58","  0","  0","  0","  0","  1","  0","  1","  4","  0","  0","  0"," 12","  0","  0","  0","  1","  6","  0","  1","  0","  0","  0","  0","  0"," 36","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  1","  1","  1","  0","  0","  0"," 24","  1","  0","  0","  1","  1","  0"," 19"," 10"," 10","  7","142"," 16","  6","  0","  0","  0","  0","  0","  0","271"," 68","  6","  0","  0","  0","  2"," 10","  2","  6","  0","  0","  0","  0"," 20","  0","  1","  0","  0","  5","  0","  0","  0","  1","  0","  0","  3","  0","  3","  0","  1","  0","  0","  4"
NA,NA,NA,"205","  0","  1","  0","  4"," 35"," 53","  0","  0"," 81","  0"," 43","  0","  0"," 60","  5","  6","  0","  8","  0"," 17","  1","  0","  0"," 34","  0"," 19","  0","  3"," 78","  0","205","  0","  0","  0","  0","  1"," 62","  0","  1","  0","  0","  0","  0","  0"," 13","  0","  0","  0"," 22","  0","  0","  2","  3","  5","  0","  0","  1","  0","  0","  0","  1"," 19","  0","  2","  0","  0","  0","  0","  0","  1","  0","  0","  0","  3","  0","  2","  0","  0","  0"," 24","  0","  2","  0","  0","  0","  0","  9","  4","  7","  0","130"," 11"," 10","  0","  0","  0","  0","  0","  0"," 90"," 42","  9","  0","  0","  0","  3","  2","  0","  0","  0","  0","  0","  0"," 41","  0","  0","  0","  0","  1","  3","  0","  0","  0","  0","  0"," 11","  0","  3","  0","  1","  0","  0","  5"
NA,NA,NA,"225","  0","  0","  0","  0"," 31"," 94","  0","  0"," 56","  0"," 56","  0","  0"," 57","  3"," 24","  0","  8","  0"," 46","  0","  0","  0"," 21","  0"," 14","  0","  4"," 64","  1","271","  0","  0","  0","  0","  0","181","  0","  4","  0","  0","  0","  1","  0"," 15","  0","  2","  0"," 11","  0","  0","  1","  0","  5","  0","  0","  0","  0","  1","  0","  0"," 22","  0","  2","  0","  0","  1","  0","  0","  1","  1","  0","  0","  2","  0","  1","  0","  0","  0","  3","  2","  0","  1","  4","  0","  0","109","  5"," 12","  1","257"," 14","  6","  0","  0","  0","  0","  0","  0","449"," 18","  7","  0","  1","  0","  2","  2","  0","  3","  0","  0","  1","  0"," 46","  1","  0","  0","  0","  4","  1","  0","  1","  2","  0","  0","  5","  1","  2","  1","  0","  0","  0","  1"
NA,NA,NA,"175","  0","  0","  0","  0"," 25"," 49","  0","  0","115","  1"," 37","  0","  1"," 87"," 10","  8","  1","  2","  0"," 22","  0","  0","  0"," 49","  0"," 17","  0","  4","121","  0","353","  1","  0","  0","  1","  1"," 65","  0","  9","  1","  0","  0","  1","  0"," 13","  0","  0","  0"," 31","  0","  0","  0","  1","  3","  0","  0","  2","  0","  0","  1","  0"," 40","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  9","  0","  0","  0","  1","  0","  0"," 60","  1","  2","  0","175"," 19"," 17","  0","  0","  0","  0","  0","  0"," 73"," 14"," 11","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0"," 51","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  7","  1","  1","  0","  2","  0","  0","  4"
NA,NA,NA,"245","  0","  0","  0","  3"," 86"," 56","  1","  0"," 42","  0"," 39","  1","  0"," 73","  2"," 10","  0"," 13","  0"," 48","  0","  0","  0"," 17","  1","  3","  0","  1"," 49","  1","158","  0","  0","  0","  0","  1"," 82","  0","  4","  0","  0","  0","  0","  0"," 12","  1","  0","  1"," 12","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  1","  4","  0","  1","  0","  0","  0","  1","  0","  5","  1","  0","  0","  1","  0","  0","  0","  0","  1","  7","  0","  1","  0","  1","  1","  0"," 16","  3","  3","  6"," 93","  7","  2","  0","  0","  0","  0","  0","  0","312"," 76","  7","  1","  0","  0","  0","  9","  0","  5","  0","  1","  0","  0"," 39","  0","  0","  1","  1","  2","  0","  1","  0","  0","  0","  0","  4","  0","  4","  0","  3","  0","  0","  9"
NA,NA,NA,"330","  0","  0","  0","  0"," 47"," 73","  0","  0"," 30","  0"," 24","  0","  0"," 55","  4"," 11","  0","  1","  0"," 31","  2","  1","  0","  6","  0","  5","  0","  6"," 18","  1","172","  0","  0","  0","  0","  0"," 70","  0","  3","  0","  0","  0","  0","  0","  2","  0","  0","  0","  7","  1","  0","  2","  5","  5","  0","  0","  0","  0","  0","  0","  0"," 21","  0","  1","  1","  0","  0","  0","  1","  0","  1","  0","  0","  4","  1","  0","  0","  0","  0"," 12","  0","  1","  0","  4","  0","  0"," 36","  2","  2","  1","145","  6","  3","  0","  0","  1","  0","  0","  0","165","  6","  7","  2","  0","  0","  1","  2","  0","  1","  1","  0","  0","  1"," 15","  0","  0","  0","  0"," 10","  1","  0","  0","  1","  0","  0","  1","  1","  5","  0","  2","  0","  0","  1"
NA,NA,NA,"265","  0","  0","  0","  2"," 10"," 98","  0","  0"," 60","  0"," 41","  0","  0"," 96","  2"," 13","  1"," 14","  0"," 37","  0","  1","  0","  8","  1","  8","  0","  1"," 24","  2","187","  0","  0","  0","  0","  3"," 73","  0","  1","  0","  1","  0","  2","  0","  1","  0","  0","  1","  9","  0","  1","  0","  5","  3","  0","  0","  0","  0","  0","  1","  0"," 95","  0","  5","  0","  0","  0","  0","  0","  0","  1","  1","  0"," 11","  0","  1","  0","  0","  0"," 46","  0","  0","  0","  2","  1","  0"," 19"," 20","  5","  7","144"," 17","  5","  0","  0","  0","  0","  0","  0","216"," 52","  8","  0","  0","  0","  1"," 13","  0","  1","  0","  0","  0","  0"," 16","  0","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0","  2","  1","  4","  1","  1","  0","  0","  1"
NA,NA,NA,"315","  1","  0","  0","  4","160","108","  0","  1"," 83","  1"," 53","  0","  0","178","  1"," 16","  1","  5","  0"," 24","  0","  0","  0","  7","  1"," 25","  3"," 10"," 68","  0","149","  0","  0","  0","  0","  3"," 30","  2","  3","  0","  0","  0","  1","  0"," 11","  1","  0","  0","  8","  0","  0","  0","  6","  0","  0","  0","  2","  0","  0","  1","  1"," 27","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  1"," 25","  1","  0","  0","  2","  0","  0"," 25","  9","  5","  2"," 65","  5"," 10","  0","  0","  0","  0","  1","  0"," 77"," 47","  5","  0","  0","  0","  5","  1","  0","  6","  0","  0","  0","  0"," 21","  0","  0","  0","  0","  4","  0","  0","  0","  2","  0","  0","  5","  0","  2","  1","  0","  0","  0","  7"
NA,NA,NA,"275","  0","  0","  0","  7"," 22"," 93","  0","  0"," 97","  2"," 59","  0","  0","112","  3"," 21","  1"," 10","  0"," 34","  0","  2","  0"," 14","  0"," 15","  0","  3"," 58","  0","212","  0","  2","  0","  0","  2"," 45","  0","  3","  0","  0","  0","  3","  0","  9","  2","  0","  0"," 13","  0","  0","  0","  6","  1","  1","  0","  1","  0","  0","  1","  2"," 26","  0","  1","  0","  0","  0","  0","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 34","  0","  0","  0","  2","  1","  0","  6"," 10","  3","  5"," 70","  7","  8","  1","  0","  0","  0","  0","  0","109"," 37","  8","  0","  0","  0","  5","  7","  1","  5","  0","  0","  0","  0"," 19","  0","  0","  0","  1","  0","  2","  0","  0","  0","  0","  0"," 11","  0","  5","  0","  0","  0","  0"," 11"
NA,NA,NA,"335","  0","  0","  0","  0"," 54","129","  1","  0"," 76","  2"," 48","  0","  0","130","  2"," 14","  1","  6","  0"," 17","  0","  0","  0","  8","  0"," 15","  1","  2"," 48","  0","143","  0","  0","  1","  1","  2"," 49","  0","  2","  0","  0","  0","  2","  0","  5","  0","  0","  0"," 12","  1","  0","  0","  1","  4","  0","  0","  0","  0","  2","  0","  1"," 12","  0","  1","  0","  0","  0","  0","  0","  1","  0","  1","  0","  1","  1","  1","  0","  1","  0"," 14","  0","  0","  0","  2","  0","  0","  6","  2","  3","  3"," 57","  2","  3","  0","  0","  0","  0","  0","  0","111"," 81","  9","  0","  0","  0","  3","  1","  0","  1","  1","  1","  0","  0"," 30","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  1","  0","  4"
NA,NA,NA,"305","  0","  0","  0","  2","173","123","  0","  1","118","  0"," 66","  0","  0","145","  3"," 12","  3","  2","  0"," 16","  0","  0","  0"," 17","  0"," 15","  0","  6"," 66","  1","111","  2","  0","  0","  0","  2"," 34","  1","  5","  0","  0","  0","  3","  0","  7","  1","  1","  0"," 11","  1","  0","  0","  1","  2","  0","  1","  3","  0","  1","  1","  0"," 22","  0","  1","  0","  2","  1","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 12","  0","  0","  0","  3","  0","  0","  9","  7","  2","  3"," 48","  5"," 12","  0","  1","  0","  1","  1","  1"," 65"," 33","  3","  0","  0","  0","  0","  1","  0","  6","  0","  1","  0","  0"," 10","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  8","  0","  2","  1","  2","  0","  0","  1"
NA,NA,NA,"325","  0","  0","  0","  6"," 95","123","  1","  1"," 74","  1"," 47","  1","  0","135","  5"," 19","  3","  5","  0"," 39","  0","  1","  0"," 10","  1"," 11","  3","  5"," 51","  1","185","  0","  0","  0","  0","  5"," 64","  0","  1","  0","  0","  0","  4","  1","  6","  0","  0","  0"," 16","  0","  1","  2","  2","  3","  0","  0","  0","  0","  1","  0","  0"," 43","  0","  4","  0","  0","  0","  0","  0","  1","  0","  2","  1","  0","  0","  1","  0","  0","  1"," 25","  0","  0","  0","  4","  0","  0"," 17","  4"," 10","  4"," 93","  6"," 12","  0","  0","  0","  1","  0","  0","132"," 69","  3","  0","  0","  0","  5","  6","  1","  7","  0","  0","  0","  0"," 36","  0","  0","  0","  0","  4","  1","  0","  0","  2","  0","  0"," 11","  0","  3","  0","  0","  0","  0","  4"
