"Depth (cm)","Sample code","Acacia t.","Acalypha","Acanthaceae undif.","Alchornea","Alnus","Amaranthaceae undif.","Antidesma t.","Artemisia","Asphodelus t.","Asteroideae undif.","Balanites","Betula","Blighia","Bombax","Borreria t.","Boswellia","Brassicaceae","Bridelia","Calligonum","Canthium","Capparaceae undif.","Caryophyllaceae undif.","Cassia","Cedrus","Celastraceae/Hippocrateaceae","Celtis","Chrozophora","Cichorieae","Cistaceae","Combretaceae","Commiphora","Convolvulaceae","Corylus","Cyperaceae","Diodia","Ephedra","Erica t.","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fagus","Fern","Geraniaceae undif.","Grewioideae","Heliotropium","Hygrophila","Hymenocardia","Hyphaene t.","Indeterminable","Indigofera","Isoberlinia","Justicia/Monechma","Lamiaceae undif.","Lannea","Leea","Macaranga","Marker, added","Marker, found","Mitracarpus","Morella","Myriophyllum undif.","Nauclea/Mitragyna","Nitraria","Nyctaginaceae","Olea t.","Paronychieae","Petaloid monocot","Phillyrea","Phyllanthus undif.","Picea","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Podocarpus","Polygonum t.","Quercus undif.","Ranunculaceae undif.","Rhamnaceae undif.","Rhizophora","Rubiaceae undif.","Rumex t.","Salvadora","Sapium","Sapotaceae/Meliaceae","Searsia","Sesbania","Solanum","Spergularia t.","Tamarix","Tetrorchidium","Thymelaeaceae undif.","Tilia","Tribulus","Typha","Uapaca","Vitaceae undif.","Volume","Zanthoxylum"
"14986","108-658B-17-5, 68-70","0","0","0","0","0","54","0","6","0","6","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","7","0","0","0","0","0","47","0","7","0","1","0","0","0","1","0","0","0","0","0","0","14","0","0","0","0","0","0","0","27000","83","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","105","0","0","1","1","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","145","0"
"15018","108-658B-17-5, 100-102","0","0","0","1","0","80","0","4","0","15","0","0","0","0","1","0","1","0","0","0","0","10","1","0","0","0","0","8","0","0","0","0","0","55","0","6","0","4","0","0","0","0","0","0","0","0","0","0","18","0","0","0","1","0","0","0","27000","140","0","0","0","0","0","1","0","0","0","0","0","0","15","1","0","98","0","0","0","0","0","8","0","1","0","0","1","1","0","1","0","0","0","0","0","0","1","1","0","15","0"
"15078","108-658B-17-6, 10-12","0","0","0","0","0","80","0","8","0","11","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","17","0","0","0","0","0","102","0","16","0","0","0","0","0","1","0","0","0","0","0","0","7","0","0","0","0","0","0","0","27000","99","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1","45","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","15","0"
"15121","108-658B-17-7, 33-35","0","0","0","0","0","223","0","4","0","13","0","0","0","0","0","0","0","0","1","0","2","71","0","0","0","0","0","5","0","0","0","0","0","12","0","2","0","0","0","0","0","0","1","1","0","0","0","0","13","0","0","0","0","0","0","0","27000","58","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","36","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","145","0"
"15160","108-658B-17-7, 79-81","0","0","0","0","0","46","0","3","0","10","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","4","0","0","0","0","0","28","0","2","0","1","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","27000","163","0","0","1","0","0","0","0","0","0","0","0","0","7","3","0","151","0","0","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","0","0","14","0"
"15236","108-658B-17-8, 5-7","0","0","0","0","0","157","0","3","0","7","0","0","0","0","0","0","0","0","0","0","1","28","1","0","0","0","0","22","0","0","0","0","0","42","0","26","0","0","0","0","0","1","0","0","0","0","0","0","8","0","0","0","0","0","0","0","27000","83","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","29","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","135","0"
"15286","108-658B-17-8, 55-57","0","0","0","2","0","126","0","1","0","5","0","0","0","0","0","0","0","0","5","0","0","26","0","0","0","0","0","3","0","0","0","0","0","9","0","10","1","0","0","0","0","1","2","0","0","0","0","1","13","0","0","0","0","0","0","0","27000","269","0","0","0","0","0","0","0","0","0","0","0","0","16","0","1","59","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","14","0"
"15340","108-658B-17-8, 109-111","0","0","0","1","0","177","0","2","0","10","0","0","0","0","0","0","0","0","3","0","3","43","0","0","0","0","0","9","0","0","0","0","0","64","0","1","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","27000","50","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","145","0"
"15381","108-658B-17-7, 10-12","0","0","0","1","0","37","0","3","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","10","0","0","0","0","0","56","0","5","0","2","0","0","0","3","1","0","0","0","0","5","18","0","0","1","0","0","0","0","27000","78","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","139","0","0","1","0","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","14","0"
"15812","108-658B-18-1, 10-12","0","1","1","0","0","62","0","4","0","13","0","0","0","0","0","0","0","0","0","0","0","22","1","0","0","0","0","6","0","0","0","0","0","27","0","4","0","1","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","27000","164","0","0","0","0","0","0","1","0","0","0","0","0","10","1","0","145","0","0","0","0","0","3","0","1","0","0","0","0","1","1","0","0","0","0","0","0","2","0","0","14","0"
"15863","108-658B-18-1, 61-63","0","2","0","2","0","70","0","5","0","8","0","0","0","0","0","0","0","0","2","2","0","18","0","0","0","0","0","7","0","2","1","0","0","39","1","2","0","0","0","0","0","4","0","0","0","0","0","1","13","0","0","0","0","0","0","1","27000","132","0","0","0","0","0","0","0","0","0","0","0","1","9","4","0","134","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","135","0"
"15908","108-658B-18-1, 110-113","0","1","0","0","0","85","0","5","0","16","2","1","1","0","0","0","0","0","2","0","0","22","0","0","0","1","0","7","0","0","0","0","0","40","2","6","0","2","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","27000","181","0","0","0","1","0","0","0","0","0","0","0","0","11","0","0","116","0","0","0","0","0","4","1","0","0","0","1","0","0","1","1","1","0","0","0","1","0","0","0","13","0"
" 4835",NA,"0","5","11","119","1","0","17","29","68","3","6","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0"
" 4880",NA,"0","6","10","134","2","0","18","12","72","1","3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","0"
" 4968",NA,"0","3","11","115","1","0","17","27","66","2","13","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37","0"
" 5646",NA,"0","29","70","570","4","0","233","70","175","17","7","0","58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97","0"
" 5747",NA,"0","2","28","84","1","0","166","7","109","6","2","4","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0"
" 5841","1","0","6","36","101","0","0","20","19","61","3","12","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","0"
" 5956","1","0","3","49","142","4","0","23","3","74","9","7","1","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0"
" 6055",NA,"0","7","35","151","0","0","50","1","97","14","4","1","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0"
" 6919",NA,"0","3","36","103","0","0","15","59","50","5","6","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0"
" 6990",NA,"0","1","29","108","0","0","27","9","53","5","19","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0"
