"Sample age (cal yr BP)","Depth (cm) [cm]","Acacia t.","Adansonia digitata","Aerva type","Afraegle","Alchornea","Allophylus t.","Alternanthera t.","Amaranthaceae undif.","Ambrosia t.","Anacardiaceae undiff.","Anthostema","Antidesma t.","Artemisia","Asteroideae undif.","Asystasia","Balanites","Boscia","Bridelia","Canthium","Caryophyllaceae undif.","Cassia","Celastraceae undif.","Celtis","Chrysobalanus t.","Cleome","Clutia","Cocculus","Combretaceae","Commelina","Commiphora","Crossopteryx","Cyperaceae","Detarium","Dialium","Dichrostachys","Dioscorea","Diospyros/Euclea t.","Dodonaea","Elaeis","Ephedra","Erythrococca/Micrococca","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fern","Ficus","Heteromorpha","Hewittia","Hibiscus","Hydrocharitaceae","Hydrocotyle","Indeterminable","Ipomoea","Ixora","Kohautia","Lamiaceae undif.","Lannea","Lophira","Lotus t.","Macaranga","Maerua","Maytenus","Mitracarpus","Mitragyna/Hallea","Moraceae undif.","Musanga","Musanga/Myrianthus","Myriophyllum alterniflorum t.","Nymphaea","Onagraceae","Ormocarpum t.","Petaloid monocot","Phoenix t.","Phyllanthus undif.","Poaceae","Polygala","Polygonum t.","Potamogeton","Resedaceae undiff.","Rhizophora","Ricinus","Rubiaceae undif.","Salix","Salvadora","Sapium","Sapotaceae undif.","Scrophulariaceae undif.","Securinega  t.","Spergularia t.","Spermacoce","Syzygium t.","Tabernaemontana","Tamarix","Tapinanthus","Tetracera alnifolia","Tilia","Tinospora","Treculia","Trifolium t.","Typha","Uapaca","Urtica t.","Vernonieae","Ximenia","Zanthoxylum","Zygophyllum t."
"11365.58","  880.00","    0.00","    0.00","    1.00","    0.00","    1.00","    0.00","    0.00","    2.00","    1.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    1.00","    1.00","    0.00","    0.00","    1.00","    0.00","   18.00","    0.00","    0.00","    0.00","    0.00","    3.00","    5.00","    0.00","    0.00","   63.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   94.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    4.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    3.00","    6.00","    1.00","    1.00","    0.00","    0.00","    3.00","  323.00","    0.00","    3.00","    1.00","    0.00","    1.00","    0.00","    1.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","   69.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
"11514.8","  899.0","    0.0","    0.0","    0.0","    0.0","    3.0","    0.0","    0.0","    4.0","    0.0","    0.0","    2.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    4.0","    0.0","    0.0","    0.0","    0.0","    3.0","    0.0","    0.0","    0.0","   59.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","  130.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    6.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","  281.0","    0.0","    0.0","    0.0","    0.0","    4.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    7.0","    0.0","    0.0","    0.0","    2.0","    0.0","    1.0","    0.0","    0.0","   39.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0"
"11671.88","  919.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    2.00","    7.00","    1.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    6.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   51.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   75.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    3.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  377.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","   61.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
"11828.97","  939.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    7.00","    0.00","    0.00","    0.00","    0.00","    0.00","    5.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   58.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","  134.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","  415.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  108.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
"11993.9","  960.0","    1.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    5.0","    0.0","    0.0","    0.0","    0.0","    1.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    2.0","    1.0","    0.0","    0.0","    0.0","   87.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    1.0","    0.0","  118.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    3.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    4.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","  332.0","    0.0","    3.0","    0.0","    0.0","    1.0","    0.0","    1.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","  124.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0"
"12143.13","  979.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    1.00","    4.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   43.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","   81.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   14.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","  177.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  145.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00"
"12300.21","  999.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    6.00","    3.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","   73.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   95.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    2.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","  291.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  157.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
"12457.29"," 1019.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","   38.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    1.00","    0.00","    0.00","   19.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    5.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  134.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  148.00","    1.00","    1.00","    0.00","    0.00","    0.00","    0.00"
"12614.38"," 1039.00","    0.00","    0.00","    9.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","  143.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    1.00","    0.00","    0.00","    5.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","  210.00","    0.00","    1.00","   59.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  157.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00"
"12692.92"," 1049.00","    0.00","    0.00","    4.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","  317.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    1.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    6.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    2.00","    7.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  452.00","    0.00","    0.00","   16.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  104.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
"12850"," 1069","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  143","    0","    0","    0","    0","    0","    0","    0","    1","    0","    3","    0","    1","   12","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    3","    0","    0","    0","    0","    0","    1","    0","    0","    0","    2","    0","  696","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","  152","    0","    0","    0","    0","    0","    0"
