"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Algae","Algae? (type 229, HdV)","Alnus","Alternaria","Amaranthaceae undif.","Amphisphaerella dispersella (type 310, HdV)","Anthemideae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brachysporium obovatum/B. bloxami/Bactrodesmium betulicola (type 359, HdV)","Brassicaceae","Byssothecium circinans (type 16C, HdV)","Callitriche","Calluna","Campanulaceae","Cardueae undif.","Caryophyllaceae undif.","Castanea","Centaurea","Cercophora-type/Cercophora sp. (type 112, HdV)","Chaetomium sp. (type 7A, HdV)","Cichorieae","Cistaceae","Copepoda (type 28, HdV)","Corylus","Cupressaceae","Cyperaceae","Drosera","Erica t.","Erodium","Fabaceae Undif.","Fagus","Fern","Fern-Lycopodiaceae","Frangula","Fraxinus","Fungi (type 123, HdV)","Fungi (type 18, HdV)","Fungi (type 19, HdV)","Fungi (type 20, HdV)","Fungi (type 305, HdV)","Fungi (type 351, HdV)","Fungi (type 461, HdV)","Fungi (type 495, HdV)","Fungi (type 65, HdV)","Fungi (type 90, HdV)","Fungi (type 92, HdV)","Galium t.","Gelasinospora (type 1, HdV)","Gelasinospora cf. G. retispora (type 2, HdV)","Genisteae","Geranium","Glomus cf. G. fasciculatum (type 207, HdV)","Ilex","Juglans","Lamiaceae undif.","Lasiosphaeria sp. (type 63C, HdV)","Malva","Microthyrium sp.? (Type 8B)","Musci","Neurospora crassa (type 55C, HdV)","Olea t.","Onagraceae","Petaloid monocot","Pinus mediterranea","Pinus nigra/sylvestris t.","Pinus pinaster","Plantago","Pleospora sp. (type 3B, HdV)","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Podospora-type (type 368, HdV)","Polygonum t.","Potamogeton","Prunus t.","Pseudoschizaea circula","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Riccia cf. R. sorocarpa (type 165, HdV)","Rosaceae undif.","Rumex t.","Salix","Sambucus","Scrophulariaceae undif.","Secale","Sordaria-type (type 55A, HdV)","Sporormiella (type 113, HdV)","Tardigrada (type 902, HdV)","Taxus","Trichocladium opacum (type 10A, HdV)","Ulmus t.","Unknown","Unknown (type 708, HdV)","Urtica t.","Viburnum","Vitis","Zygnema-type (type 314, HdV)","cf. Persiciospora (type 124, HdV)","cf. Richonia variospora (type 140, HdV)"
"331",NA,NA," 36","  0","  0","  0","  7","  0","  1","  0","  3","  1","  0","  0","  0","  6","  0","  0"," 14","  0","  0","  0","  0","  2","  2"," 17","  0","  1","  0","  9","  3","  0","  5","  0"," 62","  1"," 27","  0"," 32","  0"," 49"," 82","  0","  5","  2"," 11","  0","  0","  1","  0","  0","  0","  0","  0","  6","  0","  0","  0"," 43","  0"," 40","  0","  0","  0"," 48","  0","  0","  0","  0","  7","  0","  8","  0"," 10","  0"," 13"," 16","  0","202","  6","  7","  0","  0","  6","  0"," 70"," 10","  6","  0","  0"," 10"," 16","  0","  0","  4","  1"," 26","  1","  0","  0"," 11","  0","  0","  0","  1","  0","  0","  0","  0","  0"
"393",NA,NA," 38","  0","  0","  0"," 10","  0","  0","  0","  4","  0","  1","  0","  0","  5","  2","  0"," 13","  0","  0","  0","  0","  0","  4"," 15","  0","  0","  1"," 11","  1","  0","  2","  0"," 26","  0"," 37","  0"," 17","  0"," 25"," 74","  0","  5","  1","  6","  0","  0","  1","  0","  0","  0","  0","  0","  5","  1","  0","  0"," 35","  0"," 35","  0","  1","  0"," 47","  0","  0","  0","  0"," 24","  1","  4","  0","  8","  0"," 13"," 77","  0","190"," 12","  2","  0","  0","  0","  0"," 55"," 12","  5","  0","  0","  9"," 21","  0","  3"," 15","  0"," 58","  3","  0","  0","  2","  0","  0","  0","  3","  2","  1","  0","  0","  0"
"455",NA,NA," 40","  0","  0","  0","  9","  0","  2","  0","  2","  3","  0","  0","  0","  5","  1","  0","  6","  0","  0","  0","  1","  8","  9"," 10","  0","  0","  1","  9","  4","  0","  9","  0"," 68","  0"," 37","  0"," 34","  0"," 34"," 93","  0","  4","  0","  5","  0","  0","  0","  0","  0","  0","  2","  0","  1","  0","  0","  0"," 13","  0"," 13","  0","  1","  1","  1","  0","  0","  0","  0","  7","  0","  2","  0"," 16","  1"," 17","  0","  0","201","  7","  0","  1","  0","  5","  0"," 59"," 10","  7","  2","  0","  4"," 21","  2","  0","  4","  2"," 15","  0","  0","  0","  4","  0","  0","  0","  0","  0","  2","  0","  0","  0"
"516",NA,NA," 42","  0","  0","  0","  7","  0","  3","  0","  2","  4","  0","  0","  0","  8","  0","  0","  8","  0","  1","  0","  0","  3","  7","  5","  0","  2","  0"," 12","  0","  0","  3","  1"," 58","  1"," 22","  0"," 44","  0"," 20"," 84","  0","  3","  1","  5","  0","  0","  2","  0","  0","  0","  0","  0","  6","  0","  0","  0"," 29","  0"," 21","  0","  1","  1"," 12","  0","  0","  0","  0"," 22","  0","  3","  1"," 10","  1"," 10","  0","  0","222","  7","  0","  0","  0","  5","  0"," 48"," 10","  9","  4","  0","  6"," 23","  4","  2","  8","  0"," 23","  1","  5","  0","  5","  0","  1","  0","  1","  0","  0","  0","  0","  1"
"578",NA,NA," 44","  0","  0","  0","  9","  0","  4","  0","  1","  4","  1","  0","  0","  4","  0","  0"," 13","  7","  0","  0","  0","  3","  2"," 11","  0","  2","  0","  9","  5","  0","  2","  0"," 76","  0"," 20","  3"," 37","  0"," 44"," 58","  0","  6","  0"," 24","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  1","  0"," 19","  1"," 31","  0","  2","  0","  0","  0","  0","  0","  0","  9","  0","  4","  0"," 19","  0"," 13","  0","  0","195","  6","  5","  0","  0","  3","  0"," 67","  8","  5","  4","  0","  3"," 27","  2","  0","  7","  2"," 26","  3","  7","  0"," 10","  0","  0","  1","  1","  0","  0","  0","  0","  3"
"640",NA,NA," 46","  0","  0","  0","  3","  0","  1","  0","  2","  0","  0","  0","  0","  6","  0","  0","  6","  2","  0","  0","  0","  5","  5"," 11","  0","  3","  1","  5","  2","  0","  4","  0"," 85","  0"," 21","  1"," 43","  0"," 36"," 90","  0","  3","  1","  8","  0","  0","  4","  0","  0","  0","  2","  0","  0","  0","  1","  1"," 25","  0","  4","  0","  0","  0","  4","  0","  1","  0","  0"," 11","  0","  2","  0"," 14","  1"," 13","  1","  0","241","  5","  0","  0","  0","  5","  0"," 60"," 10"," 10","  1","  0","  4"," 16","  4","  1"," 10","  3"," 35","  1","  2","  0"," 13","  0","  0","  0","  1","  1","  0","  0","  0","  0"
"702",NA,NA," 48","  0","  2","  0","  3","  0","  2","  0","  3","  2","  0","  0","  0","  3","  1","  0","  8","  0","  0","  1","  0","  4","  7"," 15","  0","  2","  0","  7","  5","  0","  8","  0"," 90","  0"," 30","  1"," 35","  0"," 65"," 71","  0","  2","  0"," 35","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  1","  0"," 25","  0"," 10","  1","  3","  0","  0","  0","  0","  0","  0","  6","  0","  7","  0"," 18","  2","  7","  1","  0","204","  9","  0","  0","  0","  9","  0"," 73","  5","  2","  2","  0","  5"," 23","  2","  0","  7","  3"," 18","  0","  0","  1","  6","  0","  0","  0","  1","  0","  0","  1","  0","  0"
"764",NA,NA," 50","  0","  0","  0","  7","  0","  2","  0","  1","  0","  2","  0","  1","  4","  3","  0"," 11","  1","  0","  0","  0"," 12"," 12"," 10","  0","  3","  0","  6","  4","  0"," 10","  0"," 62","  0"," 48","  0"," 20","  0"," 54","107","  0","  3","  0","  8","  0","  0","  1","  0","  0","  0","  2","  0","  0","  0","  0","  0"," 15","  0"," 15","  0","  1","  0","  3","  0","  1","  0","  0","  6","  0","  4","  0"," 28","  0"," 10","  0","  1","201","  5","  2","  0","  0","  7","  0"," 56","  5","  9","  2","  0","  3"," 12","  4","  2"," 12","  0"," 27","  2","  0","  0","  4","  0","  0","  0","  2","  1","  0","  0","  0","  1"
"826",NA,NA," 52","  1","  1","  0","  9","  0","  2","  0","  1","  1","  0","  1","  0"," 15","  3","  1","  6","  0","  1","  0","  1","  6","  8"," 17","  0","  2","  0"," 13","  5","  0","  8","  0"," 41","  0"," 32","  1"," 17","  0"," 91"," 50","  0","  5","  0","  3","  0"," 43","  1","  0","  2","  0","  0","  0","  0","  0","  0","  0"," 12","  0","  8","  0","  1","  0","  0","  0","  0","  0","  0","  3","  0","  5","  0"," 15","  0","  7","  0","  0","239","  8","  1","  0","  0","  6","  0"," 53"," 10","  4","  1","  0","  4","  9","  2","  0","  4","  3","  7","  2","  0","  0","  0","  0","  4","  0","  3","  0","  0","  0","  0","  0"
"887",NA,NA," 54","  0","  2","  0","  8","  0","  3","  0","  1","  0","  2","  0","  0","  7","  1","  2"," 11","  0","  0","  0","  0","  3"," 16","  9","  0","  3","  1"," 11","  3","  0"," 13","  1"," 28","  0"," 36","  1"," 24","  0"," 43","123","  0","  4","  1","  8","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0"," 19","  0"," 48","  0","  2","  0","  0","  0","  2","  0","  0","  5","  0","  2","  0"," 23","  1"," 12","  0","  0","223","  5","  3","  0","  0","  3","  0"," 57"," 11"," 12","  6","  0","  2"," 18","  2","  0","  3","  0"," 19","  2","  0","  0","  0","  0","  0","  0","  2","  2","  0","  0","  0","  0"
"949",NA,NA," 56","  1","  1","  0","  8","  0","  2","  0","  0","  1","  0","  0","  0","  9","  3","  1","  9","  0","  0","  0","  0","  5","  6"," 10","  0","  3","  0"," 16","  3","  0"," 12","  1"," 28","  0"," 33","  2"," 29","  0"," 77"," 59","  0","  2","  2","  0","  1","  0","  9","  3","  0","  0","  0","  0","  0","  0","  1","  2"," 14","  0"," 27","  1","  1","  1","  0","  0","  0","  1","  0","  2","  0","  3","  0"," 15","  0","  6","  0","  0","278","  5","  6","  0","  0","  4","  0"," 69","  8","  3","  2","  0","  4"," 12","  4","  0","  0","  1"," 18","  2","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0"
"1011",NA,NA,"  58","   0","   0","   0","   8","   0","   1","   0","   1","   1","   0","   0","   0","  14","   1","   0","   8","   0","   0","   1","   0","   5","   5","   9","   0","   0","   1","  22","   2","   0","  16","   1","  25","   0","  29","   1","  17","   0","  76","  76","   0","   1","   0","   6","   0","   0","   4","   0","   0","   0","   1","   0","   0","   0","   0","   0","   5","   0","  15","   0","   1","   0","   0","   0","   0","   0","   0","   2","   0","   3","   0","  16","   0","   3","   1","   0"," 251","  10","   3","   0","   0","   6","   0","  58","   6","   3","   2","   0","   4","   4","   1","   0","   1","   0","  19","   3","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0"
"1073",NA,NA,"  60","   0","   0","   0","   4","   0","   0","   0","   1","   4","   0","   1","   0","   9","   2","   0","   8","   0","   0","   0","   0","   2","  11","   7","   0","   6","   1","  14","   2","   0","   9","   0","  14","   0","  37","   1","  15","   0","  74","  55","   0","   4","   0","   0","   3","   0","   2","   4","   0","   0","   1","   0","   0","   0","   0","   1","   9","   2","  19","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   2","   0","  18","   0","   8","   0","   0"," 257","   4","   5","   0","   0","   0","   0","  68","  10","   2","   1","   0","   0","   8","   2","   0","   2","   3","  12","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"1109",NA,NA,"  62","   0","   3","   1","   9","   0","   3","   0","   0","   0","   0","   1","   0","   8","   1","   0","   4","   0","   0","   1","   2","   5","  21","  13","   0","   2","   0","  11","   3","   0","  22","   0","  21","   0","  64","   1","   9","   0","  94","  56","   0","   3","   1","   0","   3","   0","   3","   2","  14","   0","   0","   1","   1","   0","   0","   0","   8","   0","   4","   0","   2","   0","   0","   0","   0","   0","   0","   2","   1","   5","   0","  25","   0","   6","   0","   0"," 251","   3","   0","   0","   0","   5","   0","  63","   7","   0","   1","   0","   1","   6","   4","   0","   0","   3","   6","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0"
"1146",NA,NA,"  64","   0","   0","   0","  13","   0","   1","   0","   0","   2","   1","   1","   0","  10","   2","   0","   6","   0","   0","   0","   0","  10","  19","  13","   0","   0","   0","   9","   0","   0","  12","   0","  15","   0","  71","   0","   9","   0","  86","  33","   0","   5","   1","   0","   0","   0","   1","   1","   7","   1","   0","   2","   1","   0","   0","   0","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   3","   0","  27","   1","   5","   0","   0"," 255","   4","   0","   2","   0","   5","   0","  70","   8","   1","   1","   0","   6","   4","   4","   0","   0","   2","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"1182",NA,NA,"  66","   0","   0","   0","   9","   1","   0","   2","   0","   0","   0","   0","   0","  10","   2","   1","   8","   0","   0","   0","   3","   8","  13","  14","   1","   0","   0","  10","   1","   0","  16","   0","  13","   0","  65","   0","  14","   0","  56","  51","   0","   4","   1","   2","   2","   0","   4","   2","   0","   0","   1","   1","   0","   0","   0","   1","   9","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   4","   0","  16","   0","  10","   0","   0"," 248","   4","   0","   0","   0","   4","   0","  54","   6","   0","   0","   0","   2","   4","   3","   0","   2","   1","   7","   2","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0"
"1219",NA,NA,"  68","   0","   0","   0","  16","   0","   1","   1","   0","   1","   1","   0","   0","  12","   3","   2","   3","   1","   0","   1","   3","   8","  11","  16","   0","   0","   1","   9","   4","   0","  11","   0","  13","   0","  58","   2","  10","   0","  58","  19","   0","   2","   2","   0","   8","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   1","   0","   3","   0","  21","   1","   5","   0","   0"," 307","   7","   1","   0","   0","   3","   0","  67","   5","   0","   1","   0","   1","   3","   2","   0","   0","   2","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"1255",NA,NA,"  70","   0","   0","   0","  13","   1","   0","   0","   0","   1","   0","   1","   0","  15","   3","   0","  11","   0","   0","   0","   3","  11","  10","  18","   0","   1","   1","  11","   1","   0","  25","   0","  32","   0","  48","   0","  10","   0","  66","  35","   0","   3","  12","   2","   0","   0","   4","   1","   0","   0","   0","   1","   0","   0","   0","   0","   7","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   3","   0","   2","   0","  13","   0","   5","   0","   0"," 243","   8","   0","   0","   0","   5","   0","  67","   7","   0","   1","   0","   8","  10","   5","   0","   0","   0","  10","   0","   0","   0","   0","   0","   1","   0","   2","   0","   0","   0","   0","   0"
"1292",NA,NA,"  72","   0","   0","   0","  10","   0","   1","   0","   1","   2","   0","   0","   0","  23","   1","   0","   8","   0","   0","   0","   1","   0","   3","  16","   1","   0","   2","   8","   2","   0","  31","   0","  19","   0","  42","   0","   9","   0","  38","  34","   0","   5","   7","   2","   0","   0","   0","   1","   1","   0","   3","   0","   0","   0","   1","   0","   5","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   1","   0","   5","   0","  18","   0","  10","   0","   0"," 271","   7","   0","   0","   0","   3","   0","  63","   5","   0","   0","   0","   3","   3","   4","   0","   1","   2","   7","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"
"1329",NA,NA,"  74","   0","   0","   1","  12","   0","   1","   2","   2","   0","   0","   0","   0","  12","   1","   0","   8","   0","   0","   0","   0","   6","   8","   9","   0","   0","   0","   9","   2","   0","  21","   0","  18","   0","  52","   2","   9","   0","  46","  32","   0","   4","   9","   1","   0","   0","   3","   0","   0","   0","   0","   1","   0","   0","   0","   0","   9","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","  14","   3","   6","   0","   0"," 259","   6","   0","   0","   0","   5","   1","  46","   8","   0","   0","   0","   5","   3","   2","   0","   0","   2","   7","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0"
"1365",NA,NA,"  76","   0","   0","   0","   5","   0","   0","   0","   3","   1","   0","   1","   0","  16","   3","   0","   6","   0","   0","   0","   1","   7","  10","  10","   1","   0","   0","  10","   2","   0","  18","   0","  27","   0","  47","   0","  18","   0","  51","  32","   0","   2","   2","   1","   0","   0","   1","   1","   7","   0","   1","   0","   0","   0","   0","   0","   3","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","  22","   0","   8","   0","   0"," 317","   6","   0","   0","   0","   4","   0","  51","   6","   0","   0","   0","   5","   6","   2","   0","   0","   0","   1","   1","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0"
"1402",NA,NA,"  78","   0","   0","   0","  11","   0","   0","   7","   1","   1","   0","   0","   0","  21","   2","   8","   7","   0","   0","   0","   1","  10","  17","  23","   0","   1","   4","  10","   0","   0","  18","   1","  25","   0","  41","   2","  18","   0","  47","  42","   1","   2","  11","   0","   0","   0","   3","   5","   1","   0","   1","   1","   0","   0","   0","   0","   2","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   7","   0","  18","   0","   7","   0","   0"," 219","  12","   0","   0","   0","  10","   0","  59","  10","   0","   2","   0","   5","   5","   5","   0","   0","   2","  10","   3","   0","   0","   0","   0","   1","   1","   1","   0","   0","   0","   0","   0"
"1438",NA,NA,"  80","   0","   0","   0","  12","   2","   0","   7","   1","   1","   1","   1","   0","  20","   2","  17","   2","   0","   0","   0","   0","   8","  18","  18","   0","   1","   0","  12","   2","   0","  51","   0","  30","   0","  53","   1","  17","   1","  67","  45","   0","   1","   8","   0","   0","   0","   3","   3","   5","   1","   0","   2","   0","   0","   0","   0","   3","   0","   3","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   6","   0","  17","   0","   9","   0","   0"," 228","   8","   0","   0","   0","   5","   0","  65","   5","   0","   0","   0","   2","   3","   3","   0","   0","   2","  18","   7","   0","   0","   0","   0","   1","   2","   2","   0","   0","   0","   0","   0"
