"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Calluna","Campanulaceae","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagopyrum","Fagus","Filipendula t.","Fraxinus","Gentianaceae undif.","Hedera","HippophaÃ«","Hydrocotyle","Juglans","Lamiaceae undif.","Lotus t.","Lysimachia","Lythrum","Mercurialis","Myriophyllum alterniflorum t.","Nuphar","Nymphaea","Olea t.","Persicaria t.","Petaloid monocot","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potentilla t.","Primulaceae undif.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Secale","Solanaceae undif.","Sparganium","Thalictrum","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Valerianaceae undif.","Vitis"
"12010",NA,NA,"  730","    6","    0","  112","    0","    3","    4","    3","    8","    0","    0","    6","    1","    0","    2","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    2","    0","   78","    0","    0","    0","    1","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    6","    0","   11","    0","    0","    0","    0","   46","    0","    0","    0","  194","    0","    0","    0","    0","   44","    0","    0","    0","    0","    5","    1","    2","    0","    0","    0","    0","    0","    0","   40","    0","    1","    1","    0","  127","    0","    0","    0","    0"
"12070",NA,NA,"  735","    6","    0","   76","    1","    2","    6","    5","   16","    0","    0","    9","    0","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    3","    5","   61","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    5","    0","    0","    2","    0","    8","    0","   12","    0","    0","    0","    0","   71","    0","    0","    0","  655","    0","    0","    0","    0","   52","    0","    2","    0","    0","    3","    1","    2","    0","    0","    0","    0","    0","    0","   25","    0","    0","    1","    2","  100","    0","    0","    0","    0"
"12130",NA,NA,"  740","    7","    0","   16","    0","    1","    7","    8","    9","    0","    0","    3","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","   69","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    3","    0","    8","    2","    3","    0","    0","    0","    0","   88","    0","    0","    0","  632","    0","    0","    0","    0","   41","    0","    0","    0","    1","    0","    6","    0","    0","    0","    0","    0","    0","    0","   56","    0","    2","    0","    1","   43","    0","    0","    0","    0"
"12190",NA,NA,"  745","   11","    1","  104","    2","    5","    1","    3","    5","    0","    2","    1","    0","    0","   14","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    2","  200","    0","    0","    0","    0","    0","    0","    3","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    3","    0","    5","    0","    0","    0","    2","   85","    0","    1","    0","   92","    0","    0","    0","    0","   34","    0","    1","    0","    0","    3","    0","    1","    0","    0","    0","    0","    0","    0","   15","    0","    2","    2","    3","  342","    0","    0","    0","    0"
"12250",NA,NA,"  750","   17","    1","   80","    3","   12","    3","    9","    2","    0","    0","    1","    1","    1","   14","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    3","    0","  214","    0","    0","    0","    0","    0","    0","    0","    1","    3","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    5","    0","    4","    0","    0","    0","    0","   71","    0","    2","    0","  117","    0","    0","    0","    0","   35","    0","    0","    0","    0","    4","    0","    5","    0","    0","    0","    1","    0","    0","   23","    0","    2","    3","    2","  347","    0","    1","    0","    0"
"12310",NA,NA,"  755","    0","    0","  392","    5","    0","    3","    5","   24","    0","    1","    3","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    3","  610","    0","    2","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","   10","    0","    6","    0","    3","    0","    0","    0","    0","   73","    0","    0","    0","  107","    0","    0","    0","    0","   64","    0","    0","    0","    0","    8","    3","    1","    1","    0","    0","    0","    0","    0","   92","    0","    1","    0","    0","    3","    0","    0","    0","    0"
"12370",NA,NA,"  760","    2","    0","  228","    3","    2","   15","    2","   35","    0","    0","    2","    1","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","  453","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    2","    0","    2","    0","    0","    0","    0","   77","    0","    1","    0","   61","    0","    0","    0","    0","   50","    0","    1","    0","    0","    8","    0","    2","    0","    0","    0","    0","    0","    0","  110","    0","    0","    0","    0","   23","    0","    0","    0","    0"
"12429",NA,NA,"  765","    2","    0"," 1336","    1","    1","   22","    4","   62","    0","    4","    3","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    3","  551","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    3","    0","    4","    0","    0","    0","    0","  118","    0","    0","    0","   12","    0","    0","    0","    0","   88","    0","    2","    0","    2","    5","    0","    4","    2","    1","    0","    0","    0","    0","  176","    0","    0","    0","    0","   40","    0","    0","    0","    0"
"12489",NA,NA,"  770","    1","    0","  278","    2","    0","   11","    3","   49","    0","    4","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    2","    3","   36","    0","    2","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    3","    0","    0","    0","    0","   82","    0","    0","    0","  387","    0","    0","    0","    0","   19","    0","    0","    0","    0","   12","    1","    2","    1","    0","    0","    0","    0","    0","  134","    0","    1","    0","    0","   17","    0","    0","    0","    0"
"12549",NA,NA,"  775","    2","    0","  148","    2","    0","    5","    1","   59","    0","    1","    3","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","  365","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    1","   16","    0","    6","    0","    2","    0","    0","    0","    0","   91","    0","    0","    0","  293","    0","    0","    0","    0","   47","    0","    0","    0","    0","    8","    0","    0","    0","    0","    1","    0","    0","    0","  197","    0","    2","    0","    0","   22","    0","    0","    0","    0"
