"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Calluna","Campanulaceae","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagopyrum","Fagus","Filipendula t.","Fraxinus","Gentianaceae undif.","Hedera","HippophaÃ«","Hydrocotyle","Juglans","Lamiaceae undif.","Lotus t.","Lysimachia","Lythrum","Mercurialis","Myriophyllum alterniflorum t.","Nuphar","Nymphaea","Olea t.","Persicaria t.","Petaloid monocot","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potentilla t.","Primulaceae undif.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Secale","Solanaceae undif.","Sparganium","Thalictrum","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Valerianaceae undif.","Vitis"
"374",NA,NA," 35","  4","  0","  0","  0"," 13","  4","  0","  4","  0","  5","  2","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  6","  2"," 77","  0","  0","  1","  0","  0","  0"," 10","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  7","  1","  1","  0","  0","114","  0","  2","  0"," 13","  2","  8","  0","  0"," 41","  0","  0","  0","  0","  0","  1"," 55","  0","  0","  0","  0","  0","  0"," 17","  2","  0","  0","  1","984","  0","  0","  0","  0"
"495",NA,NA," 45","  6","  0"," 12","  0"," 12","  3","  0","  3","  0","  0","  3"," 11","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  3","  0","221","  0","  0","  0","  0","  0","  0"," 17","  0","  7","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  2","  0","  0","  0","  0"," 88","  1","  0","  0"," 10","  2","  0","  0","  0","112","  2","  1","  0","  0","  2","  2","  6","  0","  0","  0","  0","  0","  0"," 36","  0","  1","  0","  2","340","  0","  0","  0","  0"
"555",NA,NA," 50","  3","  1","  0","  0"," 23","  1","  0","  4","  0","  0","  0"," 16","  0","  1","  0","  0","  0","  4","  0","  0","  0","  0","  1","  0","  1","  0","298","  0","  0","  0","  0","  0","  0"," 21","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 65","  0","  2","  1","  8","  0","  0","  0","  0","143","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0"," 40","  1","  0","  0","  0","110","  0","  0","  0","  1"
"615",NA,NA," 55"," 13","  2","  2","  1"," 23","  2","  0","  3","  0","  1","  2"," 12","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  7","  0","121","  0","  0","  0","  0","  3","  0"," 27","  0","  8","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  8","  0","  0","  0","  0"," 63","  0","  1","  0","  6","  1","  0","  0","  0","119","  2","  0","  0","  0","  0","  1","  2","  0","  1","  0","  0","  0","  0"," 23","  0","  1","  0","  0","541","  0","  0","  0","  0"
"676",NA,NA," 60"," 12","  1","  0","  0"," 24","  2","  0","  2","  0","  1","  0"," 22","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 10","  0","290","  0","  0","  2","  0","  0","  0"," 20","  1","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0"," 79","  1","  1","  0","  6","  0","  0","  0","  0","108","  4","  0","  0","  0","  2","  0","  5","  0","  0","  0","  0","  0","  0"," 37","  0","  0","  0","  3","448","  0","  0","  0","  0"
"796",NA,NA," 70"," 18","  1","  0","  0","  5","  4","  1","  5","  0","  5","  0","  1","  0","  3","  0","  0","  0","  2","  0","  0","  0","  0","  2","  0","  1","  3","161","  0","  0","  0","  0","  1","  0"," 10","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","128","  0","  0","  2","  4","  1","  2","  0","  0"," 56","  2","  1","  0","  0","  1","  0"," 26","  0","  0","  0","  0","  0","  0"," 22","  0","  0","  3","  1","954","  0","  0","  0","  0"
"857",NA,NA," 75","  6","  0","  0","  0","  5","  3","  1","  3","  0","  2","  4","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","119","  0","  0","  2","  0","  0","  0"," 21","  2","  1","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0"," 20","  2","  0","  0","  0"," 84","  1","  1","  0","  6","  0","  4","  0","  0"," 92","  2","  0","  0","  0","  1","  0"," 23","  0","  0","  0","  0","  0","  0"," 48","  0","  2","  1","  1","633","  0","  0","  0","  0"
" 953",NA,NA,"  83","  11","   1","   8","   0","  14","   0","   1","   0","   0","   2","   5","  21","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   8","   1","  35","   0","   0","   0","   0","   0","   0","  21","   0","   4","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   2","  63","   1","   3","   0","   8","   3","   1","   0","   0"," 114","   1","   0","   0","   0","   1","   0","   4","   0","   1","   0","   0","   0","   0","  43","   0","   0","   0","   0","1532","   0","   0","   0","   0"
"1037",NA,NA,"  90","   7","   0","   2","   0","  12","   3","   0","   2","   0","   1","   2","   5","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   7","   0"," 235","   0","   0","   0","   0","   0","   0","  14","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   5","   0","   0","   0","   0","  75","   0","   1","   0","  10","   4","   0","   0","   0","  87","   1","   0","   0","   0","   0","   2","  32","   0","   0","   0","   0","   0","   0","  39","   0","   1","   2","   0"," 435","   0","   0","   0","   1"
"1158",NA,NA," 100","   7","   0","   2","   0","   9","   5","   0","   4","   0","   0","   5","  33","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","  13","   0","  50","   0","   0","   2","   0","   0","   0","  25","   0","   4","   0","   0","   0","   0","   0","   0","   0","   3","   3","   0","   0","   0","  15","   0","   0","   0","   0","  65","   0","   3","   0","   8","   1","   0","   0","   0"," 116","   1","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","  69","   0","   0","   0","   0"," 560","   0","   0","   0","   0"
"1279",NA,NA," 110","   8","   0","  10","   0","   8","   4","   0","   5","   0","   0","   1","  16","   0","   4","   1","   1","   0","   4","   0","   1","   0","   0","   1","   1","  14","   0","  18","   0","   0","   0","   0","   0","   0","  32","   0","   7","   0","   0","   0","   0","   0","   2","   0","   4","   4","   0","   0","   0","  27","   0","   0","   0","   0","  60","   0","   1","   0","   9","   0","   0","   0","   0"," 106","   1","  10","   0","   0","   1","   0","  11","   0","   0","   0","   0","   0","   0","  56","   0","   1","   2","   0"," 279","   1","   0","   0","   0"
"1339",NA,NA," 115","  10","   1","  26","   1","   5","   0","   0","   1","   0","   0","   3","  28","   0","   1","   0","   0","   0","   4","   0","   1","   0","   0","   1","   0","  10","   2","  44","   0","   0","   1","   0","   1","   0","  52","   0","   8","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   5","   0","  30","   1","   0","   0","   0","  88","   1","   0","   0","   8","   1","   0","   0","   0","  97","   3","   0","   0","   0","   2","   0","  12","   0","   0","   0","   0","   0","   0","  58","   1","   0","   0","   0","  83","   0","   0","   0","   1"
"1399",NA,NA," 120","  10","   0","  30","   0","   0","   3","   0","   2","   0","   0","   3","   7","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   1","   0","  10","   1"," 113","   0","   0","   1","   0","   0","   0","  38","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  27","   1","   0","   0","   0","  76","   2","   1","   0","   5","   0","   0","   0","   0"," 116","   0","   0","   0","   0","   0","   1","   8","   0","   1","   0","   0","   0","   0","  28","   0","   0","   0","   0","  89","   0","   0","   0","   0"
"1580",NA,NA," 135","   5","   1","  30","   0","   6","   3","   0","   3","   0","   1","   2","  20","   0","   1","   1","   0","   0","   8","   0","   0","   0","   0","   0","   1","   3","   2"," 129","   0","   2","   1","   0","   0","   0","  39","   1","   4","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","  17","   1","   0","   0","   0","  46","   0","   1","   0","   8","   1","   1","   0","   0"," 118","   4","   0","   0","   0","   0","   0","  12","   0","   0","   0","   0","   0","   0","  24","   0","   0","   0","   2"," 232","   0","   0","   0","   0"
"1761",NA,NA," 150","  26","   1","   0","   0","   1","   4","   0","   1","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","  26","   0","   0","   1","   0","   1","   0","   5","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0"," 114","   0","   0","   0","  11","   0","   3","   0","   0","  40","   0","   1","   0","   0","   1","   2","   5","   0","   0","   0","   0","   0","   1","   1","   0","   1","   0","   0"," 171","   0","   0","   0","   0"
"1882",NA,NA," 160","  14","   0","  10","   0","   1","   5","   0","   3","   0","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   0","   1","   3"," 127","   0","   1","   2","   0","   0","   1","   5","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1"," 157","   0","   1","   0","  12","   1","   2","   0","   0","  59","   1","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 635","   0","   0","   0","   0"
"2002",NA,NA," 170","  15","   0","   4","   0","   2","   0","   1","   3","   0","   1","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   2","   0","   0","   3"," 123","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"," 120","   0","   0","   0","   8","   0","   2","   0","   0","  42","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0"," 287","   0","   0","   0","   0"
"2123",NA,NA," 180","   6","   0","  38","   1","  14","   6","   0","   6","   0","   0","   1","   9","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   4","  69","   0","   0","   1","   0","   0","   0","  20","   1","   7","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   2","   0","   5","   0","   0","   0","   0","  75","   0","   0","   0","   6","   0","   0","   0","   0","  80","   2","   0","   0","   0","   2","   2","   7","   0","   0","   0","   0","   0","   0","  11","   0","   0","   0","   0"," 318","   0","   0","   0","   0"
"2244",NA,NA," 190","   3","   0","  10","   2","   8","   4","   0","   5","   0","   2","   1","   8","   1","   0","   0","   0","   0","   3","   0","   0","   0","   0","   2","   0","   4","   5","  84","   0","   0","   0","   0","   0","   0","  21","   0","  10","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   1"," 102","   2","   1","   0","  12","   0","   0","   0","   0","  99","   0","   0","   0","   1","   2","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 190","   0","   0","   0","   0"
"2364",NA,NA," 200","   5","   0","  18","   1","   6","   6","   0","   1","   0","   0","   1","   4","   0","   1","   0","   0","   0","   1","   0","   0","   0","   1","   1","   0","   0","   0","  90","   0","   1","   1","   0","   0","   0","   3","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   2","   0","   0","   0","  76","   2","   0","   0","  26","   4","   1","   0","   0","  66","   1","   0","   0","   0","   8","   3","   6","   0","   0","   0","   0","   0","   0","   3","   0","   1","   0","   0"," 213","   0","   0","   0","   0"
"2545",NA,NA," 215","   8","   0","  10","   1","   3","   4","   0","   4","   0","   1","   0","   5","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   1","   0","   0","   3","  50","   0","   0","   1","   0","   0","   0","  12","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   1","   0","   0","   0"," 119","   2","   3","   0","  17","   1","   0","   0","   0","  81","   0","   0","   0","   0","   7","   0","   2","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0"," 236","   0","   0","   0","   0"
"2682",NA,NA," 225","   9","   0","  14","   1","   4","   3","   0","   4","   0","   2","   0","   2","   0","   1","   0","   0","   0","   1","   0","   0","   0","   1","   1","   0","   0","   1","  35","   0","   0","   3","   0","   0","   0","   3","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","  92","   0","   1","   0","  12","   0","   0","   0","   0","  89","   0","   0","   0","   0","  13","   1","   1","   0","   0","   0","   0","   0","   0","   3","   1","   2","   0","   2","  83","   0","   0","   0","   1"
"2868",NA,NA," 235","   6","   0","  18","   0","  10","   7","   0","   5","   0","   3","   0","   8","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   1","   0","   4","   3","  90","   0","   1","   1","   0","   0","   0","  22","   0","   2","   0","   0","   0","   0","   1","   0","   0","   1","   2","   0","   2","   0","   4","   0","   2","   0","   0"," 124","   0","   0","   0","  23","   1","   3","   0","   0","  95","   0","   1","   0","   0","   3","   2","  21","   0","   1","   0","   0","   0","   0","  12","   0","   1","   0","   0"," 307","   0","   0","   0","   1"
"2961",NA,NA," 240","   7","   0","   8","   1","   7","   3","   1","   4","   0","   1","   0","   5","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   1","   1","   1","   1"," 102","   0","   0","   1","   0","   1","   0","  14","   0","   4","   0","   0","   0","   0","   1","   1","   0","   0","   1","   0","   0","   0","   4","   0","   0","   0","   0","  71","   2","   1","   0","   9","   1","   2","   0","   0","  57","   1","   0","   0","   0","   1","   1","  25","   0","   0","   0","   0","   0","   0","  10","   0","   0","   1","   0"," 187","   0","   0","   0","   0"
"3054",NA,NA," 245","   3","   0","  28","   1","   6","   2","   2","   4","   0","   0","   0","  17","   0","   0","   1","   0","   0","   2","   0","   0","   0","   1","   1","   0","   2","   0","  97","   0","   0","   0","   0","   0","   0","  20","   0","   6","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   9","   0","   0","   0","   0","  86","   2","   0","   0","   6","   0","   0","   0","   0"," 101","   0","   0","   1","   0","   1","   1","  10","   0","   0","   0","   0","   0","   0","  20","   0","   1","   0","   0"," 491","   0","   0","   0","   0"
"3147",NA,NA," 250","   8","   0","  24","   0","   6","   4","   0","   3","   0","   3","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1"," 159","   0","   0","   0","   0","   0","   0","  13","   0","   3","   0","   0","   0","   0","   0","   1","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","  75","   0","   0","   0","   7","   0","   2","   0","   0","  54","   0","   0","   0","   0","   0","   1","  13","   0","   0","   0","   0","   0","   0","  22","   2","   0","   1","   0"," 161","   0","   0","   0","   0"
"3240",NA,NA," 255","   9","   0","  36","   0","   6","   4","   0","   2","   0","   0","   2","  10","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0"," 194","   0","   0","   2","   0","   0","   0","  23","   1","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 137","   1","   0","   0","   5","   0","   0","   0","   0","  90","   2","   1","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","  10","   0","   0","   1","   0"," 348","   0","   0","   0","   0"
"3333",NA,NA," 260","   3","   0","  24","   1","   6","   6","   0","   1","   0","   1","   1","   4","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0"," 259","   0","   1","   0","   0","   1","   0","   6","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","  70","   0","   0","   0","  13","   0","   0","   0","   0","  39","   0","   1","   0","   0","   1","   2","  18","   0","   0","   0","   1","   0","   0","  20","   0","   0","   1","   1"," 128","   0","   0","   0","   0"
"3425",NA,NA," 265","   8","   0","  98","   1","   1","   4","   0","   2","   0","   0","   0","   2","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  94","   0","   0","   0","   0","   0","   0","   8","   0","   3","   0","   0","   0","   0","   1","   1","   0","   0","   1","   0","   2","   0","   1","   0","   1","   0","   0"," 105","   0","   0","   0","   8","   0","   0","   0","   0","  27","   0","   0","   0","   1","   2","   0","   9","   0","   0","   0","   0","   0","   0","  14","   0","   0","   5","   0"," 199","   0","   0","   0","   1"
"3463",NA,NA," 267","  10","   0"," 108","   2","   3","   1","   0","   1","   0","   2","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   2","   1","  73","   0","   0","   0","   0","   0","   0","   8","   0","   3","   0","   0","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  76","   0","   0","   0","   1","   0","   0","   0","   0","  38","   0","   1","   0","   0","   1","   1","  14","   0","   0","   0","   0","   0","   0","  10","   0","   1","   1","   0"," 264","   0","   0","   0","   0"
"3611",NA,NA," 275","  10","   0","  54","   0","  12","   2","   0","   0","   0","   0","   1","   6","   0","   5","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   3","   0","  60","   0","   0","   3","   0","   1","   0","   9","   0","  11","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   2","   0","   7","   0","   0","   0","   0","  91","   1","   0","   0","  14","   0","   0","   0","   0","  54","   0","   0","   0","   0","   1","   1","   6","   0","   0","   0","   0","   0","   0","  18","   0","   2","   0","   1"," 233","   0","   0","   0","   1"
"3704",NA,NA," 280","  16","   0","  50","   0","   6","   3","   1","   0","   0","   1","   2","   2","   0","  38","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   2","   1","  47","   0","   0","   1","   0","   0","   0","  15","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   1","   0","   0","   0","   0"," 116","   0","   0","   0","  15","   0","   0","   0","   0","  54","   0","   2","   0","   0","   1","   0","   4","   0","   0","   0","   0","   0","   0","  28","   0","   0","   5","   1","  29","   0","   0","   0","   0"
"3797",NA,NA," 285","  24","   0"," 148","   2","   3","   8","   2","   0","   0","   2","   0","   1","   0","  48","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","  84","   0","   0","   0","   0","   0","   0","   9","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   4","   0","   1","   0","   0","   0","   0"," 143","   0","   0","   0","  16","   0","   0","   0","   0","  53","   2","   2","   0","   0","   4","   0","   1","   0","   0","   0","   1","   0","   0","  20","   0","   2","   1","   0","  31","   0","   0","   0","   0"
"3890",NA,NA," 290","  23","   0"," 246","   0","   1","   4","   0","   0","   0","   1","   1","   2","   0","  12","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0"," 176","   0","   0","   0","   0","   2","   0","   9","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   1","   0","   0","   0","   0"," 156","   1","   0","   0","   6","   0","   1","   0","   0","  85","   0","   3","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","  12","   0","   1","   0","   2","  18","   0","   0","   0","   0"
"3983",NA,NA," 295","  43","   0"," 204","   0","   3","   4","   1","   1","   0","   0","   1","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0"," 290","   0","   0","   0","   0","   1","   0","   7","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 133","   0","   0","   0","   5","   0","   1","   0","   0"," 109","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   1","   5","   0","   0","   0","   0"
"4076",NA,NA," 300","  40","   0"," 118","   0","   0","   2","   0","   0","   0","   2","   0","   1","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 109","   0","   0","   1","   0","   0","   0","   9","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","  92","   0","   0","   0","   1","   0","   0","   0","   0","  85","   1","   0","   0","   0","   5","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  47","   0","   0","   0","   0"
"4217",NA,NA," 305","  23","   0","  44","   0","   1","   4","   1","   1","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0"," 211","   0","   0","   1","   0","   0","   0","  19","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"," 114","   1","   0","   0","   5","   0","   0","   0","   0","  95","   1","   0","   0","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   3","   0","   2","  14","   0","   0","   0","   0"
"4358",NA,NA," 310","  28","   0","  54","   0","   1","   0","   1","   0","   0","   0","   1","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1"," 200","   0","   0","   0","   0","   0","   0","  10","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 100","   0","   0","   0","   3","   0","   0","   0","   0"," 106","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   1","   0","   0","  13","   0","   0","   0","   0"
"4499",NA,NA," 315","  32","   0","  42","   0","   1","   2","   1","   2","   0","   1","   1","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   2"," 216","   0","   0","   1","   0","   0","   0","  17","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","  60","   0","   0","   0","   3","   0","   0","   0","   0"," 101","   2","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   1","   0","   4","   0","   0","   0","   0"
"4640",NA,NA," 320","  30","   0","  40","   0","   1","   2","   0","   1","   1","   1","   0","   5","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   2","   1"," 208","   0","   0","   1","   0","   1","   0","   8","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  61","   0","   0","   0","   0","   0","   0","   0","   0"," 107","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   2","   9","   0","   0","   0","   0"
"4757",NA,NA," 325","  37","   0","  42","   1","   4","   1","   0","   1","   0","   2","   1","   6","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1"," 558","   0","   0","   0","   0","   0","   0","  17","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"," 115","   0","   0","   0","   2","   0","   1","   0","   0"," 101","   0","   0","   0","   0","   0","   1","   1","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","  34","   0","   0","   0","   0"
"4774",NA,NA," 330","  31","   0","  36","   0","   5","   0","   0","   1","   0","   1","   0","   2","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0"," 148","   0","   0","   0","   0","   0","   0","   8","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  84","   0","   1","   0","   5","   0","   0","   0","   0","  49","   0","   0","   0","   0","   2","   1","   3","   0","   0","   0","   0","   0","   0","   2","   0","   2","   0","   1","  95","   0","   0","   0","   0"
"4792",NA,NA," 335","  40","   0","  66","   0","   2","   5","   1","   3","   0","   0","   1","   2","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   1","   2","   1","  57","   0","   0","   0","   0","   0","   0","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  82","   0","   1","   0","   2","   0","   1","   0","   0","  94","   0","   2","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  79","   0","   0","   0","   0"
"4809",NA,NA," 340","   6","   0","  70","   1","   3","   6","   0","   3","   0","   1","   1","   8","   0","   5","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   4","   1"," 325","   0","   0","   0","   0","   0","   0","  16","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   1","   0","   0","   0","  63","   1","   0","   0","  13","   0","   0","   0","   0"," 116","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   1","  89","   0","   0","   0","   1"
"4826",NA,NA," 345","  39","   0","  58","   0","   5","   1","   0","   1","   0","   0","   0","   1","   1","   3","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0"," 282","   0","   1","   1","   0","   0","   0","  13","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  74","   1","   0","   0","  18","   0","   0","   0","   0","  78","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   3","   0","   1","  55","   0","   0","   0","   0"
"4844",NA,NA," 350","  32","   0","  76","   0","   5","   0","   0","   1","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0"," 366","   0","   0","   0","   0","   0","   0","   3","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 165","   0","   2","   0","   4","   0","   0","   0","   0"," 117","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   2"," 283","   0","   0","   0","   0"
"4861",NA,NA," 355","  20","   1","  60","   0","   0","   2","   0","   1","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0"," 189","   0","   0","   1","   0","   2","   0","   2","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  98","   0","   0","   0","   3","   0","   0","   0","   0","  59","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   1","   0","   0"," 291","   0","   0","   0","   0"
"4879",NA,NA," 360","  36","   0","  68","   0","   2","   0","   0","   1","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   4"," 177","   0","   0","   0","   0","   1","   0","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 123","   0","   0","   0","   3","   0","   0","   0","   0","  88","   0","   0","   0","   0","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   1"," 142","   0","   0","   0","   0"
