"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteraceae (echinate)","Boraginaceae undif.","Brassicaceae","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Fraxinus","Mercurialis","Olea t.","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Quercus deciduous","Quercus evergreen","Thymelaeaceae undif."
"3016",NA,NA," 161","   0","   0","   0","   7","   0","   0","   1","   0","   0","   0","  25","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  60","  15","   0"
"3147",NA,NA," 170","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","  13","   0","   0","   3","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","  12","  64","  32","   0"
"3247",NA,NA," 177","   0","   0","   0","   7","   0","   0","   6","   0","   0","   0","  31","   0","   0","   7","   0","   0","   0","   1","  21","   0","   0","   0","   0","   0","   0","  20"," 111","  52","   0"
"3373",NA,NA," 186","   0","   0","   0","   6","   3","   0","   4","   0","   0","   0","  36","   0","   0","   2","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","  14"," 120","  61","   0"
"3495",NA,NA," 195","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","  41","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9"," 151","  69","   0"
"3600",NA,NA," 203","   0","   0","   2","   7","   0","   0","   3","   0","   9","   0","  45","   0","   0","   3","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  16"," 176","  77","   1"
"3691",NA,NA," 210","   0","   0","   2","   5","   0","   0","   0","   0","  16","   0","  20","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  21","  90","  46","   0"
"3779",NA,NA," 217","   0","   0","   0","   0","   0","   0","   2","   0","  30","   0","  37","   0","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","  35"," 155","  81","   0"
"3865",NA,NA," 224","   0","   0","   1","   3","   0","   0","   4","   0","  14","   1","  24","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","  19"," 149","  75","   0"
"3973",NA,NA," 233","   0","   0","   4","  10","   0","   0","   1","   0","   0","   0","  40","   0","   0","   2","   0","   0","   0","   0","  30","   0","   0","   0","   0","   0","   0","  19","  80","  47","   0"
"4055",NA,NA," 240","   0","   0","   2","   6","   0","   0","   3","   0","   0","   0","  37","   0","   0","   2","   0","   0","   0","   3","  18","   0","   0","   0","   0","   0","   0","  12"," 143","  56","   0"
"4136",NA,NA," 247","   0","   0","   2","   4","   0","   0","   2","   0","   0","   0","  35","   0","   0","   2","   0","   0","   0","   1","  23","   0","   0","   0","   0","   0","   0","  15"," 123","  51","   0"
"4214",NA,NA," 254","   0","   0","   1","   5","   0","   0","   2","   0","   0","   0","  17","   0","   0","   5","   0","   0","   0","   0","  28","   0","   0","   0","   0","   0","   0","  14"," 102","  30","   0"
"4291",NA,NA," 261","   0","   0","   3","   5","   0","   0","   0","   0","   0","   0","  35","   0","   0","   0","  30","   0","   0","   0","  30","   0","   0","   0","   0","   0","   0","  14"," 150","  43","   0"
"4377",NA,NA," 269","   0","   0","   0","   4","   2","   0","   1","   0","   0","   0","  53","   0","   0","   0","  17","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","  10","  61","  18","   0"
"4451",NA,NA," 276","   0","   0","   2","   2","   0","   0","   0","   0","   0","   0","  19","   0","   0","   0","  36","   0","   0","   0","  19","   0","   0","   0","  11","   0","   0","   6","  87","  13","   0"
"4553",NA,NA," 286","   0","   0","   0","   3","   1","   0","   0","   0","   0","   0","  33","   0","   0","   0","  33","   0","   0","   0","   0","   0","   6","   0","   6","   0","   0","  13","  87","  32","   0"
"4748",NA,NA," 306","   0","   0","   0","   6","   0","   0","   5","   0","   0","   0"," 102","   0","   0","   0","   0","   0","   9","   0","   0","   0","   6","   0","   0","   0","   0","  11"," 131","  35","   0"
"4878",NA,NA," 320","   0","   0","   0","   3","   0","   0","   5","   0","   0","   0","  68","   0","   0","   0","   0","   0","   6","   2","   4","   0","   0","   0","   0","   0","   0","  15"," 176","  45","   0"
"4941",NA,NA," 327","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  26","   0","   0","   1","   0","   0","   7","   1","   0","   0","   0","   0","   0","   0","   0","  13"," 126","  33","   1"
"5012",NA,NA," 335","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","  28","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","  14"," 112","  38","   0"
"5115",NA,NA," 347","   0","   0","   0","   6","   0","   1","   0","   0","   0","   5"," 160","   0","   0","   0","  13","   0","  11","   0","   0","   0","  11","   0","   9","   3","   0","  21"," 145","  61","   0"
"5165",NA,NA," 353","   0","   0","   0","   8","   0","   1","   2","   0","   0","   1","  43","   0","   0","   0","  23","   0","   6","   3","   0","   0","   7","   0","   0","   0","   0","  26"," 105","   0","   1"
"5320",NA,NA," 372","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","  32","   0","   0","   0","  15","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   7"," 114","  24","   0"
"5444",NA,NA," 388","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","  34","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   8"," 106","  26","   0"
"5512",NA,NA," 397","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","  23","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   2","   0","   0","  24","  37","  13","   0"
"5557",NA,NA," 403","   0","   0","   0","   0","   0","   0","   3","   0","   0","   2","  23","   0","   0","   3","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","  16","  59","  20","   0"
"5615",NA,NA," 411","   0","   0","   0","   4","   0","   0","   2","   0","   0","   0","  63","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  10","  62","  36","   0"
"5673",NA,NA," 419","   0","   0","   0","   0","   0","   0","   9","   0","   0","   0","  76","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  63","  38","   0"
"5729",NA,NA," 427","   0","   0","   0","   2","   0","   1","   6","   0","   0","   0","  78","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","  60","  36","   0"
"5785",NA,NA," 435","   0","   0","   0","   5","   0","   1","   5","   0","   0","   0"," 104","   0","   0","   0","  14","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  30","  48","  30","   0"
"5868",NA,NA," 447","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0"," 319","   0","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0","   0","   0","  62"," 168","  70","   0"
"5902",NA,NA," 452","   0","   0","   0","   1","   0","   0","   6","   0","   0","   1"," 216","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  61","  99","  49","   0"
"5949",NA,NA," 459","   0","   0","   0","   0","   0","   1","   3","   0","   0","   0","  91","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","  38","   9","   0"
"5996",NA,NA," 466","   0","   0","   0","   3","   9","   0","  10","   0","   0","   2","  96","   0","   0","   4","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","  68"," 122","  87","   0"
"6042",NA,NA," 473","   0","   0","   0","   0","   4","   0","   4","   0","   0","   1"," 176","   0","   0","   2","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","  55","  98","  52","   0"
"6088",NA,NA," 480","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0"," 435","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","   0","  35","  27","  22","   0"
"6154",NA,NA," 490","   0","   0","   0","   1","  15","   0","   4","   0","   0","   0"," 201","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  30","  20","  15","   0"
"6199",NA,NA," 497","   0","   0","   0","   0","  11","   0","   4","   0","   0","   1"," 314","   0","   0","   0","   0","   0","   0","  12","   0","   0","   0","   0","   0","   0","   0","  38","  14","   4","   0"
"6257",NA,NA," 506","   0","   0","   0","   2","   0","   0","   5","   0","   0","   1"," 247","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","  42","  63","  45","   0"
"6289",NA,NA," 511","   0","   0","   0","   0","   7","   0","   1","   0","   0","   0"," 222","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  35","  64","  40","   0"
"6334",NA,NA," 518","   0","   0","   0","   0","   4","   0","   4","   0","   0","   0"," 151","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","  50","  42","  19","   0"
"6367",NA,NA," 523","   0","   0","   0","   0","   5","   0","   5","   0","   0","   0"," 126","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  20","  41","  34","   0"
"6405",NA,NA," 529","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0"," 347","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  53"," 135","  88","   0"
"6463",NA,NA," 538","   0","   0","   0","   0","   0","   2","   7","   0","   0","   1"," 529","   0","   0","   0","   0","   2","   0","   0","   2","   0","   0","   0","   0","   0","   0","  24"," 107","  46","   1"
"6521",NA,NA," 547","   0","   0","   0","   0","   0","   0","  25","   0","   0","   0"," 365","   0","   0","   3","   0","   0","   0","   2","   2","   0","   0","   0","   0","   0","   0","  27","  79","  65","   0"
"6560",NA,NA," 553","   0","   0","   0","   0","   2","   2","   2","   0","   0","   2"," 135","   0","   1","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  85","  41","   0"
"6625",NA,NA," 563","   0","   0","   0","   0","   0","   2","   2","   0","   0","   0","  64","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  12","  50","  24","   0"
"6690",NA,NA," 573","   0","   0","   1","   0","   0","   1","   4","   0","   0","   2"," 140","   0","   0","   1","   0","   0","   7","   0","   4","   0","   0","   0","   0","   0","   0","  18","  76","  45","   0"
"6756",NA,NA," 583","   0","   0","   0","   7","   0","   1","   3","   0","   0","   0"," 420","   0","   0","   0"," 127","   8","   1","   0","   0","   0","   0","   0","   1","   0","   0","  52"," 207"," 120","   0"
"6823",NA,NA," 593","   0","   0","   0","   3","   0","   0","   3","   0","   0","   0"," 306","   0","   0","   2","  39","   0","   3","   0","   1","   0","   0","   0","   0","   0","   0","  15"," 123","  53","   0"
"6890",NA,NA," 603","   0","   0","   0","   0","   0","   0","   2","   0","   0","   3"," 174","   0","   0","   2","  34","   0","   0","   2","   2","   0","   0","   0","   0","   0","   0","   5","  94","  32","   0"
"6952",NA,NA," 612","   0","   0","   0","   0","   0","   2","   0","   4","   0","   0"," 126","   1","   0","   2","  25","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","  14","  53","  32","   0"
"7015",NA,NA," 621","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","  99","   1","   0","   0","  16","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","  48","  26","   0"
"7078",NA,NA," 630","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","  52","   0","   0","   0","  14","   0","   3","   1","   0","   0","   0","   0","   0","   0","   0","   3","  29","  14","   0"
"7143",NA,NA," 639","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","  32","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  43","  18","   0"
"7275",NA,NA," 657","   0","   0","   0","   0","   0","   5","   2","   0","   0","   1","  68","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","  52","  32","   0"
"7352",NA,NA," 667","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","  56","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","  68","  32","   0"
"7429",NA,NA," 677","   0","   0","   2","   4","   0","   4","   0","   0","   0","   0","  30","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","  14"," 105","  33","   0"
"7509",NA,NA," 687","   0","   0","   0","   2","   0","   2","   2","   0","   0","   0","  42","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","  16","  89","  54","   0"
"7608",NA,NA," 699","   0","   0","   0","   2","   0","   3","   1","   0","   0","   0","  40","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","  15","  98","  65","   0"
"7666",NA,NA," 706","   0","   0","   0","   1","   0","   2","   2","   0","   0","   0","  46","   0","   0","   1","   0","   0","   4","   2","   0","   0","   0","   0","   0","   0","   0","  20","  94","  74","   0"
"7752",NA,NA," 716","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","  71","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","  16"," 110","  55","   0"
"7841",NA,NA," 726","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","  34","   0","   0","   0","  42","   0","   8","   1","   0","   0","   0","   0","   0","   0","   0","  15"," 100","  46","   0"
"7932",NA,NA," 736","   0","   0","   0","   0","   2","   0","   0","   0","   0","   2","  38","   0","   0","   0","  40","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","  83","  30","   0"
"8628",NA,NA," 804","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  27","   0","   0","   2","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7"," 105","  40","   0"
"8720",NA,NA," 812","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  26","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  93","  36","   0"
"8826",NA,NA," 821","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  49","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 129","  34","   0"
"9163",NA,NA," 848","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","  34","   0","   0","   1","  12","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","  80","  37","   0"
