"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Caprifoliaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cichorieae","Cistaceae","Corylus","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fern","Fraxinus","Hedera","Hypericum undif.","Juglans","Lamiaceae undif.","Musci","Olea t.","Ostrya","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (>40 Âµm)","Polygonum t.","Potamogeton","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sarcopoterium","Typha","Ulmus t.","Unknown","Unknown (monolete) undiff."
"295",NA,NA," 51","  0","  1","  3","  7","  4","  2","  0","  1","  1","  0","  0","  2","  0","  3","  2","  0","268","  0","  0","317","  1","  6"," 23","  0","  1","  0","  0","  3","  2","  4","  0","  0","  0","  3","  0","  5","  3"," 78","  0","  0","  0"," 28","  7","  0","  0","  2","  0","  2","  0","  2","  0","  0","  8"," 47"
"316",NA,NA," 56","  0","  2","  0","  1"," 17","  2","  1","  0","  1","  0","  0","  0","  0","  3","  1","  1","232","  0","  0","141","  1","  2"," 14","  0","  2","  0","  1","  1","  0"," 20","  1","  1","  0","  6","  0","  1","  1"," 68","  0","  0","  0","  6","  6","  0","  0","  7","  0","  1","  0","  4","  0","  0","  4"," 53"
"336",NA,NA," 61","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  1","  0","  0"," 12","  0","  0","346","  1","  0"," 68","  2","  2"," 14","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  3","  2","  7","  1"," 63","  1","  0","  0","  6","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0"," 55"
"357",NA,NA," 66","  1","  1","  2","  1","  2","  0","  3","  0","  1","  0","  0","  1","  0","  3","  3","  0","268","  1","  0","141","  0","  3"," 10","  0","  4","  1","  0","  0","  0","  3","  0","  0","  0","  3","  0","  4","  1"," 61","  1","  0","  0"," 14","  2","  1","  0","  0","  0","  1","  0","  2","  0","  0","  0"," 24"
"377",NA,NA," 71","  0","  1","  0","  3","  0","  0","  7","  0","  0","  0","  0","  0","  0"," 22","  9","  0"," 95","  5","  0","260","  1"," 10"," 39","  0","  3","  0","  1","  1","  0","  2","  0","  2","  0","  5","  0","  2","  7"," 61","  0","  0","  0"," 19","  7","  0","  0","  3","  0","  0","  0","  2","  0","  0","  0"," 31"
"400",NA,NA," 76","  0","  0","  1","  5","  4","  0","  7","  0","  0","  2","  0","  2","  0"," 15","  3","  0","111","  1","  0","269","  3","  0","  3","  0"," 12","  0","  0","  2","  4","  3","  0","  0","  0"," 10","  0","  1","  1"," 41","  0","  0","  0"," 16","  4","  0","  0","  1","  1","  0","  0","  5","  0","  0","  0"," 23"
"424",NA,NA," 81","  0","  1","  0","  1"," 11","  0","  9","  0","  0","  0","  0","  1","  0"," 25","  6","  0"," 58","  3","  0","301","  1","  1"," 21","  0"," 11","  1","  0","  0","  1","  5","  0","  0","  0"," 12","  0","  0","  6"," 16","  0","  0","  0"," 30","  9","  0","  0","  0","  0","  0","  1","  9","  0","  0","  0"," 32"
"448",NA,NA," 86","  0","  0","  1","  3"," 10","  2","  6","  0","  0","  0","  0","  0","  0"," 12","  4","  0","169","  0","  0","216","  0","  5"," 36","  0"," 12","  0","  1","  2","  6","  6","  0","  0","  1"," 12","  0","  6"," 25"," 17","  0","  0","  1"," 45"," 15","  1","  0","  5","  0","  0","  0","  3","  0","  0","  0"," 58"
"472",NA,NA," 91","  0","  0","  2","  3","  2","  3","  4","  0","  3","  0","  0","  0","  0","  4"," 15","  0"," 86","  4","  0","357","  0"," 12"," 11","  0","  5","  1","  0","  0"," 19","  2","  0","  0","  1","  8","  0","  5","  6"," 12","  0","  0","  0","  8","  4","  1","  1","  0","  0","  0","  0","  3","  0","  0","  0"," 19"
"496",NA,NA," 96","  0","  1","  0","  1","  8","  3","  1","  0","  0","  0","  0","  0","  0","  2","  6","  0","133","  1","  0","281","  0","  6","  2","  0","  0","  0","  0","  0"," 22","  4","  0","  0","  0","  3","  0","  2","  3"," 10","  0","  0","  0"," 29"," 10","  0","  0","  1","  0","  1","  0","  2","  0","  0","  0"," 15"
"520",NA,NA,"101","  0","  0","  0","  1","  2","  1","  4","  0","  0","  0","  0","  1","  0","  9","  2","  0","120","  3","  0","311","  0","  1"," 11","  0","  0","  2","  0","  0"," 21","  3","  0","  0","  0","  8","  0","  6","  5"," 25","  0","  0","  0"," 11","  5","  1","  0","  0","  1","  0","  0","  1","  0","  0","  0"," 37"
"544",NA,NA,"106","  0","  0","  0","  8","  9","  3","  5","  0","  0","  0","  0","  1","  0"," 10","  8","  1","173","  1","  0","220","  1","  4","  8","  0","  0","  0","  0","  3"," 13","  1","  0","  0","  0","  5","  0"," 13","  8"," 21","  0","  0","  0"," 19","  9","  2","  0","  1","  1","  0","  0","  3","  0","  0","  0"," 21"
"568",NA,NA,"111","  0","  1","  0","  9","  7","  4","  7","  0","  0","  0","  0","  0","  0"," 16","  2","  0","238","  3","  0","151","  1","  1","  3","  0","  0","  0","  0","  3"," 16","  0","  0","  0","  0","  3","  0","  9","  0"," 36","  0","  0","  0"," 17","  1","  0","  3","  3","  0","  2","  1","  0","  0","  1","  0"," 41"
"616",NA,NA,"121","  0","  1","  1","  2","  1","  1","  4","  0","  2","  0","  1","  1","  0","  5","  0","  0","216","  1","  0","220","  1","  2"," 39","  0","  0","  3","  0","  0","  3","  2","  0","  0","  0","  6","  0","  1","  8"," 22","  1","  0","  0"," 22"," 10","  1","  0","  4","  0","  0","  0","  0","  0","  0","  0"," 26"
"640",NA,NA,"126","  0","  1","  1","  2","  1","  0","  3","  0","  2","  0","  0","  0","  0","  3","  3","  0","261","  0","  0","160","  0","  8"," 43","  0","  0","  1","  0","  2","  7","  7","  0","  0","  0","  3","  0","  2","  1"," 21","  1","  0","  0"," 15","  7","  0","  0","  2","  0","  0","  0","  2","  0","  0","  5"," 21"
"676",NA,NA,"131","  0","  0","  2","  2","  1","  1","  3","  0","  2","  0","  0","  2","  0","  5","  5","  1","340","  1","  0"," 63","  0"," 10"," 45","  2","  1","  0","  0","  0","  3","  2","  0","  2","  0","  1","  0","  6","  2"," 30","  1","  0","  0"," 15","  4","  1","  0","  0","  0","  2","  0","  4","  0","  0","  5"," 24"
"715",NA,NA,"136","  0","  0","  1","  2","  0","  2","  5","  0","  0","  0","  0","  3","  0","  5","  2","  0","287","  0","  0"," 90","  0"," 18"," 80","  0","  0","  0","  0","  1","  1","  2","  0","  0","  3","  1","  0","  4","  5"," 86","  0","  0","  0"," 19","  4","  0","  0","  2","  1","  1","  0","  2","  0","  0"," 16"," 49"
"753",NA,NA,"141","  0","  1","  0","  6","  2","  3","  8","  0","  0","  0","  0","  0","  0"," 11","  2","  1","209","  0","  0","160","  0"," 10"," 68","  0","  2","  3","  0","  3","  9","  7","  0","  1","  0","  3","  0","  4","  8"," 51","  0","  0","  1"," 29"," 17","  1","  0","  0","  1","  0","  0","  4","  0","  0","  0"," 79"
"792",NA,NA,"146","  0","  0","  0","  8","  0","  0"," 13","  0","  0","  0","  0","  1","  0"," 12","  2","  0","209","  1","  0"," 44","  3"," 11"," 92","  0","  0","  1","  0","  1"," 14","  4","  0","  0","  0","  6","  0","  3","  1"," 48","  0","  0","  0"," 38","  5","  0","  0","  1","  3","  0","  0","  2","  0","  0","  4","137"
"831",NA,NA,"151","  0","  0","  1","  6","  5","  0","  8","  0","  0","  0","  0","  0","  0","  4","  5","  0","249","  2","  0"," 91","  0"," 11","105","  0","  0","  2","  0","  0","  5","  3","  0","  0","  0","  1","  0","  1"," 10"," 74","  0","  0","  0"," 17"," 13","  1","  0","  0","  0","  1","  0","  2","  0","  0"," 36"," 81"
"870",NA,NA,"156","  0","  1","  0","  3","  1","  0","  7","  0","  1","  0","  0","  0","  0","  7","  0","  0","258","  1","  0","128","  4"," 16"," 66","  0","  0","  0","  0","  0","  3","  6","  0","  0","  0","  3","  0","  1","  3"," 35","  0","  0","  0"," 23"," 11","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0"," 88"
"909",NA,NA,"161","  0","  0","  2","  4","  0","  1"," 11","  0","  4","  0","  0","  1","  0","  3","  3","  1","235","  0","  0","163","  3","  1"," 32","  0","  0","  0","  0","  2"," 20","  2","  0","  0","  0","  5","  0","  3","  0"," 31","  0","  0","  0"," 35"," 10","  0","  0","  0","  0","  1","  0","  6","  0","  0","  0"," 87"
"947",NA,NA,"166","  0","  0","  2","  1","  0","  1"," 18","  0","  1","  0","  0","  0","  1","  1","  3","  2","261","  0","  0","118","  1","  0"," 27","  0","  0","  1","  0","  1"," 10","  1","  0","  0","  0","  6","  0","  3","  1"," 36","  0","  0","  0"," 35","  9","  3","  0","  2","  0","  0","  0","  5","  0","  0","  0","132"
"986",NA,NA,"171","  0","  2","  1","  4","  0","  7","  5","  0","  0","  0","  0","  0","  0","  2","  1","  0","367","  0","  0"," 59","  0","  2"," 14","  0","  0","  1","  0","  1","  1","  0","  1","  0","  0","  6","  0","  1","  1"," 43","  1","  0","  0","  8","  3","  1","  0","  2","  0","  0","  0","  3","  1","  0","  0"," 24"
"1025",NA,NA," 176","   0","   1","   0","   3","   0","   1","   7","   0","   1","   0","   0","   0","   0","   4","   5","   0"," 319","   0","   0","  93","   2","   2","  22","   0","   0","   2","   0","   0","   1","   6","   0","   0","   0","   5","   0","   2","   1","  51","   0","   0","   0","   5","   3","   4","   0","   1","   0","   0","   0","   2","   1","   0","   0","  74"
"1064",NA,NA," 181","   0","   1","   0","   0","   0","   0","  22","   0","   0","   0","   0","   0","   0","   4","  17","   0"," 287","   4","   0","  70","   0","   9","  85","   0","   0","   0","   0","   1","  12","   5","   0","   0","   0","   5","   0","   7","   3","  51","   0","   0","   0","  25","   6","   1","   0","   0","   0","   0","   0","   3","   0","   0","   2","  27"
"1103",NA,NA," 186","   0","   0","   2","   1","   0","   1","   7","   0","   0","   0","   0","   0","   0","   1","   3","   1"," 309","   2","   0"," 102","   0","   3","  11","   0","   0","   1","   0","   0","   9","  11","   0","   0","   0","   8","   0","   2","   1","  40","   0","   0","   0","  19","   1","   0","   0","   0","   0","   1","   0","   2","   0","   0","   0","  15"
"1141",NA,NA," 191","   0","   2","   1","   0","   1","   3","   0","   0","   1","   0","   0","   0","   1","   1","   0","   1"," 223","   0","   0"," 235","   0","   1","   8","   0","   0","   0","   0","   0","  71","   8","   0","   0","   0","   4","   0","   1","   1","  21","   1","   0","   0","  21","  13","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   4"
"1180",NA,NA," 196","   0","   0","   0","   0","   0","   2","   2","   0","   0","   0","   0","   0","   0","   1","   1","   0"," 236","   0","   0"," 165","   0","   0","   8","   0","   1","   1","   0","   0","  37","   8","   0","   0","   0","   3","   0","   2","   1","  24","   0","   0","   0","  49","  23","   0","   0","   1","   0","   0","   0","   9","   0","   0","   0","  19"
"1219",NA,NA," 201","   0","   0","   1","   2","   0","   2","   4","   0","   2","   0","   0","   0","   0","   1","   0","   1"," 314","   0","   0","  79","   1","   3","   4","   0","   3","   3","   0","   0","   4","   3","   0","   0","   0","   1","   0","   1","   1","  61","   0","   0","   0","  44","  12","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  20"
"1242",NA,NA," 204","   0","   0","   1","   0","   1","   2","   0","   0","   0","   0","   0","   2","   0","   1","   1","   0"," 316","   0","   0","  89","   0","   0","  10","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   2","   0","   0","   4","  52","   0","   0","   0","  18","  15","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   7"
