"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betulaceae undif.","Brassicaceae","Caryophyllaceae undif.","Centaurea","Cichorieae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Fraxinus","Fungi","Olea t.","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Polygonum t.","Quercus undif.","Ranunculaceae undif.","Rumex t.","Salix","Sarcopoterium","Spermatophyta undiff. (cf. upland herbs)","Spike","Thalictrum","Tilia","Tracheophyta undiff. (aquatic plants)","Ulmus t.","Unknown","Unknown undiff."
"4871",NA,NA," 575","   8","   3","   3","  22","   0","   1","  26","   0","   2","   1","   3","   3","   0","   7","   0","   1","  34","   0","   0","  26","   0","   0","  58","   7"," 118","  26","   3","   5","   0","   3"," 149","   2","   0","  27","   1","  92","  46"
"5083",NA,NA," 600","   2","  11","   8","  58","   0","   4","  20","   0","   1","   0","   1","   7","   0","   7","   0","   0","  36","   6","   4","  14","   0","   1","  88","   6","  95","   9","   3","   0","   0","  10"," 163","   0","   3","  29","   1"," 214"," 107"
"5270",NA,NA," 622","  12","  10","   2","  72","   2","   3","  21","   0","   0","   0","   1","   6","   0","   3","   0","   0","  27","   1","   6","  31","   0","   4","  17","   0"," 191","  32","   0","   3","   0","   7"," 125","   1","   1","  24","   6","  60","  30"
"5474",NA,NA," 646","   7","   3","   3","  90","   0","   1","   6","   0","   0","   2","   1","  12","   0","  10","   1","   0","  70","   0","  10","  25","   0","   0","  35","   4"," 159","   0","   0","   0","   0","   2","  72","   0","   1","  60","   0","  18","   9"
"5609",NA,NA," 662","   5","   6","   4"," 116","   0","   8","  30","   2","   2","   5","   4","   9","   0","  20","   0","   0"," 114","   0","  13","  38","   0","   1","  60","   1"," 309","   0","   3","   1","   0","   8"," 177","   0","   2","  94","   1","  30","  15"
"5813",NA,NA," 686","  23","   2","   0","  94","   0","   1","  11","   0","   0","   0","   0","   3","   0","   3","   1","   2","  27","   2","   3","  50","   0","   0","   8","   0"," 180","   4","   0","   0","   0","   1","  51","   1","   1","  24","   0","  34","  17"
"6000",NA,NA," 708","  16","   2","   1","  89","   1","   2","  18","   0","   1","   0","   0","   1","   0","   3","   0","   4","  38","   2","   0","  47","   0","   2","  24","   0"," 181","   4","   1","   5","   0","   0"," 149","   1","   0","  35","   0","  54","  27"
"6085",NA,NA," 718","   5","   4","   0","  90","   0","   1","   2","   7","   0","   0","   8","   7","   0","   6","   0","   0","  58","   0","   1","  36","   0","   0","  72","   0","  44","   5","   0","   3","   0","   1","  85","   0","   0","  52","   1"," 224"," 112"
"6204",NA,NA," 732","   8","   1","   1","  54","   2","   4","  13","   0","   3","   1","  10","   5","   0","  10","   0","   0","  42","   0","   0","  40","   0","   1","  65","   1"," 109","  25","   0","   4","   0","   1"," 220","   4","   3","  32","   0","  34","  17"
"6357",NA,NA," 750","   5","   4","  10"," 128","   1","   1","   5","   1","   1","   7","  14","   3","   0","  50","   1","   0"," 247","   0","   8","  35","   0","   0"," 105","   2","  94","   0","   0","   0","   0","   7"," 266","   0","   0"," 197","   0","  34","  17"
"6748",NA,NA," 796","   3","   0","   0","  49","   0","   5","  15","   0","   3","   1","  24","   1","   0","  29","   1","   1","  53","   0","   0","  18","   0","   0","  59","   2"," 102","   3","   0","   9","   0","   3"," 320","   2","   0","  24","   1","  80","  40"
"6900",NA,NA," 814","   2","   0","   6","  24","   0","   1","   2","   0","   0","   0","   1","   0","   0","  72","   0","   0"," 174","   0","   0","  13","   0","   0","  31","   0","  79","   0","   0","   0","   0","   0","  61","   0","   0"," 102","   0","  26","  13"
"7019",NA,NA," 828","   0","   3","   2","   7","   0","  15","   3","   4","   2","   0","  10","   7","   0","   7","   0","   0","  47","   0","   7","  14","   1","   0","  83","  25","  53","   0","   2","   0","   1","   2"," 272","   0","   3","  40","   0","  42","  21"
"7172",NA,NA," 846","   2","   0","   0","  51","   0","   2","   1","   7","   3","   1","   1","   5","   0","   4","   0","   0","  32","   0","   0","   9","   0","   0","  30","   3","  26","   1","   0","  12","   1","   4","  43","   0","   0","  28","   0","  78","  39"
"7239",NA,NA," 860","   9","   0","   4"," 159","   0","   1","  32","   1","   0","   0","   2","   3","   0","   9","   0","   7","  55","   1","   5","  30","   0","   1","  57","   4"," 115","  16","   2","   4","   0","   2","  88","   4","   3","  46","   3","  84","  42"
"7298",NA,NA," 878","   0","   3","   3","   9","   0","   6","  18","   1","   1","   0","  11","  14","   0","   1","   1","   0","  16","   0","   1","  33","   0","   2","  97","  46","  36","   1","   3","   1","   0","   2"," 323","   2","   3","  15","   0","  74","  37"
"7343",NA,NA," 892","   3","   1","   8","  23","   0","  14","  22","   0","   2","   0","  69","   3","   1","  29","   0","   0","  31","   0","   2","  28","   0","   1","  90","  25","  31","   1","   0","   0","   4","   3"," 648","   1","   4","   2","   1"," 138","  69"
"7402",NA,NA," 910","   1","   1","   1","  17","   1","   2","   5","   0","   1","   1","   7","  14","   0","   1","   0","   0","  19","   1","   2","  14","   0","   1","  54","  11","  39","  13","   0","   0","   0","  13","  97","   0","   1","  18","   1"," 114","  57"
"7448",NA,NA," 924","   4","   0","   4","  14","   0","   0","  26","   0","   4","   2","  24","   0","   0","  12","   0","   3","  19","   0","   4","  22","   0","   2","  84","   7","  84","   2","   1","   0","   0","   4"," 335","   0","   6","   7","   2","  94","  47"
"7507",NA,NA," 942","   1","   3","   1","   2","   0","   9","   5","   2","   0","   0","   1","   2","   0","   5","   0","   0","  26","   0","   3","  15","   0","   0","  28","   3","  63","   3","   0","   0","   0","   2"," 117","   0","   4","  21","   0","  86","  43"
"7579",NA,NA," 964","   4","   0","   1","   7","   1","   5","   7","   0","   0","   0","   4","   1","   0","   0","   0","   0","  15","   0","   2","   3","   0","   0","  47","   0","  28","   0","   0","   1","   0","   3","  94","   0","   1","  15","   1"," 148","  74"
"7683",NA,NA," 996","   4","   0","   3","   1","   0","   6","  16","   5","   0","   0","  12","  13","   0","   6","   0","   0","  61","   0","   4","  16","   9","   0","  81","   3","  35","   1","   6","   0","   5","   2"," 273","   0","   5","  55","   3","  40","  20"
"7736",NA,NA,"1012","   7","   3","  10","   5","   1","   9","  13","   0","   6","   1","  37","   0","   0","  14","   1","   0","  15","   0","   1","  31","   0","   2"," 113","   2","  38","   3","   0","   0","   2","   4"," 787","   2","   2","   1","   1"," 140","  70"
"7788",NA,NA,"1028","   1","   0","   2","   5","   0","   4","   4","   0","   1","   0","  12","   1","   0","   2","   0","   0","   2","   0","   0","   6","   0","   0","  27","   1","   5","   0","   0","   0","   2","   2"," 103","   0","   0","   0","   0","  42","  21"
"7840",NA,NA,"1044","   8","   2","   1","   8","   0","   5","  23","   0","   8","   6","  14","   6","   1","  30","   0","   0"," 108","   0","   3","  47","   0","   0"," 134","   0","  47","   0","   0","   1","   3","   1"," 610","   3","   2","  78","   1"," 130","  65"
"7892",NA,NA,"1060","   1","   4","   4","   8","   1","   9","   8","   0","   4","   1","  46","   4","   0","  16","   0","   2","  20","   0","   2","  18","   0","   1"," 108","   0","  37","   1","   0","   0","   3","   5"," 660","   2","   1","   4","   2"," 212"," 106"
"7945",NA,NA,"1076","  14","   2","   2","  16","   0","   9","  22","   0","   1","   2","  10","   8","   0","  74","   0","   1","  91","   0","   0","  30","   1","   0","  95","   1","  48","   1","   1","   5","   1","   0"," 694","   4","   1","  17","   1","  86","  43"
"7997",NA,NA,"1092","  17","   2","   7","  14","   0","  14","  10","   1","   3","   0","  28","   9","   0","  15","   0","   0","  18","   0","   0","  31","   2","   0","  96","   2","  41","   0","   0","   1","   1","   9"," 574","   2","   6","   3","   0"," 138","  69"
"8049",NA,NA,"1108","   8","   1","   2","  53","   0","   8","  14","   1","   1","   0","   9","   5","   1"," 115","   0","   2"," 118","   0","   0","  14","   0","   0","  81","   2","  65","   0","   0","   1","   0","   1"," 294","   0","   4","   3","   1","  66","  33"
"8102",NA,NA,"1124","   0","   0","   5","   0","   2","  21","  11","   1","   1","   0","  34","   1","   0","  27","   0","   0","  32","   0","   7","  11","   0","   0","  69","   0","  40","   0","   0","   1","   0","   0"," 191","   0","   2","   5","   0"," 110","  55"
"8154",NA,NA,"1140","   4","   0","   1","  10","   0","   3","   6","   1","   1","   0","   6","   5","   1","  83","   0","   0","  88","   0","   0","  12","  10","   0","  53","   0","  77","   2","   5","   3","   0","   0"," 212","   3","   0","   5","   3","  40","  20"
"8206",NA,NA,"1156","   5","   3","   1","   2","   0","   0","   6","   1","   1","   0","   0","   3","   0","  36","   0","   0","  44","   1","   4","   7","   7","   0"," 128","   0","  79","   0","   0","   4","   0","   0","  44","   0","   2","   8","   3","  18","   9"
"8265",NA,NA,"1174","   3","   0","   1","  27","   3","   3","   0","   6","   1","   0","   2","   1","   1","   9","   0","   0","  18","   0","   5","  18","   0","   1","  52","   0"," 166","   0","   0","  10","   3","   2"," 100","   2","   3","   9","   0","  24","  12"
"8373",NA,NA,"1188","   0","   1","   1","   4","   0","   1","   0","   1","   1","   0","   1","   4","   2","  15","   0","   2","  34","   0","  10","   8","   3","   0","  62","   0"," 118","   1","   2","   6","   5","   2","  82","   0","   9","  19","   3","  38","  19"
"8550",NA,NA,"1204","   6","   2","   5","   9","   0","   1","   4","   6","   0","   0","   1","   5","   0","  16","   0","   2","  18","   0","   0","  19","   4","   1","  64","   0"," 115","   2","   3","   7","   3","   2"," 123","   1","   0","   2","  12","  44","  22"
"8728",NA,NA,"1220","   2","   0","   0","  13","   0","   3","   3","   0","   0","   0","   2","   1","   0","  27","   0","   0","  28","   0","   0","  27","   0","   0"," 115","   0","  75","   1","   2","   9","   0","   2"," 235","   3","   3","   1","   0","  52","  26"
"8905",NA,NA,"1236","   6","   0","   2","  13","   0","   0","   5","   3","   0","   0","   1","   1","   1","  29","   0","   0","  57","   0","   3","  41","   2","   0"," 119","   1","  78","   5","   0","   3","   8","   1","  88","   2","   6","  28","   1","  28","  14"
"9038",NA,NA,"1248","   1","   7","   7","  14","   2","   0","   3","   5","   0","   0","   3","   3","   3","   2","   3","   0","  45","   0","   0","  12","   0","   2"," 114","   1","  63","   0","   3","   0","   5","   6","  62","   0","   0","  43","   1","  24","  12"
"9082",NA,NA,"1252","   0","   2","   7","   3","   0","   6","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","  28","   4","   0","  12","   6","   0"," 132","   0","  57","   0","  10","   1","   5","   1","  77","   0","   2","  27","   1","  18","   9"
"9260",NA,NA,"1268","   3","   0","   6","   4","   0","   3","   1","   0","   0","   0","   2","   0","   2","  11","   1","   0","  35","   0","   0","  17","   9","   1"," 163","   2","  43","   1","   1","  15","  10","   6","  83","   1","   2","  24","   3","  18","   9"
"9437",NA,NA,"1284","   2","   2","   8","  19","   3","   4","   3","   0","   0","   0","   4","   3","   0","   3","   1","   1","  48","   1","   2","  18","   5","   0"," 122","   0"," 107","   1","  16","   5","  16","   3","  87","   0","   1","  45","   2","  26","  13"
"9614",NA,NA,"1300","   1","   2","   5","  10","   0","   1","   4","   0","   0","   0","   4","   1","  12","   3","   2","   1","  39","   1","  11","  16","   1","   3"," 194","   0"," 106","   0","   6","   2","   0","   1"," 116","   4","   1","  36","   2","  24","  12"
"9792",NA,NA,"1316","   0","   5","   6","  14","   7","   8","   0","   0","   3","   0","   2","   1","   0","   9","   4","   0","  62","   1","   3","  12","   4","   1"," 109","   0","  97","   0","   9","   0","   8","   3"," 123","   0","   2","  53","   3","  46","  23"
"9969",NA,NA,"1332","   4","   0","  18","  12","   0","   7","   4","   0","  20","   2"," 106","   0","   1","   7","  29","   0","   7","   0","   0","  29","   1","   0","  54","   0","  35","   0","   0","   2","   0","   1"," 567","   0","   0","   0","   0"," 174","  87"
"10146",NA,NA," 1348","    0","    0","    7","    7","    1","    2","    0","    5","    0","    0","   10","    1","    2","    2","    0","    0","   68","    0","    0","    8","    0","    0","   29","    0","   28","    0","    0","    0","    3","    0","   57","    0","    0","   66","    0","   84","   42"
"10323",NA,NA," 1364","    1","    1","    4","    4","    7","    1","    0","    0","    0","    2","    1","    1","   10","   36","    3","    0","  126","    0","    1","   24","    0","    0","   86","    0","  114","    3","    5","    1","    1","    1","   55","    1","    1","   90","    2","   24","   12"
"10501",NA,NA," 1380","    0","    2","   11","   22","   20","    3","    3","   16","    0","    0","    6","    0","    3","    3","    1","    0","   93","    2","    4","    9","    0","    0","   58","    9","   88","    0","   10","    0","    0","    0","  102","    0","    0","   90","    0","   34","   17"
"10678",NA,NA," 1396","    7","    1","   16","   29","    9","   12","    2","    1","    1","    4","   10","    1","    4","   51","   18","    0","   93","    0","    0","   57","    0","    0","  104","    5","  120","    3","    0","    5","    0","    2","  203","    7","    0","   42","    0","  194","   97"
"10855",NA,NA," 1412","    0","    1","   11","   28","    0","    3","    0","    2","    0","    0","    9","    0","    2","   13","    8","    0","   26","    0","    0","   30","    0","    0","   49","    0","   35","    0","    0","    0","    0","    3","  255","    0","    0","   13","    0","  190","   95"
"10944",NA,NA," 1420","    5","    5","   21","   44","    3","   13","    3","   12","    1","    1","   39","    4","    0","   13","   38","    1","   33","    0","    1","   38","    0","    0","  153","    0","   65","    4","    0","    0","    0","    1","  693","    4","    0","   20","    0","  282","  141"
"11033",NA,NA," 1428","    1","    1","    6","   25","    2","    9","    2","    1","    3","    0","   42","    1","    3","    7","   16","    0","   17","    0","    0","   24","    0","    2","  120","    1","   48","    2","    1","    0","    0","    1","  571","    3","    0","   10","    0","  192","   96"
"11121",NA,NA," 1436","    1","    2","    8","   19","    2","    7","    0","    1","    3","    0","   13","    5","   14","    4","   12","    0","   22","    0","    0","   29","    0","    0","  131","    0","   77","    3","    2","    5","    0","    8","  356","   11","    1","   18","    1","  156","   78"
"11210",NA,NA," 1444","    0","    6","    4","   11","    4","    7","    3","    2","    4","    0","   10","    2","    2","    6","    3","    0","   71","    0","    0","   44","    0","    0","   43","    3","   80","    0","    0","    1","    0","    0","  300","    0","    0","   65","    0","   30","   15"
"11387",NA,NA," 1460","    1","    1","    6","   67","    0","    3","    1","    0","    0","    0","   30","    0","    0","   14","   14","    0","   29","    0","    0","   14","    0","    0","   95","    0","   10","    0","    1","    0","    0","    0","  929","    6","    0","   15","    0","  172","   86"
"11553",NA,NA," 1475","    2","    0","   39","   11","    2","   37","    3","    0","    0","    1","   15","    0","    2","   15","    4","    0","   18","    0","    0","   19","    0","    0","  103","    0","   14","    5","    0","    2","    0","    1"," 2409","    8","    0","    3","    0","  150","   75"
"11919",NA,NA," 1508","    0","    0","   68","    3","    1","   33","    1","    0","    0","    0","   52","    0","    0","   33","    0","    0","   46","    0","    0","    9","    0","    0","   61","    0","    3","    0","    0","    1","    0","    0","  792","    0","    0","   13","    0","  102","   51"
"12274",NA,NA," 1540","    0","    1","   30","    4","    3","   23","    0","    1","    1","    0","   20","    0","    0","   26","    0","    0","   49","    0","    0","   13","    0","    0","   40","    0","    6","    0","    0","    0","    0","    0","  380","    0","    0","   23","    0","  162","   81"
"12384",NA,NA," 1550","    2","    2","   60","   11","    4","    7","    1","    2","    3","    4","   18","    1","    0","   35","    4","    0","   44","    0","    0","    8","    0","    0","  113","    0","    8","    1","    1","    0","    0","    2","  378","   13","    0","    9","    0","  258","  129"
"12473",NA,NA," 1558","    1","    1","   72","   14","    8","   10","    0","    1","    0","    1","   17","    1","    1","   25","    1","    0","   39","    0","    0","    6","    0","    0","  175","    1","    8","    1","    1","    0","    0","    0","  225","   15","    0","   14","    0","  348","  174"
"12540",NA,NA," 1564","    1","    1","  108","   25","    4","   27","    2","    4","    5","    0","   40","    3","    0","   34","    4","    0","   52","    0","    0","   14","    0","    0","   85","    0","    2","    1","    0","    0","    0","    0","  418","    5","    0","   18","    0","  140","   70"
"12628",NA,NA," 1572","    0","    6","  145","   39","   73","   30","    0","    0","    0","    0","   11","    1","    2","   29","    8","    0","   75","    0","    0","   15","    0","    0","   94","    7","   57","    0","    0","   19","    0","    0","   95","    0","    3","   46","    0","   66","   33"
"12717",NA,NA," 1580","    1","    2","   45","   60","   26","   12","    0","    0","    1","    1","   13","    2","    0","   15","    2","    0","   75","    0","    1","   16","    0","    1","   59","    0","   22","    0","    0","    0","    0","    3","  272","    1","    0","   60","    1","  158","   79"
"12805",NA,NA," 1588","    2","    3","  210","   16","   20","   19","    1","    1","    0","    1","   35","    0","    0","   15","    2","    0","   34","    0","    0","    9","    0","    0","   91","    1","    7","    0","    1","    0","    0","    4","  269","    4","    0","   19","    0","  230","  115"
"12894",NA,NA," 1596","    0","    2","   55","   42","   29","    4","    2","    1","    0","    1","    3","    1","    1","   13","    2","    0","  117","    0","    0","    8","    0","    0","   95","    0","    9","    2","    0","    1","    0","    2","  140","    5","    0","  104","    2","  276","  138"
"12983",NA,NA," 1604","    0","    2","   37","   10","   12","   10","    1","    1","    0","    0","    2","    0","    5","   48","    0","    0","   95","    0","    0","    5","    0","    0","   21","    1","   12","    0","    0","    0","    0","    2","   71","    0","    0","   47","    0","   80","   40"
"13337",NA,NA," 1636","    1","    2","  214","   12","   26","   37","    5","    1","    1","    6","   11","    1","    3","  198","    3","    0","  237","    0","    4","   22","    0","    0","   80","    2","   15","    0","    0","    7","    0","    1","  718","    0","    2","   39","    0","  146","   73"
"13692",NA,NA," 1668","    0","    0","  172","    3","   32","   23","    1","    1","    5","    0","    4","    0","    1","   34","    2","    0","   45","    0","    0","   11","    0","    0","   23","    0","    6","    0","    0","    0","    0","    0","  132","    0","    0","   11","    0","   64","   32"
"14047",NA,NA," 1700","    1","    0","   64","    2","   71","   23","    0","    0","    0","   11","    6","    0","    0","   18","    1","    0","   57","    0","    0","   11","    0","    1","   37","    0","    6","    0","    0","    1","    0","    2","  119","    0","    0","   39","    0","    8","    4"
"14401",NA,NA," 1732","    2","    0","    7","    4","   19","    5","    0","    0","    0","    0","    0","    1","    1","   27","    0","    0","   45","    0","    0","    9","    0","    0","   46","    0","    1","    0","    0","    0","    0","    5","   88","    0","    0","   18","    1","   34","   17"
"14756",NA,NA," 1764","    2","    0","    2","    5","    2","   12","    0","    5","    0","    0","   53","    0","    0","  102","    2","    0","  104","    0","    0","   16","    0","    0","   68","    0","    2","    0","    0","    0","    0","    1","  164","    0","    0","    2","    0","   70","   35"
"15465",NA,NA," 1828","    0","    0","   29","    0","    0","    6","    3","    0","    0","    3","  138","    2","    0","    9","    4","    0","   16","    0","    0","   30","    0","    0","   58","    0","    1","    0","    0","    0","    0","    6"," 1161","    0","    0","    7","    0","  142","   71"
