"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Agrimonia","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Apium t.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Calligonum","Callitriche","Campanulaceae","Cannabis","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celtis","Centaurea","Centranthus t.","Ceratophyllum","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyclamen","Cyperaceae","Dipsacaceae","Dryopteris dilatata-type","Echinops","Echium t.","Ephedra","Erica t.","Erodium","Eucalyptus","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Ficus","Fraxinus","Fungi","Genisteae","Geranium","Hedera","Heliotropium","Humulus","Hypericum undif.","Ilex","IsoÃ«tes","Juglans","Juncaceae","Lamiaceae undif.","Lemnaceae","Linum t.","Loranthus","Lotus t.","Lycopodium spike","Lycopodium tablets","Lysimachia","Lythrum","Matthiola","Mercurialis","Myrtus","Olea t.","Onagraceae","Ophioglossum vulgatum","Papaver t.","Paronychieae","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Prunus t.","Pseudopediastrum boryanum var. boryanum sensu lato","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Riccia","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Solanaceae undif.","Solanum","Sparganium","Spergularia t.","Thalictrum","Theligonum","Thymelaeaceae undif.","Trifolium t.","Typha","Ulmus t.","Urtica t.","Utricularia","Verbena t.","Viburnum","Vitis"
" 205.13",NA,NA," 90","1","0","0","0","1","1","2","1","0","71","6","5","0","2","0","0","0","0","0","0","0","2","0","0","0","3","0","1","0","57","6","0","0","1","0","1","0","0","41","0","0","0","0","1","0","0","0","0","0","0","0","4","0","0","2","0","0","3","0","0","1","0","0","0","0","1","9","0","0","0","295","0","0","0","0","0","0","1","0","0","0","4","0","0","0","2","1","3","0","104","3","0","0","14","2","0","1","23","1","9","3","0","0","0","1","0","1","5","0","0","0","1","0","1","1","0","0","0","0","1","0","0","1","0","0","0","0"
" 263.15",NA,NA,"110","1","0","0","0","0","0","2","3","0","51","0","6","0","2","0","0","0","2","1","0","0","0","0","0","1","0","0","0","0","88","4","0","2","0","0","0","1","0","5","0","0","0","0","0","1","0","0","0","0","1","0","6","0","1","5","0","0","2","0","0","0","0","0","0","0","0","5","0","0","1","316","0","0","0","0","1","0","1","0","0","0","4","0","1","0","0","0","3","0","60","2","0","0","3","3","0","0","126","10","12","13","0","0","0","1","0","2","5","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 292.17",NA,NA,"120","1","0","2","0","0","0","2","3","0","34","0","2","1","6","1","0","0","4","0","0","0","0","1","0","0","0","0","1","0","18","8","0","0","0","0","0","1","0","10","0","0","0","0","1","1","0","0","0","0","0","0","5","0","0","3","0","0","17","0","0","0","0","0","0","0","1","25","0","0","0","162","0","0","0","0","0","0","0","0","0","0","15","0","1","0","0","0","1","0","141","3","0","0","8","3","0","0","404","5","24","4","0","0","0","0","0","1","5","0","0","0","0","0","0","3","0","0","0","0","3","0","2","3","0","0","0","1"
" 321.18",NA,NA,"130","1","0","17","0","1","1","5","7","0","64","0","1","2","18","0","1","0","1","0","0","0","0","2","0","1","1","0","0","0","7","9","1","0","0","0","0","0","2","36","1","0","0","0","0","0","0","0","1","0","0","1","4","0","0","24","0","0","13","0","0","1","0","0","0","0","0","47","0","0","0","82","0","0","0","0","0","0","2","0","0","0","38","0","3","0","3","1","7","0","141","2","0","0","9","4","0","0","290","3","30","16","0","0","0","1","0","2","1","0","0","0","0","0","0","21","0","1","0","0","7","1","1","0","0","0","0","0"
" 350.19",NA,NA,"140","1","0","15","0","1","2","1","5","0","105","0","2","0","11","0","0","3","1","0","0","0","0","1","0","1","0","0","0","0","14","18","1","0","0","0","2","1","2","33","0","0","0","0","0","0","0","0","0","0","1","0","5","0","1","112","0","0","4","0","0","0","0","1","0","0","0","14","0","0","0","91","0","0","0","0","0","0","0","0","0","0","19","0","1","0","1","0","6","0","142","2","0","0","12","2","0","0","219","5","43","17","0","0","0","3","0","6","4","0","0","0","0","0","1","11","0","0","1","0","4","1","2","1","0","0","0","0"
" 379.21",NA,NA,"150","1","0","15","0","1","0","2","3","0","70","0","2","2","3","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","30","4","0","0","0","0","1","0","2","43","0","0","0","1","0","0","0","0","0","0","2","0","1","0","0","331","0","1","12","0","0","0","0","1","0","0","0","14","0","0","0","179","0","0","0","0","1","0","0","0","0","0","5","0","1","0","0","0","2","0","100","0","0","0","7","1","1","0","321","8","39","10","0","0","0","4","0","3","2","0","0","0","1","0","1","15","0","0","0","0","1","0","5","0","0","0","0","0"
" 408.22",NA,NA,"160","1","0","13","0","0","1","2","0","0","55","0","5","0","3","0","0","0","2","0","7","0","0","1","0","0","1","0","0","0","17","12","0","0","1","1","2","0","0","36","0","0","0","0","1","1","0","0","0","0","0","0","3","1","1","29","0","1","9","0","0","0","0","0","0","0","0","9","0","0","0","115","0","0","0","0","0","0","0","0","0","0","10","0","1","0","1","2","6","0","112","2","0","1","13","5","1","0","215","4","25","3","0","0","0","0","0","4","1","0","0","0","0","0","1","14","0","0","0","0","2","0","3","0","0","0","0","0"
" 437.24",NA,NA,"170","1","0","14","0","0","0","1","0","0","43","0","4","0","4","0","0","0","1","0","4","0","0","1","0","0","0","0","0","0","56","2","0","0","1","0","1","0","1","31","0","0","0","1","0","0","0","0","0","0","0","0","2","0","1","2","0","0","5","0","0","0","0","0","0","0","0","3","0","0","0","186","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","2","3","0","56","0","0","0","2","0","0","0","221","4","24","7","0","0","0","0","0","1","1","3","0","0","0","0","1","2","0","0","0","0","1","0","3","0","1","0","0","0"
" 495.26",NA,NA,"190","1","1","5","0","0","1","1","1","0","36","1","6","1","3","0","0","0","5","0","5","1","1","2","0","0","0","1","0","0","106","6","0","0","0","0","1","0","1","48","0","0","0","1","0","0","0","0","0","0","0","0","6","0","0","3","1","0","1","0","0","0","0","0","0","0","0","7","0","0","0","383","0","0","0","0","1","0","1","0","0","0","4","0","0","1","0","3","8","0","153","1","0","0","14","1","0","2","133","8","42","36","1","0","0","0","0","6","2","1","0","0","0","0","0","9","0","0","0","0","1","0","0","3","0","0","0","0"
" 553.29",NA,NA,"210","1","0","3","0","0","0","1","1","0","15","0","5","0","1","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","89","4","0","0","0","0","1","1","0","18","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","293","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","83","2","0","0","7","0","0","4","99","3","11","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","5","1","0","0","0","0"
" 611.32",NA,NA,"230","1","0","0","0","0","0","17","5","0","30","1","6","2","20","0","0","0","7","0","0","0","0","2","1","0","0","0","1","0","87","72","1","0","2","0","1","0","0","29","0","0","0","2","0","0","0","0","0","0","0","0","5","0","0","26","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","360","0","0","0","0","0","0","2","0","0","0","11","0","0","0","1","0","26","0","201","5","1","0","12","1","0","7","5","2","5","118","0","0","0","1","0","9","9","0","0","0","0","0","4","64","1","0","0","0","8","0","0","7","0","0","0","0"
" 669.35",NA,NA,"250","1","0","0","0","0","0","4","6","0","37","1","4","0","30","0","0","0","2","0","0","1","0","2","0","0","0","0","0","0","32","36","0","0","0","0","0","1","1","47","0","0","0","3","0","0","0","0","0","1","31","0","3","0","0","17","0","0","2","0","0","0","0","0","0","0","0","8","0","0","0","407","0","0","0","0","1","0","0","0","0","0","3","0","1","0","0","1","15","0","160","3","1","0","6","2","0","0","4","1","6","13","0","0","0","1","0","3","2","0","0","0","0","0","3","0","0","1","0","0","7","0","1","2","0","0","0","0"
" 727.38",NA,NA,"270","1","0","18","0","0","0","2","2","0","23","0","0","0","0","0","0","1","0","0","1","0","0","3","0","0","0","0","0","0","40","7","0","0","0","0","0","0","0","23","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","9","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","195","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","3","0","133","2","0","0","24","0","0","1","2","2","4","27","0","0","0","0","0","2","3","1","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0"
" 785.40",NA,NA,"290","1","0","1","0","0","0","3","14","0","12","0","1","8","11","0","0","0","4","0","0","0","0","4","0","2","0","0","0","0","1","80","1","0","1","0","0","0","0","17","0","0","0","2","0","0","1","0","0","1","0","0","13","0","0","27","0","0","1","0","0","1","0","0","0","0","3","0","0","0","0","985","0","0","0","0","0","0","1","0","0","0","2","0","1","0","1","0","11","0","118","3","1","0","6","0","0","0","38","6","5","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","7","0","2","2","0","0","0","0"
" 843.43",NA,NA,"310","1","0","0","0","0","1","2","6","0","30","0","2","2","6","0","0","0","1","0","1","0","0","7","0","2","1","0","0","0","1","107","0","0","0","0","0","0","0","22","0","0","0","0","1","0","0","0","0","0","0","0","12","0","0","38","0","0","1","1","0","0","0","1","0","0","0","1","0","0","0","467","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","5","0","170","3","1","0","9","0","0","0","54","8","5","0","0","0","0","0","0","1","13","0","0","0","0","0","1","1","0","0","1","0","9","0","0","0","2","0","0","0"
" 930.47",NA,NA,"340","1","0","13","0","0","2","6","12","1","94","0","3","0","3","0","1","1","4","0","0","0","1","1","0","0","0","0","2","0","26","11","1","0","0","0","1","1","1","44","0","0","1","0","0","0","0","0","1","0","0","0","8","0","1","7","0","1","1","0","0","1","0","0","1","0","1","34","0","0","0","366","0","0","1","0","1","0","4","0","0","1","3","0","2","0","1","2","14","0","245","5","0","0","40","0","0","0","86","15","14","6","0","0","0","5","2","3","4","2","0","0","2","0","5","6","0","0","1","1","0","2","5","3","0","0","0","0"
" 959.49",NA,NA,"350","1","0","1","0","0","1","7","5","0","53","0","1","1","2","0","1","0","0","0","0","0","0","4","0","2","0","0","0","0","16","11","0","0","0","0","0","0","0","7","0","0","0","0","0","1","0","0","0","1","0","0","16","0","0","51","0","0","2","0","0","4","0","0","0","0","3","14","0","0","0","207","0","0","0","1","1","0","1","0","0","0","1","2","0","1","0","1","8","0","112","5","1","0","88","3","1","0","172","8","15","5","0","0","0","6","1","12","2","0","0","0","0","0","4","8","0","0","0","0","0","1","4","3","0","0","0","0"
"1017.52",NA,NA,"370","1","0","1","0","0","1","1","11","0","19","0","2","0","1","0","0","0","3","0","0","0","0","1","0","1","0","0","0","0","3","3","0","0","1","0","0","0","0","3","0","0","0","0","1","2","0","0","0","0","1","0","19","0","0","11","0","0","2","0","0","0","0","0","0","0","1","16","0","1","0","253","0","0","0","0","1","0","1","0","0","0","1","0","0","1","1","1","6","0","105","2","3","0","228","4","1","0","275","11","37","2","0","0","0","16","0","2","0","0","0","0","0","0","2","5","0","0","0","0","7","0","1","1","0","0","0","0"
"1075.54",NA,NA,"390","1","0","22","0","0","1","3","7","1","22","0","6","0","1","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","16","0","0","0","0","0","0","0","0","7","0","0","0","0","0","1","0","0","0","1","0","0","20","0","1","7","0","0","8","0","0","1","0","0","0","0","0","5","0","0","0","133","0","0","0","0","0","0","2","0","0","0","3","0","1","1","2","2","2","0","59","1","0","0","13","3","1","0","347","9","35","4","0","0","0","2","0","4","3","0","0","0","0","0","4","2","0","1","0","0","0","0","15","1","0","0","0","0"
"1133.57",NA,NA,"410","1","0","3","0","0","0","3","2","0","9","0","2","1","1","0","0","0","2","0","0","0","0","1","1","1","0","0","0","0","9","0","0","0","0","0","0","0","0","5","0","0","0","0","0","1","0","0","0","0","0","0","12","0","0","6","0","1","4","0","0","0","0","0","0","0","0","1","0","0","0","269","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","6","1","0","48","0","0","0","74","0","0","0","264","15","28","1","0","0","0","0","0","1","7","1","0","0","0","0","0","5","0","0","0","0","0","0","3","13","0","0","0","1"
"1191.60",NA,NA,"430","1","0","3","0","0","0","0","1","0","11","0","1","0","1","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","8","0","1","3","0","0","30","0","0","0","0","0","0","0","0","4","0","0","0","71","0","0","0","1","0","0","2","0","0","0","0","0","1","0","1","3","1","0","31","0","0","0","1","1","0","0","270","8","20","4","0","0","0","5","0","3","2","0","0","0","0","0","0","1","0","0","0","0","0","0","5","4","0","0","0","0"
"1249.31",NA,NA,"450","1","0","2","0","0","0","3","4","0","10","0","2","0","2","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","22","7","0","0","1","0","0","0","0","27","0","0","0","0","0","1","0","0","0","0","0","0","12","0","3","9","1","0","24","0","0","1","1","0","0","0","0","8","0","5","0","409","0","0","0","0","1","0","1","0","0","0","0","0","0","0","12","4","3","0","70","2","0","0","14","1","0","0","201","12","20","5","0","0","0","1","0","1","2","0","0","0","1","0","1","5","0","0","0","0","3","0","1","1","0","0","0","0"
"1307.00",NA,NA,"470","1","0","2","0","0","2","1","1","0","7","0","5","0","1","0","2","0","2","0","0","0","0","2","0","0","2","0","0","0","19","0","1","0","1","0","0","0","0","2","0","0","0","0","1","1","0","0","0","0","0","0","3","0","3","3","0","0","37","0","0","1","0","0","0","0","0","3","0","0","0","107","0","0","0","0","0","0","2","0","0","0","3","0","1","0","0","5","4","0","12","0","0","0","3","3","1","0","225","9","25","5","0","0","1","4","0","1","0","1","0","0","0","0","0","5","1","0","0","0","1","0","7","1","0","0","0","1"
"1364.69",NA,NA,"490","1","0","0","0","0","4","2","3","1","36","3","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","22","0","0","0","2","0","1","0","5","2","0","0","0","2","0","1","0","0","2","0","0","0","5","0","3","0","1","0","9","0","0","0","0","0","0","0","0","3","0","0","1","125","0","0","0","0","0","0","3","0","0","0","3","0","1","0","0","4","2","0","46","0","0","0","18","3","0","0","219","7","30","8","0","0","0","6","0","0","1","0","1","0","0","0","0","0","1","0","0","0","3","0","6","0","0","0","0","1"
"1422.38",NA,NA,"510","1","0","2","0","0","0","1","4","0","43","1","2","1","3","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","2","3","0","0","0","0","0","0","1","7","0","0","0","1","1","1","0","0","3","1","0","0","4","0","2","13","3","0","3","0","0","0","0","0","0","0","1","6","0","1","1","297","0","0","0","0","0","0","0","0","0","0","1","0","0","1","2","3","0","0","72","1","0","0","54","6","0","0","242","12","73","0","0","0","0","1","0","5","0","0","0","0","0","0","0","1","0","0","0","0","3","0","5","1","0","0","0","0"
"1480.07",NA,NA,"530","1","0","0","0","0","0","1","3","0","137","0","1","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","1","0","7","0","1","0","1","0","1","0","0","6","0","0","0","0","0","3","0","0","1","0","0","0","10","0","0","0","0","0","1","0","0","1","0","0","0","0","0","6","0","0","0","121","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","3","2","0","60","0","0","0","73","3","0","0","264","10","46","5","0","0","0","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","1","0","0","0","0"
"1537.76",NA,NA,"550","1","0","0","0","0","0","1","2","0","13","0","1","0","0","0","1","0","1","0","0","0","0","2","0","0","0","0","0","0","9","0","0","0","0","0","1","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","11","0","1","6","0","0","13","0","0","0","0","0","0","0","0","3","0","0","1","109","0","0","0","0","0","0","3","0","0","0","2","0","0","0","1","2","0","0","54","0","0","0","5","0","0","0","325","6","55","1","0","0","1","2","0","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0"
"1624.30",NA,NA,"580","1","0","0","0","0","2","0","1","0","10","0","3","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","9","0","1","4","1","0","23","0","0","0","0","0","0","0","0","8","0","0","0","112","0","1","0","0","1","0","4","0","0","0","0","0","0","0","0","1","3","0","22","1","0","0","18","1","0","0","236","10","99","1","0","1","0","5","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","10","2","0","0","0","0"
"1653.15",NA,NA,"590","1","0","0","1","1","1","0","2","1","10","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1","0","0","2","0","0","0","0","4","0","0","0","0","1","1","0","0","0","0","0","0","7","0","0","7","0","0","2","0","0","0","0","0","0","0","0","4","0","0","0","169","0","0","0","0","0","0","9","0","0","0","1","0","1","0","1","1","1","0","27","0","0","0","4","1","0","0","300","12","94","4","0","1","0","0","1","0","3","0","0","0","0","0","3","3","0","0","0","0","0","0","0","2","0","0","0","0"
"1681.99",NA,NA,"600","1","0","0","0","2","0","1","1","1","19","1","3","0","4","0","0","0","1","0","0","0","0","1","1","0","0","0","1","0","8","3","0","0","0","0","2","0","0","2","0","0","1","0","0","1","0","0","0","0","0","0","9","0","2","2","0","0","7","0","0","0","0","0","0","0","1","1","0","0","0","87","0","0","0","0","0","0","7","0","0","0","1","0","2","1","1","1","4","0","27","1","0","0","2","2","1","0","387","8","98","2","0","0","1","1","0","1","2","1","0","0","0","0","0","4","0","1","0","0","0","0","4","0","0","0","0","0"
"1783.09",NA,NA,"610","1","0","0","0","0","1","2","1","1","11","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","21","0","1","0","0","0","0","0","0","2","0","1","0","0","1","3","0","0","0","0","0","1","14","0","4","1","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","73","0","0","0","0","0","0","4","0","0","0","1","0","0","2","1","2","0","0","43","0","0","0","17","2","0","0","357","8","95","1","0","0","0","3","0","1","1","0","0","0","0","0","0","4","0","0","0","0","3","0","0","0","0","0","0","0"
"1943.54",NA,NA,"620","1","0","0","0","0","1","1","4","0","67","2","4","1","2","1","0","0","1","0","0","0","0","3","0","0","0","0","0","1","0","6","2","0","1","0","0","1","0","13","0","0","0","1","2","0","0","0","1","1","0","2","6","0","2","5","0","0","3","0","0","2","0","0","0","0","0","7","0","0","0","139","0","0","1","0","0","0","5","0","0","0","0","0","0","0","1","0","3","0","98","0","0","0","2","4","5","0","172","2","133","9","0","0","1","3","1","2","1","0","0","0","1","0","0","9","0","0","0","0","4","0","1","0","0","0","0","0"
"2103.99",NA,NA,"630","1","0","0","0","0","0","5","12","0","132","5","1","0","2","1","0","0","2","0","0","0","0","4","1","1","0","1","1","0","0","4","0","0","0","0","0","1","0","14","0","0","0","0","0","1","0","0","1","0","0","0","4","0","0","19","2","1","1","0","1","3","0","0","0","0","0","3","0","0","1","160","0","0","0","0","0","0","6","0","0","0","1","0","0","1","3","0","1","0","176","1","0","0","3","7","8","0","231","14","238","18","0","0","0","4","0","4","2","0","0","1","0","0","0","4","0","0","0","0","8","0","0","0","0","0","0","0"
"2424.90",NA,NA,"650","1","0","0","0","0","1","3","6","2","34","0","1","4","10","0","0","0","2","0","0","0","0","4","1","1","0","0","1","0","0","11","1","0","1","0","0","0","0","63","0","0","0","0","0","4","0","0","1","1","0","0","9","0","0","4","0","3","0","0","0","0","0","0","0","0","1","2","0","1","0","125","0","0","0","0","0","0","5","0","1","0","1","0","1","1","2","3","1","0","148","2","0","0","0","5","1","0","179","6","189","1","0","0","1","9","1","17","2","0","0","0","0","0","0","0","0","0","0","0","12","0","5","0","0","1","0","0"
