"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteraceae (echinate)","Betula","Brassicaceae","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fraxinus","Lamiaceae undif.","Olea t.","Ostrya","Pistacia","Plantago","Poaceae","Polygonum t.","Quercus deciduous","Quercus evergreen","Rhamnus","Rumex t.","Salix","Thymelaeaceae undif."
"1316",NA,NA," 255","   1","  33","   8","   1","   4","   0","   3","   0","   4","   2","   2","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","  34","  29","   5","  92","  29","   0","  34","   0","   0"
"1345",NA,NA," 265","   0","  23","   0","   0","   4","   0","   2","   0","   0","   0","   2","   2","  24","   0","   0","   0","   2","   0","   0","   0","   0","   0","  76","  99","   0"," 112","  67","   0","  22","   7","   0"
"1373",NA,NA," 275","   2","  16","   2","   0","   0","   0","   2","   0","   2","   0","   0","   0","   7","   0","   0","   0","   0","   4","   0","   0","   0","   0","  28","  52","   0","  63","  36","   0","   4","   0","   0"
"1401",NA,NA," 285","   3","   4","   1","   0","   0","   0","   0","   0","   1","   0","   1","   0","   7","   0","   0","   0","   0","   0","   0","   2","   0","   0","  13","  52","   0","  79","  22","   0","  12","   3","   0"
"1429",NA,NA," 295","   0","  14","   0","   0","   0","   0","   4","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","  15","   0","  58","  14","   0","   0","   0","   0"
"1456",NA,NA," 305","   0","  11","   0","   0","   0","   0","   0","   0","   3","   0","   0","   3","  12","   0","   0","   0","   0","   0","   0","   4","   0","   0","  14","  62","   0","  71","  16","   0","   8","   0","   0"
"1483",NA,NA," 315","   2","  13","   2","   0","   2","   0","   0","   0","   4","   1","   1","   0","   4","   0","   0","   2","   0","   0","   0","   0","   0","   0","  13","  33","   0","  45","   7","   0","   5","   0","   0"
"1510",NA,NA," 325","   0","  10","   4","   0","   0","   0","   0","   0","   1","   0","   0","   0","  15","   0","   0","   0","   0","   0","   0","   0","   0","   0","  46","  67","  20","  53","  38","   0","  21","   0","   0"
"1537",NA,NA," 335","   1","  36","   1","   2","   0","   0","   0","   0","   3","   1","   0","   0","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","  28","  88","   0","  81","  20","   0","   5","   0","   0"
"1565",NA,NA," 345","   2","   7","   0","   0","   0","   0","   0","   0","   1","   0","   0","   4","  27","   0","   0","   0","   0","   0","   0","   0","   0","   0","  36"," 151","  23","  49","  34","   0","  48","   1","   0"
