"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acacia t.","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae","Anthoceros t.","Apiaceae undif.","Apium t.","Arbutus","Arceuthobium","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Callitriche","Campanulaceae","Cannabis","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celtis","Centaurea","Centranthus t.","Ceratonia","Ceratophyllum","Chamaerops","Cichorieae","Cistaceae","Citrus","Coelastrum reticulatum","Convolvulaceae","Cornus","Corydalis","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyclamen","Cyperaceae","Dioscorea","Dipsacaceae","Echium t.","Ephedra","Erica t.","Eucalyptus","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Ficus","Filipendula t.","Fraxinus","Fumaria","Fungi","Galium t.","Genisteae","Gentiana t.","Gentianaceae undif.","Geranium","Hedera","HippophaÃ«","Humulus","Hypericum undif.","IsoÃ«tes","Juglans","Juncaceae","Lamiaceae undif.","Lavatera","Linum t.","Lotus t.","Lycopodium spike","Lycopodium tablets","Lysimachia","Lythrum","Malva","Matthiola","Mercurialis","Morus","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myrtus","Nymphaea","Olea t.","Orchidaceae","Papaver t.","Paronychieae","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polystichum","Populus","Potamogeton","Potentilla t.","Primula","Protist","Prunus t.","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Resedaceae undiff.","Riccia","Rosa t.","Rosaceae undif.","Rumex t.","Ruppia","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Smilax","Solanum","Spergularia t.","Styrax","Tamarix","Taxus","TetraÃ«dron","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Utricularia","Valeriana t.","Valerianella","Vitex","Vitis"
" 120",NA,NA,"110","1","0","0","0","35","0","5","10","2","2","4","0","1","0","6","0","15","0","0","0","4","0","0","0","0","2","0","1","0","0","1","0","0","192","0","34","28","0","0","0","0","0","0","0","35","0","0","67","0","0","0","2","33","0","0","0","0","0","5","0","7","0","0","1","0","16","1","2","0","0","0","0","0","0","3","19","2","0","13","0","0","0","861","62545","0","0","0","0","0","0","0","57","2","0","35","0","1","0","0","6","1","0","21","31","47","0","0","60","13","0","3","0","0","0","10","0","0","12","57","3","4","0","0","0","0","8","0","0","0","0","0","4","0","0","0","0","6","0","0","1","0","0","0","0","2","0","0","0","0","0","0","4"
" 137",NA,NA,"120","1","0","0","0","40","0","0","9","1","1","2","0","0","0","6","0","10","0","2","0","7","0","0","0","0","7","0","0","1","0","0","0","1","605","2","30","43","0","0","1","0","0","0","1","33","0","0","42","0","0","0","0","92","0","2","0","0","0","3","0","2","0","0","0","0","102","0","2","0","0","1","0","0","0","1","16","0","0","16","0","0","6","403","62545","0","0","0","0","0","0","0","0","1","0","38","0","2","0","0","6","1","0","7","32","13","0","0","34","5","0","1","6","0","0","14","0","0","7","47","4","8","0","0","0","0","6","0","0","1","0","0","1","0","0","0","1","1","0","3","0","0","0","0","0","4","0","4","0","0","0","3","1"
" 153",NA,NA,"130","1","0","0","0","52","0","10","11","4","1","1","0","0","0","15","0","5","3","1","0","6","0","0","0","0","2","0","0","0","2","0","0","0","940","0","17","14","0","0","0","0","0","3","0","36","0","0","38","0","0","0","0","29","0","0","2","0","1","3","0","1","0","0","3","2","17","0","0","0","0","0","0","0","0","4","4","0","0","16","0","0","1","580","62545","0","0","0","0","0","0","0","0","0","0","33","0","0","0","0","0","0","0","9","83","19","0","0","52","10","0","2","0","0","0","84","0","0","6","59","2","4","0","0","1","0","32","0","1","0","0","2","2","0","0","0","0","5","0","0","0","0","0","0","0","7","0","2","0","0","0","0","0"
" 170",NA,NA,"140","1","0","0","0","34","0","3","6","2","0","2","0","1","0","10","0","12","0","2","0","9","1","1","0","1","0","0","0","0","0","0","0","0","566","0","10","8","0","0","0","0","0","0","0","33","0","0","47","0","0","0","0","33","0","0","2","0","0","3","0","0","0","0","1","1","8","0","0","0","0","0","0","0","0","1","1","1","0","14","0","0","4","507","62545","0","0","0","1","1","0","0","1","1","0","47","0","0","0","0","0","8","0","8","24","0","0","0","22","5","0","5","0","0","0","48","0","0","31","159","4","8","0","0","0","0","4","0","1","1","0","1","2","0","0","0","0","7","0","0","0","0","0","0","0","0","2","5","0","0","0","1","1"
" 213",NA,NA,"150","1","0","0","0","40","0","4","3","4","0","0","0","2","0","9","0","10","1","2","0","13","0","0","0","0","1","0","0","0","0","0","0","0","783","2","9","10","0","0","0","0","0","1","0","37","0","0","58","0","0","0","0","37","0","0","1","0","0","0","0","0","0","0","2","0","16","0","0","0","0","1","0","0","0","0","8","0","0","16","0","0","5","614","62545","0","0","0","0","1","0","0","0","0","0","34","0","0","0","0","0","5","0","7","34","7","0","0","37","5","0","1","2","0","0","34","0","0","25","139","6","5","0","0","0","0","12","0","1","0","0","1","1","0","0","0","0","3","0","0","0","1","0","0","1","1","2","4","0","0","0","0","4"
" 259",NA,NA,"160","1","0","0","0","33","0","2","6","4","0","1","0","0","0","12","0","17","1","4","0","7","0","0","0","0","1","0","0","0","0","0","0","0","572","3","12","4","0","0","0","0","0","1","0","64","0","0","56","0","0","0","0","32","0","0","0","0","1","0","0","2","0","1","0","0","5","0","0","0","0","0","0","0","0","1","5","0","0","14","0","0","1","584","62545","0","0","0","0","0","0","0","0","1","0","27","0","2","0","0","2","6","0","8","27","8","0","0","32","2","0","1","4","0","0","81","1","0","30","131","4","6","0","0","2","0","17","0","1","0","1","0","3","0","0","0","0","3","0","0","0","1","0","0","0","3","0","9","0","0","0","0","0"
" 306",NA,NA,"170","1","0","0","0","253","0","3","11","4","0","1","0","0","0","8","0","12","1","3","0","7","0","0","0","0","1","0","1","1","0","0","0","0","699","2","7","10","0","0","1","0","0","0","0","37","0","0","72","0","0","0","0","26","0","0","0","0","1","2","0","0","0","0","7","0","25","0","10","0","0","0","0","0","0","1","10","1","0","19","0","2","3","633","62545","0","0","0","1","1","0","0","0","1","0","31","0","0","0","0","1","11","0","11","67","6","0","0","31","8","0","1","4","0","0","35","0","0","11","98","17","13","0","0","1","0","18","3","0","0","0","0","2","0","0","0","0","2","1","0","1","0","0","0","0","5","1","13","0","0","0","0","2"
" 352",NA,NA,"180","1","0","0","0","108","0","3","12","6","0","0","0","1","0","5","0","6","1","2","0","6","1","0","0","0","4","0","0","0","0","0","0","0","655","0","10","8","1","0","0","0","0","2","0","44","0","0","49","0","0","0","0","41","0","0","0","0","0","1","0","0","0","0","5","0","7","1","2","0","0","0","0","0","0","1","8","1","0","24","0","0","6","880","62545","0","0","0","1","0","0","0","0","0","0","31","0","0","0","0","0","2","0","11","24","10","0","0","33","3","0","1","2","0","0","71","0","0","24","136","4","2","0","0","0","0","13","0","2","0","0","0","4","0","0","0","0","7","0","0","0","0","0","0","0","9","0","8","0","0","0","0","1"
" 398",NA,NA,"190","1","0","0","0","140","0","4","13","2","0","1","0","1","0","10","0","6","0","0","0","7","0","0","0","0","4","0","2","0","0","0","0","0","1077","2","9","4","0","0","0","0","0","0","0","44","0","0","72","0","0","0","0","33","0","0","0","0","1","1","0","2","0","0","3","0","13","0","0","0","0","0","0","0","0","3","0","0","0","20","0","0","4","586","62545","0","0","0","0","0","0","0","0","0","0","33","0","3","0","0","1","5","0","5","46","6","0","0","56","4","0","1","2","0","0","40","0","0","22","122","5","1","0","0","1","0","13","0","1","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0"
" 490",NA,NA,"210","1","0","0","0","42","0","5","12","5","0","1","0","1","0","7","1","7","0","0","0","29","0","0","1","0","1","0","1","0","0","0","0","0","124","0","12","7","0","0","0","0","0","0","1","40","0","0","44","0","0","0","0","31","0","0","1","0","1","1","0","0","0","0","6","0","12","0","8","0","0","0","0","0","0","0","2","0","0","27","0","0","1","511","62545","0","0","0","0","0","0","0","0","1","0","27","0","0","0","0","5","2","0","6","61","17","0","0","53","6","0","1","3","0","0","58","1","0","28","69","13","0","0","0","1","0","8","0","2","0","0","2","1","0","0","0","2","1","0","0","2","0","0","0","0","2","0","16","0","0","0","3","0"
" 537",NA,NA,"220","1","0","0","1","129","1","1","1","3","1","0","0","3","0","4","1","8","0","2","0","7","0","1","0","2","1","0","0","0","0","0","0","1","752","0","6","10","0","0","1","0","0","1","0","22","0","0","43","0","0","0","0","44","0","0","0","0","0","4","0","3","0","0","7","0","1","0","19","0","1","0","0","0","0","2","2","0","0","46","0","0","9","702","62545","0","0","0","1","0","0","0","1","0","0","33","0","0","0","0","13","7","0","11","66","6","2","0","28","9","0","3","8","0","0","85","1","0","12","73","1","7","0","0","6","0","10","0","1","3","0","3","5","0","0","0","0","5","0","0","1","0","0","0","0","8","0","4","0","0","0","1","2"
" 583",NA,NA,"230","1","0","0","0","46","0","11","3","0","0","0","0","0","0","4","0","8","2","2","0","15","0","1","0","0","0","0","0","0","0","0","0","0","0","0","13","6","0","0","0","0","0","0","0","38","0","0","32","0","0","0","1","37","0","0","0","0","0","0","0","0","1","0","3","0","5","0","7","0","0","0","0","0","0","2","4","0","0","28","0","0","0","530","62545","0","0","0","0","0","0","0","0","3","0","24","0","3","0","0","3","5","0","1","57","8","0","0","43","7","0","1","0","0","0","118","0","0","29","105","11","6","0","0","0","0","5","0","0","0","0","0","2","0","0","0","2","9","0","0","3","1","0","0","0","0","0","10","0","0","0","0","0"
" 629",NA,NA,"240","1","0","0","0","54","0","4","7","6","0","0","0","0","0","8","0","10","0","3","0","16","1","3","0","0","1","0","0","0","0","0","0","0","0","0","5","13","0","0","0","0","0","1","0","26","0","0","45","0","0","0","1","29","0","0","0","0","1","1","0","0","0","0","4","0","8","0","4","0","0","0","0","0","0","1","1","0","0","24","0","0","0","566","62545","0","0","0","0","0","0","0","1","1","0","27","0","1","0","0","0","6","0","6","63","19","0","0","27","5","0","0","1","0","0","127","0","0","29","115","7","7","0","0","0","0","7","0","4","0","0","2","3","0","0","0","1","3","0","0","2","0","0","0","0","1","4","9","0","0","0","0","1"
" 675",NA,NA,"250","1","0","0","0","97","0","2","8","2","1","0","0","0","0","4","1","2","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","307","0","5","11","0","0","0","0","0","1","1","36","0","0","30","0","0","0","0","53","0","0","0","0","0","0","0","0","0","0","1","0","6","0","7","0","0","0","0","0","0","3","0","0","0","34","0","0","0","402","62545","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","1","4","0","4","19","6","0","0","81","4","0","2","0","0","0","12","2","0","29","105","7","6","0","0","4","0","2","0","1","0","0","6","6","0","0","0","0","3","0","0","1","0","0","0","0","0","2","4","0","0","0","0","0"
" 721",NA,NA,"260","1","0","0","0","100","0","5","8","1","0","0","0","0","0","8","0","11","0","3","0","17","2","0","0","0","0","0","2","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","16","0","0","40","0","0","0","2","30","0","0","0","0","1","0","0","0","0","0","5","0","1","0","5","0","0","0","0","0","0","0","0","0","0","23","0","0","0","505","62545","0","0","0","0","0","0","0","0","1","0","39","0","6","0","0","0","1","0","6","66","5","0","0","27","2","0","0","6","0","0","58","0","0","33","134","15","5","0","0","0","0","10","0","0","0","0","3","2","0","0","0","4","5","0","0","3","0","0","0","0","5","1","8","0","0","0","1","0"
" 767",NA,NA,"270","1","0","2","0","584","1","1","11","2","0","3","0","0","0","19","1","17","3","2","0","4","0","0","0","0","2","0","1","0","0","0","0","0","278","0","4","11","0","0","0","1","0","0","2","19","0","0","61","0","0","0","0","43","0","0","1","0","1","1","0","0","0","0","5","0","7","0","42","0","0","0","0","0","0","0","2","0","0","35","0","0","11","814","62545","0","0","0","1","0","0","0","0","2","0","36","0","1","0","0","4","7","0","8","21","7","0","0","39","9","0","1","2","0","0","40","0","0","14","67","13","7","0","0","3","0","13","1","3","0","0","0","1","0","0","0","0","5","0","0","0","0","0","0","0","0","1","7","0","0","0","0","5"
" 814",NA,NA,"280","1","0","0","0","100","0","9","5","1","0","0","0","0","0","9","0","7","0","5","0","16","0","0","0","0","2","0","1","0","0","0","0","0","100","0","5","12","0","0","0","0","0","3","0","14","0","0","20","0","0","0","0","43","0","0","0","0","0","0","0","0","0","0","4","0","0","0","8","0","0","0","0","0","0","0","1","1","0","23","0","0","0","521","62545","0","0","0","2","0","0","0","2","0","0","32","0","3","0","0","0","4","0","10","48","0","0","0","37","1","0","1","2","0","0","3","0","0","37","125","8","0","0","0","0","0","5","0","3","0","0","1","0","0","0","0","1","4","0","0","3","0","0","0","0","1","0","9","5","0","0","2","0"
" 860",NA,NA,"290","1","0","0","0","69","1","4","5","1","0","1","0","0","0","7","0","13","0","5","0","11","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","13","0","0","0","0","0","1","0","30","0","0","32","0","0","0","0","41","0","0","0","0","0","0","0","0","0","0","1","0","0","0","12","0","0","0","0","0","0","1","0","0","0","23","0","0","0","343","62545","0","0","0","0","2","0","0","5","1","0","22","0","0","0","0","0","6","0","8","54","7","0","0","23","3","0","0","0","0","0","58","0","0","24","93","21","4","0","0","0","0","8","0","4","0","0","2","8","0","0","0","1","8","0","0","1","0","0","0","0","3","0","18","0","0","0","1","0"
" 952",NA,NA,"310","1","0","0","0","537","1","5","5","0","0","0","0","3","0","5","0","9","0","1","0","7","0","2","0","1","0","0","0","0","0","0","0","0","29","0","3","10","0","0","0","0","0","1","0","19","0","0","49","0","1","0","1","53","0","0","0","0","4","1","0","0","0","0","10","0","2","0","1","0","0","0","0","0","0","0","2","0","0","24","0","1","4","441","62545","0","0","0","2","0","0","0","0","1","0","42","0","0","0","0","1","7","0","6","77","12","0","0","20","6","0","1","4","0","0","5","0","0","12","108","19","5","0","0","0","0","6","0","0","0","0","0","1","0","0","0","0","10","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
" 998",NA,NA,"320","1","0","0","1","130","7","4","10","3","2","0","0","6","0","7","4","15","1","3","0","5","0","4","0","0","1","0","0","0","0","0","0","0","114","1","10","8","1","0","0","0","0","1","0","12","0","0","46","2","0","0","0","23","0","0","0","0","0","0","1","0","0","0","5","1","4","0","36","0","1","2","0","0","0","2","2","0","0","15","1","0","1","757","62545","0","0","0","0","0","0","0","1","0","0","39","0","1","0","0","8","1","0","2","49","9","0","0","50","5","0","2","3","0","0","7","0","0","13","70","27","10","0","0","2","0","6","0","1","0","0","0","9","0","0","0","0","6","0","0","3","0","0","0","0","0","1","0","0","0","0","1","1"
"1045",NA,NA,"330","1","0","0","0","103","0","3","7","2","0","1","0","1","0","8","1","14","1","2","0","12","0","0","0","0","1","0","0","0","0","0","0","0","206","0","14","13","0","0","1","0","0","3","0","15","0","0","52","0","0","0","0","23","0","1","0","0","0","2","1","0","0","0","6","0","5","0","6","0","0","0","0","0","0","1","1","0","0","21","0","0","0","408","62545","0","0","0","0","0","0","0","1","1","0","35","0","5","0","0","4","7","0","7","42","7","0","0","70","5","0","2","0","0","0","39","3","0","21","78","18","12","0","0","4","0","6","0","2","0","0","1","1","0","0","0","0","6","0","0","4","0","0","0","0","4","1","1","0","0","0","1","0"
"1091",NA,NA,"340","1","0","0","0","248","1","7","8","1","2","0","0","1","0","11","0","9","4","1","0","7","0","0","0","0","2","0","0","0","0","1","0","0","165","3","5","5","0","0","0","0","0","2","0","12","0","0","48","0","0","0","0","29","0","0","0","0","0","4","0","0","0","0","11","0","7","0","0","0","0","2","0","0","0","1","2","0","0","22","0","0","6","404","62545","0","0","0","1","0","0","0","3","3","0","32","0","0","0","0","0","7","0","6","76","9","0","0","40","3","0","0","1","0","0","83","4","0","23","98","20","7","0","0","2","0","12","0","1","0","0","2","2","0","0","0","0","16","0","0","0","0","0","0","0","2","0","0","0","0","0","1","2"
"1114",NA,NA,"350","1","0","0","0","337","0","6","12","1","0","2","0","1","0","8","0","11","2","3","0","6","1","1","0","0","3","1","0","0","0","0","0","0","11","0","2","11","0","0","0","0","0","4","0","22","0","0","37","0","0","0","1","35","0","0","0","0","2","1","0","0","0","0","5","0","2","0","1","0","0","1","0","0","0","0","6","1","0","32","0","0","9","411","62545","0","0","0","0","0","0","0","9","1","0","21","0","0","0","0","0","3","0","4","56","1","0","0","25","5","0","1","6","0","0","5","0","0","21","129","27","13","0","0","4","0","10","0","1","0","0","0","2","0","0","0","0","7","0","0","0","0","0","0","0","13","0","8","0","0","0","0","0"
"1132",NA,NA,"360","1","0","0","0","179","2","6","15","3","0","0","0","0","0","15","0","10","1","2","0","12","0","0","0","0","1","0","0","0","0","1","0","0","39","3","4","16","0","0","0","0","0","4","0","25","0","0","32","0","0","0","0","64","0","0","0","0","1","2","0","0","0","0","4","0","9","0","0","0","0","0","0","0","0","1","1","1","0","34","0","0","9","604","62545","0","0","0","1","0","0","0","8","0","0","24","0","0","0","0","0","8","0","4","40","10","0","0","28","4","0","0","1","0","0","7","3","0","10","90","15","8","0","0","1","0","14","0","0","0","0","0","1","0","0","0","0","21","0","0","1","0","0","0","0","8","2","0","0","0","0","2","0"
"1150",NA,NA,"370","1","0","0","0","108","0","5","5","0","1","0","0","11","0","13","0","5","1","3","0","8","0","5","0","0","0","0","1","0","0","0","0","0","9","0","1","10","0","0","0","0","0","5","0","14","0","0","22","2","0","0","1","31","0","0","0","0","0","0","0","0","0","0","13","0","6","0","32","0","1","1","0","0","0","2","0","0","0","45","0","0","1","349","62545","0","0","0","0","2","0","0","11","1","0","37","0","0","0","0","4","5","0","7","40","8","0","0","51","5","0","0","7","0","0","35","0","0","30","156","15","12","0","0","0","0","13","0","4","2","0","0","2","0","0","0","0","8","0","0","0","0","0","0","0","2","0","5","0","0","0","0","0"
"1168",NA,NA,"380","1","0","0","0","319","1","2","5","0","3","0","0","0","0","10","0","3","7","3","0","12","0","0","0","0","0","0","0","0","0","0","0","0","9","4","3","13","0","0","0","0","0","2","0","27","0","0","45","0","0","0","1","45","0","0","1","0","1","3","0","0","0","0","11","0","1","0","0","0","2","1","0","0","0","0","0","0","0","20","0","0","3","385","62545","0","0","0","0","0","0","0","1","2","0","26","0","0","0","0","0","6","0","5","59","12","0","0","27","3","0","3","2","0","0","38","4","0","21","125","17","5","0","0","0","0","10","0","1","0","1","5","3","0","0","0","0","8","0","0","2","0","0","0","0","2","1","1","0","1","0","0","1"
