"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acacia t.","Aesculus","Aizoaceae t.","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Berberis t.","Boraginaceae undif.","Brassicaceae","Campanulaceae","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Euphorbia t.","Fraxinus","Galium t.","Geranium","Hedera","Ilex","Juglans","Juncaceae","Lamiaceae undif.","Lauraceae","Myriophyllum undif.","Myrtaceae undif.","Nerium","Nymphaea","Olea t.","Papaver t.","Paronychieae","Passifloraceae undif.","Petaloid monocot","Pinus mediterranea","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Primulaceae undif.","Quercus evergreen","Ranunculaceae undif.","Rosaceae undif.","Salix","Saxifragaceae","Scrophulariaceae undif.","Spergularia t.","Tamarix","Taxus","Thymelaeaceae undif.","Typha","Ulmus t.","Urtica t.","Vitaceae undif."
"3756",NA,NA," 115","   0","   0","   0","   0","   0","   5","   3","   0","  15","   0","   0","  11","   0","   1","   3","   1","   2","   0","   1","   0","   0","  12","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  22","   0","   0","   0","   1","   0","   0","   0","   1","  15","   0","   0"," 136","   0","   3","  10","   0","  48","   1","   5","   0","   0","   0","   5","   0","   0","   0","  18","   0","   1","   0"
"3957",NA,NA," 126","   3","   2","   0","   0","   0","   4","  28","   0","  14","   0","   0","  14","   0","   0","   3","   0","   8","   0","   0","   0","   0","   6","   1","   0","   0","   0","   0","   1","   0","   0","   0","   1","   2","   0","   4","   0","   3","   0","   0","   0","   0","   1","   0","  55","   1","   0"," 104","   0","   1","  27","   1","  19","   3","   1","   0","   0","   1","  28","   6","   0","   0","  15","   0","   2","   0"
"4054",NA,NA," 130","   0","   0","   3","   0","   0","   4","  13","   3","  74","   0","   0","  35","   0","   2","  15","   5","  23","   1","   5","   0","   0","  30","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  11","   0","   0","   0","   1","   0","   0","   0","   8"," 124","   1","   0"," 335","   0","   3","  19","   0"," 160","   2","   1","   0","   0","   0","  39","   0","   0","   1","  40","   0","   3","   0"
"4147",NA,NA," 135","   0","   0","   1","   0","   0","   6","   3","   1","  25","   0","   0","  22","   0","   4","   9","   6","  11","   0","   0","   0","   1","  34","   0","   0","   0","   0","   2","   0","   0","   1","   0","   2","   0","   0","   7","   0","   0","   1","   4","   0","   0","   0","   2","  90","   0","   0"," 117","   0","   0","  26","   0"," 108","   4","   2","   0","   0","   0","  39","   0","   0","   2","  23","   0","   5","   0"
"4238",NA,NA," 140","   0","   0","   0","   0","   0","   7","  10","   0","  32","   0","   0","  13","   0","   3","   0","   0","  23","   2","   0","   0","   0","  47","   3","   0","   0","   0","   0","   0","   0","   3","   0","   2","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0"," 211","   0","   0","  88","   0","   4","  10","   0","  99","   4","   0","   0","   0","   0","  53","   0","   0","   0","  47","   0","   2","   0"
"4328",NA,NA," 145","   0","   0","   0","   0","   0","   6","   8","   0","  41","   1","   0","   7","   0","   2","  16","   0","   6","   0","   1","   0","   3","  24","   0","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0","   5","   0","   0","   0","   4","   0","   0","   0","   0","  70","   0","   0"," 121","   0","   0","  44","   0"," 101","   3","   3","   0","   0","   0","   8","   0","   0","   0","  19","   0","   1","   0"
"4415",NA,NA," 150","   0","   0","   0","   0","   0","   0","  11","   2","  19","   0","   0","   8","   0","   0","   0","   1","  20","   0","   0","   0","   9","  36","   0","   0","   1","   0","   0","   0","   0","   0","   0","  18","   2","   0","   4","   0","   0","   0","   2","   0","   0","   0","   0","  92","   0","   0","  87","   0","   1","   4","   0","  69","  14","  26","   0","   0","   0","  31","   0","   0","   0","   2","   0","   1","   0"
"4586",NA,NA," 160","   0","   0","   0","   0","   0","   2","   8","   0","  10","   0","   0","  10","   0","   1","   0","   1","   8","   0","   0","   0","   6","  12","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   3","   0","   0","   0","   0","  41","   1","   0","  22","   0","   0","   1","   0","  36","   6","   0","   0","   0","   0","   5","   0","   0","   0","   6","   4","   2","   0"
"4754",NA,NA," 171","   0","   0","   0","   0","   0","   4","  12","   0","  16","   0","   0","  15","   0","   0","   5","   0","  11","   0","   0","   0","   0","  70","   3","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0"," 128","   1","   0","  60","   0","   0","  12","   0","  13","   6","   1","   0","   0","   0","  17","   0","   0","   0","   1","   0","   0","   0"
"5087",NA,NA," 190","   0","   0","   0","   2","   0","   3","  14","   0","  26","   0","   0","   7","   0","   2","   0","   0","  13","   0","   0","   0","  18","  26","   0","   0","   0","   0","   2","   4","   0","   7","   0","   0","   8","   0","   0","   0","   0","   0","   8","   0","   0","   0","   1"," 138","   0","   0","  49","   0","   8","   5","   0","  49","  27","   3","   0","   0","   0","  57","   0","   0","   0","  24","   1","   0","   0"
"5522",NA,NA," 216","   0","   0","   0","   0","   0","   7","   7","   0","   7","   0","   0","  15","   0","   0","   1","   0","  17","   0","   1","   0","   0","  38","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   2","   0","   0","   0","   4","   0","   0","   0","   0"," 108","   2","   0","  58","   2","   0","  38","   0","  22","   9","   1","   0","   0","   0","  25","   0","   0","   0","  11","   0","   0","   0"
"5806",NA,NA," 231","   2","   1","   0","   0","   0","   3","   6","   0","  16","   0","   0","   8","   0","   0","   1","   0","   9","   1","   0","   0","   0","  30","   0","   0","   0","   1","   0","   0","   0","   0","   0","   2","   0","   0","   5","   0","   0","   0","   1","   0","   0","   0","   0"," 103","   0","   0","  96","   0","   0","  16","   0","  21","   0","   0","   0","   0","   0","  52","   0","   0","   0","   2","   0","   0","   0"
"6116",NA,NA," 246","   1","   1","   0","   0","   0","   2","   8","   0","  10","   0","   0","   8","   0","   1","   0","   0","  12","   0","   0","   0","   0","  61","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  14","   0","   1","   0","   6","   0","   0","   0","   0"," 204","   0","   1","  98","   6","   6","  30","   0","  43","   3","   2","   0","   1","   0","  15","   1","   0","   0","   5","   0","   2","   0"
"6227",NA,NA," 250","   0","   0","   0","   0","   0","   6","  12","   0","  12","   0","   0","  23","   0","   0","   0","   0","   4","   0","   0","   1","   0","  71","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","  79","   0","   0"," 221","   4","   0","  23","   0","  37","   0","   0","   0","   0","   0","  46","   0","   0","   0","   9","   0","   2","   0"
