"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Buxus","Campanulaceae","Carpinus","Caryophyllaceae undif.","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Euphorbia t.","Fagus","Fraxinus","Geraniaceae undif.","Hedera","Juglans","Lamiaceae undif.","Ligustrum","Malva","Myriophyllum undif.","Olea t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Potamogeton","Protist","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnus","Rubiaceae undif.","Salix","Sparganium","Tilia","Typha","Ulmus t.","Unknown"
"7489","7651","7323","1240","   0","   3","   0","  52","  13"," 242","   0","   4","   0","   0","   0","   0","   2","   0","   0","  46","   5","   5","  53","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   4","   2","  39","   5","   4","  19","   0","  14","   4","   3","   2","   3","   0","   0","   0","   2","   0","   9","   2","   0","   0","  56"
"7499","7659","7333","1250","   0","   2","   3","  29","   9"," 210","   0","   0","   2","   0","   0","   0","   4","   0","   0","  31","  19","   4","  37","   1","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   5","   2","  40","   8","   6","  16","   0","  31","   7","   5","  10","   2","   0","   0","   0","   1","   0","  18","   2","   0","   1"," 100"
"7508","7667","7344","1260","   0","   3","   5","  36","   4"," 185","   0","   1","   0","   0","   0","   0","   0","   2","   0","  31","  17","   7","  24","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   4","   0","  30","   2","   1","  20","   0","   9","   2","   2","   9","   4","   2","   0","   0","   0","   0","   8","   1","   0","   0","  94"
"7518","7674","7354","1270","   0","   2","   1","  51","   3"," 187","   1","   1","   2","   0","   0","   1","   0","   1","   1","  24","  16","   2","  29","   4","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   6","   0","  28","   9","   1","  23","   3","   3","   1","   3","   8","   2","   1","   1","   0","   1","   0","   8","   1","   0","   0","  58"
"7528","7683","7365","1280","   0","   2","   0","  56","   5"," 191","   2","   0","   0","   0","   0","   0","   3","   0","   0","  17","  21","   7","  34","   7","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","  30","   3","   1","  23","   2","   5","   7","   0","   3","   2","   0","   2","   0","   0","   0","  16","   2","   2","   0","  82"
"7547","7698","7385","1300","   2","   2","   2","  58","   9"," 274","   0","   0","   0","   0","   0","   0","   2","   0","   0","  39","   9","   9","  55","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   7","   1","  21","   3","   0","  17","   2","   8","   1","   0","   8","   4","   2","   1","   0","   0","   0","   7","   2","   0","   1","  68"
"7555","7705","7395","1309","   0","   7","   1","  46","   7"," 115","   0","   0","   0","   0","   0","   0","   1","   0","   0","  40","   6","   9","  33","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","  41","   1","   0","   9","   0","   0","   3","   3","  16","   3","   0","   0","   0","   0","   0","  13","   1","   0","   0","  46"
"7564","7712","7404","1318","   1","   0","   2","  41","   5"," 201","   0","   2","   0","   0","   0","   0","   4","   0","   0","  31","   1","   5","  26","   2","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   5","   0","  34","   3","   0","   6","   3","   4","   4","   5","   4","   1","   1","   0","   0","   0","   0","  16","   2","   0","   1","  96"
"7572","7719","7414","1327","   0","   4","   0","  56","  13"," 185","   0","   0","   0","   0","   0","   0","   1","   0","   0","  27","  19","   5","  48","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   4","   0","  26","   5","   0","  21","   0","  12","   2","   3","   2","   3","   0","   0","   0","   0","   0","  17","   4","   0","   0","  89"
"7581","7726","7423","1336","   0","   1","   0","  79","  10"," 183","   0","   0","   0","   0","   0","   0","   2","   0","   0","  16","  23","   4","  52","   2","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   4","   0","  24","  12","   0","  12","   0","   0","   2","   1","   4","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 104"
"7590","7733","7432","1345","   0","   1","   5","  56","   8"," 171","   0","   2","   1","   0","   0","   0","   2","   2","   0","  29","  18","   6","  16","   0","   0","   0","   0","   0","   1","   0","   2","   0","   0","   0","   1","   6","   0","  31","   9","   2","  11","   0","   4","   2","   0","  10","   1","   0","   1","   0","   0","   0","   5","   1","   0","   2","  74"
"7598","7741","7442","1354","   0","   1","   7","  31","   6"," 159","   0","   1","   0","   0","   0","   0","   2","   0","   0","  18","   6","   1","  44","   2","   0","   0","   0","   0","   2","   0","   5","   0","   0","   0","   0","   4","   0","  46","   9","   0","  10","   0","   7","   0","   2","   7","   2","   0","   0","   0","   0","   0","   1","   3","   0","   0","  77"
"7607","7747","7450","1363","   0","   2","   3","  58","  17"," 111","   0","   2","   1","   0","   0","   1","   0","   0","   0","  24","  21","   4","  23","   3","   0","   0","   0","   0","   1","   0","   4","   0","   0","   0","   0","  10","   0","  31","  11","   1","  19","   0","   3","   0","   2","   6","   0","   3","   1","   0","   0","   0","   3","   2","   0","   0","  62"
"7615","7755","7460","1372","   0","   3","   6"," 107","  11"," 181","   0","   0","   0","   0","   0","   0","   1","   3","   0","  31","   6","   9","  24","   1","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   7","   0","  47","  14","   0","  27","   0","   3","   0","   0","   4","  14","   0","   5","   0","   0","   0","   6","   3","   0","   0","  83"
"7624","7762","7469","1381","   0","   4","   0","  43","  13"," 181","   0","   0","   0","   0","   0","   0","   0","   0","   0","  27","  32","   7","  41","   2","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   9","   0","  51","  10","   2","  42","   2","   7","   0","   0","   4","   0","   0","   2","   0","   1","   0","   6","   4","   0","   0","  86"
"7632","7770","7479","1390","   0","   4","   6","  41","   9"," 130","   0","   0","   3","   0","   0","   2","   2","   0","   0","  19","  32","   2","  40","   2","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   4","   0","  66","   8","   0","  33","   2","   3","   0","   0","   2","   0","   1","   1","   0","   0","   0","  11","   4","   0","   1","  59"
"7642","7778","7490","1400","   0","   2","   0","  31","   1"," 111","   0","   2","   1","   0","   0","   0","   0","   2","   0","  25","  19","   6","  27","   0","   0","   0","   0","   0","   2","   0","   6","   0","   0","   0","   0","   3","   0","  61","   5","   2","  13","   0","   3","   0","   0","   9","   6","   0","   0","   0","   3","   0","   5","   3","   0","   0","  65"
"7651","7785","7499","1409","   0","   1","   2","  29","   4"," 137","   3","   2","   0","   0","   0","   3","   0","   0","   0","   9","  15","   3","  46","   9","   0","   0","   0","   0","   2","   0","   6","   0","   0","   0","   0","   6","   2","  33","   0","   0","   3","   0","   0","   0","   4","   3","   3","   0","   0","   0","   0","   0","   1","   6","   0","   0","  41"
"7659","7794","7509","1418","   0","   3","   5","  28","  13"," 152","   0","   3","   0","   0","   0","   0","   0","   0","   0","  25","   8","   3","  23","   2","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   6","   0","  48","   5","   0","  10","   0","   5","   0","   3","  16","  10","   0","   4","   0","   0","   0","   8","   3","   0","   0","  46"
"7668","7801","7518","1427","   0","   1","   4","  46","  20"," 106","   1","   0","   0","   0","   0","   0","   0","   0","   0","  28","   8","   0","  13","   2","   0","   0","   0","   1","   0","   0","   7","   0","   0","   0","   0","   4","   0","  63","  10","   4","   7","   0","   7","   0","   3","   9","   4","   0","   6","   0","   0","   0","   4","   6","   0","   0","  54"
"7676","7809","7528","1436","   0","   2","   2","  46","  13"," 123","   0","   0","   0","   0","   0","   0","   0","   0","   0","  40","  17","   2","  33","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   7","   0","  42","   5","   1","   6","   0","   3","   3","   0","   6","   2","   0","   5","   0","   0","   0","   0","   1","   0","   0","  55"
"7685","7816","7537","1445","   0","   0","   3","  75","  16"," 149","   0","   2","   3","   0","   0","   0","   0","   0","   0","  21","  19","   7","  27","   2","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   3","   0","  44","   4","   4","  16","   0","   7","   2","   2","   1","   3","   0","   5","   0","   0","   0","   3","   1","   0","   0","  57"
"7694","7824","7546","1454","   0","   1","   5","  31","  15"," 133","   0","   2","   0","   0","   0","   0","   3","   0","   0","  16","  17","   1","  17","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","  36","  13","   2","   9","   0","   4","   2","   2","   7","  10","   0","   5","   0","   2","   0","   2","   4","   0","   0","  50"
"7702","7832","7556","1463","   0","   1","   1","  23","   1"," 161","   0","   3","   0","   0","   0","   0","   0","   0","   0","  29","  40","   6","  24","   3","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","  48","  12","   1","  24","   0","   7","   0","   3","  15","   1","   0","   2","   0","   0","   0","   5","   3","   0","   0"," 129"
"7711","7840","7565","1472","   0","   2","   4","  41","  13"," 205","   2","   0","   3","   0","   0","   0","   0","   2","   0","  23","  20","   2","  48","   5","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","  10","   0","  76","  11","   1","   5","   0","   6","   2","   1","   4","   4","   0","   6","   0","   0","   0","  11","   4","   0","   3"," 105"
"7719","7848","7575","1481","   0","   2","   1","  50","   9"," 162","   1","   0","   1","   0","   0","   0","   1","   0","   0","  31","  14","   2","  32","   0","   0","   0","   0","   0","   1","   0","   6","   0","   0","   0","   0","   5","   0","  24","   8","   1","  12","   2","   7","   0","   3","   0","   1","   0","   1","   0","   2","   0","   2","   6","   0","   3","  68"
"7728","7855","7583","1490","   0","   1","   6","  61","   6"," 191","   0","   0","   0","   0","   0","   0","   0","   0","   0","  37","  18","   4","  28","   1","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","  13","   0","  46","   2","   2","  20","   0","   3","   2","   4","   6","   6","   2","   1","   0","   0","   0","   3","   2","   0","   0","  54"
"7737","7864","7594","1500","   0","   1","   1","  50","   9"," 197","   2","   7","   0","   0","   0","   0","   0","   2","   0","  33","  22","   3","  55","   2","   0","   0","   0","   0","   0","   0","  10","   0","   0","   0","   0","   6","   0","  27","   5","   0","   2","   0","   4","   0","   8","   9","   3","   2","   0","   0","   0","   0","  17","   2","   0","   1","  86"
"7747","7874","7605","1510","   0","   4","   1","  34","  18"," 141","  32","   3","   0","   0","   0","   0","   0","   0","   0","  22","  21","   0","  18","   5","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   1","   3","   0","  50","  19","   1","   2","   0","   0","   0","   0","   3","   4","   0","   5","   0","   0","   0","   4","   0","   0","   0","  87"
"7756","7882","7615","1520","   0","   2","   4","  31","   6"," 186","   0","   0","   0","   0","   0","   0","   2","   0","   0","  14","   8","   0","  10","   6","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   6","   0","  46","   4","   0","   5","   0","   9","   0","   0","  15","  12","   7","   1","   0","   0","   0","   4","   2","   0","   0","  72"
"7766","7892","7626","1530","   0","   1","   3","  34","   5"," 181","   4","   0","   0","   0","   0","   0","   0","   0","   0","  31","  44","   3","  44","   3","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   1","   7","   0","  61","   5","   0","  19","   0","   3","   0","   0","  12","   3","   0","   0","   0","   0","   0","   2","   1","   0","   0","  59"
"7776","7901","7636","1540","   0","   4","   1","  33","   9"," 141","   0","   3","   0","   0","   0","   0","   0","   0","   0","  19","  35","   2","  40","   3","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","  52","   7","   0","  13","   0","   2","   0","   0","   7","   2","   0","   3","   0","   0","   0","   3","   1","   0","   0","  76"
"7785","7910","7646","1550","   0","   4","   3","  41","   7"," 202","   3","   0","   3","   0","   0","   0","   2","   0","   0","  36","  35","   5","  47","   4","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   5","   0","  71","   6","   0","  18","   3","   3","   0","   0","   4","   3","   0","   1","   0","   0","   0","   3","   5","   0","   0"," 102"
"7795","7919","7656","1560","   0","   4","   1","  35","   7"," 161","   0","   0","   0","   0","   0","   0","   0","   0","   0","  28","  34","   2","  44","   5","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   9","   0","  67","   2","   0","  16","   2","   2","   0","   5","   2","   1","   0","   1","   0","   0","   0","   5","   4","   0","   0"," 101"
"7804","7929","7667","1570","   0","   0","   1","  56","   7"," 203","   2","   3","   0","   0","   0","   2","   0","   0","   0","  29","  14","   0","  38","   1","   0","   0","   0","   0","   0","   0","  10","   0","   0","   0","   0","   4","   0","  49","   4","   0","   5","   0","  22","   0","   5","   7","   3","   4","   1","   0","   0","   0","  13","   5","   0","   0","  57"
"7814","7939","7678","1580","   0","   2","   1","  32","   6"," 212","   0","   0","   0","   0","   0","   0","   1","   0","   0","  31","  16","   2","  14","   1","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   3","   0","  42","   6","   0","   4","   0","   7","   0","   2","   5","   3","   0","   1","   0","   0","   0","   4","   4","   0","   3","  49"
"7823","7947","7687","1590","   0","   1","   2","  55","   6"," 124","   1","   0","   0","   0","   0","   0","   0","   0","   0","  27","  21","   2","  21","   1","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   3","   0","  46","   3","   0","   9","   3","  16","   0","   4","   7","   4","   0","   1","   0","   0","   0","   7","   1","   0","   0","  49"
"7842","7967","7707","1610","   0","   2","   2","  36","   3"," 136","   0","   0","   0","   0","   0","   0","   0","   0","   0","  27","   9","   2","  24","   1","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   2","   5","   0","  63","   2","   0","  24","   2","   0","   0","   4","   8","   6","   0","   0","   0","   2","   0","   2","   0","   0","   2","  70"
"7852","7976","7717","1620","   0","   0","   1","  32","   5"," 154","   1","   2","   0","   1","   0","   0","   0","   2","   0","  30","   8","   2","  22","   6","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   2","   0","  32","  10","   0","   1","   0","   7","   2","   5","   4","   4","   0","   0","   0","   2","   0","   2","   2","   0","   0"," 105"
"7861","7985","7726","1630","   1","   1","   1","  31","   9"," 137","   1","   0","   0","   0","   0","   0","   0","   0","   0","  22","  12","   2","  27","   6","   0","   0","   0","   0","   0","   0","   6","   0","   0","   2","   3","   6","   0","  51","   3","   0","   4","   0","   9","   0","   0","   2","   6","   2","   2","   0","   0","   0","   5","   1","   0","   0"," 112"
"7871","7994","7735","1640","   0","   2","   1","  13","   3"," 152","   1","   0","   0","   0","   0","   0","   1","   0","   0","  31","   5","   1","  36","   2","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   1","   1","  47","   5","   1","   2","   0","   4","   0","   3","   2","   1","   0","   0","   0","   0","   0","   4","   2","   0","   4","  44"
"7880","8004","7744","1650","   0","   6","   0","  17","  11"," 181","   0","   0","   0","   0","   0","   0","   1","   0","   0","  21","   3","   1","  36","   3","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   3","   2","  69","   9","   0","   3","   1","  11","   0","   0","   2","   1","   0","   4","   0","   0","   0","   9","   2","   0","   0","  56"
"7890","8013","7753","1660","   1","   1","   1","  31","  13"," 158","   0","   0","   1","   3","   0","   0","   1","   0","   0","  53","  21","   1","  28","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   2","   0","   0","  52","   5","   0","   3","   0","  21","   0","   5","   2","   1","   0","   5","   0","   0","   0","  23","   0","   0","   0","  77"
"7900","8022","7762","1670","   0","   2","   0","  29","   5"," 152","   1","   0","   0","   0","   0","   0","   0","   2","   0","  27","  22","   8","  42","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","  46","   6","   1","   9","   0","  29","   0","   3","   8","   1","   0","   1","   0","   0","   0","  11","   1","   0","   0","  83"
"7909","8032","7771","1680","   0","   2","   2","  41","   4"," 171","   0","   0","   0","   0","   0","   0","   0","   0","   0","  36","  29","   3","  32","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  47","  17","   4","  22","   0","   3","   0","   2","   3","   1","   0","   0","   0","   0","   0","  12","   2","   0","   0","  78"
"7919","8041","7780","1690","   0","   3","   4","  29","   6","  94","   1","   3","   1","   0","   0","   0","   0","   0","   0","  26","  17","   2","  26","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  46","   6","   1","  22","   0","   4","   2","   0","   9","   1","   2","   0","   0","   0","   0","  13","   1","   0","   0","  62"
