"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alismataceae","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Brassicaceae","Cardueae undif.","Caryophyllaceae undif.","Cedrus","Cichorieae","Cistaceae","Cupressaceae","Cyperaceae","Ephedra","Euphorbia t.","Fraxinus","Hedera","Hypericum undif.","Ilex","Lamiaceae undif.","Myriophyllum undif.","Olea t.","Paronychieae","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Potamogeton","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rumex t.","Typha"
"1833","2100","1639","2080","   0","   1","   0","   1","   0","   0","   2","   0","   0","  27","   1","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   2","  18","   0","   7","  38","   1","   2","   1"
"1895","2156","1705","2088","   1","   1","   0","   0","   3","   0","   1","   0","   0","  18","   0","   0","   1","   1","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   1","  26","   0","   4","  42","   0","   1","   2"
"2024","2268","1838","2104","   1","   1","   1","   1","   1","   0","   1","   0","   0","  17","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  30","   0","   3","  42","   0","   1","   1"
"2123","2356","1940","2116","   0","   1","   1","   2","   0","   0","   2","   0","   0","  18","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  21","   0","   5","  46","   0","   1","   1"
"2260","2488","2080","2132","   0","   0","   0","   0","   1","   0","   3","   0","   0","  18","   0","   1","   0","   1","   0","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   1","   2","  25","   0","   4","  42","   0","   0","   2"
"2401","2598","2221","2148","   0","   1","   1","   2","   1","   0","   2","   0","   0","  11","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  20","   0","   9","  50","   0","   0","   2"
"2544","2720","2362","2164","   1","   1","   0","   1","   1","   0","   2","   0","   0","  15","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   2","  19","   0","  11","  46","   0","   1","   2"
"2617","2785","2435","2172","   0","   1","   0","   1","   0","   0","   2","   0","   0","  14","   1","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","  25","   0","  11","  41","   0","   1","   1"
"2690","2852","2508","2180","   0","   1","   0","   2","   1","   0","   2","   0","   0","  23","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   1","   1","   2","  14","   0","  14","  37","   0","   1","   2"
"2754","2912","2572","2187","   0","   0","   0","   0","   0","   0","   2","   0","   0","  23","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  24","   0","   9","  40","   0","   0","   2"
"2891","3049","2713","2202","   0","   1","   0","   1","   0","   0","   1","   0","   0","  13","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   2","  28","   0","   8","  44","   0","   0","   1"
"3001","3160","2827","2214","   1","   0","   0","   0","   0","   0","   2","   0","   0","  23","   0","   0","   1","   1","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   1","   1","   1","   2","  16","   0","  10","  41","   0","   0","   1"
"3166","3329","2999","2232","   1","   1","   0","   1","   0","   0","   4","   0","   0","  13","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","  31","   0","  12","  33","   0","   1","   2"
"3258","3422","3091","2242","   1","   0","   1","   1","   0","   0","   2","   0","   0","  16","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1","   0","   0","   1","   2","   2","  26","   0","  14","  32","   0","   0","   1"
"3313","3477","3145","2248","   1","   1","   0","   1","   0","   0","   2","   0","   0","  20","   0","   1","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   1","  25","   1","  13","  31","   0","   0","   1"
"3386","3554","3219","2256","   0","   1","   0","   1","   1","   0","   2","   0","   0","  17","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","   1","  24","   0","  12","  37","   0","   0","   0"
"3459","3629","3291","2264","   0","   0","   1","   2","   0","   0","   3","   0","   0","  14","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","  26","   0","  11","  37","   0","   2","   2"
"3604","3780","3435","2280","   0","   1","   0","   1","   1","   0","   3","   0","   0","  12","   0","   0","   1","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   2","  29","   0","  17","  32","   0","   0","   2"
"3749","3931","3577","2296","   0","   0","   0","   1","   1","   0","   1","   0","   0","   7","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   3","  22","   1","  16","  46","   0","   1","   1"
"3803","3988","3631","2302","   0","   0","   0","   1","   0","   0","   3","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","  21","   0","  24","  39","   0","   0","   1"
"3930","4119","3753","2316","   0","   0","   0","   1","   0","   0","   3","   0","   0","   7","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   1","   2","  28","   0","  20","  35","   0","   0","   3"
"4073","4268","3893","2332","   0","   1","   0","   1","   1","   0","   2","   0","   0","   5","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   1","   0","   1","  31","   0","  24","  31","   0","   0","   4"
"4215","4415","4032","2348","   0","   0","   0","   2","   1","   0","   3","   0","   0","   4","   0","   1","   1","   3","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   1","   1","   1","   2","  30","   0","  22","  29","   0","   1","   2"
"4357","4560","4169","2364","   0","   1","   0","   3","   0","   0","   4","   0","   0","   5","   1","   0","   1","   2","   0","   0","   1","   0","   0","   0","   0","   1","   1","   0","   2","   3","   1","   1","  20","   1","  28","  27","   0","   1","   1"
"4497","4704","4306","2380","   0","   0","   0","   2","   1","   0","   4","   0","   1","   5","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   1","   3","   1","  19","   0","  29","  30","   0","   1","   1"
"4636","4847","4443","2396","   0","   1","   0","   2","   1","   0","   1","   0","   0","   6","   1","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   2","   1","   1","   0","  32","   1","  20","  27","   0","   2","   2"
"4808","5023","4612","2416","   0","   1","   0","   1","   1","   0","   2","   0","   0","   2","   1","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   1","   1","  28","   1","  22","  37","   0","   1","   1"
"4885","5101","4687","2425","   0","   0","   0","   2","   0","   0","   0","   0","   0","   2","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   1","  43","   0","  10","  37","   0","   1","   1"
"4945","5162","4746","2432","   0","   0","   0","   1","   1","   0","   3","   0","   0","   2","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   1","   3","   2","   2","  35","   0","   8","  38","   0","   1","   2"
"5029","5248","4829","2442","   0","   1","   0","   0","   1","   1","   1","   0","   0","   3","   0","   0","   1","   1","   0","   0","   1","   1","   0","   0","   0","   3","   0","   0","   2","   3","   1","   2","  31","   2","  10","  43","   0","   0","   4"
"5079","5299","4878","2448","   0","   1","   1","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   1","   1","   1","   1","  31","   0","  17","  40","   0","   0","   3"
"5213","5434","5008","2464","   0","   1","   0","   3","   1","   1","   2","   0","   0","   1","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   1","   3","   1","   2","  29","   1","  15","  39","   0","   1","   2"
"5344","5568","5138","2480","   0","   1","   0","   3","   1","   0","   3","   0","   0","   4","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   2","   2","   1","   2","  27","   0","  19","  34","   0","   1","   2"
"5475","5700","5266","2496","   0","   0","   0","   3","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   1","   2","   1","   1","  34","   1","  12","  41","   0","   1","   1"
"5636","5862","5424","2516","   0","   1","   0","   1","   1","   0","   3","   0","   0","   1","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","   3","   0","   0","   0","   4","   1","   2","  27","   1","  10","  44","   0","   1","   2"
"5803","6030","5589","2537","   0","   2","   0","   2","   4","   1","   3","   0","   0","   1","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","   0","   2","   0","   0","   0","   2","   1","   2","  40","   1","   9","  32","   0","   0","   3"
"5890","6118","5676","2548","   0","   0","   0","   1","   1","   0","   5","   0","   0","   3","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   2","   3","   1","  22","   1","  16","  42","   0","   1","   2"
"6015","6243","5801","2564","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   1","   2","   1","  34","   1","   7","  49","   0","   0","   4"
"6139","6365","5925","2580","   0","   1","   0","   1","   1","   0","   3","   0","   0","   1","   0","   0","   1","   6","   0","   1","   1","   0","   0","   1","   0","   3","   0","   0","   3","   1","   1","   1","  33","   2","   8","  44","   0","   1","   2"
"6262","6488","6050","2596","   0","   0","   1","   1","   1","   0","   3","   0","   0","   2","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   1","   2","   1","   1","  42","   1","   8","  34","   0","   1","   2"
"6293","6519","6082","2600","   0","   0","   0","   1","   0","   0","   4","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   3","   0","   0","   1","   3","   2","   0","  50","   0","   5","  30","   0","   2","   4"
"6415","6640","6206","2616","   0","   0","   0","   0","   1","   0","   1","   0","   0","   1","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   1","   2","   1","   0","  47","   0","   6","  38","   0","   0","   3"
"6537","6759","6330","2632","   0","   0","   0","   0","   0","   0","   4","   0","   0","   1","   0","   0","   1","   2","   0","   0","   0","   0","   0","   1","   0","   2","   1","   0","   1","   2","   2","   1","  34","   1","  11","  42","   0","   0","   2"
"6658","6878","6454","2648","   0","   1","   0","   1","   0","   0","   4","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   2","   3","   1","   1","  20","   1","  11","  53","   0","   1","   2"
"6778","6997","6579","2664","   0","   0","   0","   2","   1","   0","   5","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   1","   3","   2","   1","  14","   0","  11","  55","   0","   1","   1"
"7054","7268","6865","2701","   0","   1","   0","   1","   1","   1","   4","   0","   0","   2","   0","   0","   1","   1","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   4","   1","   0","  21","   0","   9","  51","   0","   1","   2"
"7165","7377","6982","2716","   0","   1","   0","   1","   1","   1","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  11","   0","   8","  72","   0","   1","   3"
"7284","7493","7106","2732","   0","   1","   1","   1","   3","   0","   3","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   1","   1","  17","   2","  12","  57","   1","   1","   5"
"7402","7609","7229","2748","   0","   1","   0","   1","   1","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","  10","   1","   8","  74","   0","   0","   2"
"7520","7725","7352","2764","   0","   1","   0","   2","   4","   0","   3","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","  17","   1","  10","  61","   0","   0","   2"
"7638","7840","7473","2780","   0","   0","   0","   2","   2","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   1","   2","  11","   1","  11","  69","   0","   0","   1"
"7756","7953","7592","2796","   0","   1","   0","   1","   1","   0","   3","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   9","   0","  11","  72","   0","   0","   1"
"7801","7995","7635","2802","   0","   1","   1","   1","   1","   0","   3","   0","   0","   2","   0","   0","   0","   1","   0","   0","   1","   0","   1","   0","   0","   1","   0","   0","   1","   0","   1","   1","  23","   1","  16","  46","   0","   1","   2"
"7904","8095","7740","2816","   1","   0","   0","   1","   1","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  18","   0","   6","  69","   0","   1","   2"
"8021","8206","7857","2832","   0","   0","   0","   2","   1","   0","   1","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","  15","   0","   8","  70","   0","   1","   2"
"8137","8314","7971","2848","   0","   0","   0","   3","   5","   0","   3","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","  19","   1","  11","  55","   0","   0","   2"
"8250","8420","8081","2864","   0","   1","   0","   3","   2","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","  16","   1","  10","  65","   0","   0","   2"
"8359","8524","8182","2880","   0","   0","   0","   2","   2","   0","   1","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","  21","   1","   4","  65","   0","   2","   2"
"8465","8627","8277","2896","   0","   1","   0","   3","   4","   0","   3","   0","   0","   0","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","  20","   2","  10","  56","   0","   0","   2"
"9170","9352","8987","2996","   0","   0","   0","   2","   1","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   1","  12","   0","  10","  67","   0","   0","   2"
"9203","9385","9023","3000","   0","   1","   0","   1","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","  17","   0","  13","  64","   0","   0","   3"
"9273","9453","9098","3008","   0","   1","   0","   1","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  16","   0","  15","  61","   0","   0","   1"
"9346","9522","9175","3016","   0","   1","   0","   1","   2","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  14","   0","  14","  65","   0","   0","   1"
"9413","9587","9246","3023","   0","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","  12","   0","  10","  69","   0","   1","   1"
"9503","9674","9339","3032","   0","   0","   0","   0","   1","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  12","   0","  14","  67","   0","   1","   4"
"9576","9747","9412","3039","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","  12","   0","  12","  67","   0","   1","   2"
"9674","9850","9509","3048","   0","   1","   0","   1","   2","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  13","   0","   8","  69","   0","   1","   2"
"9742","9921","9574","3054","   0","   1","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   2","   0","  14","   1","  11","  65","   0","   1","   1"
" 9859","10043"," 9679"," 3064","    0","    1","    0","    1","    2","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    1","   16","    0","    8","   65","    0","    1","    1"
" 9968","10159"," 9771"," 3073","    0","    1","    0","    2","    2","    0","    2","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","   18","    0","    9","   63","    0","    1","    2"
"10056","10255"," 9845"," 3080","    0","    0","    0","    1","    2","    0","    3","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","   14","    0","   10","   65","    0","    0","    4"
"10331","10563","10074"," 3101","    0","    0","    0","    4","    2","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","   19","    0","   12","   58","    0","    1","    3"
"10426","10669","10147"," 3108","    0","    1","    0","    0","    1","    0","    3","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    2","    1","   20","    0","    9","   59","    0","    1","    3"
"10536","10796","10232"," 3116","    0","    1","    0","    2","    3","    0","    2","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    1","    1","    0","   17","    1","    9","   62","    0","    1","    4"
"10648","10926","10316"," 3124","    0","    1","    0","    2","    1","    0","    1","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    2","    0","   17","    0","   11","   61","    0","    1","    3"
"10762","11061","10400"," 3132","    0","    0","    1","    2","    5","    0","    1","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    2","    0","   20","    0","    8","   57","    0","    1","    3"
"10877","11198","10482"," 3140","    0","    1","    0","    1","    5","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","   23","    0","    9","   59","    0","    1","    1"
"10993","11338","10564"," 3148","    0","    0","    0","    1","    4","    0","    2","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    1","    0","   26","    0","    8","   55","    0","    1","    4"
"11109","11480","10645"," 3156","    0","    0","    0","    1","    4","    1","    2","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    3","    0","   20","    0","    8","   57","    0","    1","    3"
"11227","11625","10726"," 3164","    0","    1","    0","    1","    4","    0","    4","    1","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    3","    0","   25","    0","   11","   48","    0","    2","    2"
"11330","11753","10797"," 3171","    0","    1","    0","    2","    7","    1","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    1","    2","    0","    0","    1","    0","    2","    0","   23","    0","    7","   53","    0","    1","    2"
"11462","11918","10887"," 3180","    0","    1","    0","    3","    6","    0","    2","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    2","    1","   26","    0","    8","   49","    0","    1","    5"
"11580","12067","10969"," 3188","    0","    1","    0","    2","    6","    0","    1","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    2","    0","    2","    1","   33","    0","    6","   42","    0","    1","    3"
"11683","12197","11039"," 3195","    0","    0","    0","    3","    4","    1","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","   29","    0","    5","   53","    0","    0","    3"
