"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Anagallis t.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celastraceae undif.","Celtis","Centaurea","Ceratophyllum","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Fumaria","Galium t.","Gentiana t.","Gentianaceae undif.","Geranium","Hedera","Hypericum undif.","Ilex","IsoÃ«tes","Juglans","Lamiaceae undif.","Ligustrum","Linum t.","Lysimachia","Lythrum","Malva undif.","Mercurialis","Morus","Myriophyllum undif.","Nymphaea","Olea t.","Onagraceae","Ostrya","Papaver t.","Parnassia","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Primula","Prunus t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Solanum","Taxus","Thalictrum","Theligonum","Tilia","Typha","Ulmus t.","Urtica t.","Valerianaceae undif.","Viburnum","Viscum","Vitis","Volvocaceae"
"  127",NA,NA," 84","0","0","0","0","1040","0","0","8","3","1","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","34","0","0","0","2","0","0","91","133","0","0","0","0","0","0","0","0","1","0","0","18","0","0","0","0","0","0","0","0","0","0","0","5","0","3","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","16","0","2","0","0","0","0","0","0","0","0","0","0","4","0","0","25","0","0","0","0","0","1","0"
"  168",NA,NA," 88","0","0","0","0","331","3","0","6","2","1","0","0","0","0","0","2","0","0","1","1","0","0","0","0","0","0","0","1","0","0","19","0","0","0","2","0","0","59","79","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","2","0","0","0","0","0","1","0","0","0","8","0","0","0","0","0","0","19","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","9","2","0","0","0","0","0","0"
"  309",NA,NA," 92","1","0","0","0","257","3","0","4","1","1","1","0","0","0","0","1","0","0","0","3","0","0","0","0","1","0","0","0","0","1","36","0","0","0","2","0","0","53","103","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","5","0","3","0","0","0","1","0","1","2","2","0","6","0","0","0","0","0","0","29","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","16","0","0","0","0","0","0","0"
"  450",NA,NA," 96","1","1","0","1","485","2","0","0","3","0","0","0","0","0","1","1","0","0","0","5","0","0","0","0","0","0","0","3","0","0","19","0","0","0","0","0","0","49","92","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","2","0","5","0","0","0","0","0","1","0","1","0","15","7","1","0","0","0","0","19","10","1","0","1","3","1","0","0","0","0","0","0","0","0","0","9","0","2","0","0","0","0","0"
"  800",NA,NA,"106","3","2","0","0","221","0","0","0","4","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","38","0","0","0","0","0","0","82","40","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","7","0","1","0","0","0","0","0","2","1","1","0","6","0","0","0","0","0","0","35","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"  939",NA,NA,"110","2","1","0","0","176","2","0","1","4","0","0","0","1","0","0","0","0","3","2","1","0","0","0","0","1","0","0","3","0","2","123","0","0","0","0","0","1","155","35","0","0","4","0","0","0","0","0","0","0","0","28","0","1","0","0","0","0","0","0","0","0","0","5","0","18","0","0","1","6","0","2","3","1","0","28","0","0","0","0","0","0","80","14","7","0","1","1","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","1","1"
" 1076",NA,NA,"114","1","2","0","0","107","2","0","3","0","1","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","1","1","0","0","73","0","0","0","0","0","0","127","30","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","2","5","0","3","0","0","0","5","0","0","5","0","0","14","0","0","0","0","0","0","55","9","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0"
" 1211",NA,NA,"118","5","0","0","0","186","2","0","0","0","0","0","0","1","0","0","0","0","4","1","2","0","0","0","0","1","0","0","0","0","0","77","0","0","0","1","0","0","135","41","0","0","5","0","0","0","0","0","1","0","0","12","0","1","0","0","0","0","0","0","0","0","0","2","0","34","0","0","0","0","0","1","0","1","0","12","0","0","0","0","0","0","43","4","0","0","0","0","1","0","0","0","3","0","0","0","0","0","22","4","0","0","0","0","1","0"
" 1345",NA,NA,"122","1","0","0","0","119","5","0","0","2","3","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","57","0","0","0","2","0","0","73","71","0","0","2","0","0","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","1","5","0","4","0","0","0","1","0","5","0","0","0","8","1","0","0","0","0","0","70","9","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","2","0","0","0","0","0","0"
" 1607",NA,NA,"130","1","0","0","0","295","2","0","0","3","2","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","26","0","0","0","1","0","0","81","68","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","2","0","8","0","0","0","0","0","0","44","0","0","0","0","0","1","0","0","0","1","0","0","2","0","0","0","1","0","0","0","0","0","0"
" 1735",NA,NA,"134","5","0","0","0","780","1","0","2","4","0","0","1","0","0","0","0","0","3","2","0","0","0","0","0","0","0","0","3","0","0","51","0","0","0","2","0","0","121","59","5","1","4","0","0","0","0","0","2","0","0","47","0","0","0","0","0","0","0","0","0","0","0","2","0","11","0","0","0","3","0","1","0","1","0","18","1","0","0","0","0","0","28","0","1","0","0","2","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","1","0"
" 1860",NA,NA,"138","6","0","0","0","468","2","0","0","2","0","0","0","2","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","28","0","0","1","1","0","0","45","27","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","3","0","0","0","0","0","1","0","0","0","4","0","0","0","0","0","0","26","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
" 1982",NA,NA,"142","39","0","0","0","524","5","0","2","0","1","0","0","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","62","76","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","4","1","0","1","0","0","0","0","0","1","0","1","0","7","0","0","0","0","0","0","40","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
" 2102",NA,NA,"146","66","2","0","0","263","2","0","3","3","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","6","0","0","43","0","0","0","1","0","0","76","225","0","0","2","0","0","0","0","0","2","0","0","11","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","2","0","15","0","0","1","0","0","0","59","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","0","0","0","0","0","1"
" 2218",NA,NA,"150","22","0","0","0","246","3","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","24","0","0","0","0","0","0","59","226","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0","1","3","0","5","0","0","0","0","0","2","0","0","0","6","0","0","0","0","0","0","67","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","6","1","0","0","0","0","1","0"
" 2330",NA,NA,"154","24","0","0","0","231","2","0","1","0","3","0","0","2","0","0","1","0","1","1","1","0","0","0","0","0","3","0","1","0","0","13","0","0","0","1","0","0","44","113","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","10","0","0","0","0","0","0","0","0","0","12","2","0","0","0","0","0","28","10","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
" 2492",NA,NA,"160","56","1","0","0","83","5","0","4","5","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","15","0","0","0","1","0","0","50","218","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","23","0","0","0","0","0","2","0","1","0","29","1","0","0","0","0","0","88","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","4","3","0","0","0","0","2","0"
" 2595",NA,NA,"164","32","0","0","0","70","5","0","2","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","55","0","0","0","2","0","0","76","127","0","0","2","0","0","0","0","0","10","0","0","32","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","1","1","0","3","1","1","0","15","0","0","0","0","0","0","49","0","0","0","0","1","2","0","0","0","0","1","0","0","0","0","7","0","1","0","0","0","0","1"
" 2694",NA,NA,"168","42","0","0","0","68","7","0","0","2","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","57","0","0","0","1","0","0","73","321","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","17","0","0","0","1","0","4","0","1","0","17","0","0","0","0","0","0","66","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0"
" 2879",NA,NA,"176","38","0","0","0","93","15","0","3","3","4","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","28","0","1","0","2","0","0","61","407","0","0","0","0","0","0","0","0","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","0","14","0","0","0","0","0","4","0","1","0","6","1","0","0","0","0","0","75","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","7","0","0","0","0","0","4","0"
" 3006",NA,NA,"182","0","0","0","0","86","1","0","1","2","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","38","0","0","0","0","0","0","102","127","0","0","1","0","0","0","0","0","7","0","0","26","0","0","0","0","0","0","0","0","0","0","0","4","0","9","0","0","1","1","0","7","2","2","0","11","0","0","0","0","0","0","38","6","0","0","1","0","0","0","0","0","2","0","0","1","0","0","4","0","0","0","0","0","0","0"
" 3160",NA,NA,"190","25","0","2","0","236","4","0","4","3","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","29","0","0","0","1","0","0","62","113","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","6","0","0","0","0","0","15","0","0","0","9","0","0","0","0","0","0","60","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
" 3232",NA,NA,"194","32","0","0","1","189","2","0","6","0","4","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","19","0","0","0","0","0","0","33","182","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","1","0","0","0","0","0","21","1","0","0","1","0","0","83","5","0","0","0","3","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
" 3428",NA,NA,"206","120","0","0","0","68","0","0","2","2","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","0","0","0","6","0","0","79","397","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","18","0","0","0","3","0","5","2","1","0","9","0","0","0","0","0","0","50","6","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","2","0"
" 3516",NA,NA,"212","36","1","0","0","282","1","0","4","4","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","1","0","0","106","171","0","0","3","0","0","0","0","0","7","0","0","36","0","0","0","0","0","0","0","0","0","0","5","5","0","29","0","0","1","0","0","2","0","2","0","11","0","0","0","0","0","5","73","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","3","2"
" 3571",NA,NA,"216","24","0","0","0","195","2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","1","0","0","78","111","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","27","0","0","0","0","0","0","68","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 3624",NA,NA,"220","29","0","0","0","246","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","1","0","0","70","92","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","13","0","0","0","1","0","2","0","0","0","16","0","0","0","0","0","0","48","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 3688",NA,NA,"225","51","1","0","0","783","1","0","1","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","85","55","0","0","3","0","0","0","0","0","2","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","32","0","0","2","0","0","2","1","1","0","18","0","0","0","0","0","0","28","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","1","0"
" 3748",NA,NA,"230","12","0","0","0","287","1","0","0","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","7","0","1","0","4","0","0","126","108","0","0","10","0","0","0","0","0","3","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","22","0","0","0","0","0","3","0","1","0","11","1","0","0","0","0","0","81","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","2","0"
" 3795",NA,NA,"234","10","1","0","0","530","0","0","0","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","0","0","10","0","0","0","1","0","0","77","41","0","0","3","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","26","0","0","0","3","0","1","0","1","0","3","0","0","0","0","0","0","18","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
" 3841",NA,NA,"238","11","0","0","0","396","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","67","58","0","0","2","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","21","0","0","0","3","0","0","0","0","0","6","0","0","0","0","0","0","31","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
" 3885",NA,NA,"242","28","0","0","0","1560","3","0","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","12","0","0","0","1","0","0","57","84","0","0","6","0","0","0","0","0","2","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","1","0","13","0","0","0","0","0","0","39","1","1","0","0","2","0","0","0","0","5","0","1","1","0","0","0","3","0","0","1","0","0","0"
" 3929",NA,NA,"246","38","0","0","0","840","0","0","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","1","2","0","0","82","282","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","18","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","34","4","0","0","0","2","2","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0"
" 3971",NA,NA,"250","85","0","0","0","89","2","0","0","3","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","2","0","0","181","145","0","0","3","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","11","0","0","0","2","0","3","0","0","0","3","0","0","0","0","0","0","67","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
" 4014",NA,NA,"254","81","0","0","0","85","0","0","2","0","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","5","0","0","0","2","0","0","96","121","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","1","0","0","0","2","0","25","0","0","0","1","0","0","2","1","0","6","0","0","0","0","0","0","40","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
" 4077",NA,NA,"260","56","0","0","0","139","0","0","3","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","3","0","0","79","274","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","48","0","0","0","0","0","7","0","0","0","10","0","0","0","0","0","0","107","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0"
" 4119",NA,NA,"264","53","0","0","0","81","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","17","1","1","0","2","0","0","92","155","0","0","3","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","1","0","1","0","1","0","3","0","0","0","1","0","0","60","12","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","3","1","0","0","0","0","0"
" 4161",NA,NA,"268","52","0","0","0","96","1","0","1","0","1","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","10","0","0","0","1","0","0","93","73","0","0","2","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42","0","0","0","0","0","1","0","0","0","10","0","0","0","0","0","0","76","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0"
" 4204",NA,NA,"272","0","0","0","0","166","4","0","6","0","2","2","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","63","94","0","0","5","0","0","0","0","0","5","0","0","60","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","1","0","4","0","2","0","7","0","0","1","0","0","0","37","1","0","0","0","0","0","0","0","0","2","1","0","0","0","0","4","5","0","0","0","0","0","0"
" 4247",NA,NA,"276","48","0","0","0","124","3","0","3","3","2","1","0","0","0","0","0","0","4","0","2","0","0","0","0","0","0","0","0","0","0","10","0","0","0","1","0","0","88","53","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","25","0","0","0","1","0","4","0","1","0","8","0","0","0","0","0","0","62","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
" 4292",NA,NA,"280","16","0","0","0","116","1","0","2","1","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","84","184","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","45","0","0","0","1","0","1","0","0","0","15","1","0","0","0","0","0","78","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","2","0","0","0","0","0","0"
" 4337",NA,NA,"284","110","0","0","0","66","3","0","3","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","15","0","0","1","2","0","0","90","193","0","0","3","0","0","0","0","0","3","0","0","51","0","0","0","0","0","0","0","2","0","0","0","1","0","27","0","0","0","0","0","1","1","1","0","13","0","0","0","0","0","0","41","2","0","0","0","0","0","0","0","0","1","0","0","0","0","1","2","0","0","0","0","0","0","0"
" 4408",NA,NA,"290","77","1","0","0","52","1","0","5","0","6","0","0","1","0","0","0","0","0","0","2","0","0","0","0","1","0","0","2","0","0","17","0","0","0","1","0","0","98","98","0","0","2","0","0","0","0","0","5","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","16","0","0","0","18","0","0","0","0","0","0","57","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","4","0","0","0","0","1","0"
" 4457",NA,NA,"294","0","0","0","0","38","0","0","6","3","0","0","0","4","0","0","0","0","2","0","0","0","0","0","0","5","0","0","9","0","0","11","0","0","0","3","0","2","80","275","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","1","0","2","0","7","0","0","0","1","0","0","52","8","0","0","0","0","1","2","0","0","0","1","0","0","0","0","1","1","0","1","0","0","0","0"
" 4615",NA,NA,"306","66","0","0","0","61","3","0","3","2","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","13","0","0","0","1","0","0","62","144","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","32","0","0","0","1","0","3","0","1","0","35","0","0","0","0","0","0","75","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0"
