"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alnus","Amaranthaceae undif.","Ambrosia t.","Apiaceae undif.","Arbutus","Arceuthobium","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Buxus","Calligonum","Campanulaceae","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Erodium","Euphorbiaceae undif.","Fabaceae Undif.","Fagus","Fallopia","Fern","Filipendula t.","Fraxinus","Genisteae","Gentianaceae undif.","Geranium","Hedera","Heliotropium","Indeterminable","Jasminum","Juglans","Lamiaceae undif.","Ligustrum","Loranthus","Lycopodium spike","Lythrum","Malva undif.","Mercurialis","Myriophyllum spicatum/verticillatum t.","Myrtaceae undif.","Nymphaea","Olea t.","Onagraceae","Ononis t.","Ostrya","Papaver t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Primulaceae undif.","Punica granatum","Quercus deciduous","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sarcopoterium","Saxifragaceae","Secale","Taxus","Thalictrum","Theligonum","Tilia","Tribulus","Trifolium t.","Typha","Ulmus t.","Unknown (trilete, roughly verrucate)","Unknown (trilete, smoothly verrucate)","Utricularia","Viburnum","Vitis"
"2182","2487","1887","138","16","8","2","0","5","0","3","1","0","5","4","23","0","1","0","0","0","0","0","21","1","1","93","7","0","0","1","0","1","243","1","1","22","0","0","2","3","0","24","1","3","0","0","0","0","0","8","1","1","0","1","0","0","0","0","0","1","1","1","45","1","0","5","0","0","24","1","97","3","1","0","1","166","3","15","0","0","0","0","74","8","2","5","0","2","0","0","0","0","2","0","0","0","0","1","1","0","0","239","0","0","6","0","0","2"
"2277","2567","1996","147"," 9","3","0","0","8","0","7","2","0","3","3","17","0","0","0","0","0","0","0","37","0","0","90","12","0","0","0","0","1","385","0","0","18","1","0","1","1","0","52","0","3","0","0","0","0","0","6","2","0","0","0","0","0","0","3","0","0","0","1","63","0","0","9","0","1","30","1","58","9","1","0","2","156","3","7","0","0","0","0","79","22","1","14","0","2","0","1","0","0","2","0","0","0","0","0","0","0","0","322","1","0","15","0","0","2"
"2394","2668","2122","158","15","1","0","0","3","0","2","1","0","3","1","36","0","2","0","0","0","0","0","61","0","1","201","15","0","0","0","0","0","173","0","0","47","0","0","7","1","0","29","0","13","0","0","0","0","0","18","0","1","1","0","1","0","0","0","0","1","0","20","70","0","0","12","0","3","29","0","61","1","4","0","0","55","2","0","0","0","0","0","46","29","5","8","0","6","1","0","2","0","4","0","0","1","0","1","0","0","1","696","2","0","15","0","0","1"
"2511","2775","2241","169","18","12","0","1","5","0","1","0","0","2","5","16","0","1","0","0","0","2","1","90","0","0","51","4","0","0","1","0","0","530","0","0","17","0","0","2","1","0","20","0","7","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","31","0","0","42","5","0","9","0","1","22","2","69","2","6","0","4","77","2","0","2","0","0","0","56","53","4","11","1","0","0","0","0","0","6","0","0","0","0","0","1","0","0","299","2","0","9","2","0","2"
"2617","2885","2343","179","15","7","0","3","5","0","3","0","0","7","4","27","0","1","0","0","0","0","2","142","0","4","75","9","0","0","2","0","1","156","0","0","17","0","0","4","0","0","41","0","1","0","1","1","0","0","16","0","0","1","0","0","0","1","0","0","47","0","0","43","1","0","14","0","1","40","0","71","3","8","0","8","38","3","5","0","0","0","0","89","15","2","14","0","2","0","0","2","0","2","0","0","0","0","1","0","0","0","170","1","1","10","2","0","1"
"2670","2941","2389","184","13","7","0","6","9","0","9","1","0","13","4","44","0","2","0","0","0","0","0","216","0","1","197","12","0","0","2","0","0","57","0","0","48","0","0","3","0","0","43","1","10","0","0","0","0","0","57","1","2","2","3","0","0","0","0","1","9","0","1","141","7","0","34","0","0","16","4","46","5","8","0","0","121","5","4","0","0","0","0","114","65","5","14","0","2","1","0","0","0","9","0","0","0","0","1","0","1","0","84","6","0","13","0","0","2"
"2745","3025","2451","191","14","6","0","3","16","0","5","0","0","15","1","24","0","2","0","0","0","0","0","33","1","3","36","2","1","0","1","0","2","174","0","0","29","0","0","4","0","0","12","0","2","0","0","0","0","0","6","0","2","2","0","0","0","0","0","6","17","0","1","75","0","0","24","0","2","58","0","47","5","10","0","0","110","1","5","0","0","0","0","181","56","6","7","1","3","2","0","0","0","12","0","0","0","0","0","0","0","0","28","3","0","0","1","0","0"
"2819","3112","2511","198","13","0","0","5","12","0","3","2","0","20","2","33","1","0","0","0","0","0","1","15","1","13","36","4","0","0","3","0","1","303","0","2","27","0","0","0","0","0","15","0","3","0","0","0","0","0","4","0","1","0","0","0","0","0","0","5","2","0","2","13","0","0","16","0","0","21","1","69","8","8","1","2","160","2","4","0","1","0","0","266","67","0","5","2","3","0","0","2","0","13","0","0","0","0","0","0","0","0","20","10","0","0","2","0","1"
"2904","3214","2577","206","20","4","0","3","10","0","0","0","0","4","5","19","1","0","0","0","0","0","0","19","1","0","104","5","0","0","0","0","0","848","0","0","21","0","0","0","1","0","18","0","2","0","0","0","0","0","14","0","1","0","0","0","0","0","0","1","0","0","0","22","0","0","23","0","0","10","1","95","3","1","0","0","122","6","0","2","0","0","0","70","40","6","3","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","336","3","0","6","0","0","1"
"2989","3317","2640","214","15","8","2","3","10","0","2","2","0","4","4","24","1","0","0","0","0","0","2","50","0","1","109","5","0","0","3","0","0","872","0","1","23","0","0","0","1","0","25","0","4","0","0","0","0","0","5","0","0","0","1","0","0","0","0","2","0","0","0","32","0","0","18","0","0","13","1","75","0","6","0","0","72","8","2","0","0","0","0","74","50","4","10","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","141","5","0","11","0","0","1"
"3032","3370","2672","218","21","5","1","0","12","0","4","0","0","12","1","8","0","1","0","0","0","0","0","39","0","3","19","3","0","1","0","0","0","1311","0","0","16","0","0","1","1","0","25","0","0","0","0","0","0","0","4","0","1","2","0","0","0","0","0","2","0","0","0","15","0","0","11","0","0","33","0","87","3","2","0","0","34","3","0","0","0","0","0","99","26","1","12","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","154","1","0","4","0","0","0"
"3191","3570","2786","233"," 9","15","0","3","12","0","3","0","0","18","1","24","0","4","0","1","0","0","1","10","0","9","12","6","0","0","4","0","0","177","0","1","16","0","0","2","1","0","11","0","5","0","0","0","0","0","14","0","0","0","1","0","0","0","0","5","0","0","1","25","0","0","19","0","1","9","0","66","17","4","0","0","46","1","1","0","0","0","0","145","64","9","3","0","0","0","0","0","0","2","0","0","0","0","0","2","0","0","356","2","0","4","0","0","2"
"3265","3665","2837","240"," 7","2","2","5","12","0","5","0","0","13","0","29","1","0","0","0","0","0","0","7","0","1","11","2","0","0","1","0","2","466","0","1","12","0","0","4","0","0","4","0","2","0","0","1","0","0","2","0","0","0","0","0","0","0","0","5","0","0","0","11","0","0","7","0","1","11","0","47","11","1","0","0","127","1","1","1","0","0","0","155","33","0","7","0","1","2","0","5","0","5","0","0","0","0","0","0","0","0","949","3","0","0","0","0","1"
"3340","3763","2890","247"," 9","0","0","1","7","0","1","0","0","3","2","51","0","2","0","0","0","0","0","0","0","3","32","1","0","0","2","0","2","342","0","0","10","0","0","0","0","0","18","0","2","0","0","0","0","0","2","0","0","0","0","0","0","5","0","2","0","0","0","6","0","0","5","0","2","3","2","104","13","3","0","0","68","1","0","0","0","0","0","131","18","0","1","0","0","1","0","0","0","2","0","0","0","0","0","1","0","0","30","1","0","2","0","0","1"
"3525","3932","3098","258","19","5","1","4","14","1","2","1","0","5","0","70","0","0","0","1","0","0","0","4","1","3","9","0","0","0","2","0","0","325","0","3","13","0","0","1","0","0","4","0","4","0","0","0","0","0","10","0","0","0","0","0","0","0","0","2","0","0","0","17","0","0","8","0","1","15","2","149","4","2","0","0","59","3","0","0","0","0","0","214","67","5","1","0","0","2","1","0","0","2","0","0","0","0","0","4","0","0","299","1","0","0","0","0","1"
"3768","4109","3400","268","11","7","0","2","7","0","3","0","0","5","0","19","1","1","0","0","0","1","1","6","0","0","4","2","0","0","2","0","1","193","0","0","10","0","0","0","3","0","11","0","0","0","0","0","0","0","4","0","0","0","0","0","0","1","0","4","0","0","0","8","0","0","17","0","0","9","1","47","0","4","0","0","63","1","0","0","0","0","0","138","62","3","7","0","0","0","0","0","0","2","0","1","0","0","0","2","0","0","46","3","0","1","0","0","0"
"3963","4273","3636","276","17","2","0","1","9","0","2","0","0","4","1","57","0","1","0","0","0","0","0","3","0","1","4","1","0","0","2","0","0","396","0","1","11","0","0","1","0","0","175","0","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","4","1","0","0","46","0","0","15","0","1","9","0","94","1","1","0","0","59","2","1","0","0","0","0","226","27","1","1","0","4","1","0","0","0","3","0","0","0","0","1","1","0","0","33","2","0","0","0","0","1"
"4158","4480","3836","284","14","1","1","0","13","0","0","0","0","9","0","39","1","1","0","0","0","1","0","2","0","0","19","2","0","0","1","0","0","422","0","1","24","0","0","0","0","0","68","0","1","0","0","0","0","0","7","0","0","1","0","0","0","0","0","2","1","0","0","15","0","0","18","0","1","2","1","160","2","2","0","0","154","3","0","0","0","0","0","178","98","5","3","2","0","1","0","0","0","6","0","0","1","1","0","1","0","0","4","5","0","0","0","0","8"
"4474","4894","4094","297","12","2","0","0","9","0","3","0","0","9","1","24","1","1","0","0","0","0","0","8","2","3","17","1","0","0","5","0","3","281","0","0","10","0","0","0","0","0","111","2","4","0","0","0","0","0","3","1","0","0","0","0","0","2","0","1","0","0","0","9","0","0","16","0","1","13","4","118","2","7","0","0","121","3","0","0","0","0","0","255","74","2","3","1","3","0","0","2","0","7","0","0","0","1","0","4","0","2","3","3","0","0","0","2","2"
"4737","5258","4304","309","14","1","1","4","6","0","2","0","0","15","1","8","0","3","0","0","0","0","3","11","0","1","7","0","2","0","18","0","3","256","0","2","12","0","0","0","1","0","14","0","9","0","0","0","2","0","3","0","0","0","0","0","0","0","0","4","0","0","0","8","0","0","36","0","4","20","2","95","6","0","0","0","67","1","2","1","0","0","0","249","67","1","1","0","2","1","2","0","0","5","0","0","0","0","0","2","0","0","20","4","0","0","0","1","0"
"4863","5290","4514","319","14","10","2","6","6","0","2","0","0","11","1","16","3","0","0","0","0","0","0","2","0","0","2","2","0","0","7","0","0","256","0","1","16","0","0","0","1","0","3","0","6","0","0","0","1","0","4","0","1","0","0","0","0","0","0","2","0","0","0","18","0","0","43","0","1","5","3","102","5","4","0","0","63","5","0","0","0","0","0","175","102","1","2","0","0","1","3","0","0","3","0","0","0","0","2","2","0","0","8","5","0","0","0","0","2"
"4965","5313","4644","327"," 6","9","2","2","8","0","2","0","0","6","2","13","0","0","0","0","1","0","2","2","0","0","7","0","0","0","8","0","7","250","0","1","18","0","0","1","0","0","6","0","8","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","14","0","0","58","0","1","5","0","88","3","6","0","0","65","3","0","0","0","0","0","248","49","1","3","0","0","1","3","0","0","3","0","0","0","0","3","5","0","1","8","5","0","0","0","0","1"
"5066","5363","4764","335"," 9","4","0","5","2","0","1","0","0","4","0","4","1","1","0","1","0","0","0","2","0","1","1","0","0","0","5","0","4","230","0","0","10","0","0","0","0","0","3","0","1","0","0","0","1","0","7","0","0","2","0","0","0","0","0","3","0","0","0","6","0","0","44","0","0","1","0","59","4","1","0","0","66","4","1","0","0","0","0","92","54","2","1","0","0","2","1","0","0","4","0","0","0","0","2","3","0","0","22","5","0","0","0","0","0"
"5180","5462","4884","344"," 9","3","1","4","10","0","5","0","0","17","0","27","1","0","0","0","0","0","0","7","0","0","4","1","0","0","20","0","4","259","0","7","6","1","0","0","0","0","12","0","11","0","0","0","2","0","8","0","0","0","0","0","0","0","0","11","0","0","0","10","0","0","44","0","0","13","0","93","2","5","0","0","1028","6","0","0","0","0","0","224","83","4","2","0","3","2","1","2","0","8","0","0","0","0","0","4","0","0","2350","5","0","0","1","0","1"
"5306","5585","4954","354"," 7","6","3","4","8","0","2","0","0","10","1","13","1","2","0","0","0","0","0","5","0","0","14","0","0","0","3","0","6","310","0","6","13","0","1","0","4","0","13","0","13","0","0","0","0","1","2","0","0","0","0","0","0","0","0","4","0","0","0","7","0","0","72","0","1","14","1","100","10","6","0","1","148","7","2","0","0","0","0","212","80","0","0","0","0","2","2","0","0","4","0","0","0","0","0","3","0","0","227","8","0","0","0","0","0"
"5433","5738","5034","364","20","4","0","3","13","0","1","0","0","10","1","50","1","1","0","0","0","0","1","2","0","3","12","3","0","0","3","0","1","177","0","1","7","0","0","0","0","0","5","0","5","0","0","0","1","0","2","0","0","2","0","0","0","2","0","2","0","0","0","6","0","0","31","0","0","4","0","54","5","5","0","0","100","3","1","0","0","0","0","335","51","1","3","0","0","0","2","0","0","3","1","0","0","0","0","5","0","0","87","2","0","0","0","0","1"
"5521","5811","5134","371","10","3","1","0","4","0","0","0","0","5","0","48","2","0","0","0","0","0","0","1","0","0","2","0","0","0","2","0","0","246","0","0","5","0","0","2","0","0","32","1","2","0","0","0","0","0","9","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0","14","0","2","2","0","17","3","0","0","0","74","1","0","1","0","1","0","239","28","3","0","0","1","0","0","0","0","0","0","0","0","0","1","2","0","0","5","2","0","0","0","0","2"
"5661","5982","5295","382","10","1","0","1","6","0","3","0","0","6","0","27","0","2","0","1","0","0","1","5","0","1","8","2","0","0","7","0","3","189","0","3","6","0","0","2","1","0","58","0","4","0","0","0","1","0","1","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","16","0","2","3","0","24","8","2","0","0","92","4","0","0","0","0","0","381","34","4","1","0","0","1","0","0","0","1","0","0","0","0","0","3","0","0","29","2","0","0","0","0","1"
"5774","6125","5402","391","14","3","1","1","6","0","1","1","0","8","0","34","2","1","1","0","0","0","0","2","0","1","4","1","0","0","7","0","1","440","0","2","7","0","0","3","1","0","27","0","5","0","0","0","0","0","3","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","31","0","3","7","1","39","9","4","0","0","74","2","0","1","0","0","0","358","33","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","56","0","0","0","0","0","0"
"5914","6319","5516","402","10","9","1","0","8","0","1","0","0","1","1","22","0","1","0","0","0","0","0","2","0","1","1","1","0","0","2","0","0","238","0","0","3","0","0","2","0","0","17","0","6","0","0","0","0","0","3","0","0","0","0","0","0","1","0","3","0","0","0","1","0","0","6","0","2","6","0","56","3","0","0","0","86","2","0","3","0","0","0","182","27","1","3","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","143","4","0","1","1","0","0"
"5977","6414","5560","407","20","5","0","1","9","0","1","0","0","5","0","66","0","1","0","0","0","0","1","1","0","0","5","1","0","0","3","0","0","136","0","0","0","0","0","1","1","0","26","0","1","0","0","0","0","0","0","1","0","2","0","0","0","0","0","1","0","0","0","0","0","0","14","0","0","0","0","25","1","2","0","0","99","5","0","1","0","0","0","227","13","1","4","1","1","1","0","2","0","0","0","0","0","0","0","4","0","0","24","4","0","0","0","0","3"
"6103","6604","5636","417"," 9","4","0","1","4","0","0","0","0","1","0","46","1","0","0","0","0","0","0","4","0","0","2","2","0","0","2","0","3","144","0","0","3","0","0","1","1","0","17","0","1","0","0","0","0","0","11","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","11","0","0","3","0","29","3","1","0","0","137","1","0","0","0","0","0","216","13","0","1","0","0","1","0","1","0","1","0","0","0","0","0","1","0","0","5","3","0","0","0","0","3"
"6204","6758","5689","425","14","1","0","1","1","0","1","0","0","2","0","37","0","0","0","0","0","0","1","3","0","1","17","0","0","0","0","0","0","76","0","0","1","0","0","1","0","0","8","1","1","0","0","0","0","0","5","0","0","1","1","0","0","1","0","2","0","0","0","0","0","0","9","0","1","1","0","13","3","2","0","0","118","2","0","0","0","0","0","251","13","0","1","1","1","0","3","1","0","5","0","0","1","0","0","3","0","1","13","2","0","0","0","0","2"
"6318","6935","5743","434"," 8","1","0","1","16","0","3","0","0","4","0","84","0","3","0","0","0","0","1","4","1","0","14","0","0","0","0","0","1","219","0","0","2","0","0","0","0","0","45","0","2","0","0","0","1","0","12","0","1","0","0","0","0","0","0","4","0","0","0","2","0","0","9","0","1","6","0","19","7","2","0","0","98","0","0","0","0","0","0","339","13","2","3","0","0","0","0","0","0","1","0","0","0","0","0","3","0","0","7","4","0","0","0","0","1"
"6407","7075","5781","441"," 5","0","1","1","5","0","3","0","0","3","0","38","0","0","0","0","0","1","0","0","1","1","12","0","0","0","0","0","4","206","0","0","0","0","0","0","0","0","19","0","1","0","0","0","0","0","1","0","0","0","0","1","0","1","0","4","0","0","0","1","0","0","2","0","0","2","0","13","8","0","0","0","75","2","0","0","0","0","0","249","15","0","3","0","0","0","0","1","0","2","0","0","1","0","0","2","0","0","3","3","0","0","0","0","0"
"6546","7300","5839","452"," 7","1","1","0","4","0","0","0","0","6","1","25","1","1","0","0","0","0","0","1","0","1","8","0","0","0","0","0","2","412","0","2","0","0","0","1","1","0","23","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","6","0","0","2","0","44","4","1","0","0","79","3","0","0","1","0","0","215","15","2","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","15","3","0","0","0","0","2"
"6622","7423","5868","458"," 7","4","0","0","9","0","2","0","0","8","0","39","1","1","0","0","0","0","0","5","3","0","15","1","1","0","7","0","4","753","0","0","2","0","0","2","0","0","46","0","6","0","0","0","0","0","1","0","0","2","0","0","0","1","0","7","0","0","0","1","0","0","16","0","0","4","0","29","5","4","1","0","150","4","0","0","0","0","0","406","16","1","1","0","1","0","1","0","1","1","0","0","0","0","0","0","0","0","38","4","0","0","0","0","6"
"6766","7561","6016","470","12","4","0","5","9","0","3","0","0","6","0","20","2","1","0","0","0","1","0","10","0","0","4","1","1","0","4","0","0","345","0","1","0","0","0","2","0","1","7","0","5","0","0","0","0","0","3","0","0","2","0","0","0","1","0","1","0","0","0","2","0","0","10","0","0","3","1","33","9","3","0","0","321","2","1","0","0","0","0","182","36","2","2","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","67","0","0","0","0","0","3"
"6881","7584","6211","480","13","2","0","1","5","0","3","0","0","6","1","25","1","0","0","0","0","0","1","9","0","4","16","1","0","0","3","0","1","975","0","1","1","0","0","1","0","0","15","3","12","0","0","0","0","0","3","0","0","2","1","0","0","1","0","4","0","1","0","1","0","0","10","0","0","14","0","56","9","29","0","0","1172","5","2","0","0","0","0","171","16","2","6","0","0","2","1","2","0","2","0","0","0","0","3","1","0","0","158","2","0","0","0","0","2"
"7008","7612","6423","491"," 5","3","0","1","9","0","6","0","0","5","0","17","0","1","0","0","0","0","0","2","0","2","2","1","1","0","4","0","1","279","0","1","0","0","0","0","0","0","33","0","6","0","0","0","2","0","1","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","4","0","1","8","2","45","15","2","0","0","73","0","1","0","0","0","0","186","15","0","4","0","0","1","1","1","0","1","0","0","0","0","0","4","0","0","13","2","0","0","0","0","1"
"7134","7647","6635","502","19","4","1","0","20","0","0","0","0","9","0","47","0","8","0","0","0","0","0","7","1","2","16","1","0","1","24","1","1","620","0","3","5","0","0","0","2","0","28","0","19","1","0","0","1","0","2","0","0","5","1","0","0","2","0","13","0","0","0","0","0","0","13","0","2","28","0","33","24","6","0","0","251","4","0","2","0","0","0","328","32","0","4","0","1","3","2","3","0","1","0","0","0","0","5","4","0","0","81","4","0","0","0","0","7"
