"Depth (cm)","Acanthaceae undif.","Alnus","Amaranthaceae undif.","Anthoceros t.","Antidesma t.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Calligonum","Caryophyllaceae undif.","Cedrus","Celtis","Centaurea","Cichorieae","Cistaceae","Combretaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fern","Geraniaceae undif.","Gymnocarpus","Heliotropium","Juglans","Lamiaceae undif.","Meliaceae undif.","Monoletes","Olea t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Polemonium","Quercus deciduous","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rubiaceae undif.","Rumex t.","Sanguisorba t.","Searsia","Thalictrum","Thymelaeaceae undif.","Tilia","Triletes","Typha","Ulmus t."
"94.25"," 0.00"," 0.00","49.00"," 0.00"," 0.00"," 0.00","76.00"," 0.00","11.00"," 0.00"," 8.00"," 0.00"," 0.00"," 1.00"," 1.00"," 0.00"," 9.00"," 0.00"," 0.00"," 0.00"," 0.00"," 4.00"," 0.00","14.00"," 2.00"," 0.00"," 0.00"," 2.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 1.00","88.00"," 0.00"," 2.00","21.00"," 0.00"," 5.00"," 5.00"," 0.00"," 0.00"," 0.00"," 2.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
" 99.25","  0.00","  0.00"," 38.00","  0.00","  0.00","  0.00","109.00","  0.00"," 17.00","  0.00","  7.00","  0.00","  0.00","  0.00","  0.00","  2.00","  7.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  9.00","  5.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00"," 78.00","  0.00","  1.00"," 16.00","  0.00","  3.00","  3.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  1.00","  1.00","  0.00","  1.00"
"105.25","  0.00","  0.00"," 43.00","  0.00","  0.00","  0.00"," 91.00","  0.00","  9.00","  1.00","  7.00","  0.00","  0.00","  0.00","  1.00","  2.00","  5.00","  0.00","  0.00","  0.00","  1.00","  5.00","  0.00"," 18.00","  2.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  1.00"," 89.00","  0.00","  0.00"," 14.00","  0.00","  1.00","  3.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  1.00"
"109.75","  0.00","  0.00"," 44.00","  0.00","  0.00","  0.00"," 82.00","  0.00","  7.00","  1.00","  6.00","  0.00","  0.00","  1.00","  0.00","  0.00","  3.00","  2.00","  0.00","  0.00","  1.00","  2.00","  0.00"," 13.00","  1.00","  0.00","  1.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","115.00","  0.00","  2.00"," 10.00","  0.00","  3.00","  4.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"119.25","  0.00","  0.00"," 58.00","  1.00","  0.00","  0.00"," 69.00","  0.00"," 10.00","  0.00"," 10.00","  0.00","  1.00","  1.00","  0.00","  0.00"," 15.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00"," 11.00","  1.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","108.00","  0.00","  1.00"," 13.00","  0.00","  3.00","  4.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"129.25","  0.00","  1.00"," 47.00","  0.00","  0.00","  1.00"," 59.00","  0.00"," 13.00","  0.00","  4.00","  0.00","  1.00","  0.00","  0.00","  1.00","  9.00","  0.00","  0.00","  2.00","  0.00","  3.00","  0.00","  9.00","  1.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","130.00","  0.00","  3.00","  9.00","  0.00","  4.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  1.00","  0.00","  0.00","  0.00","  0.00"
"139.25","  0.00","  0.00"," 53.00","  0.00","  0.00","  1.00"," 70.00","  0.00","  5.00","  0.00"," 11.00","  0.00","  0.00","  1.00","  0.00","  1.00","  8.00","  0.00","  0.00","  0.00","  1.00","  1.00","  0.00"," 11.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  2.00","110.00","  0.00","  0.00"," 13.00","  0.00","  3.00","  4.00","  0.00","  1.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"149.25","  0.00","  0.00"," 47.00","  0.00","  0.00","  0.00"," 91.00","  0.00","  5.00","  0.00","  5.00","  0.00","  0.00","  2.00","  0.00","  0.00","  6.00","  1.00","  0.00","  0.00","  2.00","  6.00","  0.00"," 10.00","  3.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  1.00","  0.00","  2.00"," 73.00","  1.00","  1.00"," 27.00","  0.00","  6.00","  2.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"159.25","  0.00","  0.00"," 55.00","  0.00","  0.00","  5.00"," 82.00","  0.00"," 15.00","  1.00"," 16.00","  0.00","  1.00","  0.00","  0.00","  1.00"," 10.00","  0.00","  0.00","  0.00","  0.00","  5.00","  0.00"," 12.00","  2.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  2.00"," 57.00","  3.00","  4.00"," 13.00","  0.00","  6.00","  9.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"169.25","  0.00","  0.00"," 56.00","  0.00","  0.00","  0.00"," 41.00","  0.00","  8.00","  0.00"," 12.00","  0.00","  2.00","  1.00","  1.00","  1.00"," 13.00","  0.00","  0.00","  0.00","  0.00","  4.00","  0.00"," 17.00","  2.00","  0.00","  0.00","  5.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00"," 93.00","  3.00","  2.00"," 25.00","  0.00","  5.00","  8.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  1.00","  0.00","  1.00","  0.00","  0.00"
"179.25","  0.00","  0.00"," 50.00","  0.00","  0.00","  0.00"," 39.00","  0.00"," 11.00","  1.00","  7.00","  0.00","  2.00","  0.00","  0.00","  0.00"," 25.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  8.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00"," 79.00","  3.00","  3.00"," 32.00","  0.00","  7.00"," 12.00","  1.00","  0.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00"
"189.25","  0.00","  0.00"," 31.00","  0.00","  0.00","  0.00"," 35.00","  0.00"," 12.00","  0.00"," 10.00","  0.00","  1.00","  0.00","  0.00","  0.00"," 16.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00"," 13.00","  2.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  6.00","111.00","  7.00","  6.00"," 25.00","  0.00","  6.00"," 14.00","  0.00","  0.00","  0.00","  2.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"199.25","  0.00","  1.00"," 35.00","  0.00","  0.00","  3.00"," 44.00","  0.00"," 14.00","  0.00"," 16.00","  0.00","  0.00","  1.00","  0.00","  1.00"," 10.00","  0.00","  0.00","  1.00","  1.00","  3.00","  0.00"," 13.00","  2.00","  0.00","  0.00","  1.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  4.00"," 94.00","  3.00","  3.00"," 34.00","  0.00","  4.00"," 11.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00"
"209.25","  0.00","  0.00"," 43.00","  0.00","  0.00","  0.00"," 55.00","  0.00","  5.00","  1.00","  3.00","  0.00","  0.00","  1.00","  1.00","  0.00","  1.00","  0.00","  0.00","  1.00","  0.00","  2.00","  0.00"," 13.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","159.00","  2.00","  4.00","  7.00","  0.00","  1.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"219.25","  0.00","  0.00"," 30.00","  0.00","  0.00","  0.00"," 58.00","  0.00","  4.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00"," 11.00","  1.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  2.00","175.00","  1.00","  0.00","  6.00","  0.00","  1.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00"
"229.25","  0.00","  0.00"," 22.00","  1.00","  0.00","  0.00","101.00","  0.00","  8.00","  0.00","  3.00","  0.00","  1.00","  1.00","  0.00","  0.00","  6.00","  1.00","  0.00","  1.00","  0.00","  3.00","  0.00","  9.00","  1.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","131.00","  0.00","  2.00","  4.00","  0.00","  2.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00"
"239.25","  0.00","  0.00"," 22.00","  1.00","  0.00","  0.00"," 96.00","  0.00"," 13.00","  0.00","  8.00","  0.00","  0.00","  1.00","  1.00","  0.00"," 20.00","  1.00","  1.00","  0.00","  1.00","  8.00","  0.00"," 19.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  2.00","  2.00","  0.00","  0.00"," 88.00","  2.00","  1.00","  7.00","  0.00","  4.00","  3.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  1.00","  1.00","  0.00","  0.00","  0.00","  0.00"
"248.75","  0.00","  0.00"," 22.00","  0.00","  0.00","  0.00"," 84.00","  0.00"," 13.00","  0.00"," 10.00","  1.00","  2.00","  1.00","  0.00","  2.00"," 17.00","  1.00","  0.00","  0.00","  0.00","  7.00","  0.00"," 10.00","  7.00","  0.00","  0.00","  5.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  1.00","  1.00","  0.00","  2.00"," 66.00","  3.00","  4.00"," 24.00","  0.00","  9.00","  5.00","  1.00","  0.00","  0.00","  4.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"258.75","  0.00","  0.00"," 37.00","  1.00","  0.00","  0.00"," 63.00","  0.00"," 27.00","  1.00"," 11.00","  0.00","  1.00","  0.00","  0.00","  1.00"," 23.00","  1.00","  0.00","  0.00","  1.00","  5.00","  0.00"," 11.00","  3.00","  0.00","  0.00","  8.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  6.00","  2.00","  0.00","  5.00"," 67.00","  3.00","  8.00"," 22.00","  0.00","  8.00","  4.00","  0.00","  0.00","  1.00","  1.00","  1.00","  0.00","  0.00","  1.00","  1.00","  0.00","  0.00","  0.00"
"269.25","  0.00","  0.00"," 30.00","  0.00","  0.00","  0.00"," 21.00","  1.00"," 26.00","  0.00","  9.00","  0.00","  0.00","  1.00","  1.00","  1.00"," 35.00","  2.00","  0.00","  0.00","  0.00","  5.00","  0.00"," 14.00","  6.00","  0.00","  0.00"," 11.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  5.00","  2.00","  0.00","  3.00","100.00","  3.00","  5.00"," 15.00","  0.00","  9.00","  9.00","  2.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00"
"279.25","  0.00","  0.00"," 23.00","  0.00","  0.00","  4.00"," 42.00","  0.00"," 13.00","  0.00","  9.00","  0.00","  1.00","  1.00","  0.00","  1.00"," 26.00","  0.00","  0.00","  0.00","  0.00","  9.00","  0.00"," 19.00","  0.00","  0.00","  0.00","  6.00","  0.00","  1.00","  1.00","  0.00","  0.00","  0.00","  5.00","  2.00","  0.00","  5.00"," 96.00","  3.00","  1.00"," 19.00","  0.00"," 10.00"," 11.00","  2.00","  0.00","  0.00","  2.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"289.25","  0.00","  0.00"," 19.00","  0.00","  0.00","  1.00"," 12.00","  1.00"," 16.00","  0.00","  9.00","  0.00","  1.00","  1.00","  0.00","  1.00"," 32.00","  1.00","  0.00","  0.00","  0.00"," 12.00","  0.00"," 14.00","  1.00","  0.00","  0.00"," 10.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  3.00","  0.00","  8.00","109.00","  7.00","  2.00"," 16.00","  0.00","  9.00"," 18.00","  3.00","  0.00","  0.00","  1.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"299.25","  0.00","  0.00"," 18.00","  0.00","  0.00","  0.00"," 20.00","  0.00","  9.00","  1.00"," 10.00","  0.00","  0.00","  1.00","  0.00","  2.00"," 27.00","  0.00","  0.00","  0.00","  0.00"," 10.00","  0.00"," 17.00","  1.00","  0.00","  0.00","  6.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  1.00","  0.00","  2.00","148.00","  3.00","  2.00"," 11.00","  0.00","  7.00"," 10.00","  2.00","  0.00","  0.00","  0.00","  1.00","  1.00","  0.00","  0.00","  0.00","  1.00","  0.00","  1.00"
"309.25","  0.00","  0.00"," 24.00","  0.00","  0.00","  0.00"," 24.00","  1.00"," 25.00","  0.00","  5.00","  1.00","  2.00","  2.00","  0.00","  0.00"," 17.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  9.00","  1.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  1.00","  0.00","  0.00","181.00","  2.00","  1.00"," 12.00","  0.00","  4.00","  5.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"319.25","  0.00","  0.00"," 41.00","  0.00","  0.00","  1.00"," 55.00","  1.00"," 16.00","  1.00"," 28.00","  1.00","  3.00","  0.00","  1.00","  0.00"," 21.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  4.00","  1.00","  1.00","  0.00"," 21.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  8.00","  3.00","  0.00","  1.00"," 79.00","  4.00","  8.00"," 17.00","  0.00","  5.00","  5.00","  1.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00"
"329.25","  0.00","  1.00"," 35.00","  1.00","  0.00","  2.00"," 35.00","  0.00"," 14.00","  0.00","  7.00","  0.00","  3.00","  1.00","  0.00","  2.00"," 36.00","  0.00","  0.00","  0.00","  1.00","  5.00","  0.00","  9.00","  2.00","  0.00","  0.00"," 20.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  4.00","  2.00","  0.00","  0.00","111.00","  1.00","  2.00"," 13.00","  0.00","  6.00","  4.00","  1.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  1.00","  0.00"
"339.25","  0.00","  0.00"," 32.00","  1.00","  0.00","  0.00"," 26.00","  0.00"," 12.00","  0.00","  8.00","  0.00","  2.00","  0.00","  0.00","  0.00"," 81.00","  2.00","  0.00","  1.00","  0.00","  6.00","  0.00"," 14.00","  2.00","  0.00","  0.00"," 18.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  4.00","  0.00","  0.00","  1.00"," 71.00","  2.00","  0.00"," 23.00","  0.00","  6.00","  3.00","  1.00","  1.00","  1.00","  3.00","  0.00","  3.00","  0.00","  0.00","  1.00","  1.00","  0.00","  0.00"
"348.25","  0.00","  0.00"," 30.00","  0.00","  0.00","  1.00"," 32.00","  0.00"," 24.00","  2.00","  7.00","  0.00","  1.00","  0.00","  1.00","  1.00"," 20.00","  4.00","  0.00","  0.00","  1.00","  9.00","  0.00"," 24.00","  0.00","  0.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  2.00","  0.00","  1.00","103.00","  2.00","  4.00"," 13.00","  0.00","  6.00","  6.00","  1.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00"
"359.25","  1.00","  0.00"," 30.00","  0.00","  0.00","  1.00"," 31.00","  0.00"," 16.00","  0.00","  5.00","  0.00","  2.00","  0.00","  0.00","  1.00"," 30.00","  0.00","  0.00","  2.00","  1.00"," 12.00","  0.00"," 23.00","  0.00","  0.00","  0.00","  6.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  1.00","  0.00","  2.00","104.00","  3.00","  1.00"," 16.00","  0.00"," 10.00","  6.00","  2.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"369.25","  0.00","  0.00"," 31.00","  0.00","  0.00","  0.00"," 98.00","  0.00"," 22.00","  0.00"," 17.00","  0.00","  1.00","  0.00","  0.00","  0.00"," 26.00","  0.00","  0.00","  0.00","  1.00","  5.00","  1.00"," 10.00","  2.00","  0.00","  0.00","  8.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  9.00","  1.00","  0.00","  3.00"," 53.00","  3.00","  3.00"," 14.00","  0.00","  9.00","  6.00","  2.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00"
"379.25","  0.00","  0.00"," 31.00","  0.00","  0.00","  0.00"," 81.00","  0.00"," 16.00","  0.00"," 14.00","  0.00","  1.00","  0.00","  1.00","  1.00"," 46.00","  2.00","  0.00","  2.00","  1.00","  6.00","  0.00"," 16.00","  1.00","  0.00","  0.00"," 14.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  3.00","  3.00","  0.00","  4.00"," 72.00","  6.00"," 18.00"," 24.00","  0.00","  8.00"," 13.00","  0.00","  0.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00","  1.00","  2.00","  0.00","  0.00"
"389.25","  0.00","  0.00"," 27.00","  0.00","  1.00","  0.00"," 19.00","  0.00"," 21.00","  6.00"," 11.00","  0.00","  3.00","  0.00","  1.00","  0.00"," 28.00","  2.00","  0.00","  2.00","  0.00","  7.00","  0.00"," 10.00","  2.00","  0.00","  0.00"," 18.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  5.00","  0.00","  8.00"," 73.00"," 12.00","  7.00"," 20.00","  0.00"," 12.00"," 16.00","  3.00","  0.00","  0.00","  2.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00"
"399.25","  0.00","  1.00"," 13.00","  0.00","  0.00","  1.00","  7.00","  1.00"," 21.00","  9.00"," 11.00","  0.00","  1.00","  0.00","  0.00","  1.00"," 32.00","  0.00","  1.00","  2.00","  0.00"," 12.00","  0.00"," 11.00","  2.00","  1.00","  0.00"," 13.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 10.00","  0.00"," 14.00"," 66.00"," 21.00","  6.00"," 20.00","  0.00"," 10.00","  2.00","  2.00","  0.00","  0.00","  2.00","  0.00","  5.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00"
