"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Buxus","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Erica t.","Fabaceae Undif.","Fagus","Fraxinus","Juglans","Lamiaceae undif.","Lythrum","Myriophyllum undif.","Nymphaea","Olea t.","Ostrya","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Potamogeton","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sarcopoterium","Scrophulariaceae undif.","Sparganium","Thalictrum","Tilia","Typha","Ulmus t.","Urtica t.","Vitis"
"3139","3369","2939","  80","   1","   0","   0","  19","   4","   2","   5","   1","   0","   0","   0","   5","   0","   0","   0","   0","   3","   2","  10","  16","   0","   1","   0","   0","   0","   0","   0","   1","   2","   5","   2","   0","  14","   0","   3","  38","   5","   0","   7"," 108","   0","   0","   0","   1","   0","   0","   1","   0","  13","   0","   0","   1","   2","   0","   0"
"3336","3580","3135","  85","   1","   0","   0","  10","   4","   1","   3","   0","   4","   0","   0","   6","   0","   1","   0","   0","   6","   3","  76","  13","   0","   8","   4","   0","   0","   0","   0","   4","   6","   1","   4","   0","  15","   2","   4","  26","   0","   0","  12"," 158","   0","   0","   0","   1","   0","   2","   1","   0","   2","   0","   0","   0","   5","   0","   0"
"3532","3800","3322","  90","   0","   0","   0","   3","   4","   2","   6","   1","   1","   1","   0","   0","   0","   0","   1","   1","   2","   0","  62","  13","   0","   0","   2","   0","   0","   0","   0","   3","   0","   0","   1","   0","  21","   1","   1","  16","   1","   0","   0"," 175","   0","   3","   0","   1","   0","   2","   1","   0","   0","   0","   0","   0","   3","   0","   0"
"3625","3835","3435","  95","   3","   0","   1","   3","   0","   2","   7","   1","   4","   0","   0","   4","   7","   1","   1","   0","   4","   3","  64","  13","   0","   5","   0","   0","   0","   0","   0","   1","   3","   6","   2","   0","  11","   0","   2","  32","   0","   0","  18"," 192","   0","   0","   0","   2","   0","   2","   2","   0","   0","   1","   0","   0","   3","   0","   1"
"3810","4001","3627"," 105","   2","   0","   1","   2","   4","   1","   2","   4","   1","   0","   0","   0","   0","   1","   1","   0","   3","   2","  62","  15","   0","   9","   1","   0","   0","   0","   0","   1","   3","   5","   2","   0","  26","   0","   5","  43","   0","   0","   4"," 188","   0","   0","   0","   3","   0","   0","   0","   0","   3","   0","   2","   0","   4","   0","   0"
"3902","4128","3704"," 110","   9","   0","   0","   6","   4","   0","   3","   1","   1","   0","   0","   7","   0","   0","   0","   0","   3","   1","  85","  17","   1","   5","   1","   0","   0","   0","   0","   0","   2","   2","   0","   1","  25","   2","   1","  25","   0","   0","   7"," 124","   0","   0","   1","   2","   4","   1","   0","   0","   1","   0","   2","   0","   2","   0","   0"
"4087","4418","3825"," 120","   2","   0","   0","   4","   2","   1","   2","   1","   0","   1","   0","   2","   0","   0","   0","   0","   9","   0","  16","  13","   0","   3","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  22","   0","   1","  12","   0","   0","  10"," 180","   0","   1","   0","   2","   3","   0","   0","   0","   1","   0","   5","   0","   2","   0","   0"
"4338","4579","4120"," 130","   9","   0","   0","   2","   4","   1","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   1","  73","  21","   0","  10","   5","   0","   0","   0","   0","   0","   2","   5","   0","   0","  26","   1","   0","  17","   3","   0","   8"," 141","   1","   1","   0","   0","   0","   1","   2","   0","   2","   0","   3","   0","   3","   0","   0"
"4713","5049","4399"," 145","   1","   0","   0","   4","   5","   2","   2","   4","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   1","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","  13","   0","   1","  24","   3","   0","   1"," 163","   0","   0","   0","   2","   0","   0","   0","   0","   0","   1","   2","   0","   2","   0","   0"
"5009","5278","4742"," 160","   3","   0","   0","   7","   5","   1","   5","   2","   1","   1","   0","   1","   0","   1","   0","   0","   6","   2","  13","  11","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","  43","   1","   0","   5"," 173","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   8","   1","   0"
"5207","5466","4942"," 170","   1","   0","   0","   5","   3","   0","   5","   2","   1","   1","   2","   7","   0","   0","   0","   0","  13","   1","   8","   9","   0","   0","   2","   0","   0","   1","   0","   0","   0","   1","   0","   2","  22","   0","   0","  20","   0","   0","   7"," 159","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   3","   0","   5","   0","   0"
"5404","5702","5129"," 180","   1","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   7","   1","   7","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","  35","   1","   1","  20","   0","   0","   0"," 165","   0","   0","   0","   0","   0","   0","   1","   1","   1","   0","   4","   0","   1","   0","   0"
"5602","5963","5281"," 190","   5","   0","   0","   3","   4","   0","   1","   0","   3","   0","   0","   5","   0","   0","   0","   0","   4","   1","   5","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","  36","   0","   0","  25","   1","   1","   7"," 177","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   5","   0","   5","   0","   0"
"5799","6232","5409"," 200","   1","   0","   0","   0","   2","   1","   2","   0","   0","   1","   0","   3","   0","   1","   0","   0","   0","   1","   1","   3","   0","   1","   0","   0","   0","   0","   0","   0","   3","   0","   0","   2","  26","   0","   0","   9","   1","   0","   0","  98","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   5","   0","   0"
