"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Brassicaceae","Carpinus","Caryophyllaceae undif.","Cedrus","Centaurea","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fabaceae Undif.","Fraxinus","Juglans","Lamiaceae undif.","Malva undif.","Olea t.","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Populus","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Solanaceae undif.","Typha","Ulmus t.","Valerianaceae undif."
"3381.86",NA,NA," 620.00","   2.00","   0.00","  67.00","   1.00","   3.00","   8.00","   0.00","   1.00","   1.00","   3.00","   1.00","   0.00","   1.00","   1.00","   8.00","   0.00","   0.00","   0.00","   4.00","   1.00","   0.00","   0.00","   0.00","  19.00","   8.00","  81.00","  52.00","   0.00","   6.00","  12.00","   4.00","  13.00","   2.00","   6.00","   0.00","   0.00","   0.00","   6.00","   0.00"
"3385.814",NA,NA," 625.000","   5.000","   0.000","  61.000","   2.000","   3.000","  20.000","   3.000","   0.000","   3.000","   6.000","   0.000","   2.000","   0.000","   4.000","  14.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","  11.000","   4.000","  66.000","  43.000","   2.000","   8.000","  11.000","   2.000","   6.000","   7.000","   2.000","   0.000","   0.000","   4.000","   5.000","   0.000"
"3389.767",NA,NA," 630.000","   5.000","   1.000","  35.000","   0.000","   8.000","  14.000","   0.000","   0.000","   4.000","   8.000","   0.000","   1.000","   1.000","  10.000","  15.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","  15.000","   0.000","  98.000","  47.000","   0.000","   4.000","  35.000","   2.000","   3.000","   2.000","   4.000","   0.000","   0.000","   3.000","   0.000","   1.000"
"3397.674",NA,NA," 640.000","   7.000","   0.000","  56.000","   0.000","   8.000","  14.000","   3.000","   2.000","   5.000","   4.000","   0.000","   0.000","   0.000","   0.000","  10.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   2.000","   0.000","  30.000","   0.000","  71.000","  52.000","   1.000","   9.000","  12.000","   2.000","  10.000","   6.000","   6.000","   1.000","   0.000","   9.000","   7.000","   0.000"
"3413.488",NA,NA," 660.000","   6.000","   0.000","  59.000","   0.000","   9.000","  33.000","   1.000","   1.000","   3.000","   7.000","   0.000","   1.000","   1.000","   7.000","   8.000","   0.000","   0.000","   0.000","   1.000","   4.000","   0.000","   1.000","   0.000","  11.000","   3.000","  64.000","  57.000","   0.000","   7.000","  16.000","   0.000","  15.000","   2.000","   2.000","   0.000","   0.000","   8.000","   2.000","   0.000"
"3421.395",NA,NA," 670.000","   3.000","   0.000","  63.000","   0.000","   9.000","  12.000","   0.000","   0.000","   1.000","   7.000","   0.000","   0.000","   0.000","   3.000","  12.000","   2.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","  12.000","   5.000","  84.000","  78.000","   0.000","   7.000","  17.000","   2.000","   6.000","   3.000","   6.000","   1.000","   1.000","   0.000","   5.000","   0.000"
"3437.209",NA,NA," 690.000","   6.000","   1.000","  46.000","   0.000","   5.000","  15.000","   4.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   1.000","  10.000","   1.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","  23.000","   4.000","  57.000","  73.000","   0.000","   5.000","  10.000","   1.000","   6.000","   7.000","   3.000","   1.000","   2.000","   3.000","   8.000","   2.000"
"3445.116",NA,NA," 700.000","   3.000","   1.000","  51.000","   0.000","   4.000","  15.000","   2.000","   1.000","   3.000","   5.000","   0.000","   1.000","   0.000","   4.000","  16.000","   0.000","   0.000","   0.000","   2.000","   1.000","   0.000","   0.000","   0.000","  28.000","   4.000","  76.000","  76.000","   0.000","   9.000","   8.000","   0.000","   8.000","   3.000","   4.000","   1.000","   1.000","   1.000","   6.000","   0.000"
"3453.023",NA,NA," 710.000","  13.000","   2.000","  58.000","   2.000","   9.000","  18.000","   0.000","   0.000","   1.000","   3.000","   0.000","   0.000","   0.000","   1.000","  15.000","   3.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","  35.000","   5.000","  59.000","  64.000","   0.000","   7.000","  22.000","   1.000","   1.000","   1.000","   3.000","   2.000","   1.000","   3.000","   8.000","   0.000"
"3460.93",NA,NA," 720.00","   7.00","   0.00","  23.00","   0.00","   0.00","  14.00","   2.00","   0.00","   2.00","  38.00","   4.00","   2.00","   0.00","   3.00","  16.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   5.00","  10.00","  62.00","  66.00","   0.00","  26.00","  28.00","   2.00","   1.00","   0.00","   2.00","   0.00","   0.00","   8.00","   3.00","   2.00"
"3468.837",NA,NA," 730.000","   7.000","   2.000","  51.000","   0.000","   6.000","  14.000","   1.000","   2.000","   0.000","   8.000","   1.000","   0.000","   0.000","   3.000","  18.000","   0.000","   1.000","   0.000","   3.000","   1.000","   0.000","   1.000","   0.000","  15.000","   1.000","  64.000","  69.000","   0.000","   4.000","  13.000","   0.000","   9.000","   1.000","   4.000","   0.000","   0.000","   4.000","   3.000","   0.000"
"3484.651",NA,NA," 750.000","   3.000","   0.000","  44.000","   2.000","  11.000","  23.000","   1.000","   0.000","   5.000","   1.000","   0.000","   0.000","   1.000","   8.000","  26.000","   0.000","   0.000","   1.000","   2.000","   0.000","   0.000","   1.000","   0.000","  34.000","   1.000","  90.000"," 101.000","   2.000","   4.000","  15.000","   5.000","  16.000","   6.000","  10.000","   0.000","   0.000","   4.000","   5.000","   1.000"
"3500.465",NA,NA," 770.000","   6.000","   1.000","  27.000","   0.000","   2.000","  10.000","   0.000","   0.000","   1.000","   8.000","   0.000","   0.000","   0.000","   4.000","  10.000","   0.000","   1.000","   1.000","   4.000","   0.000","   0.000","   0.000","   0.000","  24.000","   4.000","  72.000","  80.000","   0.000","   3.000","  16.000","   1.000","  17.000","   8.000","   2.000","   1.000","   0.000","   0.000","   4.000","   0.000"
"3508.372",NA,NA," 780.000","   2.000","   1.000","  19.000","   1.000","   3.000","  10.000","   1.000","   0.000","   3.000","   6.000","   1.000","   0.000","   0.000","   5.000","   9.000","   1.000","   5.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","  11.000","   1.000"," 101.000","  94.000","   0.000","  10.000","  11.000","   2.000","   6.000","   3.000","   6.000","   1.000","   0.000","   1.000","   4.000","   0.000"
"3540",NA,NA," 820","   3","   0","  34","   1","   4","   7","   4","   0","   0","   5","   0","   0","   0","   4","  16","   1","   0","   0","   0","   1","   0","   0","   0","  21","   1","  66","  96","   0","   4","   5","   2","   9","   1","   8","   0","   0","   2","   9","   0"
"3547.907",NA,NA," 830.000","   4.000","   2.000","  19.000","   0.000","   4.000","   7.000","   2.000","   2.000","   0.000","   8.000","   4.000","   0.000","   1.000","   4.000","  30.000","   0.000","   0.000","   0.000","   1.000","   5.000","   0.000","   0.000","   0.000","  17.000","   3.000","  37.000"," 131.000","   0.000","   4.000","   8.000","   3.000","  10.000","   2.000","   6.000","   0.000","   0.000","   0.000","   4.000","   0.000"
