"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Calluna","Campanulaceae","Cardueae undif.","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Echium t.","Erica t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Fungi","Genisteae","Gentianaceae undif.","Hypericum undif.","Ilex","Lamiaceae undif.","Linum t.","Lotus t.","Lycopodium for charcoal","Lycopodium tablets","Musci","Olea t.","Paronychieae","Persicaria t.","Petaloid monocot","Pinus undif.","Plantago","Poaceae","Poaceae (Cerealia-type)","Pollen concentration","Polygonum t.","Populus","Potentilla t.","Prunus t.","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Resedaceae undiff.","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Secale","Tilia","Trifolium t.","Ulmus t.","Unknown","Urtica t.","Valerianella","Viburnum","Viscum","charcoal"
"543",NA,NA," 88","0.6","0","0","0","1","1","2","1","1","3","0","1","0","0","0","0","0","0","2","3","0","4","0","29","0","0","0","0","4","0","32","1","0","4","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","2","30","0","360092.03","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"555",NA,NA," 92","0.6","0","0","1","0","0","3","2","0","2","0","0","0","0","1","0","0","1","1","0","0","1","1","19","0","3","0","0","2","2","36","0","0","4","1","0","0","0","0","0","0","96","0","0","0","0","0","1","0","0","22","0","293032.62","1","0","0","0","0","4","1","6","0","0","0","1","3","0","1","0","0","0","0","0","2","0","0","0","0","0"
"565",NA,NA," 96","0.7","0","1","0","0","0","9","8","0","4","0","1","0","0","1","0","0","0","2","0","1","7","0","16","0","3","0","0","5","1","35","0","0","11","1","0","0","0","0","0","0","61","0","0","1","0","0","0","613","0","31","0","399160.53","0","0","1","0","0","9","1","4","1","0","0","3","4","0","0","2","0","0","0","0","2","0","0","0","0","0"
"575",NA,NA,"100","0.8","0","0","0","0","0","7","6","0","5","0","1","0","0","1","0","0","0","3","4","0","6","3","20","0","1","1","0","1","0","24","2","0","5","4","0","0","0","0","0","0","57","0","0","1","0","0","2","331","0","36","2","306476.72","0","0","0","0","0","1","1","3","0","0","0","1","1","0","0","2","1","0","0","0","4","0","0","0","0","0"
"584",NA,NA,"104","0.7","0","0","0","0","0","4","1","0","4","0","2","0","0","0","0","0","1","1","5","0","10","1","11","0","2","0","0","0","0","32","0","0","1","1","0","0","0","0","0","1","85","0","0","0","0","0","1","0","1","21","0","284430.28","0","0","0","0","0","3","2","2","0","0","0","2","0","0","0","0","0","0","0","0","3","0","0","0","0","0"
"592",NA,NA,"108","0.6","0","0","0","1","0","12","7","0","5","0","1","0","0","0","0","0","0","1","1","0","5","0","8","0","1","0","0","1","0","34","1","0","12","0","0","0","0","0","0","1","81","0","1","0","0","0","0","411","0","28","0","330045.28","0","0","0","0","0","6","0","2","0","0","0","0","1","0","0","0","1","0","0","0","2","0","0","0","0","0"
"600",NA,NA,"112","0.7","0","0","0","0","0","3","2","1","13","2","0","0","0","1","0","0","0","4","2","1","4","3","20","0","0","0","0","2","1","33","3","1","6","2","0","0","0","0","0","0","72","0","0","0","0","0","0","430","1","23","0","305921.56","0","0","3","0","0","8","0","1","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"607",NA,NA,"116","0.8","0","0","0","0","0","1","1","0","8","1","2","0","0","1","0","0","0","1","0","2","7","0","16","0","1","0","0","0","0","30","3","1","3","0","0","0","0","0","0","0","49","0","0","0","0","0","0","408","0","37","0","281697.75","0","0","0","0","0","6","0","1","0","0","1","1","1","0","0","1","0","1","0","0","0","0","0","1","0","0"
"613",NA,NA,"119","0.6","0","0","0","1","0","4","2","0","12","1","0","0","0","1","0","0","0","1","1","0","4","0","5","0","5","0","0","0","0","43","1","0","3","0","0","0","0","0","0","1","86","0","0","0","0","0","0","355","1","19","0","227536.52","0","0","2","0","0","6","1","1","0","0","0","1","1","0","0","0","0","0","1","0","1","0","0","0","1","0"
"619",NA,NA,"122","0.7","1","0","0","0","0","2","4","0","7","0","0","0","0","0","0","0","1","2","1","2","4","2","11","0","2","0","0","6","0","37","1","0","3","0","0","0","0","0","0","0","62","0","0","0","0","0","0","349","1","20","0","222361.16","0","0","2","0","0","8","0","3","0","0","0","2","1","0","0","1","0","0","1","0","9","0","0","0","0","0"
"623",NA,NA,"124","0.6","0","0","1","0","2","3","2","0","17","0","4","0","0","0","0","0","0","5","2","1","8","1","13","0","4","0","0","1","0","42","0","1","5","0","0","0","0","1","0","0","94","0","0","0","1","0","0","333","0","32","0","238474.28","0","1","1","0","0","9","0","1","0","0","0","0","3","0","0","0","0","0","0","0","2","0","0","0","0","0"
"627",NA,NA,"126","0.6","0","0","0","0","0","8","4","0","20","0","3","0","0","0","0","0","1","2","0","1","8","2","13","0","2","0","0","2","0","31","0","0","4","1","0","0","0","0","0","0","59","0","1","1","0","0","0","350","1","28","0","341043.88","2","1","1","0","0","12","1","0","0","0","1","2","2","1","0","0","0","0","1","0","7","0","0","0","0","0"
"631",NA,NA,"128","0.6","0","0","0","0","1","3","1","0","10","0","1","0","0","0","0","0","0","0","3","0","15","0","7","0","0","0","0","5","0","33","1","0","8","1","0","0","0","1","0","0","63","0","0","0","0","0","1","348","1","22","0","297189.53","0","0","0","0","0","10","0","2","0","1","1","1","1","0","0","0","0","0","0","0","4","0","0","0","0","0"
"635",NA,NA,"130","0.7","0","0","0","0","1","4","2","0","12","0","4","0","0","0","0","0","1","2","2","0","12","2","4","0","5","0","0","0","0","14","0","0","6","0","0","0","0","0","0","0","49","0","0","0","0","0","0","259","1","24","0","493982.44","0","0","2","0","0","11","0","0","0","1","0","2","0","0","0","0","0","0","0","1","2","0","0","0","0","0"
"639",NA,NA,"132","0.9","0","0","1","0","1","3","0","0","12","0","0","0","0","0","0","0","0","3","4","2","17","4","14","0","3","0","0","2","0","29","1","0","4","2","0","0","1","0","0","0","35","0","0","0","0","0","0","277","1","32","0","199337.7","0","1","1","0","0","6","0","0","0","0","0","0","1","0","0","1","0","0","0","0","17","0","0","0","0","0"
"643",NA,NA,"134","1.0","0","0","0","0","1","6","1","0","14","0","2","0","0","0","0","0","0","4","0","2","16","1","12","0","3","0","0","2","0","51","0","0","3","0","0","0","0","0","0","0","63","0","0","0","0","0","1","0","1","31","0","118379.88","0","1","2","0","0","12","0","0","0","0","0","2","0","0","0","2","0","0","0","0","5","0","0","0","1","0"
