"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alnus","Amaranthaceae undif.","Anthemideae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Cannabaceae undif.","Cardueae undif.","Cedrus","Cercophora undiff.","Chaetomium undiff.","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cosentinia","Cupressaceae","Cyperaceae","Erica t.","Fabaceae Undif.","Fern","Fraxinus","Fungi","Fungi (type 55, HdV)","Genisteae","Glomus cf. G. fasciculatum","Hedera","Ilex","Juglans","Lamiaceae undif.","Lonicera","Lycium","Myrtus","Olea t.","Petaloid monocot","Phillyrea","Pinus mediterranea","Pinus pinaster","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Polypodiophyta (trilete)","Quercus deciduous","Quercus evergreen","Rhamnus","Rumex t.","Salix","Selaginella denticulata-type","Thymelaeaceae undif.","Ulmus t.","Urtica t.","Withania"
"5796",NA,NA," 106","   2","   8","  15","   5","  13","   4","  21","   0","   3","   1","   0","  11","   0","  23","  17","  89","   7","   2","   0","   0","   7","   5","   6","   2","   8","   0","  35","  17","   2","   9","   0","   0","   0","   3","   0","   0","   0","   8","   0","   9","  13","  16","   8","  15","  28","  13","   9","   2","   6","  11","   2","   8","   0","   0","   0","   4","   5","   0"
"5875",NA,NA," 110","   0","   4","   9","   0","   9","   0","   8","   0","   4","   0","   2","   6","   2","   2","   9","  21","   5","   2","   1","   0","   3","   3","   3","   0","  11","   0","  41","  11","   0","   9","   0","   0","   0","   4","   0","   0","   0","   3","   0","  11","   7","   6","   6","   9","  13","  10","   7","   5","   4","   6","   4","  10","   0","   0","   1","   0","   9","   0"
"6070",NA,NA," 120","   2","   5","   9","   2","   9","   4","   9","   3","   3","   1","   0","   6","   0","  16","  13","  13","   4","   3","   3","   0","   3","  11","   3","   1","   9","   2","  21","  13","   0","   9","   0","   0","   0","   5","   1","   0","   0","   3","   0","  13","   8","  11","   7","  11","  21","   9","   4","   5","  13","   7","   5","  11","   3","   0","   0","   2","   9","   0"
"6266",NA,NA," 130","   2","   3","  13","   3","  11","   5","  13","   0","   5","   1","   2","   6","   1","  17","  21","  21","   1","   0","   2","   0","   4","   5","   5","   0","   8","   2","  21","   4","   0","   0","   2","   0","   0","   4","   0","   0","   3","   5","   0","  21","   9","  13","   5","  11","  19","   0","   6","   7","   6","   2","   0","  10","   0","   0","   6","   0","  11","   0"
"6462",NA,NA," 140","   0","   2","  21","   5","  21","   0","  13","   3","   7","   0","   3","   6","   0","  28","  13","  42","  11","   2","   2","   0","   2","  13","  13","   2","   5","   1","  13","   7","   0","  11","   2","   0","   0","   3","   2","   2","   4","   3","   0","   9","   5","   5","   8","  10","  33","  13","   7","   0","   7","  11","   7","   3","   0","   0","   4","   2","   4","   0"
"6658",NA,NA," 150","   3","   0","   6","   6","  13","   3","   4","   0","   2","   2","   6","   6","   0","   3","  14","  23","   9","   2","   1","   0","   0","  21","   7","   0","   7","   0","  14","   9","   0","  13","   1","   0","   0","   3","   0","   0","   6","   3","   2","  15","  11","  17","  13","  10","  11","   2","   3","   9","   5","   5","   2","  15","   2","   0","   2","   2","  11","   0"
"6853",NA,NA," 160","   0","   5","   6","   2","   7","   3","  15","   0","   3","   0","   0","   6","   0","   3","   6","  56","   2","   0","   0","   0","   1","  19","   7","   0","  21","   0","  24","  13","   0","   5","   0","   0","   0","   3","   0","   0","   7","   5","   0","  17","   7","   4","  11","  10","  21","   5","   3","  11","   7","   6","   0","   5","   0","   0","   2","   0","   7","   0"
"7049",NA,NA," 170","   0","   0","   7","   2","   8","   0","   9","   0","   6","   0","   0","   7","   0","   6","  15","  22","   7","   0","   0","   0","   5","  23","   8","   0","   7","   0","  15","  21","   0","   6","   2","   0","   0","   2","   0","   0","   0","   6","   0","   8","   9","   5","   9","   9","  15","  11","   2","   3","   2","   5","   5","  12","   0","   0","   0","   0","   9","   0"
"7245",NA,NA," 180","   0","   9","   2","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   9","   0","  11","  35","   2","   0","  11","   3","   0","   0","   0","   1","   0","   0","   0","   0","   5","   0","   0","   4","   0","  19","  13","   4","  11","   0","   9","   0","   0","   0","  21","  15","   5","   2","   0","   0","   3","   2","   3","   0"
"7441",NA,NA," 190","   0","   9","   2","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   3","  11","   1","   0","   8","   0","  11","  23","   3","   0","  13","   3","   0","   5","   0","   1","   2","   0","   0","   0","   5","   0","   2","   3","   1","  23","  22","   6","   3","   2","   9","   0","   0","   5","  13","  21","   7","   2","   0","   0","   3","   7","   0","   0"
"7636",NA,NA," 200","   0","   8","   1","   2","   3","   0","   2","   0","   0","   2","   0","   0","   2","   0","   0","   2","   2","   0","   7","   0","  10","  23","   2","   0","   7","   2","   0","   3","   0","   3","   3","   2","   0","   0","   3","   1","   3","   3","   1","  15","  15","  13","   5","   2","  11","   0","   0","   6","   4","  13","   0","   3","   3","   0","   2","   3","   5","   0"
"7832",NA,NA," 210","   2","   7","   0","   2","   4","   0","   0","   2","   1","   0","   0","   0","   0","   0","   2","   2","   3","   0","   8","   0","   9","  43","   0","   0","   8","   5","   2","   0","   0","   0","   4","   0","   0","   0","   2","   0","   6","   4","   3","  23","  16","   2","   7","   1","  13","   0","   0","   9","  16","  24","   0","   0","   3","   0","   6","   2","   0","   0"
"8028",NA,NA," 220","   0","   6","   4","   0","   3","   0","   2","   2","   1","   1","   5","   0","   2","   0","   0","   9","   2","   0","   9","   0","   9","  27","   4","   0","   9","   6","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   9","   5","   0","  11","  17","   7","   8","   0","   4","   0","   0","   0","   8","  19","   0","   0","   2","   0","   7","   3","   1","   0"
"8224",NA,NA," 230","   0","   4","   3","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   5","   0","   0","   7","   0","   9","  36","   4","   0","   9","   3","   0","   0","   0","   0","   3","   0","   0","   0","   4","   0","   0","   2","   0","   8","   5","  13","  11","   1","   8","   0","   0","   9","  18","  33","   0","   0","   0","   0","   0","   5","   0","   0"
"8773",NA,NA," 240","   0","   6","   0","   0","   2","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","  13","  15","   2","   0","  11","   2","   0","   0","   0","   0","   3","   0","   0","   0","   4","   0","   0","   2","   0","   9","   7","  11","  11","   1","   3","   0","   0","   9","  19","  17","   0","   0","   2","   0","   0","   4","   0","   0"
"9473",NA,NA," 250","   0","   7","   0","   0","   2","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   7","   0","  14","  27","   2","   0","  21","   2","   0","   0","   0","   0","   4","   0","   0","   0","   4","   0","   0","   1","   0","   9","   9","   5","   9","   0","   6","   0","   0","   8","  12","  25","   0","   0","   2","   0","   0","   4","   0","   0"
"10174",NA,NA,"  260","    0","    7","    2","    0","    3","    0","    1","    3","    0","    0","    2","    1","    0","    0","    0","    3","    0","    0","   13","    0","    3","   15","    1","    3","    8","    5","    2","    0","    0","    0","    3","    0","    0","    0","    3","    0","    2","    1","    0","    1","    5","    0","    8","    2","    5","    0","    0","   11","   15","   31","    2","    0","    3","    0","    3","    5","    1","    0"
"10524",NA,NA,"  265","    0","    8","    2","    0","    0","    0","    2","    3","    1","    2","    0","    1","    0","    0","    0","    3","    2","    0","   14","    0","    3","   21","    1","    1","    9","    5","    2","    0","    1","    0","    3","    2","    0","    0","    4","    0","    3","    2","    0","    2","    3","    2","    9","    4","    6","    0","    1","   13","   21","   33","    2","    0","    2","    0","    2","    4","    0","    0"
"10874",NA,NA,"  270","    0","    8","    1","    0","    0","    0","    2","    2","    0","    0","    0","    2","    0","    0","    0","    2","    3","    1","    8","    0","    4","    8","    3","    0","   13","    3","    0","    0","    0","    0","    2","    0","    0","    0","    2","    0","    0","    0","    2","    1","    2","    0","    3","    1","    7","    0","    0","   12","   13","   44","    1","    0","    1","    0","    2","    3","    0","    0"
"11224",NA,NA,"  275","    0","   12","    0","    0","    2","    0","    0","    2","    0","    0","    0","    0","    0","    0","    1","    4","    0","    0","    9","    0","    3","   19","    1","    0","   22","    2","    0","    0","    0","    0","    1","    0","    0","    0","    3","    0","    0","    2","    2","    1","    2","    0","    3","    1","    2","    0","    0","    6","   14","   23","    0","    0","    0","    0","    0","    6","    0","    0"
"11575",NA,NA,"  280","    9","    2","    9","    0","   12","    0","    0","   11","    0","    0","    0","    0","    0","    0","    0","    5","    5","    0","    0","    0","    9","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    9","    7","    4","    0","   33","    0","    0","    0","    3","    8","    0","    0","    0","    0","    0","    0","    0","    0"
"12126",NA,NA,"  287","    2","    2","   13","    0","   13","    0","    0","    9","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    3","    0","    9","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","   13","    6","    0","    0","   21","    0","    0","    0","    4","    7","    2","    0","    0","    0","    0","    0","    0","    0"
"12677",NA,NA,"  294","   13","    3","   21","    0","   24","    0","    0","   13","    0","    0","    0","    1","    0","    0","    0","    3","    8","    0","    3","    0","   13","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0","   23","    4","    0","    0","   16","    0","    0","    0","    3","    6","    2","    2","    0","    0","    0","    0","    0","    0"
"13385",NA,NA,"  303","   15","    0","    5","    0","   15","    0","    0","   21","    0","    0","    0","    1","    2","    0","    0","    3","    5","    0","    0","    0","   13","    0","    6","    0","    3","    0","    0","    0","    0","    0","    0","   11","    0","    0","    0","    0","    3","    0","    0","    2","   44","   13","    3","    0","    7","    0","    0","    0","    5","    7","    0","    1","    0","    0","    2","    0","    0","    0"
"13936",NA,NA,"  310","    9","    4","   16","    3","   19","    0","    0","    6","    1","    0","    0","    0","    3","    0","    0","    0","    7","    0","    3","    0","   14","    4","    7","    0","    3","    1","    0","    0","    0","    0","    0","    9","    0","    0","    0","    0","    3","    5","    0","    6","   32","   21","    3","    0","   19","    0","    0","    0","    6","    8","    0","    0","    2","    0","    2","    0","    0","    0"
"14487",NA,NA,"  317","   13","    3","   12","    0","    8","    0","    2","    7","    0","    1","    0","    0","    0","    0","    0","    5","   10","    0","    2","    0","    5","    0","    8","    0","    2","    0","    0","    0","    0","    5","    0","   13","    0","    0","    0","    0","    1","    0","    0","    7","   21","    5","    0","    1","   15","    0","    0","    2","    3","    5","    0","    0","    2","    0","    3","    0","    0","    0"
"14802",NA,NA,"  321","   17","    2","    9","    0","   14","    0","    0","   13","    0","    0","    0","    0","    5","    0","    0","    2","   12","    0","    4","    0","    6","    7","    8","    0","    0","    1","    0","    0","    0","    2","    0","    6","    0","    0","    0","    0","    0","    0","    0","    3","   24","    9","    5","    2","   19","    0","    0","    2","    7","    5","    0","    0","    2","    0","    0","    0","    0","    0"
"15117",NA,NA,"  325","    5","    6","   19","    0","   16","    0","    0","   14","    0","    0","    0","    0","    6","    0","    0","    0","    4","    0","    3","    0","   17","    8","    8","    0","    0","    0","    0","    0","    0","    2","    0","    6","    0","    0","    2","    0","    0","    3","    2","    3","   11","    8","    4","    2","   27","    0","    0","    1","    3","    6","    0","    0","    6","    0","    0","    1","    2","    0"
"15432",NA,NA,"  329","    5","    7","   17","    0","    5","    0","    0","   15","    0","    0","    0","    0","    7","    0","    0","    0","    4","    0","    1","    0","    9","    0","    8","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    3","    2","    0","    5","    7","    0","    0","   15","    0","    0","    1","    8","    5","    0","    0","    7","    0","    0","    0","    0","    0"
"15826",NA,NA,"  334","    9","    0","    7","    0","   17","    0","    0","    9","    0","    0","    0","    0","    4","    0","    0","    0","    6","    0","    0","    0","    9","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    3","   16","    7","    3","    0","   18","    0","    0","    0","    7","    5","    0","    0","    0","    0","    0","    0","    0","    0"
"16141",NA,NA,"  338","    2","    1","   11","    3","   33","    0","    0","    2","    0","    1","    0","    0","    0","    0","    0","   11","   11","    0","    1","    0","    4","    1","    2","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    1","    4","    0","    0","    0","   24","    0","    0","    0","    2","    2","    0","    0","    2","    0","    0","    0","    0","    0"
"16377",NA,NA,"  341","    0","    0","   21","    0","   23","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    9","    9","    0","    1","    0","    5","    0","    2","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","    2","    0","    3","   56","    0","    0","    0","    0","    2","    0","    1","    2","    0","    0","    0","    0","    0"
"16602",NA,NA,"  344","    0","    3","   23","    0","   29","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    2","    8","    0","    2","    0","    3","    0","    2","    1","    0","    1","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    7","    0","    0","    0","   34","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0"
"16821",NA,NA,"  347","    0","    2","   13","    1","   44","    0","    1","    3","    0","    2","    0","    0","    0","    0","    0","    3","    7","    0","    0","    0","    6","    2","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    2","    0","    0","    0","   55","    0","    0","    0","    2","    0","    2","    0","    0","    0","    0","    0","    0","    0"
"17040",NA,NA,"  350","    3","    0","   14","    0","   34","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    1","   10","    0","    0","    3","    3","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    1","    0","    2","   44","    0","    0","    0","    3","    2","    3","    0","    3","    2","    0","    0","    0","    0"
"17186",NA,NA,"  352","    0","    0","   24","    0","   21","    0","    0","    2","    0","    2","    0","    0","    0","    0","    0","    1","    7","    0","    2","    5","    3","    0","    3","    0","    0","    2","    0","    0","    2","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    2","    0","    3","    0","    0","   46","    0","    0","    0","    0","    3","    3","    1","    3","    3","    0","    0","    0","    0"
"17405",NA,NA,"  355","    0","    1","   25","    2","   26","    0","    1","    2","    0","    2","    0","    0","    0","    0","    0","    0","   10","    0","    2","    3","    3","    0","    3","    0","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    0","    3","    0","    0","    0","    0","    3","    2","    0","    0","   37","    0","    0","    0","    0","    1","    0","    2","    0","    5","    0","    0","    0","    0"
"17601",NA,NA,"  358","    1","    1","   16","    0","   53","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    2","    4","    3","    3","    2","    1","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    5","    0","    0","    0","    1","    3","    0","    0","    0","   29","    0","    0","    0","    1","    0","    0","    0","    0","    5","    0","    0","    0","    0"
"17750",NA,NA,"  361","    0","    2","    9","    0","   24","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    8","    0","    2","    3","    4","    0","    4","    0","    0","    1","    0","    0","    0","    0","    0","    3","    0","    0","    0","    6","    0","    0","    2","    1","    4","    0","    0","    0","   36","    0","    0","    0","    2","    2","    0","    2","    2","    3","    0","    1","    0","    0"
"17898",NA,NA,"  364","    0","    3","   12","    2","   28","    0","    3","    3","    0","    0","    0","    0","    0","    0","    0","    2","    9","    0","    1","    2","    5","    3","    0","    0","    4","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    2","    0","    0","    1","    0","    2","   67","    0","    0","    0","    0","    3","    0","    2","    0","    3","    0","    0","    0","    0"
"18047",NA,NA,"  367","    1","    1","   22","    0","   33","    0","    3","    2","    0","    1","    0","    0","    1","    0","    0","    2","    4","    0","    1","    0","    3","    3","    2","    1","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    2","    1","    0","    0","   36","    0","    0","    5","    2","    4","    0","    2","    1","    0","    0","    0","    0","    0"
"18245",NA,NA,"  371","    0","    0","   34","    2","   43","    0","    0","    2","    0","    3","    0","    0","    2","    0","    0","    3","    0","    0","    0","    0","    3","    0","    3","    0","    0","    1","    0","    0","    0","    0","    2","    1","    0","    0","    0","    0","    0","    0","    2","    0","    1","    3","    0","    0","   49","    0","    0","    0","    1","    1","    0","    0","    2","    0","    0","    1","    0","    0"
"18443",NA,NA,"  375","    2","    0","   23","    2","   45","    0","    3","    0","    0","    3","    0","    0","    2","    0","    0","    3","    4","    0","    2","    0","    3","    2","    4","    0","    1","    2","    0","    0","    0","    0","    2","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    2","   56","    0","    0","    0","    3","    0","    0","    2","    0","    0","    0","    1","    0","    0"
"20785",NA,NA,"  382","    3","    2","   19","    3","   28","    0","    0","    2","    0","    1","    0","    0","    2","    0","    0","    4","    5","    0","    3","    0","    3","    2","    2","    2","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    2","    0","    0","   77","    0","    0","    0","    0","    0","    0","    2","    2","    0","    0","    1","    0","    0"
"23942",NA,NA,"  389","    4","    2","   32","    3","   33","    1","    0","    3","    0","    1","    0","    0","    0","    0","    0","    1","   11","    0","    0","    0","    2","    0","    2","    0","    0","    2","    0","    0","    0","    0","    0","    2","    0","    0","    1","    0","    0","    0","    0","    0","    3","    3","    0","    0","   45","    0","    0","    0","    3","    2","    0","    0","    2","    0","    0","    0","    0","    0"
"23969",NA,NA,"  396","    1","    1","   13","    1","   17","    0","    2","    1","    0","    0","    0","    0","    0","    0","    0","    1","    9","    0","    0","    0","    3","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    2","    3","    0","    2","   37","    0","    0","    0","    3","    2","    0","    3","    2","    0","    0","    1","    0","    0"
"23996",NA,NA,"  403","    0","    1","   13","    1","   36","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    2","    9","    0","    2","    0","    4","    0","    1","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","   67","    0","    0","    0","    1","    1","    0","    0","    1","    0","    0","    0","    0","    0"
"24024",NA,NA,"  410","    0","    2","   22","    1","   44","    0","    0","    2","    0","    3","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    6","    0","    2","    0","    2","    1","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    2","    0","    0","    0","   73","    0","    0","    0","    0","    2","    0","    0","    2","    0","    0","    0","    0","    1"
"24349",NA,NA,"  414","    0","    1","   11","    0","   53","    0","    0","    1","    1","    2","    0","    0","    0","    0","    0","    0","   10","    0","    0","    0","    7","    1","    1","    0","    0","    0","    0","    0","    0","    1","    1","    2","    0","    2","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","   65","    0","    0","    1","    1","    2","    0","    0","    2","    2","    2","    1","    0","    2"
"24693",NA,NA,"  418","    0","    0","   24","    0","   29","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    7","    0","    0","    0","    2","    2","    1","    0","    1","    1","    0","    0","    0","    0","    1","    1","    0","    3","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","   49","    0","    0","    0","    2","    1","    0","    0","    1","    2","    1","    0","    0","    2"
"25044",NA,NA,"  422","    0","    2","   13","    0","   38","    0","    0","    2","    0","    2","    0","    0","    2","    0","    0","    0","    2","    0","    0","    0","    3","    1","    2","    0","    2","    0","    0","    0","    0","    0","    0","    1","    0","    1","    1","    0","    0","    0","    2","    0","    1","    0","    0","    0","   83","    0","    0","    1","    0","    0","    0","    0","    1","    0","    1","    1","    0","    0"
"25394",NA,NA,"  426","    1","    1","   15","    0","   47","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    4","    0","    3","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   56","    0","    0","    1","    0","    2","    0","    0","    2","    0","    1","    0","    0","    0"
"25745",NA,NA,"  430","    0","    0","   16","    0","   65","    0","    0","    3","    0","    2","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    5","    0","    2","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","   95","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0"
"26008",NA,NA,"  433","    0","    0","   11","    0","   44","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    9","    5","    0","    0","    0","    4","    1","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    1","    0","    3","    8","    1","    3","    0","   56","    0","    0","    0","    2","   12","    0","    0","    0","    0","    3","    0","    0","    0"
"26298",NA,NA,"  434","    0","    1","   12","    0","   39","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   11","    2","    0","    0","    0","    3","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    1","    0","    5","    7","    0","    3","    0","   45","    0","    0","    0","    1","    9","    0","    0","    0","    0","    3","    0","    0","    0"
"26880",NA,NA,"  436","    0","    0","    9","    0","   66","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","   23","    4","    0","    1","    0","    5","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    4","    8","    2","    5","    0","   67","    0","    0","    0","    0","   11","    3","    0","    0","    0","    2","    0","    0","    0"
"27170",NA,NA,"  437","    0","    2","    8","    0","   54","    0","    0","    1","    0","    0","    0","    5","    0","    0","    0","   13","    4","    0","    1","    0","    6","    0","    4","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    2","    0","    4","    7","    3","    3","    0","   78","    0","    0","    0","    1","    0","    2","    0","    0","    0","    0","    0","    0","    0"
"27752",NA,NA,"  439","    0","    0","   13","    0","   34","    0","    2","    2","    0","    0","    0","    0","    2","    0","    0","   24","    3","    0","    2","    0","    5","    2","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    7","    0","    0","    0","    3","    0","    5","    6","    0","    3","    0","   54","    0","    0","    0","    2","    3","    1","    0","    0","    0","    4","    0","    0","    3"
