"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Apium t.","Artemisia","Asteroideae undif.","Berberis t.","Betula","Brachysporium obovatum/B. bloxami/Bactrodesmium betulicola (type 359, HdV)","Brassicaceae","Buxus","Campanulaceae","Caryophyllaceae undif.","Centaurea","Ceratophyllum","Cichorieae","Cistaceae","Closterium idiosporum-type","Collembola","Copepoda (type 179, HdV)","Corylus","Cupressaceae","Cyperaceae","Dictyosporiaceae","Dipsacaceae","Ephedra","Erica t.","Euastrum ansatum (type 984, HdV)","Euastrum bidentatum (type 985, HdV)","Euphorbia t.","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Fraxinus","Fungi","Genisteae","Hydrocotyle","Invertebrata (type 219, HdV)","IsoÃ«tes","Juglans","Lamiaceae undif.","Lotus t.","Lycopodium spike","Lycopodium tablets","Lythrum","Musci","Myriophyllum spicatum/verticillatum t.","Myrtus","Nerium","Nuphar","Olea t.","Onagraceae","Ononis t.","Oribatida","Petaloid monocot","Phillyrea","Pinus","Pinus undif.","Pistacia","Plantago","Pluricellaesporites","Poaceae","Pollen concentration","Polygonum t.","Potamogeton","Prunus t.","Pseudoschizaea","Pteridophyta (monolete)","Puccinia","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rhizopoda","Rosa t.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Solanaceae undif.","Sparganium","Spermatophyta undiff. (aquatics)","Spirogyra (psilate)","TetraÃ«dron cf. T. minimum","Thalictrum","Thymelaeaceae undif.","Trichuris","Typha","Ulmus t.","Unknown (type 119, HdV)","Unknown (type 128, HdV)","Unknown (type 181, HdV)","Unknown (type 222, HdV)","Unknown (type 224, HdV)","Unknown (type 304, HdV)","Unknown (type 988, HdV)","Viola","Vitis","charcoal"
"6791.4",NA,NA,"430","1.7","0","54","1","0","0","0","0","3","1","0","3","1","0","0","0","0","0","0","0","1","2","1","2","0","2","12","6","0","0","0","0","0","0","2","0","0","6","113","0","0","0","0","0","0","0","194","0","0","0","0","0","0","1","0","0","0","1","1","0","78","76","4","0","11","26","12701.72","1","4","0","0","0","0","7","16","0","0","0","0","0","0","0","0","0","0","1","6","11","5","0","0","0","0","0","11","2","1","0","1","9","0","0","0","45647.06"
"7247.5",NA,NA,"445","1.4","0","20","0","0","0","0","0","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","3","2","3","6","0","0","0","1","0","0","0","0","0","0","3","34","0","0","0","0","0","0","0","113","0","0","0","2","0","0","0","0","0","0","3","1","0","70","67","3","2","4","13","20929.76","2","4","0","0","0","0","6","12","0","0","0","0","0","0","0","0","0","0","0","6","2","2","0","0","0","0","0","3","2","13","0","0","7","0","0","0","56500"
"7486.9",NA,NA,"453","1.4","0","24","0","0","2","0","0","3","0","0","0","0","0","0","0","0","0","0","0","1","2","0","10","0","4","6","0","0","2","1","0","0","0","0","0","0","0","40","0","0","0","0","0","0","0","72","0","0","0","0","0","0","0","1","0","0","0","0","0","92","88","0","0","6","17","36331.98","0","0","0","0","0","0","5","15","1","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","6","5","7","0","0","8","0","0","0","56571.43"
"7572.2",NA,NA,"456","1.6","0","24","0","0","2","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","6","0","5","7","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","139","0","0","0","0","0","0","0","0","0","0","0","0","0","102","97","2","0","0","18","16467.01","0","0","0","0","0","0","6","3","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","7","10","14","0","1","14","0","0","0","121625"
"7680.9",NA,NA,"460","1.6","0","18","0","0","1","0","0","5","1","0","1","0","0","0","0","0","0","0","0","0","2","0","8","1","9","5","0","0","2","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","143","0","0","0","0","0","0","0","1","0","0","0","0","0","96","87","2","1","0","25","15677.5","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","5","5","12","0","0","32","0","0","0","241312.5"
"7782.9",NA,NA,"464","1.2","0","27","1","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","10","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","155","0","0","0","0","0","0","0","0","0","0","0","0","0","100","90","1","1","0","31","20229.03","0","1","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","10","25","11","0","1","29","0","0","0","374583.3"
"7964.8",NA,NA,"471","1.2","0","9","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","11","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","167","0","0","0","1","0","0","0","0","0","0","0","0","0","121","110","0","0","0","13","19776.81","0","2","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","0","0","20","34","12","0","0","45","0","0","0","264416.7"
"8149.8",NA,NA,"478","1.6","0","10","0","0","1","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0","3","0","0","0","2","4","0","0","1","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","178","0","0","0","0","0","0","0","2","0","0","0","0","0","122","120","0","0","0","29","15237.12","0","7","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","26","12","16","0","0","28","0","0","0","200250"
"8306.8",NA,NA,"484","1.4","0","11","1","0","3","0","1","12","0","0","0","0","0","0","0","0","0","2","0","2","5","0","0","1","7","0","0","0","1","1","0","0","0","1","0","0","0","4","0","0","0","0","0","1","0","190","0","0","1","1","0","0","0","1","0","0","0","0","2","108","101","1","0","0","10","14805.22","0","3","0","0","1","0","0","3","0","1","0","0","0","0","0","0","0","0","2","5","1","0","0","0","0","0","0","27","29","3","0","0","12","0","0","0","176428.6"
"8466.0",NA,NA,"490","1.5","0","12","0","0","0","0","1","12","0","0","1","0","0","0","0","0","0","2","0","1","2","0","0","0","6","0","0","0","0","1","0","0","0","0","0","0","0","6","0","0","0","0","0","1","0","210","0","0","1","1","0","0","0","1","0","0","0","0","2","85","79","1","0","0","18","10591.02","0","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","5","2","1","0","0","0","1","0","29","21","4","0","0","14","0","0","0","294000"
"8621.6",NA,NA,"496","1.7","0","11","0","0","1","0","0","10","0","0","0","0","0","0","0","0","0","3","0","2","1","0","0","0","10","2","0","0","3","1","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","199","0","0","2","0","0","0","0","0","0","0","0","0","1","96","86","0","1","0","21","10825.49","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","20","54","6","0","0","10","0","0","0","304352.9"
"8751.6",NA,NA,"501","1.9","0","9","1","0","2","0","0","7","0","0","1","0","0","0","0","0","0","0","0","0","10","0","0","0","8","0","0","0","2","2","0","0","0","5","0","0","0","6","0","0","0","0","0","0","0","213","0","0","0","1","0","0","0","0","0","0","0","0","1","121","113","0","2","0","22","10970.76","0","8","0","0","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","10","0","1","0","1","0","0","0","27","41","2","0","0","19","0","0","0","123315.8"
"8934.9",NA,NA,"508","2.1","0","4","0","0","5","0","0","6","1","0","1","0","0","0","0","0","0","0","0","0","7","0","0","0","7","0","0","0","1","1","0","0","0","0","1","0","0","2","0","2","0","0","0","0","0","158","0","0","0","1","0","0","0","1","0","0","0","0","0","125","118","0","3","0","4","12549.56","0","11","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","19","39","6","0","0","14","0","0","0","240761.9"
"9013.4",NA,NA,"511","2.3","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","1","1","9","0","0","1","10","0","0","0","5","3","0","0","0","0","0","0","0","0","0","4","0","1","0","0","0","218","0","0","0","2","0","0","0","2","0","0","0","0","0","109","99","3","0","0","12","8454.719","1","13","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","15","43","0","0","0","12","0","0","0","142173.9"
"9117.4",NA,NA,"515","2.4","0","8","0","0","3","0","0","4","0","0","0","0","0","0","0","0","0","1","0","2","1","0","0","0","12","0","0","0","2","1","0","0","0","0","0","0","0","0","0","3","0","0","0","1","0","200","0","0","0","1","0","0","1","1","0","0","0","0","0","116","104","0","0","0","11","8361.333","1","10","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","32","67","1","0","0","11","0","0","0","125000"
"9221.1",NA,NA,"519","2.4","0","7","0","0","4","0","0","2","0","0","1","0","0","0","0","0","0","1","0","1","2","0","0","0","8","2","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","189","0","0","1","2","0","0","1","3","0","0","0","0","0","129","121","0","0","0","10","9345.67","0","7","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","1","12","0","0","0","0","0","0","0","38","58","1","0","0","15","0","0","0","126000"
"9299.3",NA,NA,"522","2.3","0","6","0","0","6","0","0","10","0","0","2","0","0","0","0","0","0","2","1","1","4","0","0","0","8","0","0","0","5","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","177","0","0","0","1","0","0","2","0","0","0","0","0","0","101","93","0","2","0","9","9242.446","0","7","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","1","0","0","0","41","32","0","0","0","16","0","0","0","76956.52"
"9404.1",NA,NA,"526","2.5","0","12","0","0","3","0","0","1","0","0","2","0","0","0","0","0","0","0","0","1","1","0","0","0","9","0","0","0","2","0","0","0","0","0","0","0","0","4","0","1","0","1","0","0","0","157","0","0","0","2","0","0","0","0","0","0","0","0","1","94","85","1","3","0","12","8435.893","0","5","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","35","24","0","0","0","20","0","0","0","144440"
"9485.1",NA,NA,"529","2.8","0","3","0","0","2","0","0","5","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","7","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","222","0","0","0","0","0","0","0","0","0","0","0","0","0","75","68","0","0","0","18","4559.994","1","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","23","42","0","0","0","3","0","0","0","134785.7"
"9616.6",NA,NA,"534","3.0","0","2","0","0","3","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","2","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","209","0","0","0","0","0","0","0","0","0","0","0","0","1","70","66","0","0","0","15","4160.664","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","21","23","0","0","0","2","0","0","0","104500"
