"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Abutilon t.","Acacia t.","Aerva type","Amaranthaceae undif.","Ambrosia t.","Apiaceae undif.","Artemisia","Asteraceae","Balanites","Blepharis","Boscia","Brassicaceae","Capparis","Caylusea","Celtis","Centaurea","Chascanum","Chrozophora","Cichorieae","Cleome","Combretaceae","Commiphora","Convolvulaceae","Cyperaceae","Ephedra","Erica t.","Grewioideae","Hypoestes t.","Indeterminable","Indigofera","Jacquemontia t.","Justicia t.","Maerua","Nyctaginaceae","Oldenlandia","Olea t.","Poaceae","Rumex t.","Salvadora","Scrophulariaceae undif.","Tamarix","Tribulus","Trichodesma","Typha","Vitis"
"8799.013"," 290.250","   0.000","   5.000","   0.000"," 415.000","   0.000","   0.000","   7.000","   8.000","   0.000","   6.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   3.000","  22.000","   0.000","1177.000","   2.000","   0.000","   6.000","   0.000","   7.000","   0.000","   0.000","   0.000","   9.000","   1.000","   0.000","   0.000","2328.000","   0.000","   1.000","   0.000","  11.000","   0.000","   0.000","  21.000","   0.000"
"8841.43"," 295.50","   0.00","   1.00","   0.00"," 562.00","   0.00","   0.00","   5.00","   6.00","   0.00","   8.00","   0.00","  17.00","   8.00","   0.00","   0.00","   2.00","   1.00","   0.00","   0.00","   0.00","   0.00","  12.00","   0.00"," 521.00","   0.00","   0.00","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","  23.00","   2.00","   0.00","   0.00"," 718.00","   0.00","   4.00","   0.00","   7.00","   0.00","   0.00","  13.00","   0.00"
"8874.13"," 300.50","   1.00","   3.00","   0.00"," 388.00","   0.00","   0.00","   2.00","  10.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   4.00","   1.00","   0.00"," 476.00","   9.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","  21.00","   4.00","   0.00","   0.00"," 829.00","   0.00","   4.00","   0.00","  15.00","   0.00","   0.00","   0.00","   0.00"
"8913.37"," 306.50","   0.00","   0.00","   0.00"," 800.00","   0.00","   0.00","   2.00","   3.00","   0.00","   0.00","   0.00","   4.00","   9.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","  11.00","   0.00"," 569.00","   3.00","   0.00","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","  14.00","   0.00","   0.00","   0.00"," 993.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  37.00","   0.00"
"8936.26"," 310.00","   0.00","   0.00","   0.00"," 362.00","   1.00","   0.00","   3.00","   8.00","   0.00","   0.00","   0.00","  12.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   8.00","   0.00","1092.00","   1.00","   0.00","   0.00","   0.00","  14.00","   1.00","   0.00","   0.00","  13.00","   1.00","   0.00","   0.00","1410.00","   0.00","   8.00","   0.00","   0.00","   0.00","   0.00","  19.00","   0.00"
"8965.69"," 314.50","   0.00","   5.00","   0.00"," 356.00","   1.00","   0.00","   1.00","   8.00","   0.00","  22.00","   0.00","  17.00","   2.00","   0.00","   0.00","   1.00","   0.00","   1.00","   7.00","   4.00","   0.00","  12.00","   1.00"," 169.00","   5.00","   0.00","   0.00","   1.00","   5.00","   6.00","   0.00","   0.00","   8.00","  18.00","   0.00","   0.00"," 767.00","   0.00","   0.00","   0.00","   0.00","   3.00","   3.00","   0.00","   0.00"
"8988.58"," 318.00","   0.00","   9.00","   0.00"," 565.00","   1.00","   0.00","   8.00","  10.00","   0.00","   6.00","   1.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   7.00","   6.00","  13.00","  16.00","   0.00"," 249.00","  14.00","   0.00","   1.00","   0.00","  14.00","   2.00","   0.00","   1.00","  26.00","  13.00","   0.00","   2.00","2097.00","   0.00","  11.00","   0.00","  13.00","   3.00","   0.00","   8.00","   0.00"
"9029.455"," 324.250","   0.000","   0.000","   0.000"," 334.000","   1.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","  17.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","  13.000","   0.000","  13.000","  13.000","   0.000","1072.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  17.000","   3.000","   0.000","   0.000","1794.000","   0.000","   0.000","   0.000","   3.000","   1.000","   0.000","  12.000","   0.000"
"9063.79"," 329.50","   0.00","   0.00","   0.00"," 165.00","   0.00","   2.00","  10.00","   0.00","   0.00","   3.00","   0.00","  15.00","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","   0.00","  10.00","   0.00","   4.00","   0.00"," 463.00","   2.00","   0.00","   1.00","   0.00","  12.00","   0.00","   0.00","   0.00","  12.00","   0.00","   0.00","   0.00"," 497.00","   1.00","   7.00","   1.00","   3.00","   0.00","   0.00","  15.00","   0.00"
"9125.92"," 339.00","   0.00","   2.00","   0.00"," 231.00","   1.00","   0.00","   4.00","   4.00","   0.00","   5.00","   0.00","  12.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   2.00","   9.00","   0.00","   3.00","   0.00"," 685.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   7.00"," 691.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"10001.12","  349.00","    0.00","    0.00","    0.00","  115.00","    0.00","    0.00","    2.00","    5.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    8.00","    0.00","    0.00","    0.00","  546.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","  531.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    5.00","    0.00"
"10701.59","  355.50","    0.00","    0.00","    0.00","   74.00","    0.00","    0.00","    4.00","    0.00","    0.00","    0.00","    0.00","    9.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  441.00","    1.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","  532.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   19.00","    0.00"
"10978.2","  359.0","    0.0","    0.0","    0.0","  114.0","    2.0","    0.0","    5.0","    5.0","    1.0","    1.0","    0.0","   15.0","    5.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    5.0","    0.0","    0.0","    0.0","  395.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    7.0","    0.0","    2.0","    0.0","  333.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   28.0","    0.0"
"11021.4","  365.0","    0.0","    0.0","    0.0","   98.0","    0.0","    0.0","    3.0","    1.0","    0.0","    0.0","    0.0","    4.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    3.0","    0.0","    0.0","    0.0","  408.0","    2.0","    0.0","    0.0","    0.0","   18.0","    2.0","    0.0","    0.0","    9.0","    0.0","    0.0","    3.0","  263.0","    0.0","    3.0","    0.0","    0.0","    0.0","    0.0","   18.0","    0.0"
