"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Algae","Algae? (type 128A, HdV)","Algae? (type 128B, HdV)","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asplenium fontanum-type","Asteroideae undif.","Betulaceae undif.","Brassicaceae","Cannabaceae undif.","Caprifoliaceae undif.","Cardueae undif.","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Ceratophyllum","Cichorieae","Convolvulaceae","Cornus","Cupressaceae","Cyperaceae","Cystopteris fragilis-type","Dipsacaceae","Echinops","Ephedra","Erica t.","Erodium","Fraxinus","Galium t.","Gelasinospora-type","Indeterminable","Indeterminable (crumpled)","Juglans","Lamiaceae undif.","Lemnaceae","Lycopodium spike","Lythrum","Malva undif.","Myriophyllum undif.","Nymphaea","Olea t.","Onagraceae","Pediastrum clathratum-type","Pediastrum simplex-type","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Poaceae (Cerealia-type, broken)","Poaceae (Cerealia-type, corroded)","Poaceae (Cerealia-type, crumpled)","Polygonum t.","Potamogeton","Protist","Pseudopediastrum boryanum-type","Quercus evergreen","Quercus subgen. Cerris","Quercus undif.","Ranunculaceae undif.","Salix","Sanguisorba t.","Sparganium","Spirogyra (type 132, HdV)","Thelypteris phegopteris-type","Typha","Ulmus t.","Unknown","Unknown (type 130)","Unknown (type 165)","Unknown (type 207)","Unknown (type 610)","Urtica t.","Valerianella","Vitis"
"1553.333",NA,NA," 103.500","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   9.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   2.000","  14.000","   0.000","  36.000","   2.000","   1.000","   0.000","   0.000","  19.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   1.000","   1.000","   0.000","   0.000"," 139.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000"," 236.000","   1.000","   1.000","   0.000","  17.000","   4.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   3.000","   7.000","   0.000","   1.000","   0.000","   0.000","   1.000","   1.000","   1.000","   0.000","   0.000","   1.000","   0.000","   2.000","   1.000","  30.000","   4.000","   0.000","   0.000","   2.000"
"1718.333",NA,NA," 112.500","   0.000","  80.000","   0.000","   0.000","   0.000","   4.000","   1.000","   0.000","  14.000","   0.000","   1.000","   0.000","   1.000","   2.000","   0.000","   0.000","   0.000","   6.000","   1.000","   3.000","   0.000","   6.000","   0.000","   0.000","   1.000","  46.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   1.000","   9.000","   9.000","   4.000","   0.000","   0.000"," 290.000","   0.000","   0.000","   0.000","   0.000","   4.000","   1.000","  93.000","  37.000"," 221.000","   1.000","   4.000","   0.000","  51.000","   7.000","   1.000","   0.000","   3.000","   0.000","   0.000","   0.000","  91.000","  19.000","   4.000","  13.000","   3.000","   0.000","   3.000","   6.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","  42.000","   2.000","   0.000","   0.000"
"1865.0",NA,NA," 120.5","   0.0","  34.0","   0.0","   0.0","   0.0","   0.0","   6.0","   1.0","   6.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   5.0","   5.0","  31.0","   6.0","   0.0","   1.0","   0.0","  25.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   9.0","   0.0","   0.0"," 156.0","   0.0","   0.0","   0.0","   0.0","   9.0","   0.0","   1.0","   0.0"," 206.0","   0.0","   0.0","   0.0","  24.0","  11.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   6.0","   8.0","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","  49.0","   7.0","   1.0","   0.0","   0.0"
"1975.0",NA,NA," 126.5","   0.0","  50.0","   0.0","   0.0","   0.0","   5.0","   3.0","   1.0","  15.0","   0.0","   5.0","   0.0","   0.0","   1.0","   0.0","   5.0","   2.0","   0.0","   7.0","  10.0","  15.0","   8.0","   1.0","   0.0","   1.0","  61.0","   1.0","   1.0","   0.0","   0.0","   1.0","   2.0","   0.0","   0.0","   0.0","  12.0","   4.0","  12.0","   0.0","   0.0"," 114.0","   0.0","   0.0","   2.0","   7.0","  11.0","   0.0","   4.0","   0.0"," 385.0","   1.0","   2.0","   0.0","  38.0","  11.0","   5.0","   0.0","   2.0","   0.0","   0.0","   0.0","   2.0","  23.0","   0.0","   3.0","   0.0","   0.0","   3.0","   4.0","   0.0","   5.0","   0.0","   1.0","   2.0","   2.0","   4.0","  88.0","   3.0","   0.0","   0.0","   0.0"
"2158.333",NA,NA," 136.500","   0.000","  16.000","   0.000","   0.000","   0.000","   2.000","   4.000","   0.000","  10.000","   0.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   2.000","   7.000","   3.000","  11.000","   1.000","   1.000","   0.000","   0.000","  19.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   1.000","   8.000","   0.000","   0.000","  65.000","   0.000","   0.000","   0.000","   1.000","   8.000","   0.000","  10.000","   0.000"," 221.000","   0.000","   2.000","   0.000","  12.000","   4.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","  17.000","   0.000","   1.000","   1.000","   0.000","   2.000","   5.000","   2.000","   2.000","   0.000","   0.000","   0.000","   1.000","   1.000","  18.000","   4.000","   0.000","   0.000","   0.000"
"2305.0",NA,NA," 144.5","   0.0"," 726.0","   0.0","   0.0","   0.0","  13.0","   0.0","   1.0","  28.0","   0.0","   1.0","   0.0","   0.0","   3.0","   0.0","   0.0","   1.0","   2.0","   2.0","   4.0","   0.0","   6.0","   0.0","   0.0","   7.0","  49.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  15.0","  10.0","   7.0","   1.0","   1.0"," 200.0","   1.0","   0.0","   3.0","   9.0","  21.0","   0.0","  40.0","   4.0"," 156.0","   0.0","   2.0","   0.0","  61.0","   3.0","   2.0","   0.0","   0.0","   0.0","   1.0","   0.0","  41.0","  33.0","   8.0","   6.0","   0.0","   1.0","   0.0","   6.0","   0.0","   5.0","   0.0","   1.0","  14.0","   0.0","   0.0","   0.0","  31.0","   2.0","   0.0","   0.0"
"2451.667",NA,NA," 152.500","   1.000","  60.000","   0.000","   2.000","   0.000","   3.000","   1.000","   0.000","   9.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   7.000","   2.000","  11.000","   4.000","   1.000","   0.000","   0.000","  44.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   4.000","   4.000","   0.000","   0.000","  86.000","   0.000","   0.000","   0.000","   3.000","  12.000","   0.000","   7.000","   1.000"," 212.000","   1.000","   1.000","   0.000","  33.000","   5.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   6.000","  22.000","   1.000","   1.000","   4.000","   0.000","   2.000","   6.000","   0.000","   2.000","   0.000","   0.000","   6.000","   0.000","   0.000","  26.000","   6.000","   0.000","   0.000","   0.000"
"2598.333",NA,NA," 160.500","   0.000","  34.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   8.000","   0.000","   2.000","   0.000","   1.000","   0.000","   0.000","   2.000","   0.000","   3.000","   5.000","   2.000","   7.000","   3.000","   0.000","   0.000","   0.000","  45.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   8.000","   0.000","   5.000","   0.000","   0.000","  94.000","   0.000","   0.000","   0.000","   4.000","   3.000","   0.000","   6.000","   0.000"," 129.000","   3.000","   3.000","   0.000","  32.000","   1.000","   2.000","   0.000","   0.000","   0.000","   1.000","   2.000","   0.000","   5.000","   5.000","   0.000","   1.000","   0.000","   4.000","   5.000","   1.000","   3.000","   1.000","   0.000","   0.000","   2.000","  10.000","  13.000","   3.000","   0.000","   0.000","   0.000"
"2654.877",NA,NA," 168.500","   0.000","  94.000","   0.000","   1.000","   0.000","   5.000","   3.000","   3.000","   9.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   8.000","   2.000","   6.000","   2.000","   0.000","   0.000","   1.000","  25.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   1.000","   5.000","   0.000","   0.000","  61.000","   0.000","   0.000","   2.000","   1.000","  12.000","   0.000","  10.000","   0.000"," 198.000","   2.000","   5.000","   0.000","  45.000","   6.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","  19.000","   3.000","   2.000","   1.000","   0.000","   4.000","   2.000","   0.000","   2.000","   3.000","   1.000","   0.000","   1.000","   0.000","  15.000","   0.000","   0.000","   0.000","   0.000"
"2681.38",NA,NA," 176.50","   0.00"," 974.00","   0.00","   0.00","   0.00","   4.00","   1.00","   0.00","  18.00","   0.00","   7.00","   0.00","   0.00","   2.00","   0.00","   0.00","   1.00","   0.00","   3.00","   5.00","   0.00","   4.00","   2.00","   0.00","   2.00","  56.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   1.00","   7.00","   2.00","   5.00","   1.00","   0.00"," 152.00","   0.00","   0.00","   1.00","   1.00","  21.00","   0.00","  92.00","   5.00"," 110.00","   1.00","   3.00","   0.00"," 114.00","   7.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   9.00","  18.00","   7.00","  14.00","   3.00","   0.00","   4.00","   1.00","   0.00","   2.00","   1.00","   0.00","   2.00","   0.00","   0.00","   0.00","  32.00","   2.00","   0.00","   0.00"
"2707.884",NA,NA," 184.500","   0.000"," 127.000","   0.000","   0.000","   0.000","   2.000","   2.000","   0.000","   7.000","   0.000","   1.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   4.000","   8.000","   2.000","  10.000","   1.000","   0.000","   0.000","   1.000","  43.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   4.000","   0.000","   3.000","   0.000","   0.000","  41.000","   0.000","   0.000","   1.000","   1.000","   9.000","   0.000","  28.000","   1.000"," 205.000","   3.000","   3.000","   1.000","  46.000","   2.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","  16.000","   0.000","   3.000","   3.000","   0.000","   3.000","   2.000","   0.000","   2.000","   1.000","   0.000","   0.000","   1.000","   0.000","  26.000","  15.000","   0.000","   0.000","   0.000"
"2734.386",NA,NA," 192.500","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   2.000","   2.000","   5.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   3.000","   4.000","   8.000","   1.000","   1.000","   0.000","   0.000","  34.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   2.000","   0.000","   0.000"," 259.000","   0.000","   0.000","   1.000","   2.000","   4.000","   0.000","   8.000","   2.000"," 177.000","   7.000","   6.000","   0.000","  92.000","   8.000","   1.000","   1.000","   2.000","   0.000","   0.000","   0.000","  12.000","  21.000","  13.000","   5.000","   1.000","   0.000","   2.000","   1.000","   0.000","   3.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","  28.000","   1.000","   0.000","   0.000"
"2760.89",NA,NA," 200.50","   0.00","   2.00","   0.00","   0.00","   0.00","   2.00","   6.00","   1.00","  30.00","   0.00","  12.00","   2.00","   0.00","   0.00","   0.00","   0.00","   1.00","   3.00","   3.00","   4.00","   3.00","   9.00","   0.00","   0.00","   1.00","  11.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","  10.00","   3.00","   1.00","   0.00","   0.00"," 146.00","   0.00","   0.00","   1.00","   0.00","  21.00","   0.00","   0.00","   0.00"," 142.00","   2.00","   2.00","   0.00","  50.00","   3.00","   4.00","   0.00","   1.00","   0.00","   1.00","   0.00","   2.00","  15.00","   3.00","   1.00","   1.00","   0.00","   3.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00","  51.00","   4.00","   0.00","   0.00","   0.00"
"2794.018",NA,NA," 210.500","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   6.000","   2.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   4.000","   2.000","   7.000","   1.000","   0.000","   0.000","   0.000","  34.000","   3.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   1.000","   0.000","   0.000"," 418.000","   0.000","   0.000","   2.000","   0.000","   1.000","   0.000","   9.000","   8.000"," 212.000","   2.000","   2.000","   1.000","  40.000","   6.000","   1.000","   0.000","   1.000","   0.000","   3.000","   0.000","  24.000","  13.000","   1.000","   0.000","   0.000","   0.000","   3.000","   1.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   1.000","  35.000","  12.000","   0.000","   0.000","   0.000"
"2820.521",NA,NA," 218.500","   0.000","   1.000","   0.000","   0.000","   0.000","   2.000","   4.000","   2.000","   5.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   5.000","   4.000","   0.000","   0.000","   0.000","   1.000","  15.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   2.000","   0.000","   0.000","  72.000","   0.000","   0.000","   2.000","   0.000","  10.000","   0.000","   1.000","   1.000"," 207.000","   0.000","   0.000","   0.000","  38.000","   6.000","   3.000","   0.000","   0.000","   0.000","   1.000","   0.000","   8.000","  20.000","   2.000","   0.000","   0.000","   0.000","   1.000","   1.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","  18.000","   2.000","   0.000","   0.000","   0.000"
"2847.025",NA,NA," 226.500","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   1.000","   5.000","   0.000","   0.000","   0.000","   0.000","  18.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 123.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","  12.000","  99.000","   0.000","   0.000","   0.000","  24.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","  29.000","   2.000","   1.000","   1.000","   1.000","   0.000","   2.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000"
"2860.276",NA,NA," 230.500","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   6.000","   0.000","   4.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   3.000","   4.000","   6.000","   6.000","   1.000","   0.000","   0.000","  13.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   3.000","   1.000","   0.000","   0.000","   0.000","  71.000","   0.000","   0.000","   1.000","   0.000","   6.000","   0.000","   4.000","   1.000"," 217.000","   1.000","   0.000","   0.000","  69.000","   4.000","   1.000","   1.000","   0.000","   0.000","   4.000","   0.000","  19.000","  10.000","   2.000","   1.000","   1.000","   0.000","   2.000","   3.000","   0.000","   0.000","   1.000","   0.000","   2.000","   0.000","   1.000","   3.000","   8.000","   0.000","   0.000","   0.000"
"2873.528",NA,NA," 234.500","   0.000","   1.000","   0.000","   0.000","   0.000","   3.000","   2.000","   0.000","   6.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   9.000","   2.000","   3.000","   0.000","   0.000","   0.000","   0.000","  13.000","   4.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   2.000","   0.000","   1.000","   3.000","   1.000","   0.000","   0.000","  62.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000"," 226.000","   0.000","   3.000","   0.000","  40.000","   5.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   5.000","  15.000","   8.000","   3.000","   1.000","   0.000","   2.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   9.000","   8.000","   0.000","   0.000","   0.000"
"2886.779",NA,NA," 238.500","   0.000","   2.000","   1.000","   2.000","   0.000","   3.000","   0.000","   0.000","   5.000","   0.000","   3.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   3.000","   2.000","   8.000","   4.000","   1.000","   0.000","   1.000","  18.000","  12.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  10.000","   2.000","   0.000","   0.000","   0.000","  85.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000"," 242.000","   4.000","   1.000","   3.000","  44.000","   6.000","   4.000","   0.000","   0.000","   0.000","   2.000","   0.000","   4.000","   3.000","   1.000","   2.000","   0.000","   0.000","   2.000","   0.000","   1.000","   0.000","   6.000","   0.000","   2.000","   1.000","   0.000","  30.000","   8.000","   0.000","   0.000","   0.000"
