"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Caryophyllaceae undif.","Cedrus","Centaurea","Chamaerops","Cichorieae","Cistaceae","Coriaria","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fraxinus","Fumaria","Geraniaceae undif.","Hypecoum","Juglans","Lamiaceae undif.","Malva undif.","Mercurialis","Monoletes","Myriophyllum undif.","Olea t.","Papaver t.","Persicaria t.","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygala","Potamogeton","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rumex t.","Ruppia","Salix","Sambucus","Sanguisorba t.","Solanaceae undif.","Sparganium","Tamarix","Thymelaeaceae undif.","Tilia","Triletes","Typha","Ulmus t.","Urtica t.","Viburnum","Vitis"
"9574",NA,NA," 275","   0","   0","   2","  39","   5","  19","   0","   4","   1","   0","   0","   0","   0","   0","   0","   1","   3","   0","   1","   5","  15","  10","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   1","   0","  10","   0","   0"," 136","   7","   7","   0","  65","   0","   0","   0","  39","  99","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   9","   1","   0"
"9595",NA,NA," 280","   0","   0","   1","  48","   8","  13","   0","   2","   2","   0","   3","   0","   0","   0","   0","   0","   1","   6","   0","  10","  15","  14","   0","   0","   3","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  67","  14","   2","   0","  85","   1","   0","   0","  38"," 170","   0","   0","   0","   2","   3","   0","   0","   0","   2","   4","   1","   0","   0","   1","   0","   0","   8","   0","   0"
"9611",NA,NA," 284","   0","   0","   1","  71","   3","  27","   0","   6","   2","   0","   0","   1","   0","   0","   0","   1","   3","   9","   0","  11","  16","   7","   0","   0","   5","   1","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0"," 140","  10","   6","   2"," 157","   3","   0","   0"," 146"," 202","   0","   1","   1","   6","   0","   0","   1","   2","   1","   3","   2","   0","   0","   1","   0","   3","   7","   0","   2"
"9635",NA,NA," 290","   0","   0","   0","  34","   4","  11","   0","   3","   1","   0","   0","   0","   0","   0","   0","   1","   2","   1","   0","   2","   8","   9","   0","   0","   3","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","  53","   9","   2","   0","  71","   0","   0","   0","  64"," 100","   0","   0","   0","   1","   1","   0","   0","   1","   0","   1","   1","   0","   0","   1","   0","   0","   3","   0","   0"
"9643",NA,NA," 292","   0","   0","   0","  76","   7","  42","   0","   8","   2","   0","   6","   0","   0","   0","   1","   2","   5","   4","   0","   8","  21","  21","   0","   0","   6","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   7","   0","   0"," 151","  18","   7","   1"," 114","   0","   0","   0","  63"," 171","   0","   1","   1","   0","   0","   0","   0","   0","   0","   5","   3","   1","   0","   0","   0","   2","   5","   0","   3"
"9651",NA,NA," 294","   0","   0","   1","  97","   5","  36","   0","   6","   1","   0","   1","   0","   0","   0","   0","   0","   3","   6","   0","   6","  18","   8","   0","   0","  10","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","  10","   0","   0","  65","  25","   6","   0"," 133","   0","   0","   0","  48"," 120","   0","   0","   0","   3","   1","   0","   0","   1","   2","   0","   1","   0","   0","   2","   0","   1","   5","   1","   6"
"9663",NA,NA," 297","   0","   0","   2","  51","   4","  19","   0","   3","   5","   0","   3","   0","   0","   0","   0","   0","   5","   6","   0","  12","  13","  13","   1","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","  63","  11","   3","   0","  79","   0","   0","   0","  57"," 117","   0","   0","   0","   5","   1","   0","   0","   3","   0","   2","   2","   0","   0","   0","   0","   1","   5","   0","   1"
"9676",NA,NA," 300","   0","   0","   0","  51","   5","  28","   0","   4","   2","   0","   1","   0","   0","   0","   1","   3","   6","   2","   0","  17","  16","  10","   1","   0","  11","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","  69","   9","   3","   0","  62","   0","   0","   0","  56","  97","   0","   0","   0","   1","   0","   0","   0","   0","   0","   3","   2","   0","   0","   0","   0","   1","   8","   0","   4"
"9684",NA,NA," 302","   0","   0","   0","  53","   0","  26","   0","   5","   3","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","   4","  10","   2","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   3","   0","   0","  57","  10","   3","   0","  36","   0","   0","   0","  51","  80","   0","   0","   0","   0","   2","   0","   0","   1","   0","   3","   0","   0","   0","   0","   0","   0","   2","   0","   3"
"9692",NA,NA," 304","   0","   0","   1","  45","   3","  21","   0","   6","   2","   0","   0","   0","   0","   0","   0","   1","   2","   5","   0","   7","  13","   4","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  86","   8","   2","   0","  47","   0","   0","   0","  41","  64","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   1","   2","   0","   1"
