"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acanthus","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Apium t.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Butomus","Campanulaceae","Cardueae undif.","Carya","Caryophyllaceae undif.","Centaurea","Ceratonia","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Datisca cannabina","Dipsacaceae","Ephedra","Erica t.","Eucalyptus","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Geraniaceae undif.","Hedera","Hymenophyllum flabellatum","Hypericum undif.","IsoÃ«tes","Lamiaceae undif.","Linum t.","Loranthus","Lysimachia","Lythrum","Malva undif.","Mercurialis","Myriophyllum spicatum/verticillatum t.","Olea t.","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Pterocarya","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Solanaceae undif.","Sparganium","Thalictrum","Tilia","Trifolium t.","Ulmus t.","Unknown","Valeriana t.","Vitis"
" 8222"," 8395"," 8058","2290","0","0","0","0","2","0","0","64","0","0","1","40","21","0","0","3","0","0","0","0","5","9","0","48","0","0","0","0","0","0","4","0","2","0","2","0","0","4","0","0","48","0","3","0","0","0","0","2","16","0","250","0","0","0","0","0","0","3","0","0","0","6","1","12","3","11","0","19","1","0","0","0","20","129","4","0","0","0","0","0","0","1","1","0","0","0","0","1","66","0","0"
" 8348"," 8520"," 8184","2325","0","0","0","2","2","0","0","97","0","0","1","30","25","0","0","1","0","0","9","0","3","17","0","93","1","0","0","1","0","0","8","0","1","1","0","0","0","6","0","0","91","0","0","0","0","0","0","1","18","0","248","0","0","0","1","0","0","4","0","0","0","11","0","24","2","20","1","69","6","0","0","0","6","59","6","1","1","0","0","0","3","0","0","0","0","0","0","0","124","0","1"
" 8438"," 8611"," 8275","2350","0","0","0","0","0","0","0","106","2","0","1","49","11","0","0","0","0","0","1","0","1","13","0","41","0","0","0","0","0","0","4","0","8","1","0","0","0","0","0","0","52","0","4","1","0","0","4","0","18","0","175","0","0","0","0","0","0","0","0","0","0","0","0","27","0","3","0","15","0","0","0","0","4","48","2","2","0","0","0","1","0","2","0","0","0","0","0","0","80","0","0"
" 8510"," 8683"," 8347","2370","0","0","0","0","0","0","0","43","0","0","0","19","10","0","0","0","0","0","1","0","5","10","0","25","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","58","0","3","0","0","0","0","2","14","0","36","0","0","0","0","0","0","12","0","0","0","1","0","8","0","5","0","43","0","0","0","0","12","114","4","2","0","0","0","0","0","0","0","0","0","0","1","0","68","0","4"
" 8689"," 8865"," 8527","2420","0","0","0","1","1","3","0","53","0","0","3","16","17","1","0","1","0","0","8","0","2","23","0","59","0","0","0","1","0","1","11","0","5","0","1","0","0","4","0","0","79","0","0","1","0","0","0","23","0","0","92","0","0","0","0","0","0","6","0","0","0","2","0","14","6","10","4","46","3","0","0","239","52","0","8","1","0","1","0","0","1","0","0","0","0","0","0","0","224","0","14"
" 8905"," 9083"," 8741","2480","0","0","0","0","0","0","0","8","0","0","0","11","4","0","0","0","0","0","2","0","0","5","0","13","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","9","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","19","1","0","0","1","0","8","0","1","0","22","5","0","0","0","8","23","0","0","0","0","0","0","0","0","0","5","0","0","0","0","14","0","0"
" 9048"," 9230"," 8883","2520","0","0","0","0","5","0","0","12","0","0","1","5","5","1","1","2","0","0","0","0","0","2","0","3","0","0","0","0","0","0","4","2","0","0","0","0","0","3","0","0","36","6","0","0","0","0","0","3","5","0","3","2","0","0","0","0","0","4","0","0","0","0","1","110","1","0","0","141","1","0","0","0","22","99","0","0","1","0","0","0","1","0","0","96","0","0","0","0","40","0","5"
" 9246"," 9432"," 9077","2575","0","0","0","0","4","0","0","7","0","0","1","14","4","0","0","0","0","0","1","0","1","5","0","5","1","0","1","0","0","0","177","0","3","0","0","0","1","1","0","0","48","0","0","0","0","1","0","3","15","0","7","0","0","0","0","1","0","1","1","0","6","3","0","77","1","0","0","28","5","0","0","0","17","45","5","0","0","0","0","0","1","0","0","4","0","0","0","0","0","0","2"
" 9316"," 9503"," 9144","2595","0","0","0","0","1","0","0","21","0","0","1","6","5","0","0","0","0","0","0","0","0","4","0","5","0","0","0","0","0","0","19","0","1","1","0","0","0","1","0","0","5","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","7","0","5","0","0","16","3","1","0","77","2","2","0","48","15","0","1","1","0","1","0","0","1","0","0","2","0","0","1","1","0","0","2"
"10160","10374"," 9957","2830","0","0","0","0","2","0","0","49","0","0","0","34","19","0","0","0","0","0","4","0","5","69","0","30","5","0","0","2","0","0","3","0","9","2","1","0","1","3","0","0","98","0","0","0","0","0","0","1","0","0","81","0","0","0","0","0","0","0","0","0","0","2","0","17","0","2","0","19","0","0","0","211","130","0","4","0","0","0","0","4","0","0","0","3","1","0","2","0","0","2","7"
"10214","10429","10008","2845","0","0","0","0","1","0","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","4","0","2","0","1","0","0","1","0","0","3","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","65","0","0","0","3","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","0","0"
"10268","10484","10059","2860","0","0","0","0","5","0","0","10","0","1","2","21","4","0","0","1","0","0","14","0","0","5","0","3","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","46","0","4","0","0","0","0","1","0","0","10","0","0","0","0","0","0","0","0","0","1","1","0","54","0","2","0","7","0","0","0","56","17","0","0","0","0","0","0","0","0","0","0","1","1","0","6","1","0","0","2"
"10339","10559","10128","2880","0","0","1","0","8","0","0","26","0","0","2","22","6","0","0","4","0","1","3","0","2","3","0","1","0","0","0","0","0","0","22","0","0","1","0","0","0","4","0","0","35","0","0","0","0","0","0","0","0","1","31","0","0","0","0","0","0","0","0","0","0","5","0","78","0","0","1","21","1","0","0","39","20","0","3","0","0","0","0","0","0","0","0","2","0","1","2","1","0","0","2"
"10393","10615","10180","2895","0","0","0","0","0","0","5","2","0","0","1","0","9","0","0","0","0","0","4","0","3","0","0","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","9","0","4","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"10483","10708","10265","2920","0","0","0","0","0","0","1","2","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10555","10783","10334","2940","0","0","0","1","2","0","0","9","0","0","0","13","13","0","1","0","0","0","3","0","3","0","0","11","0","0","0","0","0","0","5","0","0","3","0","0","0","5","0","0","67","2","0","0","0","0","0","0","19","0","14","1","0","0","0","0","0","0","2","0","0","0","0","37","1","1","0","20","3","0","0","0","11","40","0","1","0","0","0","0","0","0","0","0","0","1","0","1","18","0","3"
"11004","11249","10761","3065","0","0","0","0","0","0","5","1","0","0","0","0","10","0","0","0","0","0","3","0","0","0","0","2","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","25","0","4","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","19","0","11","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"11058","11304","10812","3080","0","0","0","0","0","0","0","1","0","0","0","0","5","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0"
"11112","11360","10863","3095","0","0","0","0","2","0","0","2","0","0","0","0","2","1","0","0","0","0","2","0","0","2","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0"
"11201","11454","10949","3120","0","0","0","1","3","1","0","14","0","0","6","7","22","0","0","0","0","0","4","0","0","1","0","11","0","0","1","2","0","0","20","0","2","0","0","0","0","1","0","0","28","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","1","0","0","0","0","98","0","4","0","12","2","0","0","8","0","0","1","0","0","0","0","0","0","0","0","5","1","0","0","0","0","0","0"
"11273","11529","11017","3140","0","0","0","0","2","0","0","2","0","0","0","3","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","45","0","0","0","4","0","0","0","6","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"11327","11585","11068","3155","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","6","0","1","1","0","2","0","0","0","0","0","0","5","0","1","0","0","0","0","1","0","0","12","0","2","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","10","0","0"
"11435","11698","11171","3185","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"11543","11810","11273","3215","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11597","11866","11324","3230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11686","11960","11409","3255","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11758","12035","11478","3275","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11812","12091","11528","3290","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"11902","12185","11614","3315","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12099","12392","11801","3370","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"12171","12466","11868","3390","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0"
"12261","12560","11953","3415","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12351","12654","12039","3440","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0"
"12423","12729","12106","3460","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0"
"12530","12843","12209","3490","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0"
"12602","12918","12277","3510","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
