"age_NA","ageolder_BP","ageyounger_BP","depth","Sample quantity","Alchemilla t.","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Calluna","Campanulaceae","Cardueae undif.","Carum verticillatum","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Conopodium majus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Fabaceae Undif.","Fern","Frangula","Fraxinus","Galium t.","Genisteae","Gentiana t.","Halimium/Tuberaria","Hedera","Hypericum undif.","Ilex","Linum t.","Lotus t.","Lycopodium spike","Lycopodium tablets","Lysimachia","Menyanthes","Mercurialis","Musci","Olea t.","Paronychieae","Pedicularis","Pentaglottis sempervirens","Petaloid monocot","Phillyrea","Physospermum cornubiense","Pinus nigra/sylvestris t.","Pinus pinaster","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Reseda/Sesamoides","Rosa t.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Sparganium","Spergularia t.","Thymelaeaceae undif.","Trifolium t.","Ulmus t.","Urtica t.","Viola","Vitis"
NA,NA,NA,"100","0.282","0","17","0","1","6","0","0","0","1","23","1","77","0","1","0","1","0","0","0","0","6","0","2","0","2","1","0","0","56","0","25","0","1","2","4","40","0","0","0","0","0","0","151","0","0","0","0","0","0","0","5","0","33","3","0","7","30","5","1","334","2","0","0","212","133","4","5","0","0","30","0","1","0","0","1","1","0","0","0","0","1","0"
NA,NA,NA," 60","0.282","0","9","1","2","13","0","2","0","0","11","0","5","4","0","0","4","0","0","1","0","6","1","10","1","110","0","0","0","62","0","14","0","0","6","11","9","0","0","0","0","0","0","114","0","0","0","0","0","0","3","1","0","5","1","0","1","15","45","3","368","1","0","0","4","98","4","2","0","0","12","0","0","0","0","0","3","0","0","0","0","1","0"
NA,NA,NA,"120","0.282","0","14","0","0","16","0","2","0","0","46","1","54","4","1","0","0","0","1","0","0","12","0","2","0","2","0","0","0","9","0","13","0","0","3","6","23","0","0","0","0","0","0","68","0","1","0","0","1","0","4","4","0","25","1","2","10","20","3","0","399","1","0","0","19","88","5","42","0","1","27","1","0","0","3","0","4","0","0","0","0","0","1"
NA,NA,NA,"115","0.282","0","22","1","0","8","0","2","0","0","11","1","141","1","0","0","0","0","0","0","0","13","2","6","1","4","0","0","0","8","1","25","0","1","0","14","44","2","0","0","0","0","0","85","0","0","0","0","1","2","0","14","0","82","1","2","3","27","7","0","160","2","0","0","128","109","8","40","0","1","20","0","0","0","0","0","0","0","0","0","0","2","0"
NA,NA,NA," 65","0.282","0","11","1","2","17","0","8","0","0","3","0","9","4","0","0","0","0","0","3","0","6","1","9","5","34","0","0","0","51","0","17","0","0","12","5","19","0","0","0","1","0","1","129","0","0","0","0","0","26","11","2","0","6","1","0","2","16","93","0","800","4","1","0","20","55","6","15","0","0","26","0","0","0","0","0","5","0","0","0","0","0","0"
NA,NA,NA," 70","0.282","0","22","0","0","2","0","7","0","0","8","1","32","0","0","0","0","0","0","1","0","1","2","5","1","30","0","2","0","95","0","7","0","1","1","6","14","0","0","0","0","0","0","208","0","1","0","0","2","1","1","1","0","2","1","0","8","21","10","0","342","1","0","0","18","133","5","2","0","0","22","0","0","0","0","1","2","1","0","0","0","1","1"
NA,NA,NA," 90","0.282","0","11","0","0","3","0","2","2","3","8","2","76","5","2","0","9","0","13","2","0","6","1","12","0","71","0","0","0","53","0","17","0","0","8","8","40","0","0","0","1","0","0","151","0","0","0","0","0","0","0","3","0","63","1","0","7","14","32","8","873","2","0","0","21","69","7","6","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0"
NA,NA,NA," 75","0.282","0","12","2","1","9","0","1","0","0","8","0","4","3","0","0","5","0","4","5","0","4","2","8","0","156","0","0","0","52","0","23","0","1","6","8","3","0","0","1","1","0","0","138","0","0","0","0","1","0","2","3","0","2","4","0","6","14","131","1","416","3","0","0","7","126","5","1","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0"
NA,NA,NA," 25","0.282","0","15","0","3","67","0","4","1","0","10","0","85","0","0","0","2","10","1","1","0","7","1","7","0","4","0","0","0","41","0","20","0","0","8","15","16","1","0","0","0","0","1","132","0","0","0","1","0","2","0","5","0","6","1","0","1","2","31","2","439","3","0","0","116","108","5","8","0","0","14","0","0","0","0","0","1","0","0","0","0","25","0"
NA,NA,NA," 30","0.282","0","0","1","1","22","0","8","0","0","7","2","148","4","0","0","0","14","0","3","1","1","0","5","5","3","0","0","0","45","0","24","0","1","1","1","36","2","0","0","0","0","0","7","0","0","0","0","1","3","3","0","1","2","0","1","0","2","14","0","247","4","0","0","88","106","6","4","0","0","24","0","0","0","1","0","2","0","0","0","0","0","0"
NA,NA,NA," 10","0.282","0","5","1","2","9","0","4","0","0","0","0","8","3","0","1","10","4","0","5","0","0","0","4","0","22","0","0","0","54","2","7","0","0","19","3","2","0","0","0","0","0","2","92","0","0","1","0","1","88","10","0","0","0","1","0","4","60","106","0","564","7","0","1","10","37","3","1","0","0","18","0","0","1","1","0","5","0","0","0","0","0","1"
NA,NA,NA," 50","0.282","0","5","3","3","42","0","5","0","0","7","1","6","2","0","0","5","0","1","3","0","2","1","6","18","44","0","0","1","66","0","12","0","0","3","6","9","0","0","0","0","0","0","199","0","0","0","0","0","3","1","1","0","11","5","0","3","15","75","1","1101","3","2","0","6","95","2","8","0","0","17","0","1","0","0","0","9","0","0","0","0","2","0"
NA,NA,NA," 40","0.282","0","14","1","3","9","0","1","0","0","3","2","5","3","0","0","1","15","1","2","0","1","2","4","8","22","0","0","0","58","0","13","0","1","10","6","40","0","0","0","0","0","0","92","0","0","0","0","1","2","3","16","0","8","3","0","2","7","16","0","582","1","0","0","80","95","6","1","0","0","16","0","0","1","0","0","1","0","0","0","0","3","0"
NA,NA,NA," 20","0.282","1","8","3","1","5","0","6","0","0","0","1","8","16","0","0","47","10","0","16","1","0","1","25","0","43","0","0","0","97","0","17","0","0","40","7","13","1","0","0","0","0","0","161","0","0","0","0","0","19","37","0","0","3","0","0","2","2","130","0","2425","3","0","0","55","55","4","9","1","2","31","0","0","0","2","0","9","0","0","0","0","0","0"
NA,NA,NA," 35","0.282","0","8","1","2","35","1","9","0","1","6","1","9","2","0","0","3","9","0","2","1","11","1","12","2","35","0","1","0","59","0","20","0","0","8","4","66","1","0","0","0","0","0","153","0","1","0","1","0","1","0","2","0","24","0","0","1","4","150","0","672","5","0","0","153","66","4","164","0","0","16","0","0","0","0","0","1","0","0","1","0","0","0"
NA,NA,NA," 15","0.282","0","15","2","3","32","0","5","0","2","20","1","20","3","0","0","8","6","0","13","0","0","1","19","0","9","0","1","0","113","0","17","1","0","25","8","12","1","0","1","0","0","0","117","0","0","0","0","0","62","12","0","0","7","1","0","1","10","111","0","1195","12","0","0","50","55","3","11","0","1","13","0","0","0","0","0","47","1","0","0","1","0","0"
