"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Alchemilla t.","Alismataceae","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betulaceae undif.","Brassicaceae","Caryophyllaceae (periporate, excluding Paronychioideae)","Cedrus","Celtis","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fern-Lycopodiaceae","Fraxinus","Geraniaceae undif.","Ilex","Juglans","Juncaceae","Lamiaceae undif.","Lauraceae","Lonicera","Myriophyllum spicatum/verticillatum t.","Olea t.","Petaloid monocot","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Primulaceae undif.","Pseudoschizaea","Quercus undif.","Ranunculaceae undif.","Riccia","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Taxus","Thymelaeaceae undif.","Trifolium t.","Typha","Ulmus t.","Urtica t."
"1658",NA,NA,"  85","   0","   0","   6","   8","  21","   1","   0","  43","   0","  30","  12"," 116","   0","   1","  37","   0","   1","   0","   0"," 103","   0","   0","   4","   1","   0","   0","   0","   1","   0","   5","   4","   0","   0","   1","  31","   0","   5","   1","   0"," 150","  10","   0","   6","   0","   1"," 160","   1","   0","   1","   1","  10","   3","   0","   0","  29","   0","   3"
"1744",NA,NA,"  90","   0","   0","   3","   6","  24","   1","   0","  28","   0","  16","   1"," 161","   0","   0","  30","   0","   1","   0","   0","  90","   0","   1","   0","   0","   0","   0","   0","   0","   0","  25","   0","   0","   0","   3"," 123","   1","   0","   0","   0"," 163","  13","   1","  10","   0","   0"," 132","   2","   0","   0","   0","  14","   0","   0","   1","  68","   0","   6"
"1829",NA,NA,"  95","   0","   3","   0","   2","  44","   2","   0","  57","   0","   8","  37"," 171","   0","   1","  25","   0","   1","   0","   0","  67","   3","   0","   0","   0","   0","   0","   0","   1","   0","  17","   1","   0","   0","   2"," 107","   5","   0","   2","   1","  70","   3","   0","   7","   0","   0"," 175","   0","   0","   0","   0","   0","   0","   0","   0"," 146","   0","   5"
"2084",NA,NA," 100","  10","   4","   9","   5","  65","  11","   0"," 168","   0","  94"," 111"," 236","   0","   0","  53","   5","   0","   0","   0","  28","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   8","   0","   0","  18","  71","   1","   1","   8","   0","  81","  40","   0","  13","   0","   2"," 117","   3","   0","   0","   0","  72","   0","   6","   0","  26","   0","   0"
"2338",NA,NA," 105","   1","   0","   0","   2","  10","   0","   0","  43","   0","  35","   9","  64","   0","   0","  17","   0","   2","   0","   0","   1","   0","   0","   0","   0","   3","   0","   1","   0","   0","   0","   1","   0","   0","   5","  13","   0","   0","   0","   0","  23","   2","   0","   4","   0","   2","  34","   0","   0","   0","   0","   0","   0","   0","   0","  18","   0","   0"
"2592",NA,NA," 110","   3","   0","   0","   0","   4","   0","   0","  24","   0","  27","   5","  26","   0","   1","  13","   0","   0","   1","   0","   0","   1","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   1","  11","   0","   0","   0","   0","  24","   7","   0","   1","   0","   9","  28","   0","   0","   1","   0","   1","   0","   0","   0","   3","   0","   5"
"2847",NA,NA," 115","   0","   0","   0","   0","   2","   0","   0","  14","   0","   0","   2","  25","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","  15","   0","   0","   0","   0","   0","   3","   0","   0","   0","  24","   0","   0","   0","   0","  13","   0","   0","   0","   0","  17","  20","   0","   0","   0","   0","   1","   2","   0","   0","   1","   0","   0"
"3708",NA,NA," 120","   0","   0","   0","   0","   6","   0","   0","  47","   0","   1","   1","  39","   0","   0","  20","   0","   5","   0","   0","   4","   0","   0","   0","   0","  17","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","   0","   0","   0","  19","   2","   0","   0","   0","  48","  41","   0","   0","   0","   0","   0","   0","   0","   0","   4","   5","   0"
"4721",NA,NA," 125","   0","   5","   0","   0","   7","   0","   0","  35","   0","   0","   4","  13","   0","   0","   6","   0","   4","   0","   0","   2","   1","   0","   0","   0","  13","   0","   1","   0","   0","   0","   0","   0","   0","  11","   9","   2","   0","   0","   0","  16","   0","   0","   1","   0","  23","  28","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   2"
"5010",NA,NA," 130","   0","   4","   0","   0","   9","   0","   1","  31","   0","   0","   2","   9","   0","   0","  12","   1","   0","   0","   0","   6","   0","   0","   0","   0","  16","   0","   0","   0","   0","   0","   4","   0","   1","   1","  17","   1","   0","   0","   1","  28","   0","   0","   0","   1","   6","  27","   0","   0","   0","   0","   0","   5","   0","   0","   0","   2","   0"
"5154.0",NA,NA," 132.5","   0.0","   0.0","   0.0","   2.0","   3.0","   0.0","   0.0","  22.0","   0.0","   1.0","   0.0","  33.0","   0.0","  10.0","   0.0","   0.0","   0.0","   0.0","   6.0","   2.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  12.0","   0.0","   0.0","  23.0","   0.0","   1.0","   0.0","   0.0","   0.0","  43.0","   1.0","   0.0","   0.0","   0.0","   3.0","   0.0","   1.0","   0.0","   1.0","   0.0","   1.0"
"5299",NA,NA," 135","   0","   4","   0","   3","   8","   0","   0","  19","   0","   4","   3","   9","   0","   2","  23","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   4","   0","   0","   5","   5","   0","   1","   0","   0","  17","   1","   0","   0","   0","   9","  14","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0"
"5492.0",NA,NA," 137.5","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","  16.0","   0.0","   2.0","   0.0","  44.0","   0.0","   7.0","   0.0","   0.0","   1.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  11.0","   0.0","   0.0","  22.0","   0.0","   0.0","   0.0","   0.0","   1.0","  50.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   1.0"
"5880",NA,NA," 140","   0","   2","   0","   0","   5","   6","   0","  22","   0","   0","   8","  11","   0","   0","  38","   0","   2","   0","   0","   0","   0","   0","   0","   0","  14","   0","   1","   0","   0","   0","   2","   0","   0","   1","  13","   0","   0","   0","   0","  21","   0","   0","   1","   0","   6","  32","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0"
"6267.0",NA,NA," 142.5","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","  10.0","   0.0","  28.0","   0.0","  43.0","   0.0","  12.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","  18.0","   0.0","   0.0","   0.0","   0.0","   2.0","  18.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0"
"6655",NA,NA," 145","   0","   0","   0","   0","   7","   3","   0","  32","   0","   2","   1","   4","   0","  14","  32","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","  15","   0","   0","   0","   0","   0","  14","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"7043.0",NA,NA," 147.5","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   1.0","  22.0","   0.0","   4.0","   0.0","  10.0","   0.0","  48.0","  20.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","  21.0","   0.0","   0.0","   0.0","   0.0","   0.0","  38.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"7431",NA,NA," 150","   0","   0","   0","   1","   1","   4","   0","  84","   0","   0","   0","  17","   0","  11","  17","   0","   0","   0","   0","   5","   1","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   2","   0","   0","   0","   0","   0","  56","   0","   0","   0","   0","   0","  12","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"7819.0",NA,NA," 152.5","   0.0","   0.0","   0.0","   0.0","   1.0","   4.0","   1.0","  12.0","   0.0","   1.0","   0.0","   6.0","   0.0","  31.0","  20.0","   0.0","   0.0","   0.0","   0.0","   2.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","  32.0","   0.0","   0.0","   0.0","   0.0","   0.0","  48.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"8207",NA,NA," 155","   0","   1","   0","   0","   3","   7","   0","  31","   0","   4","   8","   2","   0","  19","  36","   0","   0","   0","   0","   0","   1","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  17","   0","   0","   0","   0","   0","  39","   1","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0"
"8983",NA,NA," 160","   0","   0","   0","   0","   6","   5","   0","  12","   0","   0","   2","   2","   0","  16","  20","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","  19","   0","   0","   0","   0","   0","  34","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0"
"9759",NA,NA," 165","   0","   1","   0","   0","   2","   3","   0","  27","   0","   2","   0","   1","   0","  12","  43","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  20","   0","   0","   0","   0","   0","  33","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"10409",NA,NA,"  170","    0","    1","    0","    1","    4","    6","    0","   31","    0","    5","    2","    4","    0","   10","   41","    0","    0","    0","    0","    0","    2","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   12","    0","    0","    0","    0","    0","   23","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"10976",NA,NA,"  175","    0","    2","    0","    0","    1","   21","    0","   18","    0","    2","    1","    1","    0","    9","   22","    0","    0","    0","    0","    0","    8","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","   19","    0","    0","    0","    0","    0","   15","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0"
"11544",NA,NA,"  180","    0","    5","    0","    1","    0","   27","    0","   24","    0","    0","    0","    2","    0","   13","   40","    0","    0","    0","    0","    0","    9","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   20","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"12111",NA,NA,"  185","    0","    7","    0","    1","    0","   26","    0","   21","    0","    0","    0","    1","    0","    8","   19","    0","    0","    0","    0","    0","    9","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","   26","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"12678",NA,NA,"  190","    0","    5","    0","    0","    0","   11","    0","   25","    0","    0","    0","    1","    0","   10","    8","    0","    0","    0","    0","    0","   14","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","   32","    0","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"13245",NA,NA,"  195","    0","    5","    0","    0","    1","   12","    0","   22","    0","    5","    0","    2","    0","    6","   18","    0","    0","    0","    0","    0","   10","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","   30","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"13812",NA,NA,"  200","    0","    0","    0","    1","    1","   14","    0","   84","    0","    0","    0","   17","    0","   11","  171","    0","    0","    0","    0","    5","   19","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    2","    0","    0","    0","    0","    0","   56","    0","    0","    0","    0","    0","   20","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"14379",NA,NA,"  205","    0","    5","    0","    1","    3","    9","    0","   32","    1","    0","    0","    4","    0","    5","   20","    0","    0","    0","    0","    0","   11","    0","    0","    0","    0","    0","    0","    0","    0","    1","    3","    0","    0","    0","    0","    2","    0","    0","    0","   22","    0","    0","    0","    0","    0","    8","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0"
"15043",NA,NA,"  211","    0","    1","    0","    0","    4","    8","    0","   48","    0","    0","    0","    0","    0","    3","   24","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   24","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0"
"15433",NA,NA,"  215","    0","    1","    0","    0","    0","    0","    0","   39","    0","    0","    0","    1","    0","    2","   44","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   16","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    8","    0","    0","    0","    0","    0","    0"
"15921",NA,NA,"  220","    0","    1","    0","    0","    0","   12","    0","   38","    0","    0","    0","    0","    0","    3","   43","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   20","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"17871",NA,NA,"  240","    0","    1","    0","    0","    0","    5","    0","   29","    0","    1","    0","    2","    0","    0","   64","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"18359",NA,NA,"  245","    0","    1","    0","    0","    0","    6","    0","   39","    0","    0","    0","    0","    0","    0","   66","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0"
