"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Algae? (type 229, HdV)","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Bryonia","Calluna","Campanulaceae","Caryophyllaceae undif.","Castanea","Centaurea","Chaetomium sp. (type 7A, HdV)","Cichorieae","Cistaceae","Coniochaeta xylariispora (type 6, HdV)","Corylus","Cupressaceae","Cyperaceae","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Fern","Fern-Lycopodiaceae","Frangula","Fraxinus","Fungi","Fungi (type 18, HdV)","Genisteae","Geranium","Ilex","Juglans","Lamiaceae undif.","Lotus t.","Musci","Olea t.","Onagraceae","Pedicularis","Petaloid monocot","Pinus subg. Strobus-type","Pinus undif.","Plantago","Poaceae","Polemonium","Polygonum t.","Potentilla t.","Primula","Prunus t.","Pseudoschizaea circula","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rumex t.","Salix","Sambucus","Scrophulariaceae undif.","Sordaria-type (type 55A, HdV)","Taxus","Thalictrum","Thymelaeaceae undif.","Tilletia sphagni (type 27, HdV)","Ulmus t.","Unknown (type 33, HdV)","Urtica t.","Viburnum"
"2163",NA,NA,"  55","   0"," 141","   3","   0","   1","  14","   0","   2","   1","   0"," 146","   1","  10","   0","   6","   1","   3","  13","   0","   0","   1","   1","   0","   2","   2","   3"," 102","   0","   0","  16","   2","   2","   0","   7","   0","  16","   7","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   3"," 104","   0","   1","   0","   0","   0","   0","  57","   2","   4","   0","   6","  14","   1","   1","   1","   1","   0","   0","   0","   0","   0","  13","   7","   0"
"2350",NA,NA,"  60","   0"," 210","   0","   0","   0","   3","   0","   0","   0","   0"," 230","   3","   4","   0","   1","   1","   1","   4","   0","   0","   1","   1","   0","   1","   0","   3","  29","   0","   0","   5","   9","   1","   3","   2","   0","   1","   5","   3","   2","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","  82","   0","   0","   0","   0","   0","   0","  55","   5","   4","   0","   4","  12","   2","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","   1"
"2538",NA,NA,"  65","   0"," 281","   0","   0","   0","   2","   0","   0","   2","   3"," 293","   0","   0","   2","   0","   6","   0","  17","   0","   0","   6","   3","   1","   4","   0","  15","  46","   0","   0","   4","   0","  60","   4","   2","   0","   0","   0","   0","   0","   1","   1","   0","   5","   0","   0","   0","   1","   0","   1","   4","  33","   0","   0","   1","   2","   0","   0","  36","   6","   0","   0","   6","   1","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"2725",NA,NA,"  70","   0"," 230","   0","   0","   0","   0","   2","   0","   0","   1"," 301","   0","   0","   2","   1","   0","   3","  14","   0","   0","   6","   7","   0","   4","   0","   7","  58","   0","   0","   3","   0","  48","   0","   0","   0","   1","   1","   0","   2","   0","   4","   0","   1","   0","   0","   0","   5","   0","   2","   2","  11","   0","   0","   0","   0","   0","   0","  56","   5","   2","   0","   3","   5","   0","   0","   2","   5","   0","   0","   0","   0","   0","   0","   0","   9"
"2913",NA,NA,"  75","   0"," 116","   1","   2","   0","   4","   0","   1","   2","   4"," 125","   0","   4","   0","   2","   0","   1","   5","   0","   0","   1","   1","   0","   1","   1","   6","  62","   0","   0","  12","  14","   1","   0","   0","   0","   0","   2","   0","   3","   0","   0","   0","   0","   1","   0","   0","   1","   0","   2","   0"," 185","   0","   0","   0","   0","   0","   0","  33","   0","   1","   0","   1","   7","   1","   1","   3","  12","   1","   0","   0","   0","   0","   0","   4","   0"
"3100",NA,NA,"  80","   0"," 386","   0","   0","   0","   1","   1","   0","   0","   1"," 555","   0","   2","   0","   1","   2","   3","  32","   1","   0","   2","   7","   0","   0","   0","  21","  39","   0","   0","   1","   0","  19","  11","   2","   0","   0","   2","   0","   6","   0","   0","   0","   5","   0","   0","   0","   0","   0","   1","   2","  32","   0","   0","   1","   0","   0","   0"," 123","  11","   0","   0","   1","   1","   3","   1","   3","   0","   0","   1","   0","   0","   0","   0","   0","   0"
"3287",NA,NA,"  85","   0"," 197","   2","   0","   2","   1","   0","   0","   0","   2"," 293","   0","  11","   0","   3","   0","   4","   9","   0","   0","   1","   6","   0","   0","   0","   7","  56","   0","   0","   7","   7","   1","   3","   2","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   1","  52","   0","   0","   0","   0","   0","   0","  68","   0","   2","   0","   3","  10","   3","   1","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0"
"3475",NA,NA,"  90","   0"," 169","   1","   0","   1","   6","   0","   0","   1","   3"," 390","   0","   2","   0","   0","   0","   0","  12","   0","   6","   2","   4","   0","   1","   0","  14","  60","   0","   0","   4","   0","  26","   4","   0","   0","   0","   0","   0","   6","   0","   1","   0","   2","   0","   0","   0","   1","   0","   3","   2","  15","   0","   0","   0","   0","   0","   0"," 119","   3","   0","   0","   0","   5","  12","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4"
"3662",NA,NA,"  95","   0","  35","   1","   0","   0","   0","   0","   0","   0","   1"," 261","   0","   3","   0","   2","   0","   2","   6","   0","   0","   2","   2","   0","   1","   0","   4","  71","   0","   0","   5","   4","   4","   3","   0","   0","   0","   5","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   2","  61","   0","   0","   0","   0","   0","   0"," 112","   5","   1","   0","   5","   9","   4","   2","   1","   0","   1","   0","   0","   0","   1","   0","   2","   0"
"3850",NA,NA," 100","   0","   8","   1","   1","   1","   1","   0","   0","   0","   1"," 275","   0","   4","   0","   1","   1","   0","   3","   1","   0","   2","   0","   0","   1","   0","   2","  50","   1","   0","  13","   3","   3","   0","   1","   0","   0","   8","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","  81","   0","   1","   0","   0","   0","   0"," 157","   6","   1","   0","   9","  11","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0"
