"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Boraginaceae undif.","Brassicaceae","Carpinus","Caryophyllaceae undif.","Centaurea","Cistaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Fabaceae Undif.","Fraxinus","Galium t.","HippophaÃ«","Lamiaceae undif.","Lauraceae","Lemnaceae","Malva undif.","Olea t.","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Primulaceae undif.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Scrophulariaceae t.","Tamarix","Thymelaeaceae undif.","Typha","Vitis","Ziziphus/Paliurus","Zygophyllaceae undif."
"37",NA,NA,"75","46"," 8","31","39"," 4"," 7"," 0"," 6","12","11","26","10","21","20"," 6"," 1"," 3","10","16"," 0"," 0"," 2"," 0"," 8","13","20","13"," 0","13","66","10"," 7"," 3"," 7","55"," 5"," 6","14"," 3"," 1","10"," 0","26"," 6"," 1"," 0","16"," 7"
"42",NA,NA,"80","54"," 7","41","45"," 1"," 4"," 1"," 5","10","13","21"," 5","28","24"," 4"," 0"," 1"," 8","11"," 0"," 0"," 1"," 0"," 7"," 9","14","12"," 0","14","55"," 8"," 6"," 2"," 3","47"," 1"," 1","11"," 1"," 0"," 5"," 0","21"," 8"," 0"," 0","12"," 9"
"47",NA,NA,"85","52"," 8","39","42"," 3"," 5"," 2"," 5","11","12","22"," 6","25","23"," 4"," 1"," 1"," 9","12"," 0"," 0"," 1"," 0"," 7","11","16","11"," 0","15","56"," 8"," 6"," 2"," 5","48"," 2"," 3","13"," 1"," 0"," 6"," 0","22"," 7"," 1"," 0","12"," 8"
"51",NA,NA,"90","54"," 7","41","45"," 1"," 4"," 1"," 5","10","13","21"," 5","28","24"," 4"," 0"," 1"," 8","11"," 0"," 0"," 1"," 0"," 7"," 9","14","12"," 0","14","55"," 8"," 6"," 2"," 3","47"," 1"," 1","11"," 1"," 0"," 5"," 0","21"," 8"," 0"," 0","12"," 9"
"56",NA,NA,"95","72"," 7","66","73"," 0"," 5"," 0"," 4","10","16"," 9"," 1","42","35"," 1"," 0"," 0"," 3"," 8"," 0"," 0"," 0"," 0"," 5"," 8"," 4"," 5"," 0","22","23"," 2"," 3"," 0"," 2","31"," 0"," 0"," 6"," 0"," 0"," 4"," 0","16","11"," 0"," 0","10","11"
" 61",NA,NA,"100"," 67","  8"," 53"," 61","  1","  7","  0","  7"," 11"," 12"," 11","  1"," 36"," 26","  3","  0","  1","  5","  8","  0","  0","  6","  0"," 10"," 10","  8"," 10","  0"," 16"," 36","  4","  7","  5","  3"," 29","  0","  0","  8","  1","  3","  6","  0"," 16","  7","  0","  0","  9","  9"
" 65",NA,NA,"105"," 66","  8"," 52"," 59","  2","  8","  0","  8"," 11"," 11"," 12","  1"," 34"," 25","  3","  2","  1","  5","  6","  0","  0","  7","  0"," 11"," 10","  9"," 11","  1"," 15"," 41","  5","  8","  6","  3"," 28","  0","  0","  8","  1","  4","  7","  0"," 15","  6","  0","  0","  6","  8"
" 70",NA,NA,"110"," 58"," 10"," 49"," 55","  4","  8","  1","  9"," 13"," 10"," 12","  2"," 29"," 22","  4","  4","  2","  4","  4","  0","  0","  7","  0"," 13"," 14","  8"," 13","  1"," 11"," 55","  6","  9","  8","  4"," 27","  1","  0","  4","  1","  6","  8","  0"," 14","  5","  0","  0","  5","  6"
"203",NA,NA,"115","  3"," 11","  5","  5"," 15"," 12","  4"," 22"," 32","  1"," 10"," 31","  3","  2","  8"," 15","  5","  1","  0","  1","  0"," 11","  0"," 23"," 28","  6"," 19"," 10","  0","112"," 11"," 12"," 18","  9"," 22"," 22","  0","  3","  8"," 16"," 12","  2","  2","  0"," 12","  0","  1","  0"
"337",NA,NA,"120"," 53","  8"," 25"," 38","  0","  3","  0"," 10","  9","  9"," 24","  6"," 21"," 16","  5","  4","  2","  6","  9","  0","  0","  1","  0","  5"," 11"," 17","  8","  2","  6"," 63","  8","  4","  0","  8"," 38","  5","  6"," 11","  6","  0","  6","  0"," 18","  4","  0","  0","  8","  9"
"470",NA,NA,"125"," 22"," 13"," 15"," 21","  3","  9","  1"," 12"," 16","  3"," 20"," 15","  9"," 14","  7","  9","  4","  4","  4","  1","  0","  9","  0"," 11"," 14"," 15"," 11","  3","  0","101"," 16","  5","  6"," 13"," 27"," 10","  3"," 10","  8","  4","  7","  1","  8","  0","  3","  0","  4","  7"
"532",NA,NA,"130"," 42"," 11"," 26"," 25","  2","  4","  1"," 11"," 13","  6"," 22"," 11"," 16"," 16","  5","  6","  2","  5","  6","  0","  0","  3","  0","  4"," 12"," 18","  6","  1","  1"," 74"," 11","  3","  1"," 11"," 29","  5","  5"," 13","  4","  0","  3","  0"," 11","  1","  1","  0","  6","  9"
"595",NA,NA,"135","  1"," 26","  2","  3"," 11"," 22","  7"," 42"," 46","  0","  4"," 82","  0","  0"," 27"," 25"," 15","  0","  0","  6","  9"," 11","  0"," 38"," 32","  5"," 12"," 11","  0","141"," 63"," 11"," 15"," 32","  5"," 52","  0","  3"," 22"," 13","  7"," 11","  0","  0"," 25","  0","  0","  0"
"657",NA,NA,"140","  1"," 21","  2","  3"," 11"," 17","  5"," 38"," 44","  0","  4"," 55","  0","  0"," 25"," 18"," 14","  0","  0","  6","  8"," 12","  0"," 36"," 26","  5"," 11"," 12","  0","131"," 63","  9"," 13"," 33","  5"," 47","  0","  3"," 20"," 11","  6","  9","  0","  0"," 25","  0","  0","  0"
"719",NA,NA,"145","  3"," 20","  4","  3","  9"," 16","  6"," 38"," 43","  0","  5"," 52","  0","  1"," 26"," 20"," 15","  1","  1","  3","  7"," 12","  0"," 36"," 25","  7"," 11"," 10","  0","130"," 53"," 10"," 13"," 28","  7"," 46","  1","  4"," 20"," 11","  6","  8","  1","  0"," 23","  0","  0","  1"
"782",NA,NA,"150","  2"," 19","  4","  4","  9"," 16","  4"," 38"," 44","  0","  6"," 51","  1","  1"," 27"," 16"," 16","  1","  0","  3","  8"," 13","  0"," 37"," 20","  7"," 12"," 10","  0","128"," 53","  9"," 16"," 28","  6"," 40","  0","  4"," 19"," 14","  5","  8","  0","  0"," 23","  0","  0","  1"
"844",NA,NA,"155","  4"," 16","  4","  4","  8"," 15","  4"," 36"," 41","  0","  6"," 48","  2","  1"," 25"," 16"," 14","  2","  0","  1","  6"," 11","  0"," 35"," 16","  8","  5","  9","  0","125"," 51","  6"," 12"," 26","  7"," 39","  1","  5"," 19"," 10","  3","  6","  1","  0"," 22","  0","  0","  1"
"906",NA,NA,"160"," 11","  9"," 11"," 15","  3","  8","  2"," 25"," 31","  2"," 13"," 28","  9","  5"," 10"," 10","  7","  5","  4","  0","  0","  4","  1"," 19","  9"," 15","  3","  2","  0","112"," 24","  2","  8"," 18"," 15"," 14","  4"," 11"," 14","  6","  2","  3","  8","  1","  5","  0","  4","  4"
"968",NA,NA,"165","  5"," 12","  8"," 11","  6"," 11","  3"," 31"," 36","  0"," 10"," 33","  3","  2"," 12"," 11","  9","  3","  2","  0","  0","  9","  0"," 26"," 11"," 11","  3","  6","  0","128"," 25","  3"," 10"," 22","  9"," 22","  2","  8"," 15","  8","  2","  5","  3","  0"," 15","  0","  1","  2"
"1031",NA,NA," 170","   3","  15","   5","   8","   7","  13","   4","  33","  41","   0","   9","  42","   2","   1","  13","  13","  10","   2","   1","   1","   0","  11","   0","  33","  12","   9","   4","   8","   0"," 132","  30","   4","  11","  25","   8","  36","   0","   7","  16","   9","   3","   6","   1","   0","  18","   0","   0","   1"
"1093",NA,NA," 175","  12","   9","  15","  12","   1","   6","   1","  29","  32","   0","  12","  31","  10","   2","  11","   7","   9","   4","   2","   0","   0","   4","   0","  18","   7","  13","   1","   4","   0"," 119","  23","   0","   8","  16","  11","  18","   2","  10","  13","   6","   0","   0","   3","   0","  11","   0","   3","   2"
"1155",NA,NA," 180","  49","   2","  37","  32","   0","   2","   0","  10","  10","   0","  32","   5","  23","  20","   2","   1","   0","   6","   6","   0","   0","   1","   0","   4","   1","  27","   0","   0","   0","  52","   4","   0","   0","   7","  19","   3","   4","  18","   7","   0","   0","   0","  13","   0","   0","   0","  12","  11"
"1218",NA,NA," 185","   5","   2","  10","   8","   0","   1","   0","  23","  22","   0","  15","  30","   4","   7","   8","   1","   5","   0","   3","   0","   1","   5","   0","  16","   0","  20","   0","   1","   0"," 107","  12","   0","  11","  12","   5","  27","   1","  10","  11","   9","   0","   0","   9","   0","  17","   0","   4","   8"
"1280",NA,NA," 190","   5","   4","  10","   8","   0","   2","   0","  24","  23","   0","  12","  33","   4","   6","   8","   0","   5","   0","   1","   0","   1","   6","   0","  18","   2","  19","   0","   3","   0"," 115","  13","   0","  13","  15","   5","  29","   1","  10","  11","  11","   0","   0","   8","   0","  18","   0","   3","   5"
"1300",NA,NA," 195","   3","  10","   9","   6","   0","   6","   0","  24","  26","   0","  11","  36","   2","   6","  10","   2","   7","   0","   0","   0","   2","   9","   0","  22","   5","  15","   0","   5","   0"," 122","  15","   0","  15","  16","   4","  32","   0","   9","  13","  12","   0","   0","   3","   0","  22","   0","   2","   5"
"1362",NA,NA," 200","   1","  22","   4","   4","   0","  11","   0","  27","  30","   0","   6","  75","   1","   1","  11","   9","   8","   0","   0","   0","   4","  11","   0","  29","  28","  11","   0","   5","   0"," 172","  17","   0","  17","  24","   4","  42","   0","   4","  15","  15","   0","   0","   0","   0","  26","   0","   0","   1"
"1425",NA,NA," 205","   0","  23","   3","   3","   0","  10","   0","  26","  31","   0","   5","  88","   0","   1","  11","  11","   8","   0","   0","   0","  10","  12","   0","  32","  25","  10","   0","   6","   0"," 189","  18","   0","  20","  25","   1","  52","   0","   3","  16","  18","   0","   0","   0","   0","  38","   0","   0","   1"
"1487",NA,NA," 210","  29","   4","  19","  16","   0","   2","   0","  12","  10","   0","  22","  10","  15","  15","   8","   3","   5","   0","   4","   0","   0","   2","   0","   7","  15","  16","   0","   0","   0","  56","   9","   0","   2","   8","  11","   8","   3","  15","   8","   1","   0","   0","  10","   0","   3","   3","   9","  11"
"1549",NA,NA," 215","  39","   3","  28","  29","   0","   2","   0","  11","   8","   0","  24","   8","  22","  20","   5","   1","   2","   5","   8","   0","   0","   1","   0","   5","  13","  20","   0","   0","   0","  48","   8","   0","   0","   7","  19","   5","   4","  17","   7","   0","   0","   0","  12","   0","   0","   4","  11","  13"
