"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Acanthaceae undif.","Adansonia digitata","Aerva type","Aeschynomene","Afraegle","Alchornea","Allophylus t.","Amaranthaceae undif.","Ambrosia t.","Anthocleista","Anthostema","Antidesma t.","Asteroideae undif.","Balanites","Bauhinia","Boscia","Bridelia","Canthium","Caperonia","Caryophyllaceae undif.","Cassia","Casuarina","Ceiba","Celastraceae undif.","Celtis","Centaurea","Cichorieae","Cissampelos","Cleome","Clutia","Combretaceae","Commelina","Commiphora","Cyperaceae","Detarium","Dichrostachys","Elaeis","Ephedra","Erythrococca/Micrococca","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fagonia","Fern","Fern-Lycopodiaceae","Ficus","Galium t.","Gardenia","Gomphrena t.","Grewioideae","Heliotropium","Hyphaene t.","Indeterminable","Ipomoea","Ixora","Justicia t.","Kohautia","Lamiaceae undif.","Landolphia","Lannea","Lepisanthes","Macaranga","Maerua","Maytenus","Meliaceae undif.","Mitracarpus","Mitragyna/Hallea","Monoletes","Moraceae undif.","Musanga","Musanga/Myrianthus","Myriophyllum alterniflorum t.","Nymphaea","Ocimum","Onagraceae","Ormocarpum t.","Petaloid monocot","Phoenix t.","Phyllanthus undif.","Piliostigma","Plantago","Poaceae","Polygala","Polygonum t.","Potamogeton","Rhizophora","Rubiaceae undif.","Salix","Salvadora","Sapindaceae undif.","Sapotaceae undif.","Searsia","Securinega  t.","Solanum","Spergularia t.","Spermacoce","Spondias","Spores","Syzygium t.","Tamarix","Tapinanthus","Tetracera alnifolia","Treculia","Trifolium t.","Triletes","Typha","Uapaca","Urtica t.","Vahlia","Vernonieae","Ximenia","Zanthoxylum","Zygophyllum t."
"3594.206"," 200.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","  10.000","   2.000","   4.000","   1.000","   0.000","   1.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   1.000","   1.000","   8.000","   0.000","   1.000","   0.000","   0.000","   0.000","  23.000","   0.000","   0.000","  87.000","   1.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   6.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  36.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   7.000","   0.000","   2.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000"," 336.000","   0.000","   0.000","   0.000"," 140.000","   0.000","   2.000","   0.000","   1.000","   2.000","   1.000","   1.000","   0.000","   0.000","   1.000","   0.000","   3.000","  17.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  37.000","   3.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000"
"3905.052"," 225.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   5.000","   1.000","   0.000","   0.000","   1.000","   4.000","   1.000","   0.000","   0.000","   0.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   2.000","   0.000","   0.000","   1.000","   1.000","   0.000","  28.000","   0.000","   0.000","  60.000","   2.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","  13.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   3.000","   0.000","   0.000","   0.000","   3.000","   8.000","   2.000","   0.000","   0.000","   0.000","   0.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 210.000","   0.000","   0.000","   0.000"," 105.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","  28.000","   1.000","   0.000","   0.000","   2.000","   1.000","   0.000","  33.000","   0.000","   0.000","   0.000","   1.000","   0.000","   3.000","   0.000"
"4215.897"," 250.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   8.000","   0.000","   2.000","   1.000","   1.000","   1.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","  14.000","   0.000","   0.000","  62.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","  13.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   4.000","   0.000","   0.000","   0.000","   3.000","  11.000","   6.000","   0.000","   0.000","   0.000","   1.000","   5.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   1.000"," 204.000","   0.000","   0.000","   0.000","  89.000","   1.000","   0.000","   1.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","  15.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","  21.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000"
"4526.743"," 275.000","   1.000","   0.000","   0.000","   3.000","   0.000","   0.000","   4.000","   1.000","   3.000","   1.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   2.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","  18.000","   0.000","   1.000","  55.000","   2.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","  12.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   5.000","   0.000","   8.000","   0.000","   0.000","   0.000","   2.000","   4.000","   3.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000"," 205.000","   0.000","   0.000","   0.000","  85.000","   0.000","   1.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   3.000","  21.000","   1.000","   0.000","   0.000","   0.000","   1.000","   2.000","  14.000","   1.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000"
"4837.588"," 300.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   2.000","   0.000","   1.000","   2.000","   0.000","   4.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   4.000","   0.000","   0.000","   1.000","   0.000","   1.000","  13.000","   0.000","   0.000","  49.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  33.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   9.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000"," 184.000","   1.000","   0.000","   0.000"," 124.000","   0.000","   1.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   2.000","   1.000","   0.000","   1.000","  31.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  39.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"5148.434"," 325.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   1.000","   5.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   1.000","   0.000","   0.000","   0.000","  27.000","   0.000","   0.000","  45.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   1.000","   1.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  13.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   3.000","   0.000","   0.000","   0.000","   2.000","   7.000","   3.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000"," 138.000","   0.000","   0.000","   0.000"," 147.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   1.000","   0.000","   0.000","  32.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","  52.000","   2.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000"
"5459.279"," 350.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   6.000","   1.000","   4.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  18.000","   0.000","   0.000","  47.000","   5.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  14.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   1.000","   1.000","   8.000","   2.000","   0.000","   0.000","   0.000","   1.000","   2.000","   0.000","   0.000","   0.000","   0.000","   2.000","   1.000","   0.000","   0.000"," 128.000","   0.000","   0.000","   0.000"," 157.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  32.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","  51.000","   5.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000"
"5770.125"," 375.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","  13.000","   0.000","   0.000","  35.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   9.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   1.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000"," 108.000","   0.000","   0.000","   0.000"," 120.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   1.000","   1.000","   0.000","  32.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","  18.000","   1.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000"
"6080.971"," 400.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   3.000","   0.000","   1.000","   0.000","   2.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","  11.000","   1.000","   0.000","  35.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  21.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000"," 102.000","   0.000","   0.000","   0.000"," 432.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","  15.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000"
"6391.816"," 425.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  13.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","  12.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   2.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  67.000","   0.000","   0.000","   0.000"," 455.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   2.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","   2.000","   1.000"
