"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acacia t.","Acanthus","Acer","Aesculus","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Apiaceae undif.","Apium t.","Artemisia","Asphodelus t.","Asteroideae undif.","Boraginaceae undif.","Brassicaceae","Campanulaceae","Cannabis","Cardueae undif.","Carpinus","Carya","Caryophyllaceae undif.","Casuarina","Cedrus","Celtis","Centaurea","Ceratonia","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echinops","Echium t.","Elaeagnus","Ephedra","Erica t.","Erodium","Eucalyptus","Euphorbiaceae undif.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Fraxinus","Galium t.","Geranium","Hypericum undif.","Indeterminable","Juglans","Lamiaceae undif.","Lemnaceae","Linum t.","Lycopodium spike","Lythrum","Mercurialis","Myriophyllum undif.","Olea t.","Onagraceae","Ononis t.","Papaver t.","Paronychieae","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Polypodiophyta (trilete)","Populus","Potamogeton","Potentilla t.","Prunus t.","Quercus deciduous","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sarcopoterium","Scrophulariaceae undif.","Searsia","Secale","Solanum","Tamarix","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Vitis","Zea","Ziziphus/Paliurus"
" 156.5",NA,NA,"  37.5","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","  15.0","   1.0","   6.0","   0.0","  56.0","   0.0","  23.0","   0.0","   2.0","   1.0","   1.0","   1.0","   4.0","   0.0","   3.0","   0.0","   1.0","   0.0","   8.0","   0.0","   8.0","   1.0","   0.0","   0.0","   0.0","   8.0","   0.0","   0.0","   1.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   3.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","  19.0","   2.0","   1.0","   0.0","   0.0","1358.0","   0.0","   0.0"," 707.0","  41.0","   0.0","   0.0","   1.0","  18.0","   0.0","   0.0","   1.0","   0.0","  32.0","  42.0","  28.0","   0.0","   0.0"," 274.0","  23.0","   4.0","   5.0","   0.0","  17.0","   0.0","   0.0","  34.0"," 215.0","   7.0","   8.0","   0.0","   0.0","   3.0","   4.0","   0.0","   0.0","  45.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   1.0","   4.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0"
" 168.9",NA,NA,"  39.5","   0.0","   0.0","   0.0","   0.0","   0.0","  14.0","   0.0","   0.0","  23.0","   0.0","   4.0","   0.0","  63.0","   0.0","  22.0","   0.0","   3.0","   0.0","   0.0","   2.0","   2.0","   0.0","   5.0","   0.0","   1.0","   0.0","   7.0","   0.0","  13.0","   0.0","   0.0","   0.0","   2.0","  10.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   1.0","  11.0","   5.0","   2.0","   0.0","   0.0"," 713.0","   0.0","   0.0","1269.0","  32.0","   0.0","   0.0","   0.0","   9.0","   0.0","   0.0","   0.0","   0.0","  27.0","  35.0","  30.0","   1.0","   0.0"," 248.0","  19.0","   2.0","   1.0","   1.0","  28.0","   0.0","   0.0","  37.0"," 285.0","   1.0","   8.0","   0.0","   2.0","   2.0","   7.0","   2.0","   0.0","  42.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   4.0","   2.0","   0.0","   0.0","   2.0","   0.0","   1.0"
"193.7",NA,NA," 43.5","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 20.0","  0.0"," 10.0","  0.0"," 38.0","  0.0"," 24.0","  0.0","  6.0","  1.0","  0.0","  1.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  9.0","  0.0"," 15.0","  1.0","  0.0","  0.0","  2.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  8.0","  0.0","  0.0"," 13.0","  2.0","  2.0","  0.0","  0.0","775.0","  0.0","  0.0","682.0"," 20.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  0.0","  0.0"," 17.0"," 42.0"," 23.0","  2.0","  0.0","276.0","  3.0","  3.0","  1.0","  0.0"," 59.0","  0.0","  0.0"," 52.0","361.0","  1.0"," 24.0","  0.0","  4.0","  1.0","  4.0","  3.0","  0.0"," 44.0","  2.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0","  2.0","  0.0","  0.0","  1.0","  1.0","  0.0","  1.0"
"206.3",NA,NA," 45.5","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  1.0"," 25.0","  0.0","  9.0","  0.0"," 34.0","  0.0"," 35.0","  0.0","  4.0","  0.0","  0.0","  3.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  2.0","  0.0"," 26.0","  0.0","  0.0","  1.0","  1.0","  9.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  3.0","  0.0","  0.0","  7.0","  2.0","  0.0","  0.0","  0.0","420.0","  0.0","  0.0","655.0"," 15.0","  0.0","  0.0","  0.0"," 15.0","  0.0","  1.0","  0.0","  0.0"," 10.0"," 43.0"," 19.0","  3.0","  0.0","269.0","  4.0","  1.0","  2.0","  0.0"," 40.0","  0.0","  0.0"," 76.0","430.0","  0.0"," 19.0","  0.0","  2.0","  5.0","  4.0","  1.0","  0.0"," 25.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  3.0","  0.0","  0.0","  2.0","  1.0","  0.0","  0.0"
" 232.6",NA,NA,"  49.5","   0.0","   0.0","   0.0","   0.0","   0.0","   9.0","   1.0","   0.0","  33.0","   1.0","   3.0","   0.0","  33.0","   0.0","  12.0","   0.0","   3.0","   1.0","   0.0","   0.0","   1.0","   0.0","   7.0","   0.0","   0.0","   0.0","   7.0","   0.0","   9.0","   0.0","   0.0","   1.0","   2.0","   5.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   1.0","   1.0","   0.0","  19.0","   1.0","   1.0","   0.0","   0.0"," 501.0","   0.0","   0.0","1276.0","  40.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   1.0","   0.0","  13.0","  24.0","  22.0","   1.0","   0.0"," 198.0","  12.0","   1.0","   0.0","   0.0","  21.0","   0.0","   0.0","  90.0"," 413.0","  10.0","   8.0","   0.0","   0.0","   3.0","   2.0","   3.0","   0.0","  36.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   2.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0"
" 239.5",NA,NA,"  50.5","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  24.0","   0.0","   5.0","   0.0","  28.0","   0.0","  13.0","   0.0","   0.0","   0.0","   1.0","   3.0","   2.0","   0.0","   4.0","   0.0","   0.0","   0.0","   3.0","   0.0","   6.0","   0.0","   0.0","   0.0","   0.0","   5.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   2.0","   0.0","   0.0","   0.0","   8.0","   1.0","   0.0","   0.0","   0.0"," 392.0","   0.0","   0.0","1079.0","  14.0","   0.0","   0.0","   0.0","  17.0","   0.0","   0.0","   0.0","   0.0","  14.0","  26.0","  11.0","   2.0","   0.0"," 210.0","   2.0","   5.0","   0.0","   0.0","  29.0","   0.0","   0.0","  71.0"," 589.0","   0.0","  16.0","   0.0","   1.0","   3.0","   3.0","   3.0","   0.0","  23.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   2.0","   1.0","   0.0","   0.0","   1.0","   0.0","   0.0"
"268.2",NA,NA," 54.5","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 19.0","  0.0","  4.0","  1.0"," 30.0","  0.0"," 16.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  3.0","  0.0","  6.0","  0.0","  0.0","  1.0","  2.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  4.0","  0.0","  1.0","  0.0","  0.0","292.0","  1.0","  0.0","915.0","  4.0","  0.0","  0.0","  1.0","  5.0","  0.0","  1.0","  2.0","  0.0","  9.0"," 24.0"," 11.0","  2.0","  0.0","164.0","  3.0","  1.0","  0.0","  0.0"," 35.0","  0.0","  0.0"," 72.0","530.0","  1.0"," 11.0","  0.0","  2.0","  1.0","  0.0","  0.0","  0.0"," 19.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0"
" 289.8",NA,NA,"  57.5","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   2.0","  24.0","   0.0","  10.0","   0.0","  23.0","   0.0","  22.0","   1.0","   2.0","   0.0","   0.0","   0.0","   1.0","   0.0","   5.0","   0.0","   0.0","   0.0","   5.0","   0.0","  24.0","   0.0","   0.0","   0.0","   2.0","  11.0","   0.0","   1.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   5.0","   1.0","   1.0","   0.0","   0.0","   2.0","   0.0","   0.0","   7.0","   5.0","   1.0","   0.0","   0.0"," 421.0","   0.0","   0.0","1140.0","  19.0","   0.0","   0.0","   0.0","  16.0","   0.0","   2.0","   1.0","   0.0","  14.0","  27.0","  25.0","   5.0","   0.0"," 297.0","   4.0","   1.0","   0.0","   0.0","  47.0","   0.0","   0.0","  89.0"," 790.0","   0.0","  20.0","   0.0","   1.0","   3.0","   2.0","   0.0","   1.0","  27.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0"
"304.2",NA,NA," 59.5","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  1.0"," 16.0","  0.0","  7.0","  0.0"," 32.0","  1.0"," 17.0","  0.0","  2.0","  0.0","  0.0","  1.0","  2.0","  0.0","  2.0","  0.0","  0.0","  0.0","  3.0","  1.0","  4.0","  0.0","  0.0","  0.0","  1.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  2.0","  0.0","  0.0","  1.0","  0.0","  1.0"," 17.0","  2.0","  3.0","  0.0","  0.0","291.0","  0.0","  0.0","972.0"," 15.0","  0.0","  1.0","  0.0","  8.0","  0.0","  0.0","  1.0","  0.0","  6.0"," 17.0","  9.0","  3.0","  0.0","136.0"," 17.0","  1.0","  1.0","  0.0"," 17.0","  0.0","  0.0"," 74.0","515.0","  7.0"," 11.0","  0.0","  0.0","  3.0","  1.0","  0.0","  0.0"," 34.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  5.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0"
" 340.2",NA,NA,"  64.5","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  23.0","   0.0","   6.0","   0.0","  39.0","   0.0","  12.0","   0.0","   2.0","   0.0","   0.0","   5.0","   0.0","   0.0","   3.0","   0.0","   1.0","   0.0","   2.0","   0.0","   7.0","   1.0","   0.0","   0.0","   0.0","  15.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   1.0","   0.0","   5.0","   0.0","   3.0","   0.0","   0.0"," 350.0","   0.0","   0.0","1119.0","  15.0","   0.0","   0.0","   1.0","  22.0","   0.0","   0.0","   2.0","   0.0","  17.0","  23.0","  12.0","   2.0","   0.0"," 245.0","   6.0","   4.0","   1.0","   0.0","   7.0","   0.0","   0.0","  76.0"," 622.0","   0.0","   6.0","   0.0","   3.0","   6.0","   4.0","   1.0","   0.0","  20.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
" 375.9",NA,NA,"  69.5","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","  36.0","   0.0","   6.0","   0.0","  29.0","   0.0","   3.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   5.0","   0.0","   0.0","   0.0","   0.0","   6.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   9.0","   1.0","   0.0","   0.0","   0.0"," 690.0","   0.0","   0.0","1288.0","  16.0","   0.0","   0.0","   0.0","   5.0","   0.0","   1.0","   0.0","   0.0","  11.0","  21.0","   6.0","   3.0","   0.0"," 150.0","   4.0","   1.0","   0.0","   0.0","   2.0","   0.0","   0.0","  81.0"," 578.0","   0.0","   4.0","   0.0","   0.0","   1.0","   4.0","   3.0","   0.0","  21.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0"
