"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alchemilla t.","Algae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthoceros t.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Campanulaceae","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Cercis","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Dipsacaceae","Elaeagnus","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagus","Fallopia","Fern","Filipendula t.","Fraxinus","Genisteae","Gentianaceae undif.","Geranium","Hedera","Heliotropium","Humulus","Ilex","Indeterminable","Jasminum","Juglans","Lamiaceae undif.","Ligustrum","Linum t.","Lonicera","Loranthus","Lycopodium spike","Lythrum","Malva undif.","Mercurialis","Myriophyllum spicatum/verticillatum t.","Myriophyllum undif.","Myrtus","Olea t.","Onagraceae","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Primulaceae undif.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sarcopoterium","Saxifraga t.","Scrophulariaceae undif.","Secale","Solanum","Sparganium","Staphylea","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Triletes","Typha","Ulmus t.","Urtica t.","Valeriana t.","Viburnum","Viola","Vitis"
"2415",NA,NA,"430","1.5","7","0","0","0","0","10","1","1","1","0","2","1","9","0","1","1","0","0","1","9","3","0","46","2","0","0","4","0","0","298","0","0","1","7","0","0","0","0","19","0","0","0","0","1","0","1","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1","54","0","2.5","0","1","0","0","37","9","27","0","0","0","104","11","0","4","0","0","2","6","1","0","0","0","0","0","2","0","11","0","0","0","1","0","1","0","3","1","2","0","0","1","0","3"
"2441",NA,NA,"438","2.4","3","0","0","0","0","6","0","2","2","0","2","2","14","0","4","4","0","0","3","14","6","0","48","1","0","0","5","0","0","40","0","0","0","22","1","0","2","0","14","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","233","1","7.5","2","9","0","0","43","3","14","0","0","0","154","47","0","16","0","0","1","1","0","0","0","0","0","2","0","0","22","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0"
"2466",NA,NA,"446","1.8","1","0","0","2","0","7","0","1","2","0","13","0","11","1","4","0","0","0","1","6","5","0","17","0","0","0","1","0","0","12","1","0","0","16","0","0","2","0","3","0","1","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","50","0","8","2","0","0","0","17","1","5","0","0","0","100","17","0","4","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2"
"2491",NA,NA,"454","2","0","0","0","0","6","44","0","0","2","1","19","0","12","0","3","3","0","0","0","6","3","0","6","0","0","0","3","0","0","3","0","0","1","28","0","0","1","0","1","0","0","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","7","0","1.5","1","1","0","0","6","0","0","0","0","0","99","5","0","1","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0","0","0","0","1","3","0","0","0","0","0"
"2501",NA,NA,"457","1.8","1","1","0","0","0","1","0","0","0","0","4","0","6","0","3","0","0","0","0","1","0","0","4","0","0","0","0","0","0","7","0","0","0","24","0","0","2","0","4","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","3","0","4","0","0","0","0","4","0","0","0","0","0","70","2","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2523",NA,NA,"464","1.4","1","0","0","0","0","4","0","0","0","0","2","0","12","0","3","0","0","0","0","5","1","0","8","0","0","0","0","0","0","11","0","0","0","5","0","1","0","0","5","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","7","0","3.5","0","1","0","0","9","0","0","0","0","0","84","6","0","9","0","0","1","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0"
"2548",NA,NA,"472","2","3","0","0","0","1","8","0","0","0","0","2","0","5","0","1","2","0","0","1","8","0","0","3","2","1","0","2","0","0","57","0","0","0","28","1","0","0","0","3","0","1","1","0","0","0","0","0","0","8","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","3","0","3","0","0","35","1","5","0","0","1","232","4","0","50","0","0","1","0","0","0","0","3","0","3","0","0","44","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"2573",NA,NA,"480","1.9","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","23","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5","0","0","0","0","1","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2598",NA,NA,"488","2","8","0","0","23","2","8","0","1","2","0","2","4","27","0","2","0","0","4","5","16","6","0","75","0","0","0","1","0","0","160","0","0","1","17","0","0","2","0","10","0","1","0","0","2","0","0","0","0","23","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","20","1","22","0","2","0","0","22","9","2","0","0","0","182","4","0","54","0","0","0","0","1","0","0","0","0","0","0","0","66","0","0","0","2","2","0","0","5","0","5","0","0","0","0","0"
"2624",NA,NA,"496","1.9","6","0","0","0","1","7","0","0","1","0","1","3","13","0","2","1","0","2","3","19","6","0","20","1","0","0","2","0","0","80","0","0","0","22","0","1","0","0","14","0","1","0","0","1","1","0","0","0","11","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","10","1","10.5","1","1","0","0","32","4","1","0","0","0","196","7","0","52","0","0","0","0","0","0","0","1","0","0","0","0","17","0","0","0","0","0","0","0","5","0","3","0","0","0","0","0"
"2649",NA,NA,"504","2.9","11","0","0","0","0","9","0","0","0","0","6","1","11","0","5","0","0","0","1","38","3","0","29","1","0","0","1","0","0","65","0","0","0","27","1","0","0","0","12","0","0","0","0","3","0","0","0","0","18","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0","0","0","0","13","0","17","1","3","0","0","66","6","4","0","0","0","160","2","0","4","0","0","0","0","0","0","0","2","0","0","0","0","26","0","0","0","2","0","0","0","2","0","4","0","0","0","0","0"
"2674",NA,NA,"512","1.9","3","0","0","0","1","8","0","0","1","0","8","1","18","0","10","1","0","0","4","10","1","0","33","2","0","0","6","0","0","92","3","0","0","48","1","1","2","0","4","0","0","0","0","3","1","0","0","0","14","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","38","0","18.5","5","3","0","0","44","17","4","0","0","0","305","10","0","12","0","0","0","0","0","0","0","1","0","0","0","0","99","0","0","0","4","0","1","0","1","0","6","0","0","0","0","1"
"2700",NA,NA,"520","1.9","2","0","0","1","1","10","0","0","5","0","1","9","22","0","6","2","0","0","1","5","6","0","130","1","1","0","4","0","0","27","5","0","0","11","0","0","2","0","39","0","1","0","0","1","1","0","0","0","12","0","0","0","0","0","1","0","0","0","0","1","0","0","0","2","0","0","0","3","0","27","0","22","4","4","0","0","57","6","7","0","0","0","178","2","0","4","0","0","0","0","0","1","0","0","0","1","1","0","5","0","0","0","4","0","0","1","6","0","6","0","0","0","0","0"
"2725",NA,NA,"528","2","2","0","0","1","4","5","0","0","1","1","6","0","5","2","17","0","0","0","4","10","2","0","9","0","0","0","2","0","0","190","1","0","0","21","0","0","0","0","8","0","3","0","0","0","0","0","0","0","7","0","0","2","0","0","0","0","0","1","0","2","0","0","0","5","0","0","0","0","1","42","0","8.5","10","10","0","0","57","5","1","0","0","0","344","25","0","37","1","0","0","0","0","0","0","2","0","3","0","0","10","0","0","0","3","0","0","0","0","0","8","0","0","0","0","0"
