"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alchemilla t.","Algae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthoceros t.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Campanulaceae","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Cercis","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Dipsacaceae","Elaeagnus","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagus","Fallopia","Fern","Filipendula t.","Fraxinus","Genisteae","Gentianaceae undif.","Geranium","Hedera","Heliotropium","Humulus","Ilex","Indeterminable","Jasminum","Juglans","Lamiaceae undif.","Ligustrum","Linum t.","Lonicera","Loranthus","Lycopodium spike","Lythrum","Malva undif.","Mercurialis","Myriophyllum spicatum/verticillatum t.","Myriophyllum undif.","Myrtus","Olea t.","Onagraceae","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Primulaceae undif.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sarcopoterium","Saxifraga t.","Scrophulariaceae undif.","Secale","Solanum","Sparganium","Staphylea","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Triletes","Typha","Ulmus t.","Urtica t.","Valeriana t.","Viburnum","Viola","Vitis"
" -28",NA,NA,"  3","1.8","17","0","0","0","3","28","3","0","0","0","2","0","92","0","9","1","0","1","1","1","1","1","26","1","0","0","3","0","0","25","0","0","0","17","0","0","0","0","1","0","0","0","0","1","0","0","0","0","9","0","2","0","0","0","0","0","0","1","0","3","0","0","0","4","0","0","0","1","0","75","0","32.5","10","1","2","1","194","1","1","0","0","0","152","81","0","31","2","0","1","0","0","15","0","1","0","1","0","0","4","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0"
"  -2",NA,NA," 10","2.2","15","0","0","0","1","15","3","2","0","0","2","2","42","1","14","0","0","0","0","15","8","0","108","6","0","0","1","0","0","13","1","0","0","20","0","1","2","0","21","0","5","0","0","5","0","0","0","0","6","0","0","0","0","0","2","0","0","0","2","1","0","0","0","5","0","0","0","0","1","43","0","7.5","25","13","0","0","228","2","5","0","0","0","256","78","3","33","0","0","4","0","1","1","0","0","0","0","0","1","8","0","0","0","0","0","0","0","14","1","0","0","0","0","0","1"
"  28",NA,NA," 18","2.9","21","0","0","0","1","13","0","2","1","2","13","1","14","0","2","6","0","0","0","6","5","0","26","3","0","0","1","0","1","74","0","0","2","28","1","0","0","0","9","0","1","0","0","1","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","2","0","0","0","18","0","0","0","0","0","36","0","16.5","12","3","5","0","41","2","16","0","0","0","270","59","0","33","0","0","5","1","0","0","0","1","0","1","0","0","10","0","0","0","1","0","0","0","4","0","0","0","0","0","1","1"
"  58",NA,NA," 26","1.4","14","0","0","0","1","4","0","0","1","0","12","0","14","0","8","4","0","3","0","9","6","0","9","1","0","0","3","0","1","562","0","0","1","24","1","0","1","0","7","0","1","0","0","1","0","0","0","0","10","0","1","4","0","0","0","0","0","3","0","4","0","0","0","14","0","0","0","0","0","34","0","8.5","42","4","6","0","88","5","1","0","0","0","297","37","1","123","0","0","1","2","0","0","0","2","0","6","1","0","71","0","0","0","1","0","0","4","0","0","1","0","0","0","1","1"
"  88",NA,NA," 34","2.4","37","0","0","0","4","13","0","0","0","0","14","1","20","1","7","2","0","0","0","68","3","0","12","0","0","0","3","0","1","790","0","0","1","19","1","1","2","0","8","0","0","0","0","1","0","0","0","0","23","0","1","58","0","0","0","0","0","3","0","2","0","0","0","4","0","0","0","0","1","39","0","10.5","14","7","1","0","33","1","3","0","0","0","284","16","0","122","0","0","0","2","0","0","0","3","0","2","1","0","161","0","0","0","0","0","0","0","0","1","5","0","0","0","0","5"
" 119",NA,NA," 42","1.8","12","0","0","0","3","3","0","0","0","0","4","1","17","0","17","0","0","0","1","11","0","0","12","2","0","0","2","0","0","31","0","0","0","18","0","0","0","0","5","0","1","0","0","0","0","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","19","0","5.5","16","0","1","0","37","5","9","0","0","0","345","25","1","51","0","0","1","0","0","0","0","0","0","1","0","0","114","0","0","0","0","0","0","0","0","1","6","0","0","0","0","3"
" 161",NA,NA," 50","1.8","6","0","0","0","4","4","0","1","0","0","5","1","13","0","27","0","0","0","1","6","0","0","32","0","0","0","8","0","0","21","0","0","0","25","0","1","1","0","26","0","6","0","0","0","0","0","0","0","14","0","0","4","0","0","1","0","0","2","0","0","0","0","0","4","0","0","0","0","0","20","0","9","17","5","0","0","55","6","6","0","0","0","292","27","0","13","0","0","0","2","0","0","0","0","0","1","0","1","112","0","0","0","1","0","0","0","2","0","8","0","0","0","0","9"
" 214",NA,NA," 58","2, 1.8","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","2","0","2","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","2","0","2","0","0","0","0","2","0","0","36","1","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 268",NA,NA," 66","1.7","3","0","0","0","3","9","0","0","1","0","13","0","3","4","20","0","0","0","0","7","1","0","0","1","0","0","3","1","0","8","0","0","0","15","0","1","2","0","0","0","9","1","0","0","0","0","0","0","5","0","2","2","0","0","0","0","0","6","1","2","0","0","0","1","0","0","0","0","0","15","1","3.5","49","7","14","0","74","3","4","0","0","0","306","44","0","11","0","0","1","1","1","1","0","1","0","0","0","0","47","0","0","0","0","0","0","0","0","0","4","0","0","0","0","2"
" 322",NA,NA," 74","1.4","0","0","0","0","12","10","1","0","0","0","11","0","12","0","30","4","0","0","1","2","2","0","6","0","0","1","1","1","0","66","0","0","1","19","0","0","1","0","5","0","6","1","0","2","0","0","0","0","4","0","2","5","0","1","0","0","0","7","0","5","0","0","0","3","0","0","0","0","0","11","0","7.5","41","6","3","0","56","1","11","0","0","0","302","30","1","23","0","0","4","4","0","0","0","1","0","4","2","0","75","0","0","0","0","0","1","0","1","0","12","0","0","0","0","7"
" 376",NA,NA," 82","1.3","0","0","0","0","4","12","0","0","2","0","14","0","14","3","16","4","0","0","2","4","3","0","13","0","0","0","8","0","0","210","0","1","0","17","0","0","2","0","13","1","5","1","0","2","1","0","0","0","1","0","1","8","0","0","0","0","0","31","1","3","0","0","0","2","0","0","0","1","1","9","1","7","41","5","4","0","75","4","7","1","0","0","314","31","3","14","1","0","0","2","0","0","0","1","0","3","1","0","88","0","0","0","1","0","0","2","0","0","1","0","0","0","0","2"
" 430",NA,NA," 90","1.7","2","0","0","2","3","11","0","0","2","0","15","0","10","0","10","1","1","0","1","8","6","0","22","0","0","0","1","1","1","34","1","0","1","18","0","0","1","0","12","0","2","0","0","2","0","0","0","0","5","0","0","6","0","0","0","0","0","62","0","6","0","0","1","2","0","0","0","0","2","11","0","4.5","18","4","2","0","153","3","2","0","0","0","380","19","0","6","0","0","3","2","1","1","0","1","0","0","0","0","61","0","0","0","1","0","0","0","2","0","13","0","0","0","0","4"
" 484",NA,NA," 98","1.5","0","0","0","0","3","4","1","0","1","0","6","2","21","0","2","5","0","0","0","10","6","0","44","0","0","0","1","0","0","78","0","0","0","9","0","0","1","0","26","0","2","0","0","0","0","0","0","0","6","0","0","6","0","0","0","1","0","27","0","1","0","0","0","2","0","0","0","0","0","6","0","11.5","8","4","2","0","73","3","0","0","0","0","204","16","0","3","0","0","1","2","0","0","0","1","0","1","0","0","46","0","0","0","1","0","0","0","1","1","5","1","0","0","0","3"
" 538",NA,NA,"106","1.6","1","1","0","0","1","11","0","0","1","0","6","0","17","0","10","4","0","0","2","6","3","0","8","0","0","0","0","0","0","58","0","0","1","13","0","0","5","0","7","0","1","0","0","0","7","0","0","0","3","0","0","4","0","0","0","0","0","92","0","0","0","0","0","3","0","0","0","0","1","8","0","3","19","2","2","0","61","4","2","0","0","0","373","22","0","1","1","1","1","2","1","0","1","0","0","0","1","0","82","0","0","0","1","1","0","0","0","1","14","0","0","0","0","5"
" 592",NA,NA,"114","1.6","7","0","0","0","1","4","0","0","0","0","5","2","9","0","5","3","0","1","2","11","4","0","15","0","0","0","3","0","0","34","2","0","0","11","0","0","1","0","26","0","1","0","0","0","1","0","0","0","1","0","0","2","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","2","0","9.5","5","0","0","0","77","4","1","0","0","0","225","10","0","5","0","0","0","1","0","0","0","0","0","0","0","0","40","0","0","0","0","0","0","0","0","11","3","0","0","0","0","1"
" 632",NA,NA,"120","1.8","1","0","0","0","9","5","1","0","2","1","9","3","7","1","13","2","0","1","2","4","1","0","10","0","0","0","4","1","0","120","0","0","0","12","0","0","1","0","13","0","10","0","0","0","0","0","0","0","8","0","3","5","0","0","0","0","0","74","1","2","0","0","0","0","0","0","0","0","0","16","0","7","19","4","4","0","194","1","3","0","0","0","325","24","0","14","3","0","4","6","2","0","0","0","0","0","2","0","163","0","0","0","1","0","1","1","1","0","14","0","0","0","0","3"
" 646",NA,NA,"122","1.5","1","0","0","0","1","2","0","0","1","0","4","0","2","2","3","1","0","0","0","1","0","0","2","0","0","0","1","0","0","5","0","0","0","8","0","0","1","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","3","0","2.5","0","0","0","0","7","3","0","0","0","0","174","11","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0"
" 686",NA,NA,"128","1.7","1","0","0","1","7","6","1","0","1","0","14","1","8","0","25","6","0","0","2","9","0","0","14","0","0","0","5","0","0","45","0","0","1","17","0","2","2","0","9","0","17","0","0","0","0","0","0","0","9","0","1","4","0","0","0","0","0","66","0","1","0","0","0","0","0","0","0","0","0","16","0","7","13","7","6","0","200","4","1","0","0","0","329","16","1","21","3","0","3","6","2","0","0","0","0","2","2","0","141","0","0","0","1","0","0","0","0","0","18","0","0","0","0","7"
" 740",NA,NA,"136","1.9","0","0","0","0","9","6","0","0","0","0","6","1","4","0","18","3","0","0","2","7","2","0","13","2","0","0","2","0","0","64","1","0","0","14","0","0","1","0","19","0","3","0","0","0","0","0","1","0","9","0","1","2","0","0","1","0","0","37","0","1","0","0","0","1","0","0","0","0","0","18","0","4","21","6","2","0","200","4","1","0","0","0","357","15","0","11","1","0","1","6","1","0","0","3","0","0","0","0","83","0","0","0","2","0","0","0","0","0","9","0","0","0","0","3"
" 794",NA,NA,"144","2","1","0","0","0","0","6","0","1","0","0","1","1","3","1","6","0","0","0","0","1","5","0","22","0","0","0","1","0","0","35","0","0","0","8","0","0","1","0","2","0","1","0","0","0","0","0","1","0","7","0","0","2","0","0","2","0","0","9","0","0","0","0","0","1","0","0","0","0","0","1","0","6","5","0","0","0","51","3","1","0","0","0","88","3","0","4","0","0","0","1","0","0","0","0","0","0","0","0","22","0","0","0","0","0","0","0","1","1","3","0","0","0","0","3"
" 845",NA,NA,"152","1.7","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","2","2","0","3","0","0","0","1","0","0","11","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0","0","0","0","6","0","1","0","0","0","31","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
" 893",NA,NA,"160","1.8","8","0","0","0","1","9","0","0","2","0","8","0","8","0","10","3","0","0","3","8","5","0","7","0","0","0","4","0","1","27","0","0","1","14","0","1","2","0","17","0","0","0","0","0","5","0","0","0","10","0","0","5","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","12","0","11.5","5","3","0","0","83","3","0","0","0","0","381","11","0","2","0","0","0","2","2","0","0","0","0","1","1","0","84","0","0","0","1","0","1","0","0","3","5","0","0","0","0","0"
" 940",NA,NA,"168","2.4","1","1","0","0","1","2","0","0","0","1","4","0","0","0","2","1","0","0","0","0","1","0","1","1","0","0","0","0","0","13","0","0","0","15","0","0","0","0","0","0","0","0","0","0","1","0","0","0","7","0","1","1","0","0","1","0","0","6","0","0","0","0","0","0","0","0","0","0","0","2","0","2.5","1","2","1","0","11","3","0","0","0","0","263","15","0","0","0","0","0","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","2","6","0","0","0","0","1"
" 987",NA,NA,"176","1.5","10","0","0","0","5","6","0","0","1","0","8","0","6","1","0","0","0","0","1","3","3","0","5","1","0","0","4","0","0","43","1","0","0","77","0","0","0","0","3","0","1","0","0","0","0","0","1","0","5","0","1","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","1","0","10.5","2","0","0","0","25","0","0","0","0","1","289","18","0","0","0","0","2","0","0","0","0","1","0","3","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1035",NA,NA,"184","2.8","1","0","0","0","5","6","7","0","1","0","14","3","10","1","18","2","0","0","2","16","2","0","14","0","0","0","3","0","0","91","0","0","0","12","0","1","3","0","4","1","2","0","0","0","0","0","0","0","23","0","0","2","0","0","1","0","0","291","0","1","0","0","0","4","0","0","0","0","0","20","0","6","11","5","1","0","438","6","2","0","0","0","357","20","1","40","0","0","1","0","1","1","0","2","0","1","1","0","226","0","0","0","0","0","1","1","2","0","10","0","0","0","0","1"
"1082",NA,NA,"192","2","1","1","0","0","1","8","0","0","4","0","3","0","30","2","4","4","0","0","0","21","6","0","20","0","0","0","2","0","0","418","0","0","1","9","1","0","2","0","16","0","4","0","0","0","0","0","0","0","7","0","0","4","0","0","0","0","0","3","0","1","0","0","0","5","0","0","0","0","0","16","0","14.5","5","2","0","0","157","7","8","0","0","0","215","12","0","6","0","0","2","3","0","0","0","1","0","2","1","0","460","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0"
"1130",NA,NA,"200","1.7","1","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","5","0","0","0","0","0","0","18","0","0","1","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.5","0","0","0","0","4","1","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"1177",NA,NA,"208","1.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
"1224",NA,NA,"216","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1272",NA,NA,"224","2.2","3","0","0","0","4","1","0","0","2","0","10","1","1","1","8","2","0","0","0","1","1","0","1","0","0","0","0","0","1","14","0","0","0","7","0","0","0","0","2","0","8","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0","6","0","1.5","7","3","1","0","57","6","1","0","0","0","420","26","1","0","0","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0","19","0","0","0","0","3"
"1319",NA,NA,"232","3","1","0","0","0","2","4","0","0","0","0","4","0","4","1","1","2","0","0","0","4","1","0","2","0","0","0","2","0","0","43","0","0","0","38","1","0","0","0","3","0","1","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","6","0","1","2","2","0","0","31","2","1","0","0","0","237","6","0","3","0","0","1","0","0","0","0","3","0","3","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1367",NA,NA,"240","2","2","0","0","0","2","2","0","0","2","0","3","0","23","0","5","2","0","0","4","27","5","0","13","1","0","0","1","0","1","225","0","0","0","42","0","0","1","0","6","0","0","0","0","0","1","0","0","0","8","0","1","10","0","0","0","0","0","7","5","3","0","0","0","1","0","0","0","2","0","24","0","6","3","3","0","0","82","9","0","0","0","0","286","14","1","25","0","0","1","0","0","1","0","0","0","2","0","0","252","0","0","0","0","0","0","0","1","0","4","0","0","0","0","3"
"1414",NA,NA,"248","2.6","3","0","0","0","0","5","0","0","2","0","6","0","38","1","2","0","0","0","1","33","12","0","10","0","0","0","3","0","0","303","0","0","0","20","0","0","1","0","2","0","3","0","0","1","0","0","0","0","8","0","4","24","0","0","1","0","0","5","7","0","0","0","0","6","0","0","0","0","0","23","0","1.5","2","3","0","0","53","4","1","0","0","0","189","24","0","36","0","0","0","1","0","0","0","0","0","2","1","0","393","0","0","0","0","0","0","0","0","2","3","0","1","0","0","1"
"1462",NA,NA,"256","1.2","3","1","0","0","2","6","0","0","0","0","5","0","20","1","3","1","0","2","1","20","3","0","7","0","0","0","4","0","0","821","0","0","1","16","0","1","0","0","9","0","4","0","0","0","0","0","0","0","11","0","0","15","0","0","0","0","0","31","2","0","0","0","0","1","0","0","0","2","1","31","0","1","4","1","0","1","40","1","4","0","0","0","206","11","0","26","0","0","0","2","0","0","0","0","0","2","0","0","389","0","0","0","1","0","0","0","0","2","4","0","0","0","0","2"
