"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Acer","Aesculus","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Apium t.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabis","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celtis","Centaurea","Centranthus t.","Ceratonia","Chamaerops","Cichorieae","Cistaceae","Citrus","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Eucalyptus","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Ficus","Filipendula t.","Fraxinus","Fungi","Genisteae","Gentiana t.","Geranium","Hedera","Heliotropium","HippophaÃ« rhamnoides","Humulus","Hydrocotyle","Hypericum undif.","Ilex","IsoÃ«tes","Juglans","Juncaceae","Lamiaceae undif.","Ligustrum","Linum t.","Lotus t.","Lycium","Lycopodium spike","Lycopodium tablets","Lysimachia","Lythrum","Malva undif.","Matthiola","Mercurialis","Musci","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myrtus","Nerium","Nymphaea","Olea t.","Papaver t.","Paronychieae","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygala","Polygonum t.","Populus","Potamogeton","Potentilla t.","Protist","Prunus t.","Psoralea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Ribes","Riccia","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Ruppia","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Secale","Solanum","Sparganium","Spergularia t.","Tamarix","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Utricularia","Valeriana","Viburnum","Viola","Vitis","Zea","charcoal"
"2409.273",NA,NA,"474.00","1","0","0","0","0","0","20","0","2","2","5","0","0","4","0","12","0","0","0","25","0","0","0","0","0","0","1","0","3","0","0","17","49","3","0","0","0","0","6","0","4","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","332","0","0","0","0","0","6","0","0","25","0","0","0","8","0","1","0","0","0","0","0","0","2","4","11","0","0","51","1","0","0","0","0","0","0","0","0","0","15","8","0","0","0","0","0","0","0","0","17","84","0","0","0","0","0","0","0","0","0","3","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2489.573",NA,NA,"484.00","1","0","0","0","3","4","51","0","8","0","7","0","0","10","0","3","0","3","0","9","0","0","0","1","0","1","0","0","0","0","0","4","15","0","0","0","1","0","2","0","18","0","2","5","4","0","0","1","0","1","2","0","1","0","0","1","7","1","0","0","0","0","0","0","0","0","0","2","0","0","2","1","0","0","0","368","0","0","0","0","0","32","0","0","0","0","0","1","21","0","9","0","3","0","0","0","2","0","12","33","0","0","53","3","0","0","0","0","0","1","0","0","7","24","10","0","1","0","0","0","0","0","1","82","27","1","0","3","1","0","0","0","0","1","2","0","0","1","0","0","0","0","0","9","0","0","0","0","1","0","0"
"2553.812",NA,NA,"492.00","1","0","0","0","0","0","35","0","5","5","2","0","0","3","0","7","0","0","0","30","0","0","0","0","0","1","0","0","0","0","0","13","38","4","0","0","0","0","1","0","6","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","212","0","0","0","0","0","11","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","7","12","0","0","31","9","0","0","0","0","0","0","0","0","0","10","18","0","0","0","0","0","0","0","0","25","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"2601.991",NA,NA,"498.00","1","0","0","0","0","0","32","0","0","0","5","0","0","2","0","5","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","9","2","0","0","0","0","0","3","0","4","0","0","3","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","231","0","0","0","0","0","16","0","0","1","0","0","0","13","0","3","0","1","0","0","0","0","1","59","11","0","0","40","1","0","0","0","0","0","0","0","0","2","15","48","1","0","0","0","0","0","0","0","7","2","1","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"2674.261",NA,NA,"507.00","1","0","0","0","0","0","17","0","0","3","2","0","0","7","0","3","0","0","0","7","0","0","0","1","0","0","1","0","0","0","0","17","11","2","0","0","0","0","2","0","6","0","0","8","0","0","0","0","0","0","0","0","2","0","0","1","0","0","1","0","1","0","0","0","0","0","0","2","0","0","1","0","0","0","0","389","0","0","0","0","0","3","0","0","0","0","0","0","7","0","3","0","2","1","0","0","0","1","19","14","0","0","37","3","0","0","0","0","0","0","0","0","0","15","17","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"2810.769",NA,NA,"524.00","1","0","0","9","1","1","68","0","6","1","11","4","0","15","0","12","0","0","0","7","0","0","0","3","1","0","0","0","0","0","0","40","19","2","0","0","0","0","6","0","10","0","0","8","1","0","0","1","3","1","0","0","1","0","0","7","2","0","0","0","0","0","0","0","0","1","0","4","0","0","0","0","0","1","0","322","0","0","0","0","0","7","0","0","0","0","0","0","18","0","2","0","9","1","0","0","2","0","58","28","0","0","67","4","0","0","0","1","0","0","1","0","4","32","20","0","0","0","0","0","1","1","1","10","14","1","0","0","0","0","0","0","4","1","7","0","5","0","0","0","1","0","5","1","0","0","0","0","2","0","0"
"2971.367",NA,NA,"544.00","1","0","0","34","0","2","123","0","3","0","0","2","0","11","0","6","0","2","0","3","0","0","0","5","1","0","0","0","0","0","0","20","11","0","0","0","1","0","4","0","5","0","0","7","2","0","0","0","0","2","2","1","0","0","0","9","3","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","292","0","0","0","0","0","7","0","0","0","0","0","0","15","0","2","0","1","0","0","2","1","0","75","14","0","0","53","1","0","0","0","0","1","56","0","0","13","30","10","0","0","1","0","0","0","1","0","13","52","0","0","0","0","0","0","0","0","0","8","0","1","1","0","0","0","0","2","1","0","0","0","0","0","0","0"
"3115.906",NA,NA,"562.00","1","0","0","0","1","1","53","0","3","0","12","3","0","9","1","4","1","2","0","1","0","0","0","2","2","0","0","0","0","0","0","20","10","1","0","0","0","0","3","0","7","0","0","4","0","0","1","1","0","1","2","0","1","0","0","2","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","267","0","0","0","0","0","4","0","0","0","1","0","0","30","0","11","0","1","3","0","0","3","0","66","15","0","0","71","0","0","0","0","0","0","1","0","0","10","62","28","1","0","0","0","0","0","0","0","13","38","1","0","0","0","0","0","1","1","2","5","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"3244.385",NA,NA,"578.00","1","0","0","0","1","2","56","0","1","0","11","2","0","14","0","8","0","3","0","6","0","0","0","0","0","0","0","0","0","0","0","22","6","0","0","0","1","0","0","0","7","0","0","6","5","0","0","0","0","1","1","0","0","0","0","42","0","3","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","2","0","214","0","0","0","0","0","4","0","0","0","0","0","0","66","0","4","0","2","2","0","0","3","0","146","29","0","0","87","2","0","0","0","0","0","0","0","0","35","82","43","0","0","0","0","0","0","0","1","27","1","2","0","0","2","0","0","0","0","0","4","0","2","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"3292.564",NA,NA,"584.00","1","0","0","0","2","1","77","0","10","0","11","4","0","16","2","6","0","3","1","3","0","0","0","1","0","0","0","0","0","0","0","20","17","1","0","1","2","0","7","0","9","1","0","6","1","0","0","2","0","1","1","0","0","0","0","15","8","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","164","0","0","0","0","2","0","0","0","1","0","0","0","40","0","9","0","3","3","0","0","0","0","89","39","0","0","54","0","0","0","0","0","0","0","0","0","7","68","43","0","0","0","0","0","1","0","0","13","11","1","0","0","0","0","0","0","0","0","6","0","2","2","0","0","0","0","2","0","0","0","0","0","0","0","0"
