"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Cedrus","Centaurea","Chamaerops","Cichorieae","Cistaceae","Convolvulaceae","Coriaria","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fraxinus","Geraniaceae undif.","Hedera","Lamiaceae undif.","Ligustrum","Lythrum","Malva undif.","Myriophyllum undif.","Myrtaceae undif.","Olea t.","Onagraceae","Papaver t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Sparganium","Tamarix","Thalictrum","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Viburnum","Vitis"
"1224","1377","1063"," 220","   0","   0","   0","   0"," 292","   1"," 912","  15","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 576","   6","   0","   1","   0","   0","   0","   1","   0","   0","  25","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   7","   2","   0","  58","   5","  44","  12","   0","   0","   0","   8","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   3","   0","   0","   1"
"1282","1440","1109"," 230","   0","   0","   0","   1","1668","   5"," 156","  45","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  46","  11","   0","   0","   0","   0","   0","   7","   0","   0","  29","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   2","   0","   0","  36","   8","  35","   3","   0","   0","   0","   6","   0","  23","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   9","   0","   0","   3"
"1339","1504","1157"," 240","   0","   0","   0","   0"," 201","  19"," 166","  13","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  37","  16","   0","   0","   0","   0","   0","   0","   0","   0","  14","   4","   1","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0","   0","   2","   0","   9","   1","   5","   9","   1","   1","   0","   6","   0","  23","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   3","   0","   0","   1"
"1413","1578","1228"," 250","   0","   0","   1","   0"," 310","   1"," 226","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   2","   0","   0","   0","   0","   0","   0","   0","   0","   2","  19","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   8","   0","   0","   0","   6","   0","   8","   0","  12","   4","   0","   0","   0","   0","   1","  16","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0"
"1502","1664","1323"," 260","   0","   0","  12","   0"," 445","   1"," 185","  18","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   8","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   1","   0","   0","   0","   0","   0","   1","   0","   1","   0","   2","   0","   0","   0","   4","   0","   2","   0","   2","   5","   0","   0","   0","   1","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   3","   1","   0","   0"
"1591","1751","1419"," 270","   0","   0","   1","   0"," 154","   1"," 220","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   2","   0","   0","   0","   0","   0","   0","   0","   0","   2","   2","   0","   2","   0","   0","   0","   4","   0","   0","   0","   1","   0","   3","   0","   0","   0","   2","   0","   5","   0","   8","   2","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"1680","1839","1518"," 280","   0","   0","   0","   0","  66","   6"," 390","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  19","   2","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1","   0","   4","   0","   0","   0","   2","   0","   0","   0","   0","   0","   4","   0","   0","   0","   2","   0","   3","   0","   6","   1","   0","   0","   0","   3","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0"
"1769","1927","1620"," 290","   0","   0","   0","   0","  37","  20"," 217","  16","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   3","   8","   0","   0","   0","   0","   0","   0","   0","   0","   7","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   3","   0","   0","   1","   0","   1","   0","  28","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   2","   0","   0","   1"
"1858","2015","1716"," 300","   0","   0","   1","   1","  98","   4"," 339","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  15","   1","   0","   0","   0","   0","   0","   0","   0","   0","   9","  10","   1","   3","   0","   0","   0","   1","   0","   0","   0","   0","   0","   7","   0","   0","   1","   4","   0","   2","   0","  10","   4","   0","   0","   0","   1","   0","  15","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0"
"1947","2105","1809"," 310","   0","   0","   0","   0","  26","   2"," 316","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   3","   0","   0","   0","   0","   0","   0","   0","   0","   2","   8","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   1","   0","   1","   0","   9","   3","   0","   0","   0","   1","   0","   5","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
