"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Calluna","Campanulaceae","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Fabaceae Undif.","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Frangula","Fraxinus","Galium t.","Genisteae","Gentiana t.","Hedera","Hypericum undif.","Ilex","Indeterminable","Juglans","Lamiaceae undif.","Lonicera","Lotus t.","Lysimachia","Lythrum","Morella","Musci","Myriophyllum spicatum/verticillatum t.","Myrtus","Nymphaea","Olea t.","Ononis t.","Pedicularis","Petaloid monocot","Phillyrea","Pinus nigra/sylvestris t.","Pinus pinaster","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygala","Polygonum t.","Potamogeton","Potentilla t.","Quercus deciduous","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnus","Rosa t.","Rumex t.","Salix","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Sparganium","Taxus","Thalictrum","Thymelaeaceae undif.","Trifolium t.","Typha","Ulmus t.","Vaccinium","Vitis"
"3287.0","3432.0","3147.0"," 112.5","  12.0","   0.0","   0.0","   3.0","   2.0","   3.0","   0.0","  26.0","   0.0","  22.0","   0.0","   3.0","   0.0","   0.0","   2.0","   0.0","   4.0","   3.0","   0.0","  78.0","   1.0","   0.0","   0.0","  77.0","   0.0","   2.0","  12.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   1.0","   5.0","   0.0","   5.0","   0.0","  12.0","   4.0","  16.0","   0.0","   2.0","   2.0"," 436.0","   9.0","   0.0","   0.0","   0.0","   3.0","  84.0","  26.0"," 110.0"," 205.0","   0.0","   0.0","   6.0","   1.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0"
"3390","3541","3246"," 115","   6","   1","   0","   5","   1","  15","   8"," 367","   0","  37","   0","   4","   2","   0","   3","   4","  38","   3","   1","  91","   0","   0","   0"," 108","   0","   4","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","   2","   0","  20","  10","  30","   0","   0","   3"," 215","  15","   0","   0","   0","   8"," 210","  10"," 220","  50","   0","   0","   2","  25","   0","   0","   0","   0","   1","   0","   0","   1","   0","   1","   4","   0"
"3555","3710","3409"," 120","   6","   0","   0","  12","   0","   2","   2","  76","   0","  14","   0","   0","   0","   0","   0","   0","   4","   3","   0","  95","   0","   0","   0","  15","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   7","   2","   0","   0","   0","   1","   0","   3","   0","  13","   1","  14","   0","   1","   0"," 124","   4","   0","   0","   1","   0","  68","  16","  84","   9","   3","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"
"3659","3805","3519"," 125","   4","   0","   0","   6","   0","   1","   1","   7","   0","   0","   0","   0","   2","   0","   1","   0","   3","   0","   0","  22","   0","   0","   0","  17","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   2","   0","   4","   1","   5","   0","   0","   0"," 145","   9","   0","   0","   0","   1","  84","   9","  93","  72","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0"
"3763","3906","3625"," 130","  11","   1","   0","   5","   1","   3","   0","  15","   0","  19","   1","   0","   0","   0","   0","   1","   0","   1","   0","  48","   0","   0","   1","  45","   0","   4","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   2","   0","   2","   0","   0","   0","   0","   0","  11","   0","   0","   0","   2","   0","   0","   7","   2","  12","   0","  12","   0","   0","   2"," 117","   8","   0","   0","   0","   4"," 123","  26"," 149","  30","   0","   0","   2","   0","   0","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","   0"
"3970","4127","3829"," 140","   9","   2","   0","   0","   1","   2","   0","  15","   0","  14","   0","   0","   1","   0","   0","   0","   0","   2","   0","  18","   0","   0","   0","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   1","   1","   7","   2","   9","   0","   0","   0","  53","   1","   0","   0","   2","   0","  89","  14"," 103","  14","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0"
"4177","4366","4019"," 150","   3","   0","   0","   1","   3","   1","   1","  12","   0","   4","   0","   1","   2","   0","   2","   0","   0","   1","   0","  18","   0","   0","   0","  35","   0","   1","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","  12","   1","   1","   2","   0","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   1","   0","   3","   2","   5","   0","   1","   1"," 114","   7","   0","   0","   6","   0","  56","  25","  81","  52","   1","   0","   0","   1","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0"
"4281","4488","4109"," 155","   5","   2","   0","   0","   1","   1","   0","  24","   1","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0"," 111","   0","   0","   0","  28","   0","   1","   9","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   1","   0","   0","   3","   9","  12","   0","   0","   0"," 206","   8","   0","   0","   0","   3"," 130","  42"," 172","  30","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   1","   0"
"4384","4610","4197"," 160","  13","   1","   0","   4","   0","   0","   0","  49","   0","  19","   0","   2","   1","   0","   2","   0","   0","   3","   3"," 145","   0","   0","   0","  16","   0","   5","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   7","   0","   1","   0","  15","   5","  20","   0","   0","   0","  91","  32","   0","   0","   0","   0"," 200","  58"," 258","  12","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"4488","4730","4283"," 165","   6","   0","   0","   2","   0","   2","   0","  17","   0","   2","   0","   1","   0","   0","   0","   0","   3","   0","   0","   6","   0","   0","   0","  26","   0","   1","   3","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   1","   0","   1","   2","   3","   0","   0","   0"," 117","   3","   0","   0","   0","   2"," 102","  22"," 124","  27","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0"
"4591","4854","4370"," 170","  20","   0","   0","   2","   0","   0","   1","  25","   0","  25","   0","   0","   0","   0","   0","   0","   0","  14","   1","  16","   0","   0","   0","  14","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   4","   0","   3","   0","   4","   5","   9","   0","   1","   0"," 319","   8","   0","   0","   0","   0"," 200","  30"," 230","   4","   0","   0","   8","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"4695","4979","4456"," 175","   4","   0","   0","   1","   1","   0","   0","  13","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","  34","   0","   4","  57","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   1","   0","   2","   0","   2","   0","   2","   0","   0","   0"," 290","   1","   0","   0","   0","   1","  83","   6","  89","  17","   0","   0","   8","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0"
"4799","5105","4542"," 180","  12","   5","   0","   6","   0","   0","   3","  47","   7","  15","   0","   4","   7","   1","   0","   1","   0","   6","   1","  30","   0","   1","   0","  19","   0","   4","   0","   0","   1","   0","   2","   4","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   6","   0","   3","   0","  10","   2","  12","   0","   0","   0"," 521","  15","   0","   0","   0","   0"," 150","   6"," 156","   6","   0","   0","  10","   3","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0"
"4851.0","5168.0","4584.0"," 182.5","  17.0","   0.0","   0.0","   2.0","   1.0","   4.0","   0.0"," 151.0","   0.0","   5.0","   0.0","   7.0","   0.0","   0.0","   2.0","   0.0","  10.0","  16.0","   0.0","   8.0","   0.0","   0.0","   0.0","  48.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   7.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   5.0","   0.0","   7.0","   8.0","  15.0","   0.0","   0.0","   3.0"," 395.0","  10.0","   0.0","   1.0","  39.0","   7.0"," 116.0","  14.0"," 130.0","  43.0","   1.0","   0.0","  17.0","   3.0","   2.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
