"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acanthus","Acer","Aesculus","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Arceuthobium","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Bryonia","Butomus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Datisca cannabina","Dipsacaceae","Echinops","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Frankenia","Fraxinus","Fumaria","Galium t.","Geranium","HippophaÃ«","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Linum t.","Lotus t.","Lysimachia","Lythrum","Malva","Menyanthes","Mercurialis","Musci","Myricaria","Myriophyllum spicatum/verticillatum t.","Nerium","Nuphar","Nymphaea","Olea t.","Onagraceae","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potentilla t.","Prosopis t.","Prunus t.","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rosa t.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Solanum","Sparganium","Spergularia t.","Styrax","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Viburnum","Vitis"
"2161","2367","1953"," 170","   7","   0","   0","   0","   5","   1","  20","  33","   7","   1","  73","  42","   0","   1","   3","   4","   0","   0","   0","   0","   9","   0","   0","  19","   0","  47","  18","  97","   0","   1","   0","  24"," 224","   0","   0","   1","   0","   0","   0","   0","   1","   1","   0"," 154","   0","   0","   0","   0","   9","   0","   8","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   1","   1","   0","   0","   0","   0"," 299","   0","   8","  22","   6","  24","   0","   0","   0","   5","  19","   5","   0","   0","   1","   0","   0","   0","   0","   0"," 143","   0","   0","   2","   0","   0","   1","   1","   0","   0","   0","   1"
"2288","2479","2098"," 180","   2","   0","   0","   0","   8","   3","  32","   6","   7","   0","  52"," 117","   1","   0","   1","   0","   0","   2","   0","   0","   1","   0","   0","   8","   1","  37","  20","  67","   0","   0","   0","   1"," 218","   0","   0","   0","   0","   3","   1","   0","   0","   0","   0"," 224","   0","   0","   0","   0","  23","   0","   8","   0","   0","   0","   0","   3","   3","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1"," 278","   0","  14","  26","   1","  26","   0","   0","   0","   0","   6","   4","   0","   0","   2","   0","   0","   0","   0","   0"," 217","   0","   0","   5","   0","   0","   3","   0","   0","   0","   0","   0"
"2415","2591","2243"," 190","   4","   0","   1","   0","   1","   4","  20","  28","  28","   0","  89","  17","   1","   5","   0","   6","   0","   0","   0","   0","   8","   0","   0","   9","   0","  40","  37","  80","   0","   0","   4","  17"," 656","   0","   0","   0","   0","   2","   0","   5","   4","   0","   0"," 343","   0","   0","   0","   0","  34","   0","   5","   0","   0","   0","   0","   4","   9","   0","   0","   1","   0","   1","   0","   1","   1","   0","   0","   0","   0","   1","   3","   0","   0","   0","   0","  72","   0","  17","  45","  14","  30","   0","   0","   0","  25","  94","  26","   0","   0","   2","   3","   3","   0","   0","   0"," 864","   0","   0","   4","   0","   0","   7","   1","   6","   0","   0","   2"
"2542","2703","2386"," 200","   2","   0","   0","   0","   4","   4","  12","   7","  10","   0","  31","   9","   2","   3","   1","   2","   0","   1","   0","   0","   1","   0","   0","   3","   6","  19","   5","  22","   0","   2","   1","   4"," 353","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","  46","   0","   0","   0","   0","  77","   0","   3","   0","   0","   0","   0","   7","   5","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   3","   3","   0","   1","   0","   0","  96","   0","  18","  89","   6","  10","   1","   0","   0","   0","  34","   2","   0","   0","   1","   1","   0","   0","   0","   0"," 335","   0","   0","   1","   0","   0","  15","   0","   0","   0","   0","   3"
"2669","2815","2527"," 210","   1","   2","   1","   1","   1","   0","  14","  51","  16","   0"," 209","  32","   0","   0","   1","   1","   0","   0","   0","   0","   8","   1","   0","  10","   2","  19","  31","  33","   0","   0","   2","  15","  32","   0","   1","   0","   0","   2","   0","   1","   5","   0","   0","  71","   0","   0","   0","   0","  41","   0","   5","   0","   0","   1","   1","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","  67","   0","  26","  17","  14","  45","   0","   0","   0","   3","  29","   6","   0","   0","   4","   0","   2","   1","   0","   0"," 100","   0","   0","   0","   1","   1","   1","   0","   2","   0","   0","   1"
"2796","2929","2668"," 220","   3","   0","   0","   0","   0","   0","  30","  18","   9","   0"," 107","  57","   1","   2","   0","   0","   1","   0","   0","   0","   4","   0","   0","  11","   2","  33","  24","  30","   0","   0","   1","   9","  99","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","  48","   0","   1","   0","   0"," 108","   0","  21","   0","   0","   0","   1","   2","   1","   0","   0","   0","   0","   3","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1"," 260","   0","  74","  43","  16","  23","   0","   0","   0","   0","  38","   4","   0","   0","   8","   0","   4","   0","   0","   0"," 298","   0","   0","   0","   0","   0","   8","   1","   0","   0","   0","   0"
"2923","3042","2806"," 230","   8","   0","   0","   0","   0","   0","  30","  41","  22","   2","  76","  22","   1","   1","   1","   6","   0","   0","   2","   0","   7","   0","   1","  14","   2","  44","  13","  90","   0","   0","   0","  78"," 104","   0","   1","   0","   0","   4","   1","   0","   5","   0","   0","  50","   0","   1","   0","   0"," 106","   0","  19","   1","   0","   0","   2","   3","   7","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   3","   0"," 406","   0","  35","  47","  21","  19","   0","   0","   0","  12","  36","   5","   0","   0","  56","   0","   2","   0","   0","   0"," 101","   0","   0","   6","   1","   3","  17","   1","   4","   0","   0","   2"
"3050","3157","2942"," 240","   3","   0","   0","   0","   0","   0","  29","  12","  15","   0","  56","  62","   5","   3","   0","   0","   0","   0","   0","   0","   2","   0","   1","  14","   1","  23","  15","  58","   0","   0","   1","   5","  70","   1","   1","   0","   0","   2","   6","   1","   0","   0","   2","  36","   0","   0","   0","   0"," 170","   0","  18","   0","   0","   1","   0","   4","   2","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0"," 338","   0","  72","  66","  16","   6","   0","   0","   0","   0","  62","   3","   0","   0","  22","   1","   7","   1","   1","   0"," 159","   1","   0","   1","   0","   1","  20","   1","   8","   0","   1","   1"
"3177","3274","3078"," 250","  10","   0","   0","   0","   2","   1","  23","  36","  17","   1","  71","  29","   0","   3","   1","   0","   0","   0","   0","   0","   9","   0","   0","  14","   1","  64","  20","  41","   1","   0","   2","  11","  15","   0","   0","   0","   0","   1","   1","   0","   3","   0","   0","  59","   0","   0","   0","   0","  69","   0","  18","   0","   1","   0","   2","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   3","   0","   0","   0","   0"," 298","   0","  27","  36","  22","  23","   0","   0","   0","   8","  19","   3","   0","   0","   6","   0","   7","   0","   0","   1"," 210","   0","   0","   0","   0","   0","  15","   0","   2","   0","   0","   0"
"3304","3392","3210"," 260","   5","   0","   0","   0","   0","   4","  21","   7","  12","   0","  72","  17","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   7","   3","  12","   6","   9","   0","   0","   2","   0","  84","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   9","   0","   0","   0","   0","  74","   0","  16","   0","   0","   0","   0","   2","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0"," 100","   0","  20","  31","   7","   6","   0","   0","   0","   0","  42","   1","   0","   0","   4","   1","   6","   0","   0","   0"," 628","   0","   0","   1","   0","   1","  29","   1","   0","   0","   0","   1"
"3568","3650","3474"," 280","  12","   0","   0","   0","   2","   1","   8","   5","  15","   0","  27","  16","   0","   1","   0","   1","   0","   2","   0","   0","   3","   0","   0","   1","  23","  48","   7","   6","   0","   0","   0","   0"," 235","   0","   0","   0","   0","   2","   1","   4","   0","   0","   0","   8","   0","   0","   0","   0","  17","   0","   9","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   3","   1","   0","   0","   0"," 304","   1","   0","  50","   9","  13","   0","   0","   0","   0","  21","   6","   0","   0","   2","   6","   2","   0","   0","   0"," 112","   0","   0","   3","   0","   0","  13","   0","   6","   0","   0","   0"
"3642","3723","3550"," 285","   1","   0","   1","   0","   1","   1","  18","  34","  51","   0","  49","  20","   1","   2","   1","   9","   0","   1","   0","   0","   6","   0","   0","  10","   5","  64","  40","  53","   0","   0","   0","   3"," 501","   0","   0","   0","   0","   1","   1","   7","   9","   0","   0","  49","   0","   0","   0","   0","  37","   0","  10","   1","   0","   0","   0","   3","   2","   0","   0","   4","   0","   0","   0","   0","   0","   0","   3","   0","   0","   2","   2","   0","   0","   0","   0"," 194","   0","  18","  76","  13","  30","   1","   0","  11","   6","  38","  27","   0","   3"," 143","   2","   6","   0","   0","   0","  68","   0","   1","   3","   0","   0","   7","   0","   6","   1","   0","   1"
"3716","3796","3626"," 290","   3","   0","   0","   0","   1","   1","  14","  10"," 104","   0","  44","  12","   0","   1","   1","   1","   0","   2","   0","   0","   3","   1","   0","   6","   2","  82","  21","  34","   0","   0","   0","   7"," 569","   0","   1","   0","   0","   2","   0","   2","   3","   0","   0","  86","   0","   1","   0","   1","  23","   0","   9","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   1","   0","   1","   0","   1","   0","   0"," 184","   0","   7","  72","   4","  55","   0","   0","   2","   7","  16","  10","   0","   1"," 284","   1","   1","   0","   0","   0","  79","   0","   0","   2","   0","   1","   2","   0","   4","   0","   0","   1"
"3790","3869","3701"," 295","   2","   0","   0","   0","   2","   0","  16","  35","  63","   0","  29","  33","   0","   0","   0","   7","   0","   3","   1","   2","   6","   0","   0","   5","   3","  78","  45","  55","   0","   0","   2","   2"," 683","   0","   2","   0","   0","   0","   0","   3","  30","   0","   0","  28","   0","   0","   0","   0","  18","   0","   7","   1","   0","   0","   0","   1","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   2","   0","   0","   0","   0"," 247","   0","  22","  66","   8","  27","   0","   0","   0","   2","  17","  14","   0","   1"," 133","   1","   5","   0","   0","   0","  37","   1","   0","   2","   0","   3","   2","   1","   6","   0","   0","   0"
"3863","3944","3776"," 300","   8","   0","   0","   0","   4","   0","  11","   3","   4","   0","   5","  30","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   3","   0"," 120","  37"," 105","   0","   0","   0","   0"," 450","   0","   3","   0","   0","   2","   0","   2","   0","   0","   0","  27","   0","   2","   0","   0","   4","   1","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0"," 569","   0","   0","  12","   4","  15","   0","   0","   0","   0","   3","   0","   0","   0","   3","   0","   1","   0","   0","   0","  23","   0","   0","   1","   0","   0","   1","   1","   0","   0","   0","   0"
"4159","4242","4072"," 320","  11","   0","   0","   0","   0","   0","  14","  11","   6","   0","   3"," 207","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   2","   0","  94"," 146","  47","   0","   1","   1","   0","  65","   0","   8","   0","   0","   3","   0","   1","   0","   0","   0","  48","   0","   4","   0","   0","   0","   0","   2","   3","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0"," 587","   0","   0","   2","   1","  47","   2","   0","   0","   0","   2","   1","   0","   0","   1","   0","   0","   1","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"4454","4543","4363"," 340","   5","   0","   0","   0","   0","   0","   2","   1","   1","   0","   1","  18","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  41","  29","   5","   0","   1","   0","   0","   5","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","  28","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 154","   0","   0","   0","   1","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"
"4749","4846","4649"," 360","   7","   0","   0","   0","   0","   0","   4","   8","   2","   0","   1"," 114","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","  86"," 110","  69","   0","   0","   0","   0","  57","   0","  10","   0","   1","   0","   0","   0","   1","   0","   0","  77","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 405","   0","   1","   4","   2","  30","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"5045","5154","4935"," 380","   4","   0","   0","   0","   0","   2","   2","   3","   3","   0","   2","  84","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   8","   0","  66","  89"," 136","   0","   3","   0","   0","  81","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0"," 103","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"," 392","   0","   0","  19","  10","  25","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  25","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"
"5192","5309","5078"," 390","   2","   0","   0","   0","   0","   1","   3","   8","   3","   0","   7","  60","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   2","   0","  58","  83","  55","   0","   0","   0","   0","  44","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","  89","   0","   1","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"," 174","   0","   0","   4","   1","  11","   0","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0"
"5340","5464","5220"," 400","   3","   0","   0","   0","   0","   0","  11","   1","   2","   0","   5","  78","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  12","   0","  78","  49"," 180","   0","   0","   0","   0","  17","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  77","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 205","   0","   1","  14","   0","  10","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  20","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0"
"5488","5619","5361"," 410","   1","   0","   1","   0","   0","   0","   2","  12","   5","   0","  13"," 102","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   7","   0","  65"," 115","  76","   0","   1","   0","   0","  54","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","  82","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 253","   0","   0","  10","   1","  15","   0","   0","   0","   2","   6","   2","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0"
"5635","5775","5503"," 420","   5","   0","   0","   0","   0","   0","   2","   2","   1","   0","   1","  41","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   8","   0","  92","  54","  61","   0","   0","   0","   0","  14","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0"," 200","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 306","   0","   0","   2","   0","  17","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  13","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0"
"5931","6085","5783"," 440","   2","   0","   0","   0","   1","   2","   4","   1","   3","   0","   1","  43","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","  99","  24","  48","   0","   2","   0","   0","  15","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0"," 378","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 297","   0","   1","   1","   1","  18","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0"
"6226","6398","6064"," 460","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   2","  30","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   2","   0","  76","  15","  18","   0","   1","   0","   0","  92","   0","   2","   0","   0","   1","   1","   0","   0","   0","   0"," 727","   0","   1","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 228","   0","   0","   4","   1","   3","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0"
"6521","6711","6344"," 480","   1","   0","   0","   0","   1","   3","   4","   1","   1","   0","   5","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0"," 125","   3","  19","   0","   0","   2","   0","  10","   0","   2","   0","   0","   3","   1","   0","   0","   0","   0"," 782","   0","   2","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 264","   0","   0","   1","   0","   3","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  22","   0","   0","   0","   1","   0","   3","   0","   0","   0","   0","   0"
