"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Buxus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Celtis","Centaurea","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Corylus","Cotinus coggygria","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Erodium","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Genisteae","Geranium","Hedera","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Linum t.","Loranthus","Lysimachia","Lythrum","Malva","Menyanthes","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myriophyllum undif.","Nuphar","Nymphaea","Onagraceae","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Pseudopediastrum brevicorne","Pseudopediastrum kawraiskyi","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Sparganium","Taxus","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Viburnum","Vitis"
NA,NA,NA,"300","  2","  0","  5","  0","  7"," 10","  0","  0"," 15","  7"," 19"," 13","  3","  0"," 11","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0"," 40","  0","  0","  0"," 31","  0","  0"," 27"," 10","  0","  0","  0","  0","  8","  0","  3","150","  1","  0","  0","  2","  6","  1","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","148","  0"," 19","  0"," 85"," 14"," 73","  0","  0","  0","  0","181","  6","  0","  3","  7","  2","  1","  2","  0","  0","  0","  0","  0","  0","  0","  4"," 10"," 25","  0","  0","  3"
NA,NA,NA," 60","  0","  0","  0","  0"," 17"," 57","  1","  0","  7"," 27"," 20","  0"," 13","  0"," 44","  0","  0","  0","  2","  0","  8","  0","  0"," 49","  0","  0"," 14","  3","  0","  0","  0","  9","  0","  0","  6"," 21","  0","  0","  8","  0","  0","  0"," 18"," 52","  5","  0","  0","  0","  8","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  8"," 24","  0","  0","  0","  0","  0","  0","  0"," 47","  0"," 11","  0","425","  1"," 16","  1","  0","  0","  0","143","  0","  2","  2","  0"," 12","  0","  2","  0","135","  0","  0","  0","  0","  0","  3"," 40","  0","  1","  0","  2"
NA,NA,NA,"370","  3","  1","  3","  0","  8"," 13","  0","  0","  2"," 10"," 13","  3","  6","  1","  2","  0","  0","  0","  1","  1","  4","  0","  1","  0","  0","  0","  1"," 32","  0","  0","  0"," 15","  0","  0"," 14","  6","  0","  0","  0","  0","  0","  0","  0"," 65","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0"," 74","  0","  3","  0"," 48","  1"," 21","  1","  0","  0","  0"," 66","  3","  0","  0","  9","  5","  0","  1","  0","  4","  0","  0","  0","  0","  0","  3","  6","  2","  0","  0","  3"
NA,NA,NA,"140","  3","  1","  3","  0","  8"," 46","  2","  1","  0","  0","  3","  0"," 10","  0","  1","  1","  0","  0","  0","  0","  4","  0","  1","  2","  0","  0","  0","  4","  0","  0","  0","  2","  0","  0","  0"," 48","  0","  0","  1","  0","  6","  0","  9"," 68","  0","  0","  0","  3","  2","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  1","  0","  0","  0","  5","  0","  0"," 13","  0","  0","  0","  1","  0","  0","  0","102","  0","  2","  1"," 68","  4"," 15","  1","  0","  0","  0"," 59","  1","  5","  1","  1","  3","  0","  0","  1"," 28","  0","  0","  0","  0","  0","  6","  4","  0","  0","  0","  0"
NA,NA,NA,"360","  4","  0","  8","  0"," 48"," 22","  0","  2","  5","  9","  7","  1"," 51","  0","  0","  0","  0","  1","  0","  0","  1","  0","  1","  0","  0","  0","  0"," 26","  0","  3","  0"," 72","  0","  0","  9"," 15","  0","  0","  4","  0","  2","  0","  0","110","  0","  0","  0","  1","  2","  0","  1","  0","  1","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","116","  1"," 10","  0"," 65","  2"," 53","  0","  1","  0","  1"," 55","  1","  2","  0","  4"," 64","  0","  1","  2","  1","  0","  0","  0","  0","  0","  1"," 12","  0","  0","  0","  1"
NA,NA,NA,"230","  2","  1"," 47","  0"," 14"," 22","  0","  2","  7"," 14","  7","  0"," 29","  0","  2","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  3"," 36","  0","  1","  0","  6","  0","  0"," 26","170","  0","  0","  0","  0","  2","  0","  1"," 41","  0","  0","  0","  1","  3","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 80","  0"," 13","  0","219","  3"," 54","  1","  0","  0","  0","126","  0","  2","  1","  3","  3","  0","  2","  0","249","  0","  0","  1","  0","  9","  3","  8","  1","  0","  0","  1"
NA,NA,NA,"350","  7","  0","  3","  0","  3"," 20","  3","  0","  9","  5"," 17","  7"," 22","  0","  2","  0","  0","  0","  0","  0","  3","  0","  5","  0","  0","  0","  0"," 37","  0","  0","  0"," 40","  0","  0"," 54"," 17","  0","  1","  3","  0","  1","  0","  9","171","  1","  0","  0","  0","  4","  0","  0","  1","  0","  0","  1","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","253","  0"," 16","  0","119","  5"," 39","  0","  0","  0","  0","126","  5","  0","  0"," 24"," 32","  0","  7","  0","  4","  0","  1","  1","  0","  3","  2","  4","  3","  0","  0","  1"
NA,NA,NA," 50","  2","  0","  0","  0"," 54"," 12","  1","  0","  5"," 17","  4"," 16"," 13","  0"," 20","  0","  0","  0","  2","  0"," 12","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0"," 30","  0","  0","  6"," 30","  0","  0","  1","  0","  0","  0"," 26","202","  5","  0","  0","  3","  2","  0","  0","  0","  0","  0","  2"," 12","  0","  0","  0","  0","  2","  0","  0","  0","  0"," 11","  0"," 79","  0","  0","  0","  0","  0","  0","  0"," 54","  0"," 13","  0","197","  5","  5"," 15","  0","  0","  0","209","  0","  2","  3","  3"," 20","  0","  1","  3","100","  0","  0","  0","  0","  0"," 17","  6","  5","  0","  0","  2"
NA,NA,NA,"400","  1","  0","  4","  0"," 15"," 23","  2","  0","  4","  5"," 19","  3"," 19","  0","  7","  0","  0","  0","  0","  0","  3","  0","  7","  1","  0","  0","  0"," 22","  0","  0","  0"," 15","  0","  0"," 71"," 16","  0","  2","  0","  0","  4","  0","  4"," 94","  0","  0","  0","  2","  2","  0","  0","  0","  1","  0","  1","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 56","  0"," 12","  0"," 89","  9"," 57","  0","  0","  0","  0","107","  6","  2","  3"," 22"," 30","  0","  0","  0","  7","  0","  1","  3","  0","  1","  0"," 14","  0","  0","  0","  5"
NA,NA,NA,"190","  2","  1"," 12","  0"," 23"," 58","  2","  0","  7","  4"," 16","  6","  5","  0"," 42","  0","  3","  0","  2","  0","  3","  0","  0","  0","  0","  0","  7"," 44","  0","  0","  0"," 17","  0","  0","  2"," 47","  0","  0","  1","  0","  1","  0","  4","101","  0","  0","  0","  1","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  2"," 22","  0","  0","  0","  1","  0","  0","  1"," 91","  0","  7","  1","167","  1"," 16","  1","  0","  0","  0"," 63","  1","  0","  0","  3","  8","  0","  0","  0","155","  0","  0","  1","  0"," 11","  3"," 18","  6","  0","  0","  1"
NA,NA,NA,"  30","   3","   0","   0","   0","  49","  57","  17","   0","  27","  44","  17","  35","  20","   0","  36","   0","   0","   0","   6","   0","   5","   0","   2","   0","   0","   0","   0","  11","   0","   0","   0","  55","   0","   0","   6"," 123","   0","   1","   9","   0","   2","   0","  30","1413","   9","   2","   1","   2","   8","   0","   0","   0","   0","   0","   4","  64","   0","   0","   0","   0","  62","   0","   0","   0","   0","  60","   0"," 304","   0","   0","   0","  56","   0","   0","   0"," 237","   0","  51","   0"," 403","   9","   0","   0","   0","   0","   0"," 147","  23","  26","   5","  15"," 402","   0","   3","   0"," 516","   0","   0","   1","   0","   6","   7","   0","   7","   1","   0","   3"
NA,NA,NA," 40","  0","  0","  0","  0"," 80"," 11","  5","  0","  8"," 10","  1"," 18"," 22","  0"," 29","  0","  0","  0","  1","  0"," 21","  0","  5","  0","  0","  1","  1","  2","  0","  0","  0"," 50","  0","  0","  3"," 40","  0","  0","  3","  0","  0","  0"," 36","259"," 23","  0","  0","  8","  5","  0","  0","  0","  0","  0","  2"," 18","  3","  0","  0","  0","  4","  0","  0","  0","  0"," 14","  0"," 96","  0","  0","  0","  1","  1","  0","  1"," 62","  0"," 14","  1","236","  6","  4"," 14","  0","  0","  0","306"," 11","  5","  0","  4"," 24","  0","  1","  0","136","  2","  0","  1","  0","  3"," 15","  0","  7","  0","  0","  8"
NA,NA,NA,"384","  0","  0","  7","  0"," 13"," 53","  0","  0","  9"," 12"," 24","  7","  6","  1","  9","  0","  0","  3","  0","  0","  3","  0","  2","  0","  6","  0","  3"," 29","  0","  0","  1"," 33","  0","  1","160"," 18","  0","  0","  1","  0","  5","  2","  2","165","  0","  0","  1","  0","  0","  1","  0","  2","  0","  0","  0"," 11","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","107","  0"," 38","  0","165","  9"," 92","  0","  1","  0","  0","187","  0","  4","  3"," 26","  9","  0","  1","  0","  4","  0","  0","  3","  0","  4","  2"," 54","  2","  0","  1","  6"
NA,NA,NA,"120","  1","  0","  0","  0"," 21"," 28","  1","  0"," 25"," 19"," 11","  4"," 18","  0","129","  0","  0","  0","  5","  0","  7","  0","  2","  2","  0","  1","  1","  4","  0","  0","  1","  6","  0","  0","  6"," 70","  0","  0","  3","  0","  4","  0"," 14","314","  5","  0","  0","  3","  6","  1","  0","  0","  0","  0","  1","  6","  1","  0","  0","  0","  1","  0","  0","  0","  0"," 13","  6"," 75","  0","  0","  0","  4","  2"," 10","  2"," 76","  0","  9","  2","376"," 15","  5","  1","  0","  0","  0","280"," 31","  2","  1","  9"," 32","  0","  0","  1","168","  0","  0","  2","  0","  4","  9","  6","  7","  0","  0","  2"
NA,NA,NA,"  70","   4","   3","   0","   1"," 198"," 116","   4","   0","  49","  61","  32","  46","  80","   0","  47","   0","   0","   0","   7","   0","  39","   0","   4","   0","   0","   2","   4","   9","   1","   0","   0"," 113","   0","   0","  10"," 130","   0","   2","  14","   0","   6","   0"," 119"," 234","  99","   0","   0","   9","  12","   0","   1","   3","   0","   2","   4","   7","   0","   0","   0","   0","   3","   1","   0","   0","   0"," 118","   0","  85","   1","   1","   0","   6","   1","   1","   0"," 365","   0","  48","   1","4475","  47","  35","  10","   0","   0","   0"," 798","  55","  19","  13","   6","  26","   0","   4","   1"," 216","   0","   0","   5","   1","  12","  34","  20","   2","   6","   0","  22"
