"sample_name","depth","Acacia t.","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Balanites","Brassicaceae","Capparaceae undif.","Caryophyllaceae undif.","Cassia","Chrozophora","Cichorieae","Cyperaceae","Erica t.","Euphorbiaceae undif.","Faboideae Undif.","Fagonia","Fern","Indeterminable","Maerua","Monoletes","Nitraria","Nyctaginaceae","Olea t.","Pinus undif.","Plantago","Poaceae","Salvadora","Tamarix","Tribulus","Typha","Zygophyllum t."
"143.5",NA,"  0.0","  0.0","  4.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"131",NA,"  0","  0"," 43","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0"
"120.5",NA,"  0.0","  0.0","  1.0","  1.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  8.0","  0.0","  0.0","  1.0","  0.0","  0.0"
"98",NA," 0"," 0","37"," 0"," 0"," 0"," 0"," 1"," 0"," 1"," 2"," 0"," 0"," 1"," 0"," 1"," 1"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"
"  86",NA,"   2","   0","1070","   0","   1","   5","   2","  13","   5","   1","  16","   1","   6","   4","   0","   0","   4","   1","   0","  22","   6","   0","   0","   1","   0","   1","   1","  49","   1","  16","   0","   4","   0"
"76",NA," 0"," 0","88"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"
"56",NA," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"
"46",NA," 1"," 0","70"," 0"," 0"," 7"," 0"," 0"," 0"," 0"," 1"," 0","11"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","26"," 0"," 0"," 0"," 1"," 0"
"  37.5",NA,"   1.0","   0.0","1183.0","   0.0","   2.0","   3.0","   0.0","   7.0","   8.0","   0.0","   0.0","   0.0","   4.0","  15.0","   1.0","   0.0","  11.0","   5.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","  45.0","   0.0","   2.0","   0.0","   0.0","   1.0"
" 26",NA,"  0","  0","231","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0"
" 17.5",NA,"  0.0","  0.0","685.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  3.0","  0.0","  5.0","  0.0","  1.0","  0.0"
"  4.5",NA,"  0.0","  0.0","487.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  2.0","  2.0","  0.0","  0.0","  0.0"
