"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Algae","Alnus","Amaranthaceae undif.","Anagallis t.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Buxus","Cannabis","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Fagus","Filipendula t.","Frangula","Fraxinus","Gentiana t.","Gentianaceae undif.","Hedera","Indeterminable","Indeterminable (crumpled)","Indeterminable (hidden)","Indeterminable (reworked)","Juglans","Lamiaceae undif.","Lonicera","Lythrum","Myricaria","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myriophyllum undif.","Nuphar","Nymphaea","Olea t.","Oxyria","Pedicularis","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygala","Populus","Potamogeton","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Scrophulariaceae undif.","Solanum","Sparganium","Tamarix","Thalictrum","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Viburnum","Vitis"
"5586",NA,NA," 655","   1","  11","   0","   0","  11","   0","   0","   2","   0","   0","   0","  45","   2","   0","   0","   0","   5","   0","   0","   0","   0","   0","  14","   0","  12","  27","   1","   1","   0","   0","   0","   6","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","  13","   1","   2","  19","   0","   0","   0","   0","   0","  86","   2","   0","   1","  24","   0","   0","   0","   0","  73","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   2","   4","   3","   1","   1","   0"
"5689",NA,NA," 667","   1","   8","   0","   0","   7","   0","   0","   0","   0","   1","   0","  49","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   4","   0","   9","  14","   0","   1","   1","   0","   1","  13","   0","   0","   1","   7","   0","   3","   0","   0","   1","   0","   1","   0","   0","  19","   0","   3","  20","   0","   0","   0","   0","   0","  82","   0","   0","   0","  20","   0","   0","   0","   0"," 102","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   1","   5","   0","   0","   1"
"5801",NA,NA," 680","   1","  10","   0","   0","  10","   0","   0","   0","   2","   2","   1","  34","   0","   1","   0","   0","  10","   0","   0","   1","   0","   0","   7","   0","  18","  27","   0","   2","   6","   0","   0","   9","   0","   0","   0","   7","   2","   3","   0","   0","   2","   0","   0","   0","   0","   0","   0","   4","  18","   0","   0","   0","   0","   0","  58","   2","   4","   0","  38","   0","   0","   1","   0","  82","   1","   0","   0","   0","   0","   1","   2","   1","   1","   2","   0","   0","   0","   5","   0","   0","   4","   0","   0","   8","   0","   0","   1"
"5904",NA,NA," 692","   1","   7","   4","   0","   6","   0","   0","   0","   1","   0","   0","  50","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   8","   0","   8","  29","   1","   1","   0","   0","   0","  18","   0","   0","   1","   5","   0","   1","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","  10","   0","   0","   0","   0","   0","  82","   0","   1","   0","  28","   0","   0","   0","   0","  82","   1","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   3","   0","   0","   2","   0","   2","  11","   0","   0","   0"
"6008",NA,NA," 704","   1","   8","   0","   0","   6","   0","   0","   0","   0","   1","   0","  44","   1","   0","   0","   0","   8","   0","   0","   1","   0","   0","   8","   0","   8","  21","   0","   0","   1","   0","   0","   5","   0","   0","   0","   2","   0","   2","   0","   0","   0","   0","   0","   0","   0","   8","   0","   4","   8","   0","   0","   0","   0","   3","  77","   0","   1","   0","  17","   0","   0","   0","   0","  98","   1","   0","   0","   0","   0","   2","   1","   1","   0","   1","   1","   0","   0","   0","   0","   1","   3","   0","   2","   4","   0","   0","   0"
"6223",NA,NA," 729","   1","  10","   0","   0","   5","   2","   0","   1","   1","   0","   2","  47","   0","   1","   0","   0","  10","   0","   0","   0","   0","   0","  18","   0","  14","  22","   0","   0","   1","   0","   0","  13","   0","   0","   0","   4","   0","   3","   0","   0","   0","   0","   0","   0","   0","  18","   0","   3","   9","   0","   0","   0","   0","   0","  65","   2","   1","   0","  24","   0","   0","   0","   0","  90","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   2","  15","   0","   0","   1"
"6326",NA,NA," 741","   1","   6","   0","   0","   3","   1","   0","   0","   1","   1","   0","  34","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","  11","   2","   4","  13","   0","   0","   0","   0","   0","  10","   0","   0","   1","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","  83","   0","   1","   1","  30","   0","   0","   0","   0"," 106","   1","   0","   0","   0","   0","   0","   1","   1","   0","   1","   0","   0","   0","   1","   0","   0","   3","   2","   7","  15","   0","   0","   0"
"6429",NA,NA," 753","   1","   5","   0","   0","   2","   0","   0","   1","   0","   0","   0","  38","   2","   0","   0","   0","   2","   0","   0","   1","   0","   0","  10","   0","   8","  13","   0","   0","   0","   0","   0","  10","   0","   0","   0","   1","   2","   0","   0","   0","   1","   0","   0","   0","   0","   4","   0","   2","   2","   0","   0","   0","   1","   1"," 100","   0","   1","   0","  19","   0","   0","   0","   0","  91","   0","   0","   0","   0","   0","   0","   2","   0","   0","   2","   0","   0","   0","   1","   0","   0","   5","   0","   4","   7","   0","   0","   0"
"6541",NA,NA," 766","   1","  10","   0","   0","   6","   1","   0","   1","   2","   0","   3","  50","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","  13","   0","   9","  15","   0","   0","   1","   0","   1","  12","   0","   0","   2","   9","   0","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","  18","   0","   0","   0","   0","   0","  89","   0","   0","   0","  26","   0","   0","   0","   0","  74","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   7","   5","   5","   0","   0","   2"
"6644",NA,NA," 778","   1","  11","   0","   0","   3","   1","   0","   3","   7","   0","   1","   6","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","  15","   1","  15","  17","   0","   0","   2","   0","   0","  13","   0","   0","   1","   5","   0","   4","   0","   0","   0","   0","   0","   0","   0","  12","   0","   1","   3","   0","   0","   0","   0","   0","  71","   4","   1","   0","  54","   0","   0","   1","   0","  83","   2","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   2","   0","   0","   4","   2","   4","  15","   1","   0","   1"
