"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Agrimonia","Alchemilla t.","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Apiaceae undif.","Apium t.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Callitriche","Cardueae undif.","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Closterium cf. C. rostratum","Closterium idiosporum","Closterium idiosporum-type","Convolvulaceae","Coriaria","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Dyadosporites","Echinops","Echium t.","Ephedra","Erica t.","Erodium","Euphorbiaceae undif.","Fabaceae Undif.","Faboideae Undif.","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Fraxinus","Fungi","Fusiformisporites","Galium t.","Genisteae","Gentiana t.","Gentianaceae undif.","Geraniaceae undif.","Hedera","Hydrocharitaceae","Hypecoum","Hypericum undif.","Ilex","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Linum t.","Lotus t.","Lycium","Lysimachia","Lythrum","Malva undif.","Mercurialis","Microthyrium-type","Morella","Mougeotia-type","Musci","Myriophyllum spicatum/verticillatum t.","Myrtus","Nerium","Nuphar","Nymphaea","Olea t.","Onagraceae","Ononis t.","Papaver t.","Parnassia","Paronychieae","Pellaea-type","Petaloid monocot","Phillyrea","Pilularia","Pinus nigra/sylvestris t.","Pinus pinaster","Pistacia","Pluricellaesporites","Poaceae","Poaceae (Cerealia-type)","Polygala","Polygonum t.","Portulacaceae t.","Potamogeton","Potentilla t.","Pseudoschizaea","Puccinia","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Rhus coriaria","Riccia lamellosa-type","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Ruta","Salix","Sambucus","Sanguisorba t.","Sarcocapnos","Scrophulariaceae undif.","Sparganium","Spike tablets","Tamarix","Taxus","Thalictrum","Thecaphora-type","Thymelaeaceae undif.","Tilletia caries-type","Transeauina","Trichuris","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Viburnum","Vitis"
" 4224"," 4427"," 4015"," 47"," 1","0","0","0","0","56","0","0","0","0","0","0","7","0","5","0","1","0","0","2","1","0","0","2","0","0","8","3","0","0","0","0","0","1","0","0","40","0","2","0","0","0","9","0","0","0","0","2","0","164","0","147","4","0","0","1","0","0","0","0","0","0","0","0","0","3","0","0","2","0","0","3","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","55","11","1","1","26","0","0","0","0","2","0","0","0","19","67","3","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","20","0","42","0","1","1"
" 4345"," 4542"," 4142"," 48"," 1","0","0","0","0","48","0","0","2","0","0","1","6","0","3","0","1","0","0","1","0","0","0","0","0","4","0","8","0","0","1","0","0","0","0","6","36","1","4","0","0","0","11","0","0","0","0","2","0","133","0","198","2","0","1","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","4","0","0","0","0","2","0","0","0","0","6","0","3","0","0","0","0","0","0","0","2","0","64","16","0","3","44","0","0","0","0","0","0","0","1","19","82","5","0","0","2","0","2","0","0","0","0","1","2","0","0","0","2","0","0","0","0","0","2","0","3","0","0","0","11","0","54","0","3","0"
" 4466"," 4656"," 4266"," 49",NA,"0","0","0","0","67","0","7","3","0","0","4","8","0","14","0","5","1","0","0","0","0","0","0","0","0","4","18","0","0","3","0","0","0","5","0","40","0","8","0","0","0","14","0","0","0","0","2","0","174","2","248","1","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","44","25","0","2","29","0","0","0","0","4","0","0","0","10","79","4","1","0","0","0","0","0","0","0","0","1","1","0","0","0","4","0","0","0","0","0","1","0","4","0","1","0","16","0","52","0","0","0"
" 4587"," 4771"," 4391"," 50",NA,"0","0","0","4","65","0","4","0","0","0","1","27","1","13","0","0","16","0","2","0","0","0","0","0","3","0","5","0","0","8","0","1","17","15","1","39","1","2","0","0","0","21","0","0","0","0","11","0","256","0","253","2","0","8","0","0","0","0","0","0","2","0","0","1","10","0","0","0","0","0","3","0","0","5","0","0","0","8","0","0","4","0","6","0","0","0","0","0","0","0","0","0","27","13","4","2","33","0","0","0","0","0","0","0","0","8","161","4","0","0","3","0","0","0","0","0","0","1","1","0","0","0","0","11","0","0","0","0","0","0","5","0","0","0","37","0","58","1","0","0"
" 4708"," 4886"," 4514"," 51"," 1","0","3","1","1","176","0","1","16","0","0","0","29","0","20","0","6","1","0","1","1","0","0","0","0","7","13","1","0","0","1","0","0","1","0","1","88","0","3","0","0","0","13","1","0","11","0","2","1","71","0","206","12","0","0","0","0","0","0","0","0","0","0","0","0","22","0","0","2","0","1","2","0","0","1","0","13","0","0","0","0","1","0","17","0","0","1","0","0","0","1","3","0","30","45","21","2","44","0","0","0","0","1","1","0","2","46","128","4","1","0","1","3","2","1","0","0","0","0","1","2","0","0","1","1","0","0","0","1","0","0","2","0","0","0","37","0","45","0","0","0"
" 4829"," 5002"," 4638"," 52"," 1","0","0","0","1","37","0","3","1","0","0","1","26","0","8","0","2","2","0","0","1","0","0","1","0","4","10","1","0","0","1","0","0","21","0","0","152","1","3","1","0","0","16","0","0","0","0","4","0","46","4","275","1","0","1","0","0","0","3","0","0","1","0","0","0","1","0","0","0","0","0","4","1","0","0","0","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","24","27","5","1","20","0","1","0","0","6","0","0","0","31","127","9","0","0","0","0","0","0","0","0","0","1","0","0","0","0","5","3","0","0","1","0","0","0","0","0","0","0","41","0","75","0","0","0"
" 4949"," 5118"," 4760"," 53"," 2","0","0","0","3","58","0","0","8","0","0","4","11","0","1","0","5","1","0","0","0","0","0","1","0","2","14","11","0","0","2","0","2","1","1","0","29","2","4","1","0","0","14","0","3","0","0","4","0","34","1","185","3","0","2","0","0","0","1","1","0","1","1","1","0","13","0","0","0","1","0","1","0","5","0","0","2","0","0","0","0","2","0","2","0","0","0","0","0","0","0","1","0","39","14","3","1","37","0","0","1","0","0","0","0","1","10","85","2","2","0","0","0","1","0","0","0","0","1","0","0","0","0","3","1","0","0","0","0","0","1","1","0","0","1","16","1","51","0","1","0"
" 5070"," 5235"," 4883"," 54"," 1","0","0","0","0","79","0","1","11","0","0","0","13","1","4","0","0","5","0","0","0","0","0","0","0","0","16","6","0","0","1","0","0","1","0","2","20","0","2","0","0","0","2","0","1","0","0","0","0","69","3","216","5","0","0","0","0","0","1","1","0","0","0","0","0","6","0","0","0","1","0","1","0","0","0","0","7","0","0","0","0","0","0","10","1","0","0","0","0","0","0","2","0","43","25","15","2","27","0","0","0","0","1","0","1","0","11","107","2","0","0","3","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","36","0","43","1","0","0"
" 5191"," 5357"," 5010"," 55"," 2","0","0","0","0","135","0","3","10","0","0","2","19","0","7","0","4","0","0","1","1","0","0","0","0","4","19","1","0","0","1","0","0","5","0","0","30","0","3","0","0","0","4","0","0","0","0","3","6","41","4","211","4","0","2","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","1","1","0","17","0","0","0","0","0","0","9","0","0","0","0","0","0","0","1","0","36","47","21","0","53","0","0","0","0","0","0","1","0","19","112","6","0","0","2","0","0","0","0","0","0","3","1","0","0","0","3","0","0","0","0","0","0","0","0","2","0","1","18","0","48","0","0","0"
" 5312"," 5479"," 5135"," 56"," 2","0","0","0","0","29","0","1","1","0","0","0","12","0","5","0","9","3","0","0","0","0","0","0","0","0","3","3","0","0","1","0","0","5","0","0","10","1","1","0","0","0","1","0","0","0","0","0","0","68","2","202","2","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","5","0","0","2","0","6","0","0","0","1","1","0","1","0","1","0","0","0","2","0","2","0","12","25","13","0","41","0","0","0","0","0","0","1","0","23","91","4","1","0","1","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","16","1","34","0","0","0"
" 5433"," 5602"," 5260"," 57"," 3","0","0","0","0","124","0","0","1","0","1","3","21","0","10","0","5","1","0","1","0","0","0","0","0","0","3","1","0","2","1","0","0","1","0","3","24","0","2","0","0","0","5","0","0","0","0","5","0","66","0","131","12","0","0","0","0","0","0","1","0","2","0","0","0","7","0","1","1","0","0","0","0","0","2","0","2","0","3","0","0","3","3","5","0","0","0","1","0","0","0","0","1","27","24","27","1","34","0","0","0","0","3","0","2","2","21","63","12","0","0","2","0","0","0","0","0","1","4","3","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","19","0","35","0","1","0"
" 5554"," 5724"," 5380"," 58"," 3","0","0","0","0","63","0","10","1","0","1","2","19","0","4","0","3","10","0","0","0","0","0","0","0","1","2","1","0","0","1","0","0","14","0","0","11","0","2","0","0","0","10","0","0","0","0","4","1","81","7","119","17","0","0","0","0","0","1","0","0","0","0","1","0","2","0","1","1","0","0","0","0","0","1","0","10","1","1","0","5","6","0","1","0","0","0","0","0","1","0","1","0","28","7","21","0","50","0","0","0","0","0","0","1","0","13","86","8","0","0","0","1","0","0","0","0","0","0","0","2","1","1","4","2","0","0","0","0","0","0","0","1","0","0","14","0","36","0","2","0"
" 5675"," 5846"," 5498"," 59"," 3","0","0","0","0","49","0","0","1","1","0","2","26","0","10","0","6","0","0","0","0","0","0","0","0","1","6","1","0","0","0","0","0","3","0","6","14","0","2","0","0","0","2","0","0","0","0","8","0","65","1","44","31","1","1","0","0","0","1","0","1","0","1","1","0","7","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","7","0","0","2","0","1","0","0","0","0","33","10","12","0","16","33","0","0","0","1","0","1","0","23","71","1","0","0","0","0","0","0","0","0","0","2","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","9","1","35","2","1","0"
" 5796"," 5968"," 5614"," 60"," 3","0","0","0","0","66","2","3","5","0","5","5","64","0","6","1","3","1","1","8","0","0","0","0","0","2","3","0","0","1","0","1","0","1","0","15","16","0","4","0","0","2","3","0","0","0","0","0","1","112","0","59","60","0","10","0","0","0","0","1","0","0","0","0","0","2","2","0","0","0","0","2","0","1","0","0","3","9","1","0","0","0","1","1","0","0","0","0","0","0","2","0","0","28","21","12","7","33","0","0","0","0","0","0","3","0","21","64","30","0","0","4","0","4","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","21","0","42","0","0","0"
