"age_Radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Arceuthobium","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Buxus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celtis","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Fabaceae Undif.","Fagus","Fallopia","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Gentiana t.","Gentianaceae undif.","Hedera","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Ligustrum","Linum t.","Loranthus","Lotus t.","Lythrum","Myriophyllum spicatum/verticillatum t.","Myrtus","Nuphar","Nymphaea","Olea t.","Ononis t.","Parrotia","Pediastrum boryanum var. divergens","Pediastrum boryanum var. granulatum","Pediastrum muticum var. scutum","Pediastrum undulatum","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Pseudopediastrum boryanum var. longicorne","Pseudopediastrum brevicorne","Pteridium undiff.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Solanum","Sparganium","Spergularia t.","Taxus","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valeriana t.","Viburnum","Vitis"
"7847",NA,NA," 320","   4","   0","   2","   0","   3","   3","   1","   5","   0","   5","   0","   2","   0","  10","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   1","   0","   9","   1","  11","   0","   0","   0","   0","   0","   1","   0","  32","   0","   0","  10","   3","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  32","   1","   0","   0","   4","   0","   1","   0","   0","   0","   2","   0","  16","  30","   2","   0"," 150","   5","   0","   0","   0","   7","   0","   0"," 210","   0","   0","   0","   0","  13","   2","   0","   4","   3","   0","   0","  14","   0","   0","   1","   9","   0","   1","   5","   8","   1","   0","   0","   0"
"8394",NA,NA," 340","   9","   2","  13","   1","   9","  24","   6","   9","   0","  14","   0","   9","   6","   5","   0","   6","   0","   1","   0","   1","   1","   1","   1","   0","   0","   0","   5","   0","   0","  16","   8","  14","   0","   0","   3","   1","   1","   1","   1"," 124","   2","   0","  19","   2","   0","   1","   3","   1","   0","   0","   1","   0","   1","   0","   0","   0","   6","   0","   0","  15","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","  30"," 126","   7","   0"," 560","  16","   0","   6","   0","  48","   0","   0"," 690","   1","   0","   0","   2","  80","   0","   0","  38","   1","   0","   0","  15","   0","   0","   2","  16","   0","   1","  15","   0","   0","   0","   0","   2"
"8940",NA,NA," 360","   5","   2","  59","   1","   5","  47","   8","   8","   0","  10","   0","   3","   9","   1","   0","   4","   0","   0","   1","   2","   0","   2","   1","   0","   0","   1","  13","   0","   0","   8","   5","  21","   1","   0","   3","   0","   0","   1","   0","  52","   0","   0","  12","   6","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   4","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  40","  61","  10","   0"," 430","  18","   0","  23","   0","  64","   0","   0"," 377","   4","   2","   0","   0","  84","   1","   0","  12","   0","   0","   0","   7","   0","   0","   3","   5","   0","   0","  14","  10","   0","   1","   0","   0"
"9487",NA,NA," 380","  11","   3","  38","   1","   9","  59","  12","   6","   0","  19","   0","  10","   5","   2","   0","  12","   0","   0","   0","   0","   3","   2","   1","   0","   0","   4","  16","   0","   0","   6","   4","  83","   1","   0","  10","   0","   1","   0","   0","  50","   0","   0","   7","   6","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  19","   0","   0","   0","  72","   6","   4","   0"," 446","   3","   0","  20","   0","   0","   0","   0"," 185","   0","   2","   0","   0","  39","   0","   0","   2","   0","   0","   0","  19","   0","   0","   2","   2","   1","   0","   9","  20","   0","   0","   0","   0"
"10033",NA,NA,"  400","    5","    3","   14","    1","    1","   31","    1","    3","    0","    7","    0","    4","    0","    2","    0","    1","    0","    0","    0","    0","    5","    2","    1","    0","    0","    3","   11","    0","    0","    2","    0","    4","    0","    0","    6","    2","    0","    0","    0","  365","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   14","    2","    0","    0","   87","    1","    2","    0","    0","    2","    0","    0","  119","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    8","    0","    0","    0","    1","    0","    0","    3","   30","    0","    0","    0","    0"
"10088",NA,NA,"  402","   10","    1","   18","    4","    8","   46","    0","    7","    0","   13","    0","   13","    6","   10","    1","    5","    1","    0","    0","    0","    1","    7","    1","    0","    0","    1","   24","    0","    0","    9","    4","   42","    1","    0","    7","    1","    0","    0","    1","    5","    1","    0","    0","    3","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","   36","    2","    1","    0","  352","    0","    2","    4","    0","    4","    0","    0","  221","    5","    0","    0","    0","    1","    0","    0","    3","    0","    0","    0","   46","    0","    0","    1","    7","    2","    1","   15","   60","    0","    0","    0","    0"
"10716",NA,NA,"  425","   62","    4","    0","    1","   36","    5","    2","    1","    0","   15","    0","    0","    2","   10","    0","    0","    0","    0","    0","    0","    0","   74","    1","    0","    0","    0","    0","    0","    0","    9","    1","    4","    0","    0","    0","    3","    0","    8","    0","   14","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   82","    1","    0","    0","   10","    0","    0","    0","    0","    0","    0","    0","  194","   14","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","   68","  106","    0","    0","    0","    0"
"45000",NA,NA,"  460","   21","    1","    0","    0","    7","    4","    2","    4","    0","    9","    0","    1","    0","   14","    0","    5","    0","    0","    0","    0","    0","   41","    0","    0","    1","    1","    0","    0","    0","    4","    0","   28","    0","    0","    1","   13","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  303","    0","    0","    0","   11","    0","    0","    0","    0","    0","    0","    0","  320","    7","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","   14","  145","    0","    0","    0","    0"
"45533",NA,NA,"  485","   71","    0","    0","    0","   13","    8","    1","    0","    1","   12","    0","    0","    0","   51","    0","    5","    0","   14","    1","    0","    0","   11","    0","    0","    3","    0","    0","    0","    0","    3","   16","   95","    0","    0","    1","   22","    0","    0","    0","   10","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","   13","    0","   12","    0","    0","    0","    0","    0","    0","    0","    0","  279","    0","    2","    0","   22","    0","    1","    0","    0","    0","    0","    0","  270","   45","    1","    0","    0","    0","    0","    0","    0","    2","    0","    1","    3","    0","    2","    0","    2","    0","    1","   28","  250","    0","    0","    1","    7"
"45853",NA,NA,"  500","   30","    0","    0","    0","   14","    3","    2","    5","    0","    5","    0","   15","    1","   46","    0","    5","    0","   34","    0","    2","    0","    5","    0","    1","    3","    0","    4","    0","    0","    2","  108","   57","    0","    0","    3","   26","    2","    0","    0","   34","    0","    0","    7","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    9","    0","   67","    0","    0","    0","    0","    0","    3","    5","    0","  112","    1","    6","    0","   49","    0","    0","    0","    0","    0","    0","    0","  205","   20","    0","    0","    0","    1","    2","    0","    0","    0","    0","    0","   10","    0","    0","    0","   14","    0","    1","   44","  346","    0","    0","    0","   10"
"46002",NA,NA,"  507","  253","    0","    2","    0","   53","    1","    1","    0","    0","    1","    0","    0","    1","   71","    0","    2","    0","   84","    0","    0","    0","   23","    0","    0","    6","    0","    0","    0","    0","    2","    3","    6","    0","    0","    0","   13","    0","    0","    0","   21","    0","    0","   11","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","   93","    0","    0","    0","    0","    0","    0","    0","    0","  189","    0","    2","    0","    8","    0","    0","    0","    0","    0","    0","    0","  108","    3","    0","    0","    2","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   21","    0","    0","    7","   30","    0","    0","    0","    5"
"46386",NA,NA,"  525","  123","    0","    1","    0","   50","    5","    0","    0","    0","    9","    0","    4","    0","   80","    0","    6","    0","   71","    0","    3","    0","   47","    0","    0","    6","    0","    0","    0","    0","    2","    3","    9","    0","    0","    2","   11","    0","    0","    0","   23","    0","    0","   11","    2","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","   65","    0","    0","    5","    0","    0","    0","    0","    0","  128","    7","    8","    0","   22","    0","    0","    0","    0","    1","    0","    0","  158","   12","    0","    0","    2","    2","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","   27","    0","    0","   33","   17","    0","    0","    0","    2"
"46813",NA,NA,"  545","  247","    0","    3","    0","   89","    2","    0","    0","    0","    1","    0","    0","    1","   74","    0","    1","    0","   56","    0","    1","    1","   40","    0","    0","    4","    0","    0","    0","    0","    3","    2","    8","    0","    0","    0","   12","    0","    0","    0","   34","    1","    0","   13","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","   54","    0","    0","    4","    0","    0","    0","    1","    0","  215","    8","    1","    0","   12","    0","    0","    0","    0","    0","    0","    0","  188","   11","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   25","    0","    1","   19","    8","    0","    0","    0","    2"
"47240",NA,NA,"  565","  419","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    8","    0","    0","    0","    4","    0","    0","    0","    8","    0","    0","    0","    0","    1","    0","    0","    0","    0","    7","    0","    0","    0","    1","    0","    0","    0","   14","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  104","    2","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","   20","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    2","    1","    2","    0","    0","    0"
